DateTime,AddedIPs,RemovedIPs
1480410993,2,4
1480414596,3,1
1480418182,2,4
1480421805,6,8
1480425658,3,1
1480429306,7,6
1480433297,5,1
1480436861,2,4
1480440427,6,0
1480444065,7,3
1480447819,2,12
1480450550,4,5
1480454149,4,2
1480457726,2,1
1480461394,3,4
1480465028,11,4
1480468618,26,7
1480472191,1,1
1480475791,4,7
1480479341,0,25
1480482978,4,2
1480486606,1,2
1480490207,0,3
1480493797,6,2
1480497426,3,4
1480500984,4,1
1480504617,2,3
1480508204,3,7
1480511788,5,2
1480515479,2,3
1480519083,4,0
1480522650,3,2
1480527582,3,5
1480530073,3,3
1480533399,0,3
1480536943,7,4
1480541407,1,1
1480544191,1,4
1480547797,3,5
1480551412,4,6
1480554983,19,9
1480558623,8,0
1480562138,3,9
1480565746,4,14
1480569353,6,1
1480572977,6,6
1480576633,4,2
1480580237,2,1
1480583800,2,3
1480587437,0,4
1480591010,4,4
1480594594,3,3
1480598220,4,3
1480601723,3,10
1480605351,7,3
1480608896,2,2
1480612553,6,1
1480616148,0,5
1480619775,5,5
1480623335,4,3
1480626911,6,6
1480630600,4,1
1480634193,2,3
1480637806,6,3
1480641400,18,3
1480644983,1,1
1480648608,4,3
1480652149,2,27
1480655769,1,4
1480659427,5,0
1480663044,2,2
1480666622,2,6
1480670388,4,5
1480674042,4,5
1480677581,3,5
1480681071,7,2
1480684624,2,1
1480688229,1,2
1480691778,0,1
1480695417,1,1
1480699012,1,3
1480703622,2,2
1480706758,3,5
1480709939,1,4
1480713399,7,2
1480716950,5,1
1480720600,1,2
1480724179,4,0
1480727729,16,3
1480731355,4,4
1480735009,4,6
1480738642,2,22
1480742152,4,4
1480745779,3,6
1480749404,2,3
1480752964,3,3
1480756621,4,2
1480760192,3,4
1480763831,1,2
1480767417,4,2
1480771025,4,3
1480774658,3,4
1480778238,2,2
1480781851,3,3
1480785434,2,6
1480788986,4,7
1480792613,6,1
1480796225,3,2
1480799770,4,3
1480803403,3,3
1480806992,4,1
1480810646,29,3
1480814194,4,4
1480817789,4,3
1480821359,1,21
1480824995,3,5
1480828632,2,5
1480832207,4,3
1480835803,3,4
1480839430,1,1
1480843039,3,2
1480846598,2,6
1480850176,8,3
1480853849,3,5
1480857348,6,3
1480861031,3,1
