DateTime,AddedIPs,RemovedIPs
1476238117,1,0
1476241760,0,1
1476284930,0,1
1476320899,1,1
1476328097,1,1
1476335307,1,0
1476338914,0,1
1476349709,2,0
1476353320,1,1
1476364131,0,1
1476367706,0,2
1476371320,0,1
1476374914,2,0
1476382118,1,0
1476385721,0,1
1476389309,1,1
1476396849,1,0
1476403710,3,0
1476407318,0,1
1476418110,1,0
1476425321,0,1
1476428898,1,1
1476432511,1,1
1476436122,0,1
1476443315,1,0
1476446914,1,0
1476457698,0,1
1476461320,1,1
1476468511,1,0
1476493713,0,2
1476497298,1,1
1476500909,0,1
1476508109,1,0
1476511699,0,1
1476522516,1,0
1476544103,1,0
1476554914,0,1
1476558501,0,1
1476562108,1,0
1476565703,1,0
1476576518,0,2
1476587287,0,2
1476594495,2,0
1476608901,0,1
1476612513,1,0
1476619700,0,3
1476626901,2,0
1476634088,1,0
1476637701,0,1
1476641309,1,0
1476648499,0,1
1476655713,1,1
1476662928,1,0
1476666519,1,0
1476673716,1,0
1476691706,0,1
1476695308,0,3
1476698927,1,1
1476702520,1,0
1476706120,0,1
1476709720,1,0
1476724139,1,0
1476734905,0,1
1476738512,1,0
1476749313,0,1
1476760119,0,1
1476763713,2,0
1476767317,0,1
1476770918,0,1
1476774510,1,0
1476778124,1,0
1476785307,0,1
1476810520,1,0
1476821307,0,1
1476824911,1,0
1476828514,0,1
1476835706,1,0
1476839322,0,1
1476850126,0,2
1476853703,1,0
1476857307,0,1
1476871717,2,0
1476904129,0,1
1476907732,0,1
1476911311,2,0
1476914911,1,0
1476936508,0,1
1476947324,1,0
1476961730,0,1
1476973096,1,0
1476976631,0,1
1476983322,1,1
1476997719,1,0
1477019348,0,2
1477022917,1,0
1477030101,1,0
1477040914,0,1
1477044507,0,1
1477058913,1,0
1477062542,1,0
1477066132,0,1
1477076922,0,1
1477087716,2,0
1477091320,0,2
1477098514,0,1
1477102113,2,1
1477105864,0,2
1477116520,1,1
1477120137,2,0
1477160042,0,1
1477166895,1,0
1477188515,0,2
1477202897,1,1
1477206509,1,1
1477210124,1,0
1477217295,1,0
1477220910,0,1
1477224506,0,1
1477231706,1,1
1477235282,1,0
1477238906,1,0
1477242498,0,1
1477246108,0,1
1477249712,0,1
1477253295,2,0
1477260503,1,0
1477267721,1,0
1477271298,0,1
1477278495,1,0
1477300096,0,1
1477303706,1,0
1477318100,0,1
1477321706,0,2
1477325316,0,1
1477332500,2,0
1477336090,1,0
1477350499,0,1
1477354115,1,0
1477357712,1,1
1477368509,1,0
1477375712,1,0
1477390114,0,1
1477422528,0,1
1477429707,1,0
1477436900,0,1
1477440514,1,1
