DateTime,Entries,UniqueIPs
1474885512,7,7
1475035907,8,8
1475050271,7,7
1475075066,8,8
1475089456,7,7
1475208313,8,8
1475222644,7,7
1475249112,8,8
1475252708,7,7
1475255214,8,8
1475262374,7,7
1475324730,6,6
1475327309,7,7
1475367220,6,6
1475370691,7,7
1475385090,8,8
1475399216,7,7
1475420959,8,8
1475435155,7,7
1475445930,6,6
1475456924,7,7
1475489502,6,6
1475493026,7,7
1475561355,8,8
1475576708,7,7
1475597036,8,8
1475611436,7,7
1475708643,6,6
1475712228,7,7
1475730238,8,8
1475744646,7,7
1475777039,8,8
1475791442,7,7
1475921036,8,8
1475935445,7,7
1475949846,6,6
1475953445,7,7
1475964247,8,8
1475967840,7,7
1475978641,7,7
1476057846,6,6
1476061439,7,7
1476083038,6,6
1476086642,7,7
1476101041,6,6
1476104628,7,7
1476111839,7,7
1476126241,6,6
1476137034,7,7
1476151438,6,6
1476169447,5,5
1476176649,6,6
1476255844,5,5
1476259447,6,6
1476273844,7,7
1476288245,6,6
1476317035,5,5
1476327840,6,6
1476450249,7,7
1476464646,6,6
1476587029,5,5
1476590641,6,6
1476626640,7,7
1476641038,6,6
1476666247,5,5
1476677043,6,6
1476734637,5,5
1476738234,6,6
1476806652,7,7
1476821043,6,6
1476975953,7,7
1476990255,7,7
1477004666,6,6
1477098251,5,5
1477116257,6,6
1477156043,7,7
1477170240,6,6
1477339443,7,7
1477353829,6,6
1477508637,7,7
1477512235,6,6
1477515845,7,7
1477523042,6,6
1477685052,7,7
1477699423,6,6
1477796648,5,5
1477807441,6,6
1477836253,7,7
1477850661,6,6
1478009283,7,7
1478023659,6,6
1478030794,5,5
1478041841,4,4
1478045149,6,6
1478081742,7,7
1478124243,6,6
1478135039,7,7
1478153034,6,6
1478156639,7,7
1478171042,6,6
1478189039,7,7
1478196253,8,8
1478203437,7,7
1478207034,8,8
1478210635,7,7
1478232242,6,6
1478275444,7,7
1478289853,6,6
1478293444,7,7
1478322240,6,6
1478325841,7,7
1478351036,6,6
1478354641,7,7
1478361842,8,8
1478369040,7,7
1478372642,8,8
1478376240,7,7
1478426641,6,6
1478430249,7,7
1478444644,6,6
1478455440,7,7
1478462644,6,6
1478484239,7,7
1478505838,8,8
1478509445,7,7
1478516636,8,8
1478541841,9,9
1478545442,8,8
1478549036,9,9
1478556241,8,8
1478577853,9,9
1478585058,8,8
1478588654,9,9
1478617461,8,8
1478628260,9,9
1478635469,8,8
1478660658,10,10
1478667847,11,11
1478711048,12,12
1478714657,13,13
1478729055,12,12
1478736237,11,11
1478743452,12,12
1478757852,11,11
1478775882,12,12
1478783059,11,11
1478786663,12,12
1478804652,11,11
1478829855,12,12
1478855063,11,11
1478891052,12,12
1478905456,11,11
1478909040,10,10
1478912661,12,12
1478927055,11,11
1478930655,10,10
1478934264,11,11
1478937850,10,10
1478941462,11,11
1478945052,12,12
1478952258,11,11
1478955856,10,10
1478959461,11,11
1478966661,12,12
1478981061,11,11
1478984650,12,12
1478999051,10,10
1479002654,12,12
1479024248,11,11
1479049450,12,12
1479056651,11,11
1479060249,10,10
1479063851,11,11
1479067457,12,12
1479074660,13,13
1479081839,11,11
1479085451,11,11
1479089048,10,10
1479092652,12,12
1479107049,11,11
1479117853,11,11
1479121454,11,11
1479125065,12,12
1479132566,10,10
1479139522,12,12
1479161078,10,10
1479164647,12,12
1479200652,11,11
1479204260,12,12
1479207857,11,11
1479218658,12,12
1479243937,12,12
1479258236,12,12
1479297896,11,11
1479301649,11,11
1479305095,11,11
1479315842,12,12
1479351840,11,11
1479355436,12,12
1479359031,11,11
1479377042,12,12
1479380642,11,11
1479384244,12,12
1479391441,11,11
1479398636,12,12
1479402254,11,11
1479409452,10,10
1479413048,12,12
1479416719,11,11
1479420231,12,12
1479427591,13,13
1479431082,12,12
1479438455,13,13
1479441908,12,12
1479459844,11,11
1479463454,12,12
1479485046,11,11
1479488639,12,12
1479492244,11,11
1479528239,12,12
1479542640,11,11
1479546246,12,12
1479549848,11,11
1479553442,12,12
1479560648,11,11
1479564245,12,12
1479585843,11,11
1479589443,12,12
1479593042,13,13
1479607443,12,12
1479632641,11,11
1479639842,12,12
1479668647,11,11
1479672247,12,12
1479690244,11,11
1479693844,10,10
1479701042,11,11
1479708241,12,12
1479722643,11,11
1479729843,12,12
1479762244,11,11
1479765844,12,12
1479769453,13,13
1479783847,12,12
1479812645,11,11
1479816248,12,12
1479830646,11,11
1479841448,12,12
1479877431,11,11
1479881039,12,12
1479888239,11,11
1479891849,12,12
1479895444,11,11
1479899045,12,12
1479949430,13,13
1479960246,12,12
1479963834,11,11
1479971045,12,12
1479989034,11,11
1479992632,11,11
1479996239,10,10
1479999844,11,11
1480007039,12,12
1480028637,11,11
1480039440,12,12
1480053847,11,11
1480061041,12,12
1480082642,11,11
1480086240,12,12
1480093439,13,13
1480107840,14,14
1480111440,15,15
1480118625,15,15
1480122245,13,13
1480125843,14,14
1480133040,15,15
1480136642,16,16
1480147444,17,17
1480151036,16,16
1480161843,14,14
1480165438,15,15
1480169046,16,16
1480172648,15,15
1480176243,16,16
1480179842,15,15
1480183444,14,14
1480187042,15,15
1480190638,14,14
1480201439,14,14
1480205032,14,14
1480208640,15,15
1480215847,14,14
1480226646,15,15
1480248236,14,14
1480255451,15,15
1480280635,14,14
1480284240,14,14
1480287845,15,15
1480298644,15,15
1480309444,16,16
1480313051,14,14
1480316661,16,16
1480320254,17,17
1480323846,16,16
1480331054,15,15
1480352806,14,14
1480356446,14,14
1480374244,15,15
1480377831,14,14
1480381753,14,14
1480388651,15,15
1480392252,16,16
1480395848,15,15
1480399471,16,16
1480403052,15,15
1480406650,15,15
1480413847,14,14
1480424654,13,13
1480428250,15,15
1480435678,15,15
1480439188,16,16
1480449858,15,15
1480457049,15,15
1480460645,14,14
1480464236,14,14
1480467849,16,16
1480475042,15,15
1480482241,14,14
1480485838,15,15
1480493042,14,14
1480496645,14,14
1480500243,15,15
1480503848,16,16
1480511044,15,15
1480518260,14,14
1480525913,15,15
1480532640,14,14
1480536247,16,16
1480550633,15,15
1480554241,14,14
1480565048,16,16
1480583043,15,15
1480586650,14,14
1480593842,13,13
1480597449,14,14
1480601045,15,15
1480608268,14,14
1480611850,15,15
1480615440,14,14
1480619046,14,14
1480626248,16,16
1480633444,16,16
1480640641,15,15
1480644236,16,16
1480647853,15,15
1480662244,14,14
1480665845,13,13
1480669444,13,13
1480673095,15,15
1480680287,17,17
1480687450,16,16
1480694651,15,15
1480698243,14,14
1480727033,15,15
1480730639,14,14
1480741442,14,14
1480745038,15,15
1480752235,14,14
1480755845,15,15
1480763039,14,14
1480770243,14,14
1480773834,15,15
1480788236,14,14
1480791841,15,15
1480799042,15,15
1480802635,16,16
1480806253,17,17
1480813443,16,16
1480817060,15,15
1480820641,16,16
1480824240,15,15
1480827840,16,16
