DateTime,Entries,UniqueIPs
1479992470,23,23
1479996072,20,20
1479999671,20,20
1480003271,21,21
1480006871,22,22
1480010471,24,24
1480014069,23,23
1480017670,26,26
1480021271,30,30
1480024872,26,26
1480028471,29,29
1480032072,23,23
1480035675,28,28
1480042877,27,27
1480046477,23,23
1480050077,19,19
1480053674,17,17
1480057277,23,23
1480060877,22,22
1480064478,23,23
1480068077,23,23
1480071678,24,24
1480075275,25,25
1480078876,27,27
1480082477,28,28
1480086075,24,24
1480089676,27,27
1480093274,26,26
1480096875,24,24
1480100476,28,28
1480104078,19,19
1480111277,28,28
1480114875,26,26
1480118477,24,24
1480122077,24,24
1480125675,21,21
1480129277,22,22
1480132877,25,25
1480136478,27,27
1480143677,26,26
1480147278,27,27
1480150874,25,25
1480154476,26,26
1480158075,25,25
1480161676,25,25
1480165276,24,24
1480168878,26,26
1480176078,25,25
1480179675,24,24
1480183278,20,20
1480186875,16,16
1480190477,15,15
1480194079,23,23
1480197677,24,24
1480201278,27,27
1480204878,27,27
1480208478,26,26
1480212076,23,23
1480215677,23,23
1480219276,21,21
1480222875,25,25
1480226475,24,24
1480230077,26,26
1480233676,27,27
1480237276,22,22
1480240874,21,21
1480244477,18,18
1480248077,19,19
1480251678,21,21
1480255276,24,24
1480262477,22,22
1480266076,18,18
1480269676,17,17
1480273277,22,22
1480276877,20,20
1480280476,21,21
1480284079,21,21
1480287677,20,20
1480291277,18,18
1480294882,22,22
1480298479,21,21
1480302082,19,19
1480305682,20,20
1480309281,16,16
1480312881,18,18
1480316484,21,21
1480320082,24,24
1480323683,26,26
1480327282,23,23
1480330881,20,20
1480334484,16,16
1480338080,20,20
1480341683,24,24
1480348916,23,23
1480352479,22,22
1480356211,20,20
1480359683,20,20
1480363280,19,19
1480366881,20,20
1480370481,16,16
1480377678,18,18
1480381326,18,18
1480384883,20,20
1480388479,22,22
1480392083,20,20
1480395681,23,23
1480399282,19,19
1480402883,17,17
1480406481,26,26
1480413682,25,25
1480417282,22,22
1480420881,19,19
1480428081,18,18
1480431712,24,24
1480435281,21,21
1480442546,27,27
1480446091,25,25
1480449681,25,25
1480453280,27,27
1480456881,26,26
1480460482,22,22
1480464079,24,24
1480467675,23,23
1480471276,22,22
1480474877,25,25
1480478476,21,21
1480482075,25,25
1480489276,22,22
1480492874,24,24
1480496475,24,24
1480500077,26,26
1480503675,26,26
1480507275,24,24
1480510875,28,28
1480514475,28,28
1480518076,29,29
1480521674,28,28
1480525420,26,26
1480529017,25,25
1480532475,24,24
1480536075,23,23
1480539866,27,27
1480543275,25,25
1480546876,25,25
1480550476,25,25
1480554076,17,17
1480557677,22,22
1480561276,22,22
1480564878,23,23
1480568476,24,24
1480572078,22,22
1480575678,23,23
1480579277,23,23
1480586476,18,18
1480590075,15,15
1480593676,14,14
1480597279,19,19
1480600875,17,17
1480604477,17,17
1480611676,20,20
1480615277,19,19
1480618876,20,20
1480622477,19,19
1480626077,20,20
1480629675,22,22
1480633275,19,19
1480636875,20,20
1480640477,18,18
1480644075,15,15
1480647676,17,17
1480651279,15,15
1480654877,13,13
1480658475,18,18
1480662077,19,19
1480665675,18,18
1480669278,17,17
1480672890,11,11
1480676493,10,10
1480680076,12,12
1480683675,13,13
1480687276,15,15
1480690876,14,14
1480694478,13,13
1480698077,14,14
1480701677,14,14
1480708876,13,13
1480712477,15,15
1480716076,16,16
1480719676,15,15
1480723275,14,14
1480726871,13,13
1480730471,12,12
1480734074,13,13
1480737676,10,10
1480741275,11,11
1480748474,10,10
1480752072,11,11
1480755675,11,11
1480759274,12,12
1480766475,11,11
1480770075,10,10
1480773674,8,8
1480777275,9,9
1480780875,12,12
1480788074,12,12
1480791675,13,13
1480798875,13,13
1480802474,11,11
1480806074,12,12
1480809676,11,11
1480813277,9,9
1480816878,13,13
1480827676,12,12
1480831275,8,8
1480834877,8,8
1480838478,10,10
1480845679,11,11
1480849278,12,12
1480852875,10,10
1480863675,7,7
1480874476,8,8
1480878077,8,8
1480888880,9,9
1480892481,10,10
1480896076,11,11
1480899676,13,13
1480903277,13,13
1480906878,14,14
1480914076,14,14
1480917677,13,13
1480921278,10,10
1480924875,13,13
1480932077,12,12
1480935676,13,13
1480939274,10,10
1480942877,10,10
1480946476,11,11
1480950076,11,11
1480953677,13,13
1480957278,12,12
1480960876,12,12
1480968077,8,8
1480971678,10,10
1480975278,9,9
1480978894,13,13
1480986076,13,13
1480989676,13,13
1480993277,12,12
1480996878,10,10
1481000508,9,9
1481004079,8,8
1481011404,12,12
1481015006,13,13
1481018604,13,13
1481022332,14,14
1481025676,14,14
1481029278,12,12
1481033007,11,11
1481036478,8,8
1481040078,8,8
1481043676,9,9
1481047273,10,10
1481054540,12,12
1481058108,13,13
1481061740,15,15
1481068874,13,13
1481076076,13,13
1481079678,14,14
1481083275,15,15
1481086879,14,14
1481090480,12,12
1481094076,10,10
1481097678,12,12
1481101310,14,14
1481104876,14,14
1481112077,11,11
1481115679,14,14
1481126603,14,14
1481130204,13,13
1481133676,11,11
1481137277,12,12
1481140878,13,13
1481148078,14,14
1481151677,13,13
1481155277,10,10
1481158874,12,12
1481162477,13,13
1481166074,13,13
1481169677,15,15
1481173279,14,14
1481180475,13,13
1481184077,10,10
1481187678,12,12
1481194875,14,14
1481198476,12,12
1481202076,13,13
1481205677,15,15
1481209277,13,13
1481216477,12,12
1481223679,14,14
1481227343,15,15
1481230878,14,14
1481234477,12,12
1481238076,11,11
1481241678,12,12
1481245270,13,13
1481252472,12,12
1481256072,10,10
1481259670,7,7
1481266871,13,13
1481274071,14,14
1481277672,15,15
1481281271,14,14
1481288470,15,15
1481292072,13,13
1481299272,13,13
1481302871,12,12
1481310203,11,11
1481313672,12,12
1481317271,10,10
1481320870,10,10
1481324471,13,13
1481328041,11,11
1481331671,10,10
1481335274,11,11
1481338872,11,11
1481342472,15,15
1481349705,14,14
1481353268,12,12
1481356872,10,10
1481360472,13,13
1481371271,14,14
1481374871,9,9
1481378471,10,10
1481382071,10,10
1481385672,9,9
1481389271,10,10
1481392872,14,14
1481396471,13,13
1481400071,15,15
1481403670,14,14
1481407271,12,12
1481414441,9,9
1481418076,14,14
1481421678,13,13
1481425279,13,13
1481428877,15,15
1481432477,11,11
1481439676,14,14
1481443276,14,14
1481446877,13,13
1481454078,16,16
1481457677,14,14
1481461277,16,16
1481468477,12,12
1481472077,11,11
1481475677,11,11
1481479307,15,15
1481482911,14,14
1481486478,15,15
1481490134,14,14
1481493682,13,13
1481497279,15,15
1481500875,14,14
1481504475,15,15
1481511678,12,12
1481515276,13,13
1481522476,13,13
1481529679,8,8
1481536874,8,8
1481544095,8,8
1481547737,12,12
1481551420,14,14
1481558477,15,15
1481562282,16,16
1481565707,14,14
1481569292,17,17
1481573005,14,14
1481576477,13,13
1481580202,12,12
1481583803,10,10
1481587280,11,11
1481591131,10,10
1481594499,9,9
1481598206,14,14
1481601677,16,16
1481612605,15,15
1481616141,12,12
1481623284,11,11
1481627004,7,7
1481630519,15,15
1481638057,16,16
1481641328,15,15
1481644935,15,15
1481648540,17,17
1481655678,16,16
1481659404,15,15
1481662891,12,12
1481673802,12,12
1481677278,12,12
1481681003,13,13
1481684604,17,17
1481688077,16,16
1481706079,12,12
1481709677,14,14
1481713406,16,16
1481724077,15,15
1481731418,14,14
1481734876,13,13
1481738477,14,14
1481742077,10,10
1481745675,8,8
1481749276,9,9
1481752877,14,14
1481760077,15,15
1481763677,13,13
1481767278,15,15
1481770876,14,14
1481774477,13,13
1481778076,12,12
1481781677,12,12
1481785277,12,12
1481788885,13,13
1481796086,11,11
1481799688,12,12
1481803289,11,11
1481810488,12,12
1481814086,12,12
1481817686,11,11
1481821287,12,12
1481824885,10,10
1481828487,10,10
1481832086,10,10
1481835688,8,8
1481846487,9,9
1481850081,9,9
1481857281,10,10
1481860881,10,10
1481864481,11,11
1481868081,10,10
1481871680,10,10
1481875278,8,8
1481886079,9,9
1481893281,10,10
1481900481,9,9
1481904082,10,10
1481907681,10,10
1481915129,9,9
1481918745,8,8
1481922326,8,8
1481925679,7,7
1481929280,8,8
1481932879,9,9
1481940081,11,11
1481954481,8,8
1481958080,8,8
1481965281,10,10
1481968880,11,11
1481972482,10,10
1481976081,11,11
1481979681,9,9
1481983281,7,7
1481990481,8,8
1481994080,10,10
1482001280,11,11
1482004880,10,10
1482008481,8,8
1482012081,7,7
1482015681,8,8
1482022886,10,10
1482030087,8,8
1482033686,9,9
1482037289,10,10
1482044487,11,11
1482048086,10,10
1482051686,9,9
1482055287,10,10
1482058887,9,9
1482066087,8,8
1482069689,8,8
1482073287,9,9
1482076887,10,10
1482084088,9,9
1482091288,8,8
1482102461,9,9
1482109286,11,11
1482112888,10,10
1482116486,8,8
1482120086,10,10
1482123687,10,10
1482138087,8,8
1482141688,7,7
1482152488,8,8
1482156087,7,7
1482159688,8,8
1482166886,7,7
1482177686,9,9
1482181285,8,8
1482185163,10,10
1482188490,11,11
