DateTime,AddedIPs,RemovedIPs
1481213541,1,1
1481215461,7,7
1481217378,3,2
1481219297,7,3
1481221215,5,21
1481223137,5,5
1481225050,6,6
1481226987,8,2
1481228921,4,1
1481230884,20,5
1481232756,5,2
1481234696,3,4
1481236614,3,2
1481238852,7,189
1481240665,1,3
1481242608,6,2
1481244524,6,3
1481246450,0,8
1481248357,6,3
1481250285,5,4
1481252200,2,5
1481254154,5,143
1481256089,4,1
1481257968,4,1
1481259959,18,20
1481261810,16,15
1481263710,14,11
1481265637,19,24
1481267555,4,12
1481269482,2,4
1481271414,4,3
1481273330,5,2
1481275237,760,49
1481277180,122,21
1481279075,7,4
1481281012,7,4
1481282931,10,5
1481284951,6,10
1481286771,42,8
1481288950,8,6
1481290838,4,5
1481292759,7,5
1481294596,7,521
1481296593,8,6
1481298505,12,5
1481300706,11,4
1481302605,3,7
1481304532,6,5
1481306509,7,19
1481308372,14,5
1481310419,9,6
1481312421,11,9
1481314353,6,8
1481316265,16,18
1481318443,11,6
1481320345,6,7
1481322254,4,1
1481324186,6,3
1481326094,5,4
1481328073,10,5
1481329946,2,2
1481332141,9,18
1481334023,10,3
1481336203,8,5
1481338408,10,7
1481340252,2,4
1481342232,5,6
1481344115,1,1
1481346113,10,14
1481348051,21,17
1481349866,16,13
1481351787,15,19
1481353728,14,10
1481355638,8,2
1481357802,9,4
1481359778,8,4
1481361629,10,896
1481363557,7,137
1481365472,18,8
1481367383,11,6
1481369298,7,14
1481371284,7,5
1481373150,8,45
1481375341,11,6
1481377230,7,1
1481379166,9,11
1481381092,12,7
1481383009,6,8
1481384922,7,13
1481386835,8,7
1481388855,8,4
1481390671,3,4
1481392592,4,6
1481394508,6,9
1481396482,3,4
1481398354,12,15
1481400280,9,4
1481402191,7,17
1481404170,6,9
1481406041,5,9
1481407972,4,7
1481409869,6,5
1481411797,2,4
1481413716,4,7
1481415681,10,7
1481417566,5,5
1481419472,7,10
1481421401,5,4
1481423335,5,8
1481425289,6,6
1481427158,8,4
1481429070,12,5
1481430993,6,4
1481432901,12,11
1481434829,14,22
1481436737,19,12
1481438681,11,22
