DateTime,Entries,UniqueIPs
1471044513,5046,5046
1471066445,5063,5063
1471088429,5055,5055
1471110500,4956,4956
1471132341,4973,4973
1471154188,4968,4968
1471176035,4951,4951
1471198118,4958,4958
1471220179,4961,4961
1471242031,4934,4934
1471264117,4807,4807
1471285963,6237,6237
1471308058,6257,6257
1471330107,6238,6238
1471351957,6586,6586
1471374059,6593,6593
1471396109,6594,6594
1471418206,6576,6576
1471440259,6557,6557
1471462104,6553,6553
1471483944,6565,6565
1471506032,6518,6518
1471528238,6500,6500
1471550184,6512,6512
1471572064,6520,6520
1471594095,6530,6530
1471615951,6524,6524
1471637794,6554,6554
1471659643,5633,5633
1471681729,5622,5622
1471703786,5650,5650
1471725859,5655,5655
1471747957,5630,5630
1471770070,5614,5614
1471792125,5746,5746
1471814216,5767,5767
1471836262,5878,5878
1471858125,5841,5841
1471880194,5804,5804
1471902259,5780,5780
1471924112,5794,5794
1471946203,4399,4399
1471968052,4088,4088
1471990112,4167,4167
1472011980,4182,4182
1472034045,3934,3934
1472056104,3934,3934
1472077957,3979,3979
1472100069,4002,4002
1472122096,3997,3997
1472143949,4242,4242
1472165808,4246,4246
1472187673,4233,4233
1472209710,4231,4231
1472231569,4229,4229
1472253666,4250,4250
1472275711,4240,4240
1472297557,4223,4223
1472319636,4231,4231
1472341505,4288,4288
1472363562,4277,4277
1472385674,4263,4263
1472407718,4139,4139
1472429777,4113,4113
1472451625,3995,3995
1472473467,3973,3973
1472495310,4004,4004
1472517402,4005,4005
1472539461,4037,4037
1472561355,4000,4000
1472583399,3924,3924
1472605260,3913,3913
1472627359,3869,3869
1472649379,3872,3872
1472671467,3871,3871
1472693309,3925,3925
1472715389,3931,3931
1472737231,3690,3690
1472759303,3678,3678
1472781153,3671,3671
1472803272,3628,3628
1472825300,3581,3581
1472847150,3584,3584
1472868993,3592,3592
1472891069,3561,3561
1472912918,3557,3557
1472935002,3563,3563
1472957049,3566,3566
1472978919,3558,3558
1473000988,3552,3552
1473022858,3532,3532
1473044722,3536,3536
1473066745,3515,3515
1473088829,3532,3532
1473110898,3562,3562
1473132747,3560,3560
1473154832,3543,3543
1473176923,3863,3863
1473198985,3539,3539
1473220869,3544,3544
1473242918,3546,3546
1473264758,3604,3604
1473286848,3636,3636
1473308896,3755,3755
1473330753,3752,3752
1473352835,3761,3761
1473374677,3797,3797
1473396744,3801,3801
1473418589,3784,3784
1473440473,3816,3816
1473462540,3835,3835
1473484585,3842,3842
1473506656,3853,3853
1473528515,3888,3888
1473550613,3901,3901
1473572672,3924,3924
1473594765,3922,3922
1473616873,3948,3948
1473638913,3972,3972
1473660756,4002,4002
1473682861,3992,3992
1473704905,3998,3998
1473726750,4019,4019
1473748593,4029,4029
1473770664,3803,3803
1473792760,5676,5676
1473814864,5679,5679
1473836925,5694,5694
1473858994,5817,5817
1473881057,5829,5829
1473902935,5818,5818
1473924993,5804,5804
1473946840,6060,6060
1473968913,6073,6073
1473990843,6085,6085
1474012862,6108,6108
1474034911,6074,6074
1474056755,6056,6056
1474078837,6061,6061
1474100909,6077,6077
1474122754,6107,6107
1474144826,6114,6114
1474166901,6249,6249
1474188763,6266,6266
1474210875,6285,6285
1474232916,6282,6282
1474254995,6738,6738
1474276838,6941,6941
1474298897,7050,7050
1474320751,7110,7110
1474342838,7126,7126
1474364903,7098,7098
1474386802,7090,7090
1474408967,7118,7118
1474430938,7150,7150
1474452999,6749,6749
1474475049,6760,6760
1474496912,6783,6783
1474518754,6780,6780
1474540825,6801,6801
1474562921,6357,6357
1474584988,6368,6368
1474606867,6380,6380
1474628718,6473,6473
1474650740,6408,6408
1474672661,6434,6434
1474694650,6422,6422
1474716498,6436,6436
1474738356,6487,6487
1474760414,6542,6542
1474782276,6524,6524
1474804347,6557,6557
1474826491,6546,6546
1474848515,6570,6570
1474870614,6019,6019
1474892804,6022,6022
1474914753,6025,6025
1474936837,4818,4818
1474958907,4867,4867
1474980990,4863,4863
1475002856,4879,4879
1475024903,4884,4884
1475046759,4898,4898
1475068833,4901,4901
1475267301,4146,4146
1475289189,4175,4175
1475311211,4110,4110
