DateTime,Entries,UniqueIPs
1481162650,808,809
1481163616,829,830
1481164517,885,886
1481165291,934,935
1481166015,977,978
1481166726,1052,1053
1481167452,1080,1081
1481168067,1100,1101
1481168930,1111,1112
1481170006,1167,1168
1481170819,1170,1171
1481184512,1169,1170
1481187381,1168,1169
1481193860,1191,1192
1481199770,1190,1191
1481201310,1202,1203
1481207301,1205,1206
1481236605,1134,1135
1481238067,1027,1028
1481240656,1026,1027
1481242109,1025,1026
1481243779,1024,1025
1481245950,1021,1022
1481247397,1018,1019
1481248132,1016,1017
1481248911,1014,1015
1481251281,1008,1009
1481251930,1008,1009
1481252669,1005,1006
1481253378,1004,1005
1481254115,1002,1003
1481254813,1006,1007
1481255570,989,990
1481257732,975,976
1481258448,974,975
1481259205,969,970
1481259950,966,967
1481261303,962,963
1481262013,963,964
1481262750,960,961
1481263465,959,960
1481264182,958,959
1481264906,954,955
1481265634,953,954
1481266356,952,953
1481267324,948,949
1481268747,945,946
1481269480,943,944
1481270944,940,941
1481273046,938,939
1481273795,934,935
1481274505,936,937
1481275235,935,936
1481275939,931,932
1481276659,930,931
1481278815,929,930
1481279546,926,927
1481281004,923,924
1481281712,921,922
1481282426,918,919
1481283858,917,918
1481285329,915,916
1481286762,914,915
1481287446,195,195
1481288189,197,197
1481288941,196,196
1481291788,195,195
1481293227,192,192
1481295682,193,193
1481296348,193,193
1481301378,194,194
1481302113,194,194
1481303552,197,197
1481304274,216,216
1481304997,217,217
1481308096,219,219
1481314128,218,218
1481315553,217,217
1481318433,218,218
1481319150,217,217
1481319924,218,218
1481322049,217,217
1481324177,218,218
1481329938,224,224
1481330657,225,225
1481333553,226,226
1481334265,225,225
1481334970,224,224
1481335727,223,223
1481339300,223,223
1481340750,213,213
1481345068,212,212
1481345781,210,210
1481350097,211,211
1481355157,212,212
1481358268,216,216
1481359739,215,215
1481360476,214,214
1481373870,215,215
1481374569,216,216
1481378188,217,217
1481383476,218,218
1481385675,220,220
1481387787,219,219
1481389299,219,219
1481391376,193,193
1481392871,194,194
1481393801,196,196
1481394500,194,194
1481395932,200,200
1481399549,197,197
1481406508,196,196
1481408655,195,195
1481415643,190,190
1481418503,189,189
1481419218,188,188
1481422115,189,189
1481423546,191,191
1481430984,192,192
1481431694,212,212
1481434120,213,213
1481435554,212,212
1481436528,215,215
1481439708,216,216
1481444176,217,217
1481453544,219,219
1481456417,220,220
1481457873,222,222
1481460275,225,225
1481465304,227,227
1481471770,226,226
1481472506,230,230
1481473223,238,238
1481476126,241,241
1481479280,239,239
1481480650,238,238
1481483330,235,235
1481485467,234,234
1481497701,235,235
1481498425,234,234
1481500576,237,237
1481506107,240,240
1481508263,242,242
1481509712,242,242
1481517145,241,241
1481517848,206,206
1481519302,208,208
1481523148,206,206
1481526088,205,205
1481527452,207,207
1481536102,208,208
1481536888,209,209
1481538979,210,210
1481539734,208,208
1481541861,210,210
1481543307,211,211
1481544089,210,210
1481546183,209,209
1481549386,211,211
1481550737,209,209
1481551727,208,208
1481552663,209,209
1481557948,213,213
1481559636,192,192
1481562527,191,191
1481567059,193,193
1481568514,210,211
1481572580,213,214
1481581943,214,215
1481583387,215,216
1481584822,216,217
1481588421,217,218
1481589153,219,220
1481590582,213,214
1481594927,212,213
1481602107,213,214
1481603548,214,215
1481604258,215,216
1481608595,216,217
1481610037,217,218
1481612901,218,219
1481618663,218,219
1481619684,220,221
1481622040,221,222
1481622740,222,223
1481635210,222,223
1481636650,224,225
1481643861,223,224
1481644579,224,225
1481646979,235,236
1481648472,234,235
1481652085,236,237
1481652755,237,238
1481653449,236,237
1481654190,209,210
1481657771,210,211
1481664271,211,212
1481665719,208,209
1481667209,207,208
1481668598,206,207
1481670754,206,207
1481673913,208,209
1481675312,209,210
1481677752,210,211
1481682035,211,212
1481689933,210,211
1481690660,209,210
1481693562,212,213
1481699320,213,214
1481700270,215,216
1481703155,216,217
1481704588,215,216
1481705304,220,221
1481706087,223,224
1481708428,232,233
1481709138,234,235
1481712009,235,236
1481714895,234,235
1481717072,235,236
1481718512,237,238
1481721615,840,842
1481727375,839,841
1481728145,840,842
1481729374,961,963
1481730022,964,966
1481730751,984,986
1481731466,1079,1082
1481732173,1091,1094
1481733613,1136,1139
1481734346,1165,1168
1481735050,1239,1242
1481735811,1294,1297
1481736497,1323,1326
1481737223,1326,1329
1481737940,1324,1327
1481738671,1323,1326
1481741539,1324,1327
1481742526,1325,1328
1481743974,1326,1329
1481757633,1327,1330
1481760505,1329,1332
1481763370,1331,1334
1481765549,1333,1336
1481768414,1334,1337
1481774472,1335,1338
1481778077,1336,1339
1481779451,1335,1338
1481780891,1337,1340
1481785300,1336,1339
1481785932,1335,1338
1481791708,1332,1335
1481793396,1333,1336
1481794380,1333,1336
1481796747,1332,1335
1481798897,1556,1559
1481808263,1555,1558
1481808972,1554,1557
1481811148,1553,1556
1481812596,1552,1555
1481814072,1196,1197
1481814746,1184,1185
1481818603,1178,1179
1481821492,1170,1171
1481822443,1167,1168
1481823149,1042,1043
1481826753,1041,1042
1481828190,1040,1041
1481828912,1093,1094
1481829874,1095,1096
1481831313,1096,1097
1481832082,1097,1098
1481833447,1150,1151
1481834193,1188,1189
1481834904,1192,1193
1481835688,1275,1276
1481836343,1311,1312
1481837058,1366,1367
1481837770,1375,1376
1481846488,1414,1415
1481847401,1458,1459
1481848094,1463,1464
1481849537,1459,1460
1481850971,1477,1478
1481851706,1504,1505
1481853154,1546,1547
1481853860,1549,1550
1481854577,1561,1562
1481855306,1562,1563
1481856034,1604,1606
1481856749,1614,1616
1481857458,1642,1644
1481858182,1657,1659
1481858895,1658,1660
1481859634,1699,1701
1481860341,1732,1734
1481862757,1759,1761
1481880014,1758,1760
1481883625,1691,1692
1481885772,1690,1691
1481888675,1689,1690
1481889375,1687,1688
1481890108,1683,1684
1481892977,1681,1682
1481894432,1680,1681
1481895406,1679,1680
1481896882,1678,1679
1481898273,1676,1677
1481899711,1673,1674
