DateTime,AddedIPs,RemovedIPs
1481496989,4,1
1481497701,2,4
1481498425,4,1
1481500576,3,0
1481502752,0,1
1481503451,1,4
1481506107,8,6
1481508263,3,0
1481509712,1,1
1481518590,0,1
1481519302,2,0
1481527452,2,0
1481532512,0,1
1481536102,1,0
1481536888,1,0
1481538979,1,0
1481541861,2,0
1481543307,1,0
1481549386,2,1
1481552663,1,0
1481557948,4,1
1481562527,0,1
1481567059,2,1
1481568514,18,27
1481572580,3,0
1481580526,0,3
1481581943,1,1
1481582649,0,1
1481583387,1,0
1481584822,1,1
1481588421,2,0
1481589153,2,0
1481602107,1,0
1481603548,1,1
1481604258,2,1
1481608595,1,0
1481610037,1,0
1481612901,1,0
1481618663,1,1
1481619684,2,1
1481622040,1,0
1481622740,1,0
1481629452,0,1
1481635210,1,0
1481636650,2,0
1481640972,0,1
1481644579,1,0
1481646979,11,24
1481652085,2,2
1481652755,1,1
1481657771,1,0
1481658512,0,1
1481659953,1,0
1481660923,0,1
1481661611,1,0
1481663338,0,1
1481664271,1,0
1481665719,1,0
1481666483,0,1
1481667209,1,1
1481670754,1,1
1481671450,0,1
1481672189,1,0
1481672904,0,1
1481673913,3,0
1481674572,0,1
1481675312,1,0
1481676008,1,0
1481677752,1,0
1481678411,0,1
1481682035,1,1
1481682743,1,0
1481684907,0,1
1481690660,1,0
1481691375,0,1
1481692125,1,0
1481692811,0,1
1481693562,3,1
1481694250,1,0
1481695704,0,1
1481696443,1,0
1481697864,0,1
1481699320,2,1
1481700270,2,1
1481703155,1,0
1481705304,6,3
1481706087,3,0
1481708428,9,24
1481709138,25,9
1481710578,9,23
1481712009,23,9
1481716340,9,22
1481717072,23,9
1481718512,2,0
1481721615,612,114
1481722376,0,1
1481723052,0,1
1481725233,0,1
1481727375,0,2
1481728145,114,607
1481729374,164,168
1481730022,5,1
1481730751,30,4
1481731466,147,1
1481732173,23,4
1481733613,105,4
1481734346,40,3
1481735050,106,1
1481735811,72,11
1481736497,41,4
1481737223,117,662
1481738671,1,0
1481740826,0,4
1481741539,1,0
1481742526,1,1
1481743974,1,0
1481748263,0,1
1481756186,1,1
1481757633,1,0
1481758344,1,1
1481760505,3,1
1481761229,0,1
1481762661,0,1
1481763370,5,8
1481765549,2,0
1481767725,0,1
1481768414,3,1
1481769151,1,0
1481774472,2,1
1481778077,1,0
1481780891,5,0
1481793396,1,0
1481794380,1,1
1481798897,841,96
1481799676,0,1
1481800600,0,3
1481802055,0,1
1481802740,0,1
1481803468,0,2
1481805139,0,4
1481805873,0,1
1481806571,0,2
1481807324,0,1
1481808263,0,1
1481809732,0,1
1481810476,0,2
1481812596,0,4
1481813298,0,2
1481814072,0,2
1481814746,0,1
1481816896,0,3
1481817724,0,1
1481820021,0,1
1481822443,0,4
1481823149,0,702
1481828912,84,88
1481829874,2,2
1481830571,1,0
1481831313,1,0
1481832082,1,3
1481832747,1,2
1481833447,81,2
1481834193,71,153
1481834904,5,0
1481835688,150,0
1481836343,59,3
1481837058,83,0
1481837770,16,3
1481838503,0,7
1481839274,0,1
1481839962,0,1
1481840668,0,1
1481841376,0,3
1481842110,0,3
1481843557,0,3
1481844250,0,4
1481844986,0,1
1481846488,67,74
1481847401,72,2
1481848094,6,2
1481848830,0,1
1481849537,0,2
1481850292,0,3
1481850971,31,2
1481851706,41,0
1481852419,5,0
1481853154,65,3
1481853860,4,1
1481854577,22,4
1481855306,2,3
1481856034,70,4
1481856749,17,2
1481857458,47,2
1481858182,28,4
1481858895,1,11
1481859634,59,3
1481860341,54,1
1481862757,48,15
1481863458,0,3
1481864185,0,5
1481864897,0,5
1481865630,0,2
1481866380,0,5
1481867771,0,2
1481868510,0,2
1481869224,0,4
1481869953,0,1
1481870645,0,2
1481871396,0,4
1481872129,0,5
1481872812,0,1
1481873546,0,2
1481874248,0,1
1481875706,0,5
1481876419,0,3
1481877863,0,5
1481878574,0,2
1481879305,0,1
1481880014,0,1
1481880766,0,1
1481881447,0,3
1481882188,0,1
1481882913,0,3
1481884344,0,1
1481885061,0,2
1481885772,0,2
1481886528,0,6
1481887229,0,3
1481887940,0,650
1481893703,0,1
1481896103,0,1
1481897537,0,1
1481901855,0,1
1481902590,0,1
1481904103,0,1
1481905463,0,1
1481908353,0,1
1481916247,0,1
1481917694,0,1
1481925388,0,1
1481928257,0,1
1481932336,0,1
1481936169,0,1
1481937873,88,83
1481938584,80,1
1481939317,2,0
1481940074,80,3
1481940754,2,6
1481941451,1,0
1481942190,3,0
1481942897,0,3
1481943677,0,4
1481944348,2,2
1481945062,2,2
1481945776,10,191
1481951332,2,0
1481954169,1,0
1481954899,2,0
1481955632,1,0
1481956359,2,1
1481959234,2,0
1481965702,1,0
1481966432,1,0
1481967862,1,0
1481969306,1,0
1481970739,1,0
1481972935,2,0
1481976780,1,1
1481978905,1,0
1481980352,1,1
1481981053,1,0
1481983973,0,1
1481984919,2,0
1481987334,1,0
1481989445,1,0
1481991419,34,86
1481992089,55,0
1481992827,3,1
1481993538,1,0
1481994273,99,0
1481994971,9,2
1481995709,10,1
1481996415,50,1
1481997161,9,1
1481998120,63,2
1481998816,2,1
1481999559,5,2
1482000275,37,1
1482000974,1,3
1482001710,17,2
1482002417,34,2
1482003156,0,1
1482003848,0,1
1482004580,0,3
1482005301,0,1
1482006038,0,3
1482006745,0,3
1482007460,0,3
1482008175,0,1
1482008933,0,1
1482011055,0,3
1482011787,0,1
1482012499,2,3
1482013220,0,2
1482013938,0,1
1482014662,0,1
1482015381,0,1
1482016110,2,1
1482017555,1,4
1482018977,1,1
1482019720,0,3
1482020426,0,2
1482021857,0,1
1482023344,0,2
1482025446,0,2
1482027621,2,0
1482028336,0,1
1482029078,0,2
1482029779,0,1
1482030527,0,2
1482031959,0,1
1482034177,0,1
1482037261,0,1
1482037948,1,2
1482038655,0,1
1482039386,0,1
1482040093,0,1
1482045137,0,1
1482045860,0,1
1482046580,0,1
1482048740,1,0
1482049464,0,1
1482051667,1,2
1482052360,0,1
1482053055,0,1
1482053791,0,1
1482056217,0,1
1482056898,0,1
1482057623,0,1
1482060501,0,1
1482062926,0,1
1482063882,66,97
1482064572,2,0
1482065312,82,0
1482066064,44,2
1482066751,62,2
1482067454,22,2
1482068189,37,3
1482068894,60,0
1482069679,0,1
1482070352,0,5
1482071813,0,1
1482072500,0,2
1482073286,0,3
1482073942,0,1
1482074660,0,2
1482075384,0,1
1482076094,0,4
1482076872,0,3
1482077841,0,3
1482078500,0,4
1482079222,0,3
1482079932,0,1
1482081377,0,1
1482082117,0,1
1482082822,0,5
1482083547,0,1
1482084527,0,1
1482085216,0,1
1482085952,0,2
1482086646,0,1
1482087380,0,1
1482088819,0,1
1482090253,0,3
1482091696,0,2
1482092436,0,1
1482093859,0,3
1482094577,0,5
1482095313,0,1
1482096010,0,1
1482097446,0,2
1482098194,0,1
1482099156,0,1
1482099847,0,1
1482100672,0,1
1482101295,63,256
1482102075,5,1
1482102997,69,2
1482103694,39,1
1482104430,9,2
1482105132,19,0
1482105867,37,2
1482107550,115,7
1482108280,4,4
1482109708,0,5
1482110667,0,3
1482112120,0,2
1482112867,0,2
1482113555,0,1
1482114256,0,2
1482114986,0,2
1482115692,0,3
1482116476,0,2
1482117137,0,1
1482120269,0,2
1482120972,0,1
1482122012,0,6
1482122650,0,2
1482123384,0,1
1482125083,0,2
1482126094,0,1
1482126738,0,2
1482127471,0,1
1482128177,0,1
1482128909,0,1
1482131057,0,1
1482133225,0,1
1482133935,0,1
1482134671,0,3
1482135396,0,2
1482136098,0,2
1482137560,0,1
1482138268,0,2
1482139236,0,1
1482140666,0,3
1482141410,0,1
1482143053,0,1
1482144497,0,1
1482145308,0,2
1482146671,0,3
1482147377,0,1
1482148106,0,1
1482148886,0,1
1482150248,0,2
1482151698,0,1
1482152485,0,6
1482153861,0,3
1482154582,0,1
1482156080,0,2
1482156774,0,1
1482158176,0,1
1482159404,0,2
1482160128,0,1
1482160814,0,2
1482162253,0,2
1482163727,0,2
1482164436,54,630
1482165199,105,82
1482165849,68,102
1482166586,143,71
1482167300,96,134
1482168282,68,102
1482168978,107,68
1482169707,3,0
1482170463,1,2
1482171145,234,0
1482171851,44,3
1482172583,122,2
1482173302,27,3
1482174099,63,6
1482174734,19,5
1482175463,7,3
1482176172,77,2
1482176904,74,5
1482177682,9,6
1482178361,20,6
1482179047,18,5
1482179875,0,3
1482180500,0,2
1482181286,0,2
1482182660,0,8
1482184114,0,3
1482184877,0,2
1482185922,0,7
1482186748,0,3
1482188195,0,4
1482188903,0,1
1482189620,0,4
1482190341,0,2
1482191058,0,2
1482191775,0,2
1482192519,0,4
1482193210,0,1
1482194651,0,2
1482195393,0,1
1482196103,0,1
1482197073,0,2
1482197778,0,3
1482199273,0,2
1482199948,0,1
1482200650,0,1
1482202886,0,1
1482203530,0,3
1482204257,0,2
1482204979,0,2
1482205716,0,4
1482206471,0,1
1482207148,0,4
1482209547,0,2
1482211473,0,1
