DateTime,Entries,UniqueIPs
1481477784,158,158
1481478513,161,161
1481479280,158,158
1481479952,161,161
1481481390,158,158
1481483330,161,161
1481484035,158,158
1481485467,161,161
1481486908,158,158
1481489805,161,161
1481490498,158,158
1481491943,161,161
1481493379,158,158
1481494130,161,161
1481495551,158,158
1481496989,161,161
1481497701,159,159
1481498425,162,162
1481500576,165,165
1481502752,164,164
1481503451,161,161
1481506107,163,163
1481508263,166,166
1481509712,166,166
1481518590,165,165
1481519302,167,167
1481527452,169,169
1481532512,168,168
1481536102,169,169
1481536888,170,170
1481538979,171,171
1481541861,173,173
1481543307,174,174
1481549386,175,175
1481552663,176,176
1481557948,179,179
1481562527,178,178
1481567059,179,179
1481568514,170,170
1481572580,173,173
1481580526,170,170
1481581943,170,170
1481582649,169,169
1481583387,170,170
1481584822,170,170
1481588421,172,172
1481589153,174,174
1481602107,175,175
1481603548,175,175
1481604258,176,176
1481608595,177,177
1481610037,178,178
1481612901,179,179
1481618663,179,179
1481619684,180,180
1481622040,181,181
1481622740,182,182
1481629452,181,181
1481635210,182,182
1481636650,184,184
1481640972,183,183
1481644579,184,184
1481646979,171,171
1481652085,171,171
1481652755,171,171
1481657771,172,172
1481658512,171,171
1481659953,172,172
1481660923,171,171
1481661611,172,172
1481663338,171,171
1481664271,172,172
1481665719,173,173
1481666483,172,172
1481667209,172,172
1481670754,172,172
1481671450,171,171
1481672189,172,172
1481672904,171,171
1481673913,174,174
1481674572,173,173
1481675312,174,174
1481676008,175,175
1481677752,176,176
1481678411,175,175
1481682035,175,175
1481682743,176,176
1481684907,175,175
1481690660,176,176
1481691375,175,175
1481692125,176,176
1481692811,175,175
1481693562,177,177
1481694250,178,178
1481695704,177,177
1481696443,178,178
1481697864,177,177
1481699320,178,178
1481700270,179,179
1481703155,180,180
1481705304,183,183
1481706087,186,186
1481708428,171,171
1481709138,187,187
1481710578,173,173
1481712009,187,187
1481716340,174,174
1481717072,188,188
1481718512,190,190
1481721615,688,688
1481722376,687,687
1481723052,686,686
1481725233,685,685
1481727375,683,683
1481728145,190,190
1481729374,186,186
1481730022,190,190
1481730751,216,216
1481731466,362,362
1481732173,381,381
1481733613,482,482
1481734346,519,519
1481735050,624,624
1481735811,685,685
1481736497,722,722
1481737223,177,177
1481738671,178,178
1481740826,174,174
1481741539,175,175
1481742526,175,175
1481743974,176,176
1481748263,175,175
1481756186,175,175
1481757633,176,176
1481758344,176,176
1481760505,178,178
1481761229,177,177
1481762661,176,176
1481763370,173,173
1481765549,175,175
1481767725,174,174
1481768414,176,176
1481769151,177,177
1481774472,178,178
1481778077,179,179
1481780891,184,184
1481793396,185,185
1481794380,185,185
1481798897,930,930
1481799676,929,929
1481800600,926,926
1481802055,925,925
1481802740,924,924
1481803468,922,922
1481805139,918,918
1481805873,917,917
1481806571,915,915
1481807324,914,914
1481808263,913,913
1481809732,912,912
1481810476,910,910
1481812596,906,906
1481813298,904,904
1481814072,902,902
1481814746,901,901
1481816896,898,898
1481817724,897,897
1481820021,896,896
1481822443,892,892
1481823149,190,190
1481828912,186,186
1481829874,186,186
1481830571,187,187
1481831313,188,188
1481832082,186,186
1481832747,185,185
1481833447,264,264
1481834193,182,182
1481834904,187,187
1481835688,337,337
1481836343,393,393
1481837058,476,476
1481837770,489,489
1481838503,482,482
1481839274,481,481
1481839962,480,480
1481840668,479,479
1481841376,476,476
1481842110,473,473
1481843557,470,470
1481844250,466,466
1481844986,465,465
1481846488,458,458
1481847401,528,528
1481848094,532,532
1481848830,531,531
1481849537,529,529
1481850292,526,526
1481850971,555,555
1481851706,596,596
1481852419,601,601
1481853154,663,663
1481853860,666,666
1481854577,684,684
1481855306,683,683
1481856034,749,749
1481856749,764,764
1481857458,809,809
1481858182,833,833
1481858895,823,823
1481859634,879,879
1481860341,932,932
1481862757,965,965
1481863458,962,962
1481864185,957,957
1481864897,952,952
1481865630,950,950
1481866380,945,945
1481867771,943,943
1481868510,941,941
1481869224,937,937
1481869953,936,936
1481870645,934,934
1481871396,930,930
1481872129,925,925
1481872812,924,924
