DateTime,Entries,UniqueIPs
1481810479,19462,19535
1481811151,19461,19534
1481811852,19459,19532
1481812598,19460,19533
1481813301,19460,19533
1481814074,19461,19534
1481814749,19457,19530
1481815760,19458,19531
1481816419,19454,19527
1481817151,19449,19522
1481818123,19448,19521
1481819066,19451,19524
1481819779,19451,19524
1481820535,19448,19521
1481821272,19445,19518
1481821954,19446,19519
1481822652,19454,19527
1481823388,19452,19525
1481824097,19451,19524
1481824879,19448,19521
1481825540,19446,19519
1481826264,19448,19521
1481826981,19449,19522
1481827709,19445,19518
1481828479,19447,19520
1481829172,19446,19519
1481829877,19449,19522
1481830573,19452,19525
1481831315,19445,19518
1481832084,19448,19521
1481832749,19439,19512
1481833450,19443,19516
1481834196,19428,19501
1481834907,19431,19504
1481835691,19423,19496
1481836346,19426,19499
1481837061,19422,19495
1481837773,19425,19498
1481838506,19419,19492
1481839277,19420,19493
1481839965,19410,19483
1481840671,19403,19476
1481841378,19410,19483
1481842112,19412,19485
1481842873,19415,19488
1481843559,19410,19483
1481844252,19412,19485
1481844989,19416,19489
1481845702,19415,19488
1481846490,19415,19488
1481848097,19413,19485
1481848833,19412,19484
1481849540,19410,19482
1481850295,19408,19480
1481850974,19413,19485
1481851708,19415,19487
1481852422,19415,19487
1481853156,19408,19480
1481853862,19411,19483
1481854580,19408,19480
1481855309,19406,19478
1481856036,19405,19477
1481856752,19401,19473
1481857461,19400,19472
1481858185,19400,19472
1481858897,19402,19474
1481859637,19397,19469
1481860343,19399,19471
1481861320,19401,19473
1481862022,19403,19475
1481862760,19403,19475
1481863460,19403,19475
1481864187,19404,19476
1481864900,19406,19478
1481865633,19406,19478
1481866383,19407,19479
1481867059,19409,19481
1481867773,19407,19479
1481868513,19405,19477
1481869227,19408,19480
1481869955,19407,19479
1481870648,19406,19478
1481871398,19407,19479
1481872131,19411,19483
1481872814,19408,19480
1481873549,19408,19480
1481874250,19409,19481
1481874993,19411,19483
1481875709,19411,19483
1481876422,19411,19483
1481877153,19408,19480
1481877865,19409,19481
1481878577,19408,19480
1481879307,19406,19478
1481880017,19405,19477
1481880769,19409,19481
1481881450,19407,19479
1481882190,19406,19478
1481882916,19409,19481
