DateTime,AddedIPs,RemovedIPs
1481610612,7,17
1481611517,12,7
1481612396,9,9
1481613250,8,2
1481614222,9,24
1481615077,19,0
1481616210,15,22
1481617574,25,0
1481618534,11,23
1481620452,37,17
1481621290,12,0
1481622969,35,28
1481623962,13,18
1481624967,16,26
1481625735,14,7
1481626573,22,1
1481627417,15,16
1481628493,17,2
1481629508,15,20
1481631311,18,25
1481632129,12,0
1481632933,11,153
1481634276,21,15
1481635218,13,0
1481636535,27,19
1481638454,26,13
1481639417,22,19
1481640132,16,3
1481641514,30,18
1481642888,33,0
1481643749,19,22
1481645024,36,12
1481646015,12,1
1481646902,17,28
1481648716,37,39
1481649623,22,0
1481650092,9,0
1481650935,21,31
1481652850,53,16
1481653816,27,17
1481654648,19,5
1481655369,10,1
1481656214,14,14
1481657416,14,26
1481658318,8,7
1481660415,31,17
1481660892,6,0
1481662514,17,9
1481663711,11,7
1481664611,14,7
1481665330,25,0
1481667609,22,9
1481668515,25,9
1481668933,3,1
1481669817,5,0
1481670723,8,3
1481671814,6,6
1481672714,7,2
1481674812,7,1
1481676133,6,4
1481676972,7,0
1481677243,2,2
1481678115,2,0
1481679194,3,5
1481680431,8,1
1481681586,9,3
1481682576,7,5
1481683516,6,2
1481684171,3,1
1481685009,6,7
1481685871,1,0
1481686926,2,6
1481689081,13,7
1481689890,2,9
1481690713,6,1
1481691913,9,13
1481692812,6,1
1481694016,12,8
1481694130,1,0
1481696414,33,14
1481697309,9,10
1481698288,15,0
1481699119,19,17
1481699651,4,1
1481700613,13,11
1481701335,11,4
1481703249,31,11
1481704215,13,17
1481705059,9,4
1481706917,31,11
1481707812,23,21
1481708536,20,1
1481709374,22,1
1481710212,35,22
1481711409,52,19
1481712640,26,7
1481715016,60,85
1481715912,11,13
1481716852,26,21
1481717714,22,0
1481718613,23,28
1481719516,20,5
1481720771,43,12
1481721613,20,1
1481722357,15,30
1481722937,12,14
1481723772,19,1
1481724613,23,23
1481725692,34,1
1481726508,28,35
1481727461,18,1
1481728516,25,21
1481729418,19,28
1481730311,22,10
1481732411,64,33
1481733735,32,40
1481735001,49,29
1481736013,20,0
1481736909,18,23
1481737707,22,7
1481739249,52,12
1481740065,21,0
1481741773,32,20
1481742854,28,21
1481743816,20,17
1481744720,22,3
1481746813,26,11
1481747868,14,11
1481748969,33,3
1481749812,23,16
1481751736,33,10
1481753124,18,6
1481754012,14,1
1481754494,14,1
1481755528,16,15
1481757613,25,7
1481758576,27,6
1481758939,58,2
1481759788,20,0
1481760612,2,1
1481762631,18,9
1481763369,9,1
1481764214,12,5
1481764453,6,0
1481765414,15,2
1481766317,10,2
1481767519,17,2
1481768412,10,1
1481769311,11,4
1481770569,17,2
1481771974,17,8
1481773215,20,12
1481774112,10,1
1481775013,16,6
1481776212,8,6
1481777115,11,5
1481779210,31,6
1481780118,14,6
1481780545,4,4
1481782451,26,12
1481783409,10,12
1481784323,11,12
1481785313,17,10
1481786115,16,0
1481787017,15,27
1481787744,11,9
1481788569,15,0
1481789371,14,21
1481790489,15,1
1481791518,8,58
1481793617,35,48
1481794486,18,20
1481799912,91,91
1481800817,11,1
1481801717,17,24
1481803239,26,24
1481804116,16,1
1481804985,14,24
1481805734,16,16
1481806569,14,1
1481807715,15,24
1481808614,18,38
1481809525,14,18
1481810423,17,26
1481811312,25,0
1481812217,20,40
1481814728,51,51
1481815817,23,42
1481816717,18,11
1481817369,15,0
1481818213,22,25
1481819413,29,41
1481820320,30,16
1481821423,28,24
1481822055,13,0
1481823014,18,49
1481823919,24,11
1481824919,28,24
1481826024,29,0
1481826909,17,30
1481827809,20,8
1481828170,14,1
1481829016,23,15
1481830213,25,30
1481831125,13,8
1481832219,17,11
1481833117,13,2
1481834410,20,35
1481835313,13,2
1481836212,13,10
1481837076,11,0
1481838014,13,34
1481838970,9,0
1481839813,7,6
1481841013,9,9
1481842394,11,4
1481843486,8,4
1481844611,10,7
1481845526,10,0
1481846170,8,0
1481847251,11,12
1481848214,9,4
1481849119,10,4
1481849768,7,1
1481850615,9,4
1481852624,18,17
1481853518,10,1
1481854512,11,1
1481856024,23,9
1481857809,18,8
1481859619,19,11
1481860655,5,0
1481861712,10,6
1481862586,9,8
1481863344,5,1
1481865314,26,17
1481866214,10,26
1481867126,8,5
1481868158,13,28
1481869216,16,0
1481870110,13,10
1481870546,9,1
1481871921,9,15
1481872717,13,1
1481873663,21,96
1481874149,7,6
1481876420,42,19
1481877615,18,41
1481879657,30,28
1481880518,22,0
1481882173,26,70
1481883014,11,45
1481884215,15,36
1481885121,6,12
1481885769,11,0
1481886616,4,24
1481886849,6,0
1481887814,9,36
1481888725,13,0
1481889369,6,2
1481890217,16,51
1481891417,16,37
1481892687,20,3
1481893814,15,44
1481895013,20,43
1481895827,16,21
1481897651,42,32
1481898615,16,45
1481899777,18,14
1481901249,21,35
1481902293,16,52
1481904687,26,59
1481905949,32,32
1481908634,45,71
1481909487,7,43
1481910667,18,12
1481912059,16,20
1481912963,23,39
1481914509,43,21
1481915901,17,17
1481918191,19,32
1481919229,11,45
1481920167,15,28
1481921349,9,13
1481922622,22,12
1481922849,2,0
1481923835,7,34
1481925090,16,10
1481927915,27,37
1481928829,10,45
1481931034,13,65
1481933388,28,18
1481934650,50,25
1481936392,16,26
1481937319,3,0
1481938364,11,20
1481939710,13,12
1481940628,4,11
1481943366,29,32
1481944289,9,16
1481945721,9,20
1481946665,7,9
1481947819,17,19
1481949048,14,25
1481950186,14,8
1481951435,16,21
1481952684,14,17
1481954169,16,13
1481955264,19,20
1481956282,11,26
1481957717,17,7
1481958666,6,22
1481961284,50,26
1481963505,26,46
1481966420,39,35
1481967392,16,32
1481968301,10,11
1481969718,18,21
1481970701,7,24
1481972117,20,14
1481973311,16,21
1481975265,16,37
1481975787,9,1
1481976784,10,21
1481977800,7,29
1481981883,60,73
1481983062,33,14
1481984119,22,22
1481985105,14,31
1481987799,80,47
1481988915,37,37
1481990007,27,16
1481992217,72,89
1481993771,36,26
1481994677,8,39
1481994890,7,6
1481995997,21,46
1481998519,47,65
1481999500,20,52
1482001109,30,34
1482003192,27,47
1482004260,18,27
1482005508,73,35
1482006819,20,25
1482008168,27,29
1482010784,30,37
1482011769,14,1
1482013023,8,24
1482014041,13,25
1482015309,13,11
1482016546,9,18
1482017673,8,16
1482019178,11,16
1482020019,6,4
1482021373,9,23
1482022513,5,8
1482023603,7,12
1482024639,11,20
1482025920,7,13
1482027088,6,10
1482028687,17,15
1482029772,19,14
1482030849,27,10
1482032419,18,22
1482034513,19,17
1482035542,15,25
1482036706,7,7
1482038013,18,19
1482038832,8,2
1482039631,10,36
1482040480,8,4
1482041613,18,16
1482043227,27,40
1482044170,19,5
1482045638,14,34
1482046770,23,50
1482047716,13,6
1482048933,21,20
1482050207,20,58
1482051374,21,24
1482052436,23,26
1482054281,39,45
1482056075,36,33
1482057621,27,44
1482058551,20,6
1482059594,21,32
1482061178,37,55
1482062100,21,11
1482063321,31,37
1482064822,22,53
1482065773,24,16
1482066822,23,38
1482067898,21,34
1482068715,18,18
1482069369,13,11
1482070467,27,39
1482071755,37,48
1482074058,52,37
1482075327,35,44
