DateTime,Entries,UniqueIPs
1481591715,10556,10556
1481592909,10553,10553
1481593813,10554,10554
1481594169,10556,10556
1481595011,10557,10557
1481595249,10558,10558
1481596213,10557,10557
1481597070,10555,10555
1481598313,10551,10551
1481599217,10554,10554
1481600533,10546,10546
1481601343,10550,10550
1481602214,10550,10550
1481602453,10551,10551
1481603411,10553,10553
1481604134,10555,10555
1481605511,10560,10560
1481606417,10567,10567
1481607569,10563,10563
1481608515,10571,10571
1481609413,10560,10560
1481610612,10550,10550
1481611517,10555,10555
1481612396,10555,10555
1481613250,10561,10561
1481614222,10546,10546
1481615077,10565,10565
1481616210,10558,10558
1481617574,10583,10583
1481618534,10571,10571
1481620452,10591,10591
1481621290,10603,10603
1481622969,10610,10610
1481623962,10605,10605
1481624967,10595,10595
1481625735,10602,10602
1481626573,10623,10623
1481627417,10622,10622
1481628493,10637,10637
1481629508,10632,10632
1481631311,10625,10625
1481632129,10637,10637
1481632933,10495,10495
1481634276,10501,10501
1481635218,10514,10514
1481636535,10522,10522
1481638454,10535,10535
1481639417,10538,10538
1481640132,10551,10551
1481641514,10563,10563
1481642888,10596,10596
1481643749,10593,10593
1481645024,10617,10617
1481646015,10628,10628
1481646902,10617,10617
1481648716,10615,10615
1481649623,10637,10637
1481650092,10646,10646
1481650935,10636,10636
1481652850,10673,10673
1481653816,10683,10683
1481654648,10697,10697
1481655369,10706,10706
1481656214,10706,10706
1481657416,10694,10694
1481658318,10695,10695
1481660415,10709,10709
1481660892,10715,10715
1481662514,10723,10723
1481663711,10727,10727
1481664611,10734,10734
1481665330,10759,10759
1481667609,10772,10772
1481668515,10788,10788
1481668933,10790,10790
1481669817,10795,10795
1481670723,10800,10800
1481671814,10800,10800
1481672714,10805,10805
1481674812,10811,10811
1481676133,10813,10813
1481676972,10820,10820
1481677243,10820,10820
1481678115,10822,10822
1481679194,10820,10820
1481680431,10827,10827
1481681586,10833,10833
1481682576,10835,10835
1481683516,10839,10839
1481684171,10841,10841
1481685009,10840,10840
1481685871,10841,10841
1481686926,10837,10837
1481689081,10843,10843
1481689890,10836,10836
1481690713,10841,10841
1481691913,10837,10837
1481692812,10842,10842
1481694016,10846,10846
1481694130,10847,10847
1481696414,10866,10866
1481697309,10865,10865
1481698288,10880,10880
1481699119,10882,10882
1481699651,10885,10885
1481700613,10887,10887
1481701335,10894,10894
1481703249,10914,10914
1481704215,10910,10910
1481705059,10915,10915
1481706917,10935,10935
1481707812,10937,10937
1481708536,10956,10956
1481709374,10977,10977
1481710212,10990,10990
1481711409,11023,11023
1481712640,11042,11042
1481715016,11017,11017
1481715912,11015,11015
1481716852,11020,11020
1481717714,11042,11042
1481718613,11037,11037
1481719516,11052,11052
1481720771,11083,11083
1481721613,11102,11102
1481722357,11087,11087
1481722937,11085,11085
1481723772,11103,11103
1481724613,11103,11103
1481725692,11136,11136
1481726508,11129,11129
1481727461,11146,11146
1481728516,11150,11150
1481729418,11141,11141
1481730311,11153,11153
1481732411,11184,11184
1481733735,11176,11176
1481735001,11196,11196
1481736013,11216,11216
1481736909,11211,11211
1481737707,11226,11226
1481739249,11266,11266
1481740065,11287,11287
1481741773,11299,11299
1481742854,11306,11306
1481743816,11309,11309
1481744720,11328,11328
1481746813,11343,11343
1481747868,11346,11346
1481748969,11376,11376
1481749812,11383,11383
1481751736,11406,11406
1481753124,11418,11418
1481754012,11431,11431
1481754494,11444,11444
1481755528,11445,11445
1481757613,11463,11463
1481758576,11484,11484
1481758939,11540,11540
1481759788,11560,11560
1481760612,11561,11561
1481762631,11570,11570
1481763369,11578,11578
1481764214,11585,11585
1481764453,11591,11591
1481765414,11604,11604
1481766317,11612,11612
1481767519,11627,11627
1481768412,11636,11636
1481769311,11643,11643
1481770569,11658,11658
1481771974,11667,11667
1481773215,11675,11675
1481774112,11684,11684
1481775013,11694,11694
1481776212,11696,11696
1481777115,11702,11702
1481779210,11727,11727
1481780118,11735,11735
1481780545,11735,11735
1481782451,11749,11749
1481783409,11747,11747
1481784323,11746,11746
1481785313,11753,11753
1481786115,11769,11769
1481787017,11757,11757
1481787744,11759,11759
1481788569,11774,11774
1481789371,11767,11767
1481790489,11781,11781
1481791518,11731,11731
1481793617,11718,11718
1481794486,11716,11716
1481799912,11716,11716
1481800817,11726,11726
1481801717,11719,11719
1481803239,11721,11721
1481804116,11736,11736
1481804985,11726,11726
1481805734,11726,11726
1481806569,11739,11739
1481807715,11730,11730
1481808614,11710,11710
1481809525,11706,11706
1481810423,11697,11697
1481811312,11722,11722
1481812217,11702,11702
1481814728,11702,11702
1481815817,11683,11683
1481816717,11690,11690
1481817369,11705,11705
1481818213,11702,11702
1481819413,11690,11690
1481820320,11704,11704
1481821423,11708,11708
1481822055,11721,11721
1481823014,11690,11690
1481823919,11703,11703
1481824919,11707,11707
1481826024,11736,11736
1481826909,11723,11723
1481827809,11735,11735
1481828170,11748,11748
1481829016,11756,11756
1481830213,11751,11751
1481831125,11756,11756
1481832219,11762,11762
1481833117,11773,11773
1481834410,11758,11758
1481835313,11769,11769
1481836212,11772,11772
1481837076,11783,11783
1481838014,11762,11762
1481838970,11771,11771
1481839813,11772,11772
1481841013,11772,11772
1481842394,11779,11779
1481843486,11783,11783
1481844611,11786,11786
1481845526,11796,11796
1481846170,11804,11804
1481847251,11803,11803
1481848214,11808,11808
1481849119,11814,11814
1481849768,11820,11820
1481850615,11825,11825
1481852624,11826,11826
1481853518,11835,11835
1481854512,11845,11845
1481856024,11859,11859
1481857809,11869,11869
1481859619,11877,11877
1481860655,11882,11882
1481861712,11886,11886
1481862586,11887,11887
1481863344,11891,11891
1481865314,11900,11900
1481866214,11884,11884
1481867126,11887,11887
1481868158,11872,11872
1481869216,11888,11888
1481870110,11891,11891
1481870546,11899,11899
1481871921,11893,11893
1481872717,11905,11905
1481873663,11830,11830
1481874149,11831,11831
1481876420,11854,11854
1481877615,11831,11831
1481879657,11833,11833
1481880518,11855,11855
1481882173,11811,11811
1481883014,11777,11777
1481884215,11756,11756
1481885121,11750,11750
1481885769,11761,11761
1481886616,11741,11741
1481886849,11747,11747
1481887814,11720,11720
1481888725,11733,11733
1481889369,11737,11737
1481890217,11702,11702
1481891417,11681,11681
1481892687,11698,11698
1481893814,11669,11669
1481895013,11646,11646
1481895827,11641,11641
1481897651,11651,11651
1481898615,11622,11622
1481899777,11626,11626
1481901249,11612,11612
1481902293,11576,11576
1481904687,11543,11543
1481905949,11543,11543
1481908634,11517,11517
1481909487,11481,11481
1481910667,11487,11487
1481912059,11483,11483
1481912963,11467,11467
1481914509,11489,11489
1481915901,11489,11489
1481918191,11476,11476
1481919229,11442,11442
1481920167,11429,11429
1481921349,11425,11425
1481922622,11435,11435
1481922849,11437,11437
1481923835,11410,11410
1481925090,11416,11416
1481927915,11406,11406
1481928829,11371,11371
1481931034,11319,11319
1481933388,11329,11329
1481934650,11354,11354
1481936392,11344,11344
1481937319,11347,11347
1481938364,11338,11338
1481939710,11339,11339
1481940628,11332,11332
1481943366,11329,11329
1481944289,11322,11322
1481945721,11311,11311
1481946665,11309,11309
1481947819,11307,11307
1481949048,11296,11296
1481950186,11302,11302
1481951435,11297,11297
1481952684,11294,11294
1481954169,11297,11297
1481955264,11296,11296
1481956282,11281,11281
1481957717,11291,11291
1481958666,11275,11275
1481961284,11299,11299
1481963505,11279,11279
1481966420,11283,11283
1481967392,11267,11267
1481968301,11266,11266
1481969718,11263,11263
1481970701,11246,11246
1481972117,11252,11252
1481973311,11247,11247
1481975265,11226,11226
1481975787,11234,11234
1481976784,11223,11223
1481977800,11201,11201
1481981883,11188,11188
1481983062,11207,11207
1481984119,11207,11207
1481985105,11190,11190
1481987799,11223,11223
1481988915,11223,11223
1481990007,11234,11234
1481992217,11217,11217
1481993771,11227,11227
1481994677,11196,11196
1481994890,11197,11197
1481995997,11172,11172
1481998519,11154,11154
1481999500,11122,11122
1482001109,11118,11118
1482003192,11098,11098
1482004260,11089,11089
1482005508,11127,11127
1482006819,11122,11122
1482008168,11120,11120
1482010784,11113,11113
1482011769,11126,11126
1482013023,11110,11110
1482014041,11098,11098
1482015309,11100,11100
1482016546,11091,11091
1482017673,11083,11083
1482019178,11078,11078
1482020019,11080,11080
1482021373,11066,11066
1482022513,11063,11063
1482023603,11058,11058
1482024639,11049,11049
1482025920,11043,11043
1482027088,11039,11039
1482028687,11041,11041
1482029772,11046,11046
1482030849,11063,11063
1482032419,11059,11059
1482034513,11061,11061
1482035542,11051,11051
1482036706,11051,11051
1482038013,11050,11050
1482038832,11056,11056
1482039631,11030,11030
1482040480,11034,11034
1482041613,11036,11036
1482043227,11023,11023
1482044170,11037,11037
1482045638,11017,11017
1482046770,10990,10990
1482047716,10997,10997
1482048933,10998,10998
1482050207,10960,10960
1482051374,10957,10957
1482052436,10954,10954
1482054281,10948,10948
1482056075,10951,10951
1482057621,10934,10934
1482058551,10948,10948
1482059594,10937,10937
1482061178,10919,10919
1482062100,10929,10929
1482063321,10923,10923
1482064822,10892,10892
1482065773,10900,10900
1482066822,10885,10885
1482067898,10872,10872
1482068715,10872,10872
1482069369,10874,10874
1482070467,10862,10862
1482071755,10851,10851
1482074058,10866,10866
1482075327,10857,10857
1482076210,10856,10856
1482076570,10861,10861
1482077741,10864,10864
1482079331,10841,10841
1482080170,10844,10844
1482081498,10835,10835
1482082609,10842,10842
1482084929,10811,10811
1482086531,10808,10808
1482088578,10818,10818
1482089421,10797,10797
1482090914,10805,10805
1482092119,10824,10824
1482093630,10802,10802
1482094512,10811,10811
1482096016,10821,10821
1482097222,10816,10816
1482098071,10819,10819
1482099227,10825,10825
1482100406,10829,10829
1482102929,10810,10810
1482103693,10822,10822
1482106034,10739,10739
1482107709,10733,10733
1482111874,10717,10717
1482113115,10704,10704
1482114114,10715,10715
1482115509,10701,10701
1482116712,10700,10700
1482117609,10710,10710
1482118135,10714,10714
1482119111,10696,10696
1482121209,10693,10693
1482124525,10679,10679
1482125298,10689,10689
1482128276,10674,10674
1482132823,10700,10700
1482133811,10693,10693
1482137176,10694,10694
1482137988,10688,10688
1482138866,10699,10699
1482139700,10708,10708
