DateTime,AddedIPs,RemovedIPs
1481603415,6,8
1481604139,3,6
1481605513,7,8
1481606424,7,0
1481607571,4,18
1481608517,4,1
1481609416,4,9
1481610617,13,17
1481611519,5,1
1481612398,2,4
1481613253,8,1
1481614228,4,8
1481615079,6,0
1481616212,8,11
1481617577,13,0
1481618540,6,15
1481620455,13,4
1481621292,10,0
1481622972,9,14
1481623964,9,5
1481624970,9,10
1481625742,7,5
1481626575,5,0
1481627419,8,9
1481628496,10,0
1481629513,10,13
1481631314,10,8
1481632131,8,0
1481632939,3,15
1481634278,17,8
1481635223,5,0
1481636538,11,15
1481638456,12,8
1481639419,4,10
1481640140,4,2
1481641516,13,7
1481642891,10,1
1481643757,6,24
1481645027,9,7
1481646022,5,0
1481646904,8,14
1481648718,16,6
1481649634,6,0
1481650097,1,0
1481650941,14,23
1481652852,15,7
1481653818,8,13
1481654650,10,5
1481655371,4,0
1481656216,3,13
1481657419,12,9
1481658321,5,3
1481660422,13,10
1481660895,3,0
1481662516,14,21
1481663715,9,7
1481664616,7,13
1481665339,7,15
1481667616,26,11
1481668517,3,19
1481668939,5,2
1481669819,5,0
1481670732,2,13
1481671818,9,10
1481672716,2,5
1481674819,12,6
1481676142,7,14
1481676974,12,0
1481677257,1,4
1481678120,18,0
1481679197,8,7
1481680433,4,2
1481681589,6,10
1481682579,5,7
1481683519,6,0
1481684173,4,0
1481685014,7,4
1481685873,3,0
1481686930,4,12
1481689084,20,9
1481689892,4,4
1481690715,4,0
1481691920,1,12
1481692821,3,0
1481694022,11,16
1481694141,3,0
1481696419,13,6
1481697312,5,10
1481698290,11,0
1481699127,2,15
1481699653,4,0
1481700618,7,13
1481701347,3,2
1481703251,15,10
1481704220,3,13
1481705062,3,2
1481706919,17,4
1481707814,7,10
1481708547,4,1
1481709376,7,0
1481710214,7,12
1481711413,16,15
1481712642,7,0
1481715021,13,19
1481715915,4,4
1481716863,8,9
1481717717,2,1
1481718615,6,5
1481719519,6,5
1481720774,6,8
1481721620,3,0
1481722360,4,10
1481722946,6,2
1481723774,7,0
1481724616,4,10
1481725695,5,2
1481726519,11,11
1481727463,7,0
1481728520,7,8
1481729420,5,4
1481730316,8,4
1481732421,12,8
1481733746,11,10
1481735013,13,14
1481736024,5,1
1481736912,5,17
1481737709,4,2
1481739252,9,13
1481740067,6,1
1481741775,10,14
1481742857,8,13
1481743818,9,14
1481744732,3,3
1481746825,14,6
1481747870,7,13
1481748971,5,1
1481749814,4,17
1481751749,6,21
1481753134,3,7
1481754026,3,1
1481754497,3,0
1481755539,7,16
1481757624,8,11
1481758578,4,9
1481758950,8,3
1481759790,1,0
1481760614,4,9
1481762641,8,13
1481763371,4,0
1481764217,1,8
1481764457,1,0
1481765418,4,10
1481766330,4,2
1481767534,12,7
1481768422,3,0
1481769315,1,9
1481770571,8,4
1481771976,7,6
1481773230,7,18
1481774114,3,0
1481775015,9,5
1481776214,6,11
1481777123,3,2
1481779225,6,3
1481780120,6,13
1481780560,1,2
1481782453,13,9
1481783414,2,14
1481784333,4,5
1481785326,3,7
1481786117,4,0
1481787020,6,15
1481787759,0,4
1481788572,3,0
1481789374,7,6
1481790491,5,0
1481791531,4,14
1481793633,8,11
1481794489,3,10
1481799926,29,44
1481800832,5,0
1481801720,6,15
1481803253,8,11
1481804118,3,0
1481804988,4,9
1481805748,8,9
1481806571,4,0
1481807717,6,10
1481808616,7,9
1481809542,6,5
1481810437,7,5
1481811316,5,1
1481812219,9,14
1481814736,15,12
1481815820,9,11
1481816733,6,7
1481817371,4,1
1481818215,5,10
1481819416,7,14
1481820334,3,8
1481821436,5,16
1481822058,6,0
1481823017,2,14
1481823929,2,5
1481824933,3,11
1481826911,21,16
1481827811,9,1
1481828172,2,0
1481829019,5,5
1481830217,11,12
1481831143,12,9
1481832233,9,9
1481833119,4,0
1481834427,7,17
1481835315,6,0
1481836214,9,11
1481837095,7,1
1481838024,5,26
1481838973,9,0
1481839815,6,8
1481841017,10,13
1481842396,9,3
1481843488,7,6
1481844617,6,16
1481845541,12,5
1481846173,2,0
1481847253,13,15
1481848218,8,27
1481849132,7,3
1481849771,5,1
1481850619,5,4
1481852640,18,14
1481853521,3,7
1481854515,7,0
1481856040,10,9
1481857811,14,12
1481859635,10,12
1481860657,8,0
1481861715,9,1
1481862588,2,3
1481863360,1,0
1481865317,9,19
1481866217,6,13
1481867148,10,4
1481868178,8,11
1481869233,13,1
1481870113,4,14
1481870561,4,0
1481871940,6,13
1481872810,5,1
1481873666,4,8
1481874169,2,2
1481876439,19,12
1481877630,4,22
1481879660,9,9
1481880539,9,0
1481882176,15,18
1481883019,5,12
1481884218,11,17
1481885144,9,4
1481885771,3,0
1481886619,5,11
1481886852,4,0
1481887818,4,10
1481888748,10,0
1481889372,7,0
1481890219,4,10
1481891419,12,7
1481892689,9,0
1481893816,11,17
1481895016,4,9
1481895853,6,8
1481897653,8,9
1481898617,4,7
1481899779,13,3
1481901252,6,9
1481902298,8,10
1481904690,17,15
1481905951,6,10
1481908636,19,11
1481909489,4,15
1481910669,8,7
1481912061,3,7
1481912965,9,13
1481914511,13,2
1481915903,7,8
1481918198,15,18
1481919231,11,9
1481920169,5,9
1481921351,5,5
1481922625,7,8
1481923845,3,4
1481925092,9,8
1481927917,85,12
1481928831,11,3
1481931041,19,15
1481933390,12,6
1481934657,12,11
1481936394,14,13
1481937322,5,1
1481938366,9,2
1481939713,8,2
1481940632,8,6
1481943368,17,12
1481944291,11,5
1481945723,6,9
1481946667,2,2
1481947821,1,8
1481949052,3,12
1481950188,6,3
1481951437,4,10
1481952687,5,6
1481954171,8,2
1481955267,13,8
1481956285,2,11
1481957719,17,5
1481958668,6,7
1481961286,10,10
1481963507,14,8
1481965519,15,9
1481966446,6,0
1481967395,4,11
1481968303,5,3
1481969721,6,8
1481970707,7,8
1481972119,8,2
1481973316,9,4
1481975287,8,12
1481975789,4,0
1481976791,6,10
1481977808,2,8
1481981885,22,19
1481983064,5,5
1481984121,6,4
1481985107,5,17
1481987801,11,15
1481988917,7,18
1481990009,5,3
1481992220,11,13
1481993773,9,2
1481994680,7,5
1481995999,7,13
1481998521,21,20
1481999502,5,17
1482001111,6,19
1482003194,15,8
1482004262,6,5
1482005510,11,8
1482006821,9,11
1482008171,10,6
1482010786,12,34
1482011772,8,0
1482013027,9,5
1482014043,8,13
1482015311,9,5
1482016549,12,9
1482017683,6,16
1482019180,9,14
1482020021,4,0
1482021376,6,12
1482022515,8,9
1482023605,11,4
1482024655,8,11
1482025924,2,3
1482027091,7,6
1482028693,12,9
1482029776,3,3
1482030851,5,10
1482032441,9,11
1482034517,9,10
1482035546,11,7
1482036708,5,3
1482038016,12,10
1482038859,5,0
1482040482,8,15
1482041615,12,8
1482044172,25,8
1482045672,12,4
1482046774,6,13
1482047718,4,0
1482048938,13,5
1482050209,10,13
1482051378,5,10
1482052439,2,10
1482054284,9,12
1482056077,14,9
1482057639,5,12
1482058554,5,1
1482059597,7,12
1482061180,11,20
1482062102,6,0
1482063323,7,9
1482064851,6,13
1482065777,9,0
1482066825,7,5
1482067927,4,9
1482068718,6,8
1482069372,4,0
1482070471,4,9
1482071757,6,13
1482074060,12,15
1482075329,3,9
1482076213,5,4
1482077743,1,8
1482079333,6,19
1482080172,5,0
1482081501,2,6
1482082611,3,9
