DateTime,Entries,UniqueIPs
1481593815,1398,1398
1481594171,1399,1399
1481595015,1392,1392
1481595251,1393,1393
1481596218,1385,1385
1481597073,1383,1383
1481598317,1374,1374
1481599223,1377,1377
1481600536,1363,1363
1481601345,1367,1367
1481602216,1367,1367
1481602455,1369,1369
1481603415,1367,1367
1481604139,1364,1364
1481605513,1363,1363
1481606424,1370,1370
1481607571,1356,1356
1481608517,1359,1359
1481609416,1354,1354
1481610617,1350,1350
1481611519,1354,1354
1481612398,1352,1352
1481613253,1359,1359
1481614228,1355,1355
1481615079,1361,1361
1481616212,1358,1358
1481617577,1371,1371
1481618540,1362,1362
1481620455,1371,1371
1481621292,1381,1381
1481622972,1376,1376
1481623964,1380,1380
1481624970,1379,1379
1481625742,1381,1381
1481626575,1386,1386
1481627419,1385,1385
1481628496,1395,1395
1481629513,1392,1392
1481631314,1394,1394
1481632131,1402,1402
1481632939,1390,1390
1481634278,1399,1399
1481635223,1404,1404
1481636538,1400,1400
1481638456,1404,1404
1481639419,1398,1398
1481640140,1400,1400
1481641516,1406,1406
1481642891,1415,1415
1481643757,1397,1397
1481645027,1399,1399
1481646022,1404,1404
1481646904,1398,1398
1481648718,1408,1408
1481649634,1414,1414
1481650097,1415,1415
1481650941,1406,1406
1481652852,1414,1414
1481653818,1409,1409
1481654650,1414,1414
1481655371,1418,1418
1481656216,1408,1408
1481657419,1411,1411
1481658321,1413,1413
1481660422,1416,1416
1481660895,1419,1419
1481662516,1412,1412
1481663715,1414,1414
1481664616,1408,1408
1481665339,1400,1400
1481667616,1415,1415
1481668517,1399,1399
1481668939,1402,1402
1481669819,1407,1407
1481670732,1396,1396
1481671818,1395,1395
1481672716,1392,1392
1481674819,1398,1398
1481676142,1391,1391
1481676974,1403,1403
1481677257,1400,1400
1481678120,1418,1418
1481679197,1419,1419
1481680433,1421,1421
1481681589,1417,1417
1481682579,1415,1415
1481683519,1421,1421
1481684173,1425,1425
1481685014,1428,1428
1481685873,1431,1431
1481686930,1423,1423
1481689084,1434,1434
1481689892,1434,1434
1481690715,1438,1438
1481691920,1427,1427
1481692821,1430,1430
1481694022,1425,1425
1481694141,1428,1428
1481696419,1435,1435
1481697312,1430,1430
1481698290,1441,1441
1481699127,1428,1428
1481699653,1432,1432
