DateTime,AddedIPs,RemovedIPs
1481587517,5,4
1481588423,0,1
1481588898,1,0
1481591722,7,8
1481592914,2,2
1481593817,1,0
1481594173,1,0
1481595017,4,3
1481596220,2,4
1481597075,0,1
1481598319,5,5
1481599228,1,1
1481600538,2,7
1481601348,2,1
1481602218,3,5
1481602457,1,0
1481603418,6,5
1481604141,4,2
1481605516,4,5
1481606428,5,0
1481607573,4,9
1481608519,8,1
1481609418,4,12
1481610620,6,11
1481611522,7,5
1481612400,6,8
1481613256,6,1
1481614232,4,17
1481615082,11,0
1481616215,10,20
1481617580,14,0
1481618543,4,22
1481620458,24,14
1481621295,5,0
1481622974,22,25
1481623967,8,17
1481624972,8,20
1481625745,9,7
1481626577,11,1
1481627422,8,14
1481628498,9,0
1481629516,13,19
1481631316,14,20
1481632133,9,0
1481632945,5,30
1481634280,16,13
1481635230,11,0
1481636429,16,16
1481636541,3,0
1481638459,22,13
1481639422,15,15
1481640148,10,0
1481641518,23,15
1481642893,21,0
1481643764,14,18
1481645029,25,9
1481646027,8,0
1481646907,14,23
1481648721,30,36
1481649638,19,0
1481650099,8,0
1481650948,14,26
1481652855,32,9
1481653820,16,15
1481654653,13,4
1481655374,7,1
1481656220,11,12
1481657422,10,19
1481658324,3,5
1481660430,19,13
1481660898,6,0
1481662519,9,7
1481663717,10,6
1481664618,4,6
1481665345,19,0
1481667623,13,7
1481668519,20,3
1481668946,1,0
1481669822,1,0
1481670734,5,3
1481671821,1,1
1481672718,4,2
1481674827,4,1
1481676148,1,4
1481676977,2,0
1481677265,1,2
1481679199,1,3
1481680436,2,1
1481681591,3,3
1481682581,4,4
1481683521,1,1
1481684175,2,0
1481685018,2,5
1481686936,1,6
1481689086,2,6
1481689896,0,7
1481690717,1,0
1481691922,3,8
1481692828,1,1
1481694031,3,3
1481694149,1,0
1481696428,6,10
1481697314,0,8
1481698293,9,0
1481699133,12,15
1481699656,1,0
1481700621,4,9
1481701358,1,4
1481703253,6,8
1481704222,3,16
1481705064,3,2
1481706922,10,8
1481707817,10,17
1481708556,11,1
1481709379,9,0
1481710217,30,19
1481711416,31,17
1481712645,14,6
1481715023,39,31
1481715918,6,11
1481716875,13,17
1481717721,8,0
1481718617,11,23
1481719521,6,5
1481720776,18,8
1481721623,13,0
1481722362,8,25
1481722955,7,12
1481723776,10,1
1481724618,13,23
1481725697,21,1
1481726531,20,32
1481727465,10,0
1481728523,16,18
1481729424,10,26
1481730318,11,10
1481732429,35,30
1481733757,23,38
1481735022,31,23
1481736915,19,19
1481737712,13,6
1481739254,27,9
1481740070,9,0
1481741778,11,16
1481742859,11,15
1481743821,4,12
1481744743,10,2
1481745938,6,7
1481746836,6,0
1481747873,6,8
1481748974,24,2
1481749817,14,14
1481751756,13,9
1481753145,6,3
1481754033,4,0
1481754499,8,1
1481755541,6,13
1481756740,9,5
1481757634,2,0
1481758581,18,0
1481758957,6,1
1481759793,5,0
1481760616,0,1
1481762648,3,9
1481763373,1,0
1481764219,6,4
1481764459,1,0
1481765421,2,1
1481766340,5,1
1481767545,3,2
1481768435,4,0
1481769318,0,2
1481770573,2,1
1481771979,4,6
1481773241,9,10
1481774117,1,0
1481775018,3,6
1481776216,3,5
1481777130,5,5
1481778288,6,6
1481779236,3,0
1481780122,3,6
1481780572,0,3
1481782456,12,9
1481783417,6,9
1481784342,6,5
1481785336,7,7
1481786413,9,0
1481787304,5,17
1481787769,6,5
1481788575,9,0
1481789379,8,14
1481790494,4,1
1481791540,5,10
1481793647,18,22
1481794492,7,13
1481799937,52,60
1481800845,6,1
1481801722,6,18
1481803260,14,16
1481804120,9,1
1481804990,7,19
1481805759,9,10
1481806573,9,1
1481807720,11,17
1481808619,12,27
1481809553,9,10
1481810453,11,22
1481811318,13,0
1481812222,11,26
1481814738,34,39
1481815822,13,36
1481816747,11,9
1481817373,11,0
1481818218,14,17
1481819418,21,32
1481820344,23,11
1481821447,16,13
1481822060,9,0
1481823019,13,30
1481823939,15,6
1481824945,18,18
1481826913,35,23
1481827814,13,4
1481828174,10,1
1481829022,16,8
1481830220,17,25
1481831153,7,6
1481832245,10,6
1481833121,8,2
1481834440,15,27
1481835318,6,1
1481836216,6,7
1481837100,5,0
1481838036,4,26
1481838975,4,0
1481839817,2,3
1481841019,2,6
1481842399,5,3
1481843491,4,4
1481844619,2,4
1481845559,1,0
1481846175,2,0
1481847255,1,3
1481848220,1,4
1481849141,3,1
1481849773,3,1
1481850622,5,0
1481852653,4,9
1481853523,4,1
1481854518,3,1
1481856052,5,2
1481857813,9,4
1481859650,6,5
1481860659,2,0
1481861718,4,3
1481862591,1,1
1481863375,3,0
1481865319,9,1
1481866220,6,4
1481867164,4,1
1481868196,2,20
1481870115,16,4
1481870581,7,1
1481871955,8,0
1481872824,13,0
1481873668,9,4
1481874183,3,1
1481876449,28,5
1481877641,12,18
1481879663,19,12
1481880574,6,52
1481881565,6,0
1481882178,7,0
1481883021,7,25
1481884221,9,23
1481885156,4,9
1481885773,7,0
1481886622,3,10
1481886854,2,0
1481887820,4,12
1481888760,10,0
1481889374,1,1
1481890222,7,19
1481891421,7,20
1481892692,9,1
1481893819,9,24
1481895026,12,25
1481895865,10,15
1481897655,27,22
1481898619,10,29
1481899782,12,7
1481901254,15,22
1481902300,10,31
1481904692,20,39
