DateTime,Entries,UniqueIPs
1481574100,1555,1555
1481576120,1555,1555
1481577323,1558,1558
1481578288,1558,1558
1481578934,1558,1558
1481580236,1563,1563
1481581223,1567,1567
1481582113,1566,1566
1481584235,1570,1570
1481586019,1572,1572
1481587517,1573,1573
1481588423,1572,1572
1481588898,1573,1573
1481591722,1572,1572
1481592914,1572,1572
1481593817,1573,1573
1481594173,1574,1574
1481595017,1575,1575
1481596220,1573,1573
1481597075,1572,1572
1481598319,1572,1572
1481599228,1572,1572
1481600538,1567,1567
1481601348,1568,1568
1481602218,1566,1566
1481602457,1567,1567
1481603418,1568,1568
1481604141,1570,1570
1481605516,1569,1569
1481606428,1574,1574
1481607573,1569,1569
1481608519,1576,1576
1481609418,1568,1568
1481610620,1563,1563
1481611522,1565,1565
1481612400,1563,1563
1481613256,1568,1568
1481614232,1555,1555
1481615082,1566,1566
1481616215,1556,1556
1481617580,1570,1570
1481618543,1552,1552
1481620458,1562,1562
1481621295,1567,1567
1481622974,1564,1564
1481623967,1555,1555
1481624972,1543,1543
1481625745,1545,1545
1481626577,1555,1555
1481627422,1549,1549
1481628498,1558,1558
1481629516,1552,1552
1481631316,1546,1546
1481632133,1555,1555
1481632945,1530,1530
1481634280,1533,1533
1481635230,1544,1544
1481636429,1544,1544
1481636541,1547,1547
1481638459,1556,1556
1481639422,1556,1556
1481640148,1566,1566
1481641518,1574,1574
1481642893,1595,1595
1481643764,1591,1591
1481645029,1607,1607
1481646027,1615,1615
1481646907,1606,1606
1481648721,1600,1600
1481649638,1619,1619
1481650099,1627,1627
1481650948,1615,1615
1481652855,1638,1638
1481653820,1639,1639
1481654653,1648,1648
1481655374,1654,1654
1481656220,1653,1653
1481657422,1644,1644
1481658324,1642,1642
1481660430,1648,1648
1481660898,1654,1654
1481662519,1656,1656
1481663717,1660,1660
1481664618,1658,1658
1481665345,1677,1677
1481667623,1683,1683
1481668519,1700,1700
1481668946,1701,1701
1481669822,1702,1702
1481670734,1704,1704
1481671821,1704,1704
1481672718,1706,1706
1481674827,1709,1709
1481676148,1706,1706
1481676977,1708,1708
1481677265,1707,1707
1481679199,1705,1705
1481680436,1706,1706
1481681591,1706,1706
1481682581,1706,1706
1481683521,1706,1706
1481684175,1708,1708
1481685018,1705,1705
1481686936,1700,1700
1481689086,1696,1696
1481689896,1689,1689
1481690717,1690,1690
1481691922,1685,1685
1481692828,1685,1685
1481694031,1685,1685
1481694149,1686,1686
1481696428,1682,1682
1481697314,1674,1674
1481698293,1683,1683
1481699133,1680,1680
1481699656,1681,1681
1481700621,1676,1676
1481701358,1673,1673
1481703253,1671,1671
1481704222,1658,1658
1481705064,1659,1659
1481706922,1661,1661
1481707817,1654,1654
1481708556,1664,1664
1481709379,1673,1673
1481710217,1684,1684
1481711416,1698,1698
1481712645,1706,1706
1481715023,1714,1714
1481715918,1709,1709
1481716875,1705,1705
1481717721,1713,1713
1481718617,1701,1701
1481719521,1702,1702
1481720776,1712,1712
1481721623,1725,1725
1481722362,1708,1708
1481722955,1703,1703
1481723776,1712,1712
1481724618,1702,1702
1481725697,1722,1722
1481726531,1710,1710
1481727465,1720,1720
1481728523,1718,1718
1481729424,1702,1702
1481730318,1703,1703
1481732429,1708,1708
