DateTime,Entries,UniqueIPs
1481464570,236,236
1481465414,232,232
1481466617,233,233
1481468582,240,240
1481470215,236,236
1481471115,239,239
1481473167,241,241
1481474423,237,237
1481475241,238,238
1481476214,242,242
1481477419,240,240
1481478318,241,241
1481480051,245,245
1481480890,246,246
1481481866,242,242
1481483652,240,240
1481484620,243,243
1481485496,244,244
1481486315,245,245
1481487312,246,246
1481488272,246,246
1481489106,246,246
1481490109,246,246
1481491814,248,248
1481492852,245,245
1481493914,244,244
1481496016,244,244
1481497815,244,244
1481499919,242,242
1481500569,243,243
1481501412,242,242
1481503216,241,241
1481504716,240,240
1481512216,238,238
1481514133,238,238
1481517916,237,237
1481520019,235,235
1481523015,234,234
1481525091,234,234
1481526860,233,233
1481527818,231,231
1481529911,229,229
1481530810,228,228
1481531623,228,228
1481532581,230,230
1481535310,227,227
1481536245,228,228
1481537115,228,228
1481538014,231,231
1481539938,230,230
1481541253,229,229
1481542937,228,228
1481544854,229,229
1481545816,227,227
1481547891,208,208
1481549442,207,207
1481550316,204,204
1481551818,203,203
1481553616,200,200
1481554570,201,201
1481556616,199,199
1481557515,198,198
1481559044,196,196
1481560765,194,194
1481562948,191,191
1481563880,185,185
1481564717,185,185
1481566450,185,185
1481567416,181,181
1481570071,181,181
1481570891,182,182
1481571917,182,182
1481572869,181,181
1481574094,182,182
1481576116,179,179
1481577320,179,179
1481578285,180,180
1481578931,178,178
1481580233,178,178
1481581218,178,178
1481582110,176,176
1481584231,176,176
1481586014,175,175
1481587514,177,177
1481591719,177,177
1481595014,177,177
1481596217,176,176
1481598316,173,173
1481599220,175,175
1481600535,173,173
1481601345,174,174
1481602215,172,172
1481603414,171,171
1481604138,172,172
1481605513,165,165
1481607570,163,163
1481608516,164,164
1481609415,163,163
1481610617,162,162
1481611519,163,163
1481613252,163,163
1481614226,153,153
1481615078,152,152
1481616212,151,151
1481617576,151,151
1481618538,154,154
1481620454,157,157
1481621291,160,160
1481622971,158,158
1481623963,155,155
1481625739,156,156
1481626574,157,157
1481627418,154,154
1481628495,155,155
1481629513,155,155
1481631313,157,157
1481632936,155,155
1481634277,153,153
1481635223,152,152
1481636537,146,146
1481638456,140,140
1481639419,141,141
1481640136,139,139
1481641515,138,138
1481642890,138,138
1481643753,135,135
1481645026,132,132
1481646903,128,128
1481648717,131,131
1481650938,130,130
1481652851,128,128
1481653817,128,128
1481654649,129,129
1481655370,131,131
1481656215,131,131
1481657418,131,131
1481658320,132,132
1481660418,132,132
1481660894,133,133
1481662516,133,133
1481663714,134,134
1481664615,137,137
1481667612,135,135
1481668516,135,135
1481669818,136,136
1481670730,137,137
1481672715,139,139
1481674815,141,141
1481679196,141,141
