DateTime,Entries,UniqueIPs
1481587507,34680,34680
1481588407,34851,34851
1481588884,34965,34965
1481591704,35116,35116
1481592903,35185,35185
1481593804,35318,35318
1481594163,35393,35393
1481595003,35396,35396
1481595244,35443,35443
1481596204,35430,35430
1481597065,35536,35536
1481598304,35617,35617
1481599207,35780,35780
1481600525,35556,35556
1481601338,35671,35671
1481602204,35629,35629
1481602444,35664,35664
1481603404,35675,35675
1481604124,35720,35720
1481605504,35789,35789
1481606405,35865,35865
1481607560,35811,35811
1481608505,35929,35929
1481609404,35919,35919
1481610604,35927,35927
1481611504,35992,35992
1481612390,36033,36033
1481613244,36124,36124
1481614205,36076,36076
1481615071,36189,36189
1481616204,36154,36154
1481617567,36289,36289
1481618524,36209,36209
1481620445,36366,36366
1481621284,36484,36484
1481622964,36660,36660
1481623957,36787,36787
1481624961,36800,36800
1481625726,36815,36815
1481626564,36899,36899
1481627404,36858,36858
1481628484,36967,36967
1481629503,36896,36896
1481631304,36897,36897
1481632124,36961,36961
1481632922,36717,36717
1481634270,36714,36714
1481635208,36772,36772
1481636525,36687,36687
1481638444,36694,36694
1481639407,36583,36583
1481640125,36631,36631
1481641504,36409,36409
1481642883,36610,36610
1481643741,35563,35563
1481645019,35625,35625
1481646005,35796,35796
1481646897,35789,35789
1481648703,36035,36035
1481649605,36197,36197
1481650084,36279,36279
1481650925,36236,36236
1481652844,36466,36466
1481653806,36524,36524
1481654642,36628,36628
1481655363,36753,36753
1481656204,36791,36791
1481657404,36837,36837
1481658304,36917,36917
1481659505,36981,36981
1481660884,37171,37171
1481662504,37354,37354
1481663704,37472,37472
1481664604,37510,37510
1481665324,37622,37622
1481667603,38072,38072
1481668505,38157,38157
1481668924,38231,38231
1481669812,38414,38414
1481670718,38540,38540
1481671805,38667,38667
1481672704,38850,38850
1481674803,39124,39124
1481676125,39329,39329
1481677236,39513,39513
1481678104,39727,39727
1481679187,39931,39931
1481680426,40243,40243
1481681581,40477,40477
1481682571,40641,40641
1481683507,40908,40908
1481684163,41112,41112
1481685000,41221,41221
1481685865,41469,41469
1481686918,41470,41470
1481689076,41850,41850
1481689885,41835,41835
1481690704,41977,41977
1481691906,42023,42023
1481692804,42184,42184
1481694006,42242,42242
1481694125,42264,42264
1481696404,42550,42550
1481697304,42528,42528
1481698283,42723,42723
1481699106,42718,42718
1481699645,42792,42792
1481700605,42795,42795
1481701324,42815,42815
1481703244,42988,42988
1481704204,42931,42931
1481705054,42886,42886
1481706905,42910,42910
1481707806,42902,42902
1481708524,43086,43086
1481709363,43389,43389
1481710203,43227,43227
1481711404,43130,43130
1481712635,43372,43372
1481715004,43412,43412
1481715904,43491,43491
1481717705,43701,43701
1481718604,43504,43504
1481719505,43553,43553
1481720766,43525,43525
1481721604,43721,43721
1481722352,43514,43514
1481722926,43473,43473
1481723763,43676,43676
1481724604,43547,43547
1481725684,43794,43794
1481726498,43601,43601
1481727456,43847,43847
1481728504,43808,43808
1481729406,43478,43478
1481730304,43530,43530
1481732403,43677,43677
1481733725,43512,43512
1481734992,43361,43361
