DateTime,AddedIPs,RemovedIPs
1481588894,4,2
1481591717,23,26
1481592910,18,11
1481593814,12,8
1481594169,6,2
1481595014,13,7
1481595250,7,1
1481596215,17,12
1481597071,5,6
1481598315,13,9
1481599219,14,0
1481600534,14,17
1481601344,14,3
1481602214,8,13
1481602454,5,1
1481603413,13,12
1481604136,8,9
1481605512,21,12
1481606419,8,2
1481607569,9,18
1481608515,7,2
1481609414,4,10
1481610615,13,15
1481611518,9,7
1481612396,5,9
1481613251,14,3
1481614223,13,11
1481615078,7,5
1481616211,14,13
1481617575,16,4
1481618536,12,14
1481620453,17,9
1481621291,11,5
1481622970,20,23
1481623963,15,9
1481624968,10,12
1481625737,9,8
1481626574,7,4
1481627418,7,9
1481628493,12,9
1481629510,13,7
1481631312,27,18
1481632129,11,5
1481632935,4,16
1481634276,7,15
1481635220,4,6
1481636536,8,13
1481638455,19,15
1481639418,13,14
1481640134,11,7
1481641515,18,10
1481642889,18,9
1481643751,9,11
1481645025,15,12
1481646017,9,3
1481646903,11,11
1481648717,27,11
1481649626,10,4
1481650095,9,3
1481650938,11,16
1481652851,23,13
1481653817,15,14
1481654648,7,6
1481655369,11,3
1481656214,12,10
1481657417,11,16
1481658319,8,6
1481660416,12,15
1481660894,8,0
1481662515,13,16
1481663712,7,8
1481664614,8,11
1481665333,5,9
1481667609,24,9
1481668516,11,6
1481668934,2,1
1481669818,10,6
1481670726,10,9
1481671816,13,13
1481672714,9,1
1481674813,19,13
1481676136,8,9
1481676973,5,1
1481677247,3,10
1481678116,15,4
1481679195,11,9
1481680432,16,14
1481681587,14,3
1481682577,7,9
1481683517,8,5
1481684172,9,6
1481685008,11,14
1481685871,9,7
1481686927,13,22
1481689082,23,13
1481689891,5,13
1481690713,10,4
1481691917,9,9
1481692813,9,11
1481694017,11,23
1481694133,1,0
1481696416,20,15
1481697310,5,17
1481698289,14,3
1481699121,6,16
1481699651,6,2
1481700615,9,15
1481701339,8,7
1481703250,27,12
1481704217,14,17
1481705060,7,8
1481706918,21,19
1481707813,13,18
1481708541,7,4
1481709375,4,8
1481710213,10,11
1481711410,11,13
1481712641,10,7
1481715016,20,18
1481715913,9,6
1481716856,9,12
1481717715,7,5
1481718613,10,11
1481719517,5,5
1481720772,13,10
1481721617,13,2
1481722358,9,10
1481722939,7,10
1481723772,10,6
1481724614,9,9
1481725693,9,9
1481726512,9,16
1481727462,7,4
1481728518,10,75
1481729419,10,177
1481730313,12,5
1481732413,17,23
1481733737,5,10
1481735005,18,13
1481736015,13,6
1481736910,9,14
1481737708,4,6
1481739250,13,15
1481740066,7,1
1481741774,9,16
1481742855,11,31
