DateTime,Entries,UniqueIPs
1481697310,1541,1541
1481698289,1552,1552
1481699121,1542,1542
1481699651,1546,1546
1481700615,1540,1540
1481701339,1541,1541
1481703250,1556,1556
1481704217,1553,1553
1481705060,1552,1552
1481706918,1554,1554
1481707813,1549,1549
1481708541,1552,1552
1481709375,1548,1548
1481710213,1547,1547
1481711410,1545,1545
1481712641,1548,1548
1481715016,1550,1550
1481715913,1553,1553
1481716856,1550,1550
1481717715,1552,1552
1481718613,1551,1551
1481719517,1551,1551
1481720772,1554,1554
1481721617,1565,1565
1481722358,1564,1564
1481722939,1561,1561
1481723772,1565,1565
1481724614,1565,1565
1481725693,1565,1565
1481726512,1558,1558
1481727462,1561,1561
1481728518,1496,1496
1481729419,1329,1329
1481730313,1336,1336
1481732413,1330,1330
1481733737,1325,1325
1481735005,1330,1330
1481736015,1337,1337
1481736910,1332,1332
1481737708,1330,1330
1481739250,1328,1328
1481740066,1334,1334
1481741774,1327,1327
1481742855,1307,1307
1481743816,1290,1290
1481744723,1289,1289
1481746816,1290,1290
1481747869,1285,1285
1481748970,1287,1287
1481749813,1277,1277
1481751739,1277,1277
1481753126,1284,1284
1481754016,1283,1283
1481754495,1281,1281
1481755529,1281,1281
1481757616,1279,1279
1481758576,1273,1273
1481758943,1272,1272
1481759789,1275,1275
1481760612,1268,1268
1481762635,1261,1261
1481763370,1261,1261
1481764215,1256,1256
1481764455,1256,1256
1481765417,1251,1251
1481766319,1247,1247
1481767522,1247,1247
1481768415,1245,1245
1481769314,1243,1243
1481770569,1243,1243
1481771975,1236,1236
1481773219,1221,1221
1481774113,1228,1228
1481775014,1225,1225
1481776212,1218,1218
1481777117,1217,1217
1481779214,1223,1223
1481780118,1210,1210
1481780550,1207,1207
1481782452,1206,1206
1481783411,1192,1192
1481784324,1193,1193
1481785317,1186,1186
1481786116,1190,1190
1481787018,1194,1194
1481787748,1195,1195
1481788570,1203,1203
1481789372,1200,1200
1481790490,1213,1213
1481791523,1217,1217
1481793619,1222,1222
1481794487,1220,1220
1481799915,1236,1236
1481800820,1241,1241
1481801718,1254,1254
1481803243,1457,1457
1481804116,1460,1460
1481804986,1560,1560
1481805740,1564,1564
1481806569,1571,1571
1481807716,1567,1567
1481808615,1570,1570
1481809529,1576,1576
1481810426,1568,1568
1481811314,1574,1574
1481812218,1569,1569
1481814732,1562,1562
1481815818,1551,1551
1481816723,1554,1554
1481817369,1558,1558
1481818214,1547,1547
1481819414,1543,1543
1481820322,1553,1553
1481821427,1544,1544
1481822056,1548,1548
1481823015,1524,1524
1481823919,1519,1519
1481824923,1521,1521
1481826029,1532,1532
1481826909,1521,1521
1481827810,1526,1526
1481828170,1530,1530
1481829017,1532,1532
1481830216,1530,1530
1481831130,1526,1526
1481832223,1521,1521
1481833118,1526,1526
1481834413,1528,1528
1481835314,1532,1532
1481836212,1535,1535
1481837080,1539,1539
1481838019,1528,1528
1481838971,1523,1523
1481839814,1516,1516
1481841013,1509,1509
1481842395,1524,1524
1481843486,1522,1522
1481844613,1526,1526
1481845531,1529,1529
1481846171,1532,1532
1481847252,1532,1532
1481848216,1525,1525
1481849119,1524,1524
1481849769,1525,1525
1481850617,1514,1514
1481852628,1514,1514
1481853519,1508,1508
1481854513,1513,1513
1481856030,1486,1486
1481857809,1499,1499
1481859623,1501,1501
1481860656,1506,1506
1481861714,1504,1504
1481862587,1507,1507
1481863347,1517,1517
1481865315,1519,1519
1481866215,1519,1519
1481867132,1511,1511
1481868161,1506,1506
1481869219,1511,1511
1481870111,1515,1515
1481870550,1522,1522
1481871925,1527,1527
1481872718,1529,1529
1481873664,1516,1516
1481874155,1514,1514
1481876425,1498,1498
1481877616,1496,1496
1481879658,1512,1512
1481880522,1523,1523
1481882174,1524,1524
1481883015,1525,1525
1481884216,1524,1524
1481885129,1525,1525
1481885770,1528,1528
1481886617,1522,1522
1481886850,1521,1521
1481887816,1521,1521
1481888731,1530,1530
1481889370,1535,1535
1481890218,1535,1535
1481891417,1526,1526
1481892688,1532,1532
1481893815,1527,1527
1481895014,1529,1529
1481895832,1534,1534
1481897651,1534,1534
1481898615,1527,1527
1481899778,1538,1538
1481901250,1547,1547
1481902294,1541,1541
1481904688,1542,1542
1481905950,1542,1542
1481908635,1547,1547
1481909487,1547,1547
1481910668,1551,1551
1481912060,1550,1550
1481912963,1551,1551
1481914510,1553,1553
1481915902,1555,1555
1481918193,1545,1545
1481919230,1539,1539
1481920168,1531,1531
1481921350,1539,1539
1481922623,1535,1535
1481922850,1532,1532
1481923839,1525,1525
1481925091,1527,1527
1481927916,1523,1523
1481928829,1522,1522
1481931036,1523,1523
1481933389,1530,1530
1481934652,1528,1528
1481936393,1537,1537
1481937320,1540,1540
1481938365,1534,1534
1481939711,1545,1545
1481940630,1545,1545
1481943366,1549,1549
1481944290,1549,1549
1481945721,1550,1550
1481946665,1551,1551
1481947819,1552,1552
1481949049,1552,1552
1481950186,1556,1556
1481951436,1559,1559
1481952685,1559,1559
1481954170,1562,1562
1481955265,1560,1560
1481956283,1553,1553
1481957718,1554,1554
1481958667,1557,1557
1481961285,1552,1552
1481963505,1537,1537
1481966428,1559,1559
1481967393,1555,1555
1481968302,1553,1553
1481969720,1553,1553
1481970702,1546,1546
1481972118,1526,1526
1481973314,1357,1357
1481975270,1259,1259
1481975788,1262,1262
1481976786,1264,1264
1481977802,1271,1271
1481981884,1294,1294
1481983063,1302,1302
1481984119,1305,1305
1481985105,1315,1315
1481987800,1319,1319
1481988915,1321,1321
1481990007,1322,1322
1481992218,1321,1321
1481993772,1331,1331
1481994678,1331,1331
1481994893,1329,1329
1481995998,1328,1328
1481998520,1346,1346
1481999501,1349,1349
1482001110,1349,1349
1482003193,1363,1363
1482004261,1371,1371
1482005508,1381,1381
1482006820,1374,1374
1482008169,1379,1379
1482010784,1379,1379
1482011770,1390,1390
1482013024,1392,1392
1482014041,1389,1389
1482015310,1395,1395
1482016547,1396,1396
1482017677,1401,1401
1482019179,1403,1403
1482020019,1412,1412
1482021374,1409,1409
1482022514,1415,1415
1482023604,1412,1412
1482024645,1406,1406
1482025922,1409,1409
1482027089,1413,1413
1482028690,1419,1419
1482029774,1416,1416
1482030850,1417,1417
1482032425,1412,1412
1482034515,1429,1429
1482035544,1433,1433
1482036706,1437,1437
1482038014,1438,1438
1482038838,1445,1445
1482039633,1437,1437
1482040481,1445,1445
1482041614,1444,1444
1482043228,1444,1444
1482044171,1448,1448
1482045644,1445,1445
1482046772,1439,1439
1482047716,1441,1441
1482048934,1445,1445
1482050208,1433,1433
1482051376,1436,1436
1482052437,1434,1434
1482054282,1428,1428
1482056076,1434,1434
1482057622,1428,1428
1482058552,1431,1431
1482059595,1423,1423
1482061179,1429,1429
1482062101,1434,1434
1482063322,1430,1430
1482064825,1436,1436
1482065775,1446,1446
1482066823,1446,1446
1482067904,1435,1435
1482068716,1435,1435
1482069371,1441,1441
1482070468,1439,1439
1482071756,1430,1430
1482074058,1444,1444
1482075328,1439,1439
1482076211,1436,1436
1482076571,1437,1437
1482077742,1446,1446
1482079331,1443,1443
1482080171,1448,1448
1482081499,1453,1453
1482082609,1442,1442
1482084932,1450,1450
1482086532,1459,1459
1482088578,1467,1467
1482089422,1465,1465
1482090917,1474,1474
1482092120,1470,1470
1482093636,1466,1466
1482094513,1472,1472
1482096017,1472,1472
1482097231,1468,1468
1482098072,1475,1475
1482099228,1477,1477
1482100407,1467,1467
1482102930,1460,1460
1482103694,1462,1462
1482106035,1458,1458
1482107710,1456,1456
1482111875,1455,1455
1482113116,1453,1453
1482114115,1458,1458
1482115510,1464,1464
1482116715,1468,1468
1482117610,1469,1469
1482118136,1465,1465
1482119115,1455,1455
1482121210,1462,1462
1482124526,1469,1469
1482125299,1481,1481
1482128276,1481,1481
1482132824,1483,1483
1482133812,1490,1490
1482137178,1494,1494
1482137989,1487,1487
1482138867,1496,1496
1482139701,1504,1504
1482140534,1486,1486
1482141371,1494,1494
1482142217,1486,1486
1482144135,1481,1481
1482145030,1486,1486
1482146119,1482,1482
1482147016,1468,1468
1482147911,1463,1463
1482149110,1464,1464
1482150835,1447,1447
1482151330,1450,1450
1482152711,1454,1454
1482155770,1433,1433
1482156610,1425,1425
1482158451,1418,1418
1482159926,1417,1417
1482160802,1422,1422
1482162199,1400,1400
1482162970,1410,1410
1482163815,1405,1405
1482167228,1395,1395
1482168024,1396,1396
1482170843,1386,1386
1482171680,1391,1391
1482175010,1385,1385
1482175826,1381,1381
1482178479,1377,1377
1482179387,1371,1371
1482183311,1369,1369
1482186270,1375,1375
1482187210,1373,1373
1482189904,1375,1375
1482190811,1367,1367
1482194569,1356,1356
1482195922,1349,1349
1482198910,1341,1341
1482199818,1337,1337
1482201973,1337,1337
1482203650,1329,1329
1482206525,1309,1309
1482207250,1317,1317
1482209813,1305,1305
1482210617,1303,1303
1482214995,1307,1307
1482216013,1298,1298
1482218363,1305,1305
1482219283,1299,1299
1482219739,1306,1306
1482222469,1309,1309
1482223394,1311,1311
1482228174,1316,1316
1482228966,1331,1331
1482231749,1321,1321
1482232788,1326,1326
1482234022,1313,1313
1482234131,1313,1313
1482235515,1307,1307
1482236417,1313,1313
1482237310,1310,1310
1482238368,1311,1311
1482239417,1303,1303
1482241410,1306,1306
1482242566,1303,1303
1482243504,1307,1307
1482244325,1300,1300
1482245237,1304,1304
1482246068,1306,1306
1482246915,1312,1312
1482247820,1304,1304
1482250744,1332,1332
1482251889,1329,1329
1482254112,1322,1322
1482255014,1325,1325
1482257110,1335,1335
1482259217,1344,1344
1482260477,1348,1348
1482261615,1359,1359
1482262510,1357,1357
1482263713,1368,1368
1482264617,1365,1365
1482265668,1371,1371
1482266714,1356,1356
1482268450,1361,1361
1482269412,1367,1367
1482270313,1375,1375
1482271514,1382,1382
1482272415,1385,1385
1482273406,1382,1382
1482274410,1384,1384
1482275410,1385,1385
1482275650,1387,1387
1482276617,1381,1381
1482277511,1380,1380
1482278631,1386,1386
1482280164,1391,1391
1482281074,1390,1390
1482281984,1392,1392
1482282894,1401,1401
1482283701,1407,1407
1482284656,1406,1406
1482286449,1411,1411
1482287417,1410,1410
1482288130,1418,1418
1482288970,1425,1425
1482289817,1431,1431
1482290972,1426,1426
1482291916,1429,1429
1482293641,1423,1423
1482294911,1425,1425
1482296086,1433,1433
1482297010,1430,1430
1482298213,1443,1443
1482299114,1444,1444
1482299983,1445,1445
1482300909,1453,1453
1482301812,1443,1443
1482302537,1446,1446
1482303905,1447,1447
1482304810,1455,1455
1482305291,1463,1463
1482306138,1461,1461
1482307138,1455,1455
1482308054,1469,1469
1482308891,1469,1469
1482309731,1456,1456
1482311057,1458,1458
1482312015,1468,1468
1482312949,1462,1462
1482313872,1466,1466
1482314714,1464,1464
1482315621,1475,1475
1482316418,1463,1463
1482317263,1465,1465
1482318574,1463,1463
1482319398,1470,1470
1482320194,1474,1474
1482320532,1468,1468
1482321915,1475,1475
1482322817,1487,1487
