DateTime,Entries,UniqueIPs
1481594167,25932,25932
1481595008,25948,25948
1481595248,25990,25990
1481596211,26006,26006
1481597069,26108,26108
1481598309,26209,26209
1481599215,26354,26354
1481600530,26307,26307
1481601342,26402,26402
1481602211,26374,26374
1481602450,26403,26403
1481603408,26416,26416
1481604131,26461,26461
1481605510,26543,26543
1481606414,26595,26595
1481607567,26592,26592
1481608512,26659,26659
1481609410,26655,26655
1481610611,26651,26651
1481611516,26672,26672
1481612394,26692,26692
1481613248,26731,26731
1481614218,26721,26721
1481615075,26775,26775
1481616208,26763,26763
1481617573,26831,26831
1481618530,26788,26788
1481620450,26890,26890
1481621288,26964,26964
1481622968,27118,27118
1481623960,27219,27219
1481624965,27241,27241
1481625732,27229,27229
1481626570,27255,27255
1481627413,27212,27212
1481628490,27250,27250
1481629507,27202,27202
1481631308,27196,27196
1481632127,27223,27223
1481632930,27166,27166
1481634274,27154,27154
1481635215,27178,27178
1481636531,27118,27118
1481638451,27114,27114
1481639414,27055,27055
1481640129,27088,27088
1481641511,27094,27094
1481642887,27227,27227
1481643746,27350,27350
1481645023,27449,27449
1481646010,27559,27559
1481646900,27587,27587
1481648713,27759,27759
1481649619,27846,27846
1481650089,27903,27903
1481650931,27893,27893
1481652848,28041,28041
1481653813,28082,28082
1481654646,28143,28143
1481655367,28225,28225
1481656212,28256,28256
1481657412,28318,28318
1481658315,28391,28391
1481660410,28545,28545
1481660889,28592,28592
1481662510,28801,28801
1481663709,28917,28917
1481664609,28966,28966
1481665328,29063,29063
1481667607,29479,29479
1481668513,29596,29596
1481668931,29668,29668
1481669815,29827,29827
1481670721,29967,29967
1481671809,30110,30110
1481672709,30277,30277
1481674810,30525,30525
1481676130,30682,30682
1481676969,30861,30861
1481677242,30858,30858
1481678113,31040,31040
1481679193,31239,31239
1481680430,31536,31536
1481681585,31767,31767
1481682575,31944,31944
1481683513,32195,32195
1481684169,32378,32378
1481685004,32505,32505
1481685869,32737,32737
1481686924,32841,32841
1481689079,33168,33168
1481689888,33159,33159
1481690711,33275,33275
1481691911,33339,33339
1481692808,33465,33465
1481694013,33533,33533
1481694129,33544,33544
1481696415,33740,33740
1481697307,33736,33736
1481698286,33853,33853
1481699116,33848,33848
1481699649,33890,33890
1481700611,33907,33907
1481701331,33924,33924
1481703247,34057,34057
1481704210,34038,34038
1481705057,33993,33993
1481706913,33980,33980
1481707811,33991,33991
1481708530,34130,34130
1481709371,34361,34361
1481710210,34232,34232
1481711407,34129,34129
1481712638,34305,34305
1481715014,34415,34415
1481715911,34488,34488
1481716848,34497,34497
1481717711,34643,34643
1481718608,34474,34474
1481719513,34506,34506
1481720770,34466,34466
1481721609,34616,34616
1481722356,34443,34443
1481722934,34401,34401
1481723770,34559,34559
1481724612,34445,34445
1481725691,34634,34634
1481726505,34453,34453
1481727459,34619,34619
1481728512,34553,34553
1481729414,34279,34279
1481730308,34326,34326
1481732409,34394,34394
1481733732,34231,34231
1481734999,34075,34075
1481736010,34238,34238
1481736907,34005,34005
1481737705,34062,34062
1481739247,34075,34075
1481740063,34197,34197
1481741770,34171,34171
1481742851,33959,33959
1481743810,33711,33711
1481744717,33700,33700
1481746811,33698,33698
1481747866,33584,33584
1481748968,33661,33661
1481749810,33586,33586
1481751733,33590,33590
1481753117,33620,33620
1481754010,33773,33773
1481754493,33865,33865
1481755523,33718,33718
1481757610,33889,33889
1481758574,33731,33731
1481758934,33723,33723
