DateTime,AddedIPs,RemovedIPs
1481601340,12,0
1481602206,14,25
1481602447,3,0
1481603406,14,16
1481604128,6,6
1481605506,25,34
1481606409,10,0
1481607563,12,42
1481608508,38,0
1481609407,32,23
1481610607,44,15
1481611514,37,15
1481612392,44,17
1481613246,41,1
1481614212,24,32
1481615073,34,0
1481616206,19,32
1481617571,31,0
1481618527,24,42
1481620447,41,18
1481621286,18,0
1481622966,67,43
1481623958,52,20
1481624963,32,24
1481625729,22,6
1481626566,30,0
1481627407,30,22
1481628486,44,0
1481629505,27,39
1481631306,32,23
1481632125,14,0
1481632924,11,42
1481634272,25,28
1481635212,17,1
1481636528,22,42
1481638446,29,26
1481639410,19,33
1481640127,9,8
1481641507,31,278
1481642885,27,0
1481643744,16,1161
1481645021,53,113
1481646007,44,0
1481646898,26,36
1481648708,89,28
1481649611,45,0
1481650087,15,0
1481650929,25,39
1481652846,61,23
1481653809,45,31
1481654644,34,10
1481655365,27,0
1481656206,27,11
1481657408,23,28
1481658309,21,14
1481660407,37,20
1481660886,4,0
1481662507,19,43
1481663707,18,33
1481664607,16,28
1481665326,10,9
1481667605,23,18
1481668509,17,46
1481668929,4,6
1481669814,11,0
1481670720,14,21
1481671807,13,26
1481672706,15,6
1481674806,37,27
1481676126,47,36
1481676966,9,0
1481677237,2,18
1481678109,11,0
1481679191,26,18
1481680428,15,7
1481681583,19,17
1481682573,17,25
1481683510,8,0
1481684166,13,0
1481685002,12,27
1481685867,11,0
1481686920,17,104
1481689078,45,14
1481689886,22,20
1481690707,18,2
1481691908,26,24
1481692806,26,1
1481694010,55,63
1481694127,6,0
1481696409,112,47
1481697305,41,52
1481698284,53,0
1481699110,49,34
1481699646,24,1
1481700607,29,37
1481701327,20,21
1481703245,47,38
1481704207,22,47
1481705055,20,26
1481706909,56,47
1481707809,52,67
1481708527,24,0
1481709367,41,0
1481710205,23,64
1481711405,49,73
1481712636,51,17
1481715010,50,87
1481715907,17,15
1481717707,57,34
1481718605,18,40
1481719508,17,16
1481720768,26,42
1481721606,25,2
1481722354,20,34
1481722931,11,12
1481723766,20,0
1481724607,12,18
1481725686,17,0
1481726500,17,21
1481727457,54,0
1481728508,47,17
1481729410,22,70
1481730306,20,33
1481732406,107,61
1481733729,75,73
1481734995,77,91
1481736006,51,0
1481736905,54,50
1481737703,44,10
1481739245,75,27
1481740061,21,0
1481741766,84,36
1481742847,55,40
1481743807,49,29
1481744711,38,9
1481746807,86,13
1481747864,26,23
1481748966,22,0
1481749806,14,27
1481751729,39,30
1481753112,30,25
1481754006,28,0
1481754488,13,0
1481755520,25,36
1481757607,37,15
1481758572,17,28
1481758930,11,10
1481759785,16,0
1481760606,9,21
1481762626,47,33
1481763365,17,1
1481764207,16,16
1481764446,8,0
1481765409,18,23
1481766309,17,11
1481767512,22,15
1481768406,17,0
1481769306,23,21
1481770565,20,10
1481771970,30,14
1481773207,59,34
1481774106,11,0
