DateTime,Entries,UniqueIPs
1481587509,5648,5648
1481588409,5657,5657
1481588887,5669,5669
1481591706,5639,5639
1481592905,5626,5626
1481593806,5628,5628
1481594165,5633,5633
1481595005,5626,5626
1481595246,5627,5627
1481596206,5610,5610
1481597067,5616,5616
1481598306,5613,5613
1481599212,5622,5622
1481600527,5471,5471
1481601340,5483,5483
1481602206,5472,5472
1481602447,5475,5475
1481603406,5473,5473
1481604128,5473,5473
1481605506,5464,5464
1481606409,5474,5474
1481607563,5444,5444
1481608508,5482,5482
1481609407,5491,5491
1481610607,5520,5520
1481611514,5542,5542
1481612392,5569,5569
1481613246,5609,5609
1481614212,5601,5601
1481615073,5635,5635
1481616206,5622,5622
1481617571,5653,5653
1481618527,5635,5635
1481620447,5658,5658
1481621286,5676,5676
1481622966,5700,5700
1481623958,5732,5732
1481624963,5740,5740
1481625729,5756,5756
1481626566,5786,5786
1481627407,5794,5794
1481628486,5838,5838
1481629505,5826,5826
1481631306,5835,5835
1481632125,5849,5849
1481632924,5818,5818
1481634272,5815,5815
1481635212,5831,5831
1481636528,5811,5811
1481638446,5814,5814
1481639410,5800,5800
1481640127,5801,5801
1481641507,5554,5554
1481642885,5581,5581
1481643744,4436,4436
1481645021,4376,4376
1481646007,4420,4420
1481646898,4410,4410
1481648708,4471,4471
1481649611,4516,4516
1481650087,4531,4531
1481650929,4517,4517
1481652846,4555,4555
1481653809,4569,4569
1481654644,4593,4593
1481655365,4620,4620
1481656206,4636,4636
1481657408,4631,4631
1481658309,4638,4638
1481660407,4655,4655
1481660886,4659,4659
1481662507,4635,4635
1481663707,4620,4620
1481664607,4608,4608
1481665326,4609,4609
1481667605,4614,4614
1481668509,4585,4585
1481668929,4583,4583
1481669814,4594,4594
1481670720,4587,4587
1481671807,4574,4574
1481672706,4583,4583
1481674806,4593,4593
1481676126,4604,4604
1481676966,4613,4613
1481677237,4597,4597
1481678109,4608,4608
1481679191,4616,4616
1481680428,4624,4624
1481681583,4626,4626
1481682573,4618,4618
1481683510,4626,4626
1481684166,4639,4639
1481685002,4624,4624
1481685867,4635,4635
1481686920,4548,4548
1481689078,4579,4579
1481689886,4581,4581
1481690707,4597,4597
1481691908,4599,4599
1481692806,4624,4624
1481694010,4616,4616
1481694127,4622,4622
1481696409,4687,4687
1481697305,4676,4676
1481698284,4729,4729
1481699110,4744,4744
1481699646,4767,4767
1481700607,4759,4759
1481701327,4758,4758
1481703245,4767,4767
1481704207,4742,4742
1481705055,4736,4736
1481706909,4745,4745
1481707809,4730,4730
1481708527,4754,4754
1481709367,4795,4795
1481710205,4754,4754
1481711405,4730,4730
1481712636,4764,4764
1481715010,4727,4727
1481715907,4729,4729
1481717707,4752,4752
1481718605,4730,4730
1481719508,4731,4731
1481720768,4715,4715
1481721606,4738,4738
1481722354,4724,4724
1481722931,4723,4723
1481723766,4743,4743
1481724607,4737,4737
1481725686,4754,4754
1481726500,4750,4750
1481727457,4804,4804
1481728508,4834,4834
1481729410,4786,4786
1481730306,4773,4773
1481732406,4819,4819
1481733729,4821,4821
1481734995,4807,4807
1481736006,4858,4858
1481736905,4862,4862
1481737703,4896,4896
1481739245,4944,4944
1481740061,4965,4965
1481741766,5013,5013
1481742847,5028,5028
1481743807,5048,5048
1481744711,5077,5077
1481746807,5150,5150
1481747864,5153,5153
1481748966,5175,5175
1481749806,5162,5162
1481751729,5171,5171
1481753112,5176,5176
1481754006,5204,5204
1481754488,5217,5217
1481755520,5206,5206
1481757607,5228,5228
1481758572,5217,5217
1481758930,5218,5218
1481759785,5234,5234
1481760606,5222,5222
1481762626,5236,5236
1481763365,5252,5252
1481764207,5252,5252
1481764446,5260,5260
1481765409,5255,5255
1481766309,5261,5261
1481767512,5268,5268
1481768406,5285,5285
1481769306,5287,5287
1481770565,5297,5297
1481771970,5313,5313
1481773207,5338,5338
1481774106,5349,5349
1481775007,5341,5341
1481776206,5342,5342
1481777109,5341,5341
1481778263,5312,5312
1481779205,5323,5323
1481780114,5278,5278
1481780538,5262,5262
1481782446,5251,5251
1481783405,5233,5233
1481784314,5246,5246
1481785302,5273,5273
1481786108,5312,5312
1481787007,5315,5315
1481787731,5326,5326
1481788566,5362,5362
1481789365,5370,5370
1481790485,5410,5410
1481791512,5399,5399
1481793608,5358,5358
1481794482,5308,5308
1481799906,5275,5275
1481800807,5316,5316
1481801709,5325,5325
1481803231,5362,5362
1481804108,5420,5420
1481804982,5423,5423
1481805728,5450,5450
1481806841,5456,5456
1481807707,5472,5472
1481808606,5463,5463
1481809519,5470,5470
1481810404,5463,5463
1481811306,5478,5478
1481812209,5472,5472
1481814722,5461,5461
1481815810,5411,5411
1481816711,5399,5399
1481817365,5408,5408
1481818207,5376,5376
1481819406,5324,5324
1481820313,5337,5337
1481821417,5290,5290
1481822048,5299,5299
1481823006,5247,5247
1481823912,5236,5236
1481824907,5218,5218
1481826013,5234,5234
1481826905,5207,5207
1481827805,5213,5213
1481828166,5220,5220
1481829007,5208,5208
1481830209,5203,5203
1481831112,5210,5210
1481832207,5212,5212
1481833113,5222,5222
1481834405,5204,5204
1481835306,5214,5214
1481836206,5215,5215
1481837065,5232,5232
1481838007,5210,5210
1481838965,5231,5231
1481839807,5231,5231
1481841007,5224,5224
1481842390,5240,5240
1481843482,5235,5235
1481844607,5195,5195
1481845518,5190,5190
1481846167,5204,5204
1481847246,5214,5214
1481848208,5199,5199
1481849112,5216,5216
1481849765,5235,5235
1481850606,5228,5228
1481852616,5244,5244
1481853515,5269,5269
1481854506,5286,5286
1481856014,5283,5283
1481857805,5295,5295
1481859610,5278,5278
1481860651,5358,5358
1481861706,5422,5422
1481862583,5465,5465
1481863336,5534,5534
1481865306,5637,5637
1481866209,5634,5634
1481867114,5685,5685
1481868148,5719,5719
1481869208,5803,5803
1481870107,5795,5795
1481870533,5810,5810
1481871913,5791,5791
1481872713,5808,5808
1481873660,5779,5779
1481874136,5776,5776
1481876411,5794,5794
1481877608,5722,5722
1481879649,5743,5743
1481880502,5761,5761
1481882166,5739,5739
1481883008,5698,5698
1481884207,5692,5692
1481885112,5701,5701
1481885766,5717,5717
1481886607,5708,5708
1481886846,5716,5716
1481887807,5708,5708
1481888714,5727,5727
1481889366,5740,5740
1481890209,5721,5721
1481891409,5708,5708
1481892683,5732,5732
1481893808,5712,5712
1481895008,5721,5721
1481895813,5723,5723
1481897646,5732,5732
1481898607,5734,5734
1481899773,5748,5748
1481901246,5736,5736
1481902289,5662,5662
1481904684,5615,5615
1481905945,5583,5583
1481908630,5570,5570
1481909482,5544,5544
1481910664,5638,5638
1481912055,5651,5651
1481912959,5599,5599
1481914505,5668,5668
1481915896,5689,5689
1481918187,5683,5683
1481919225,5699,5699
1481920163,5680,5680
1481921346,5728,5728
1481922618,5769,5769
1481922846,5771,5771
1481923827,5749,5749
1481925086,5768,5768
1481927062,5764,5764
1481927911,5768,5768
1481928825,5777,5777
1481931027,5775,5775
1481933384,5797,5797
1481934646,5786,5786
1481936388,5796,5796
1481937315,5823,5823
1481938360,5801,5801
1481939707,5826,5826
1481940624,5821,5821
1481943362,5821,5821
1481944285,5826,5826
1481945717,5833,5833
1481946661,5864,5864
1481947815,5869,5869
1481949043,5867,5867
1481950182,5945,5945
1481951427,6022,6022
1481952679,6044,6044
1481954166,6076,6076
1481955261,6039,6039
1481956278,5967,5967
1481957714,5963,5963
1481958662,5925,5925
1481961280,5907,5907
1481963501,5873,5873
1481966406,5898,5898
1481967388,5894,5894
1481968297,5903,5903
1481969711,5907,5907
1481970696,5841,5841
1481972113,5844,5844
1481973307,5817,5817
1481975255,5738,5738
1481975783,5753,5753
1481976780,5740,5740
1481977794,5717,5717
1481981879,5723,5723
1481983058,5739,5739
1481984114,5736,5736
1481985101,5728,5728
1481987795,5756,5756
1481988911,5740,5740
1481990003,5767,5767
1481992214,5900,5900
1481993766,5940,5940
1481994673,5925,5925
1481994883,5931,5931
1481995993,5936,5936
1481998516,5949,5949
1481999496,5948,5948
1482001106,5956,5956
1482003188,5973,5973
1482004256,6019,6019
1482005504,6059,6059
1482006816,6069,6069
1482008165,6089,6089
1482010780,6109,6109
1482011766,6119,6119
1482013020,6135,6135
1482014037,6126,6126
1482015306,6149,6149
1482016538,6140,6140
1482017668,6134,6134
1482019174,6119,6119
1482020015,6131,6131
1482021370,6131,6131
1482022510,6142,6142
1482023598,6122,6122
1482024625,6102,6102
1482025917,6118,6118
1482027085,6097,6097
1482028681,6102,6102
1482029765,6103,6103
1482030845,6021,6021
1482032410,5817,5817
1482034506,5736,5736
1482035538,5599,5599
1482036700,5610,5610
1482038010,5608,5608
1482038819,5665,5665
1482039620,5588,5588
1482040476,5635,5635
1482041609,5669,5669
1482043218,5746,5746
1482044167,5779,5779
1482045626,5813,5813
1482046760,5797,5797
1482047712,5831,5831
1482048928,5855,5855
1482050203,5840,5840
1482051366,5863,5863
1482052431,5851,5851
1482054277,5819,5819
1482056071,5809,5809
1482057611,5777,5777
1482058548,5796,5796
1482059590,5774,5774
1482061171,5744,5744
1482062096,5761,5761
1482063317,5759,5759
1482064812,5733,5733
1482065766,5756,5756
1482066816,5751,5751
1482067876,5736,5736
1482068708,5757,5757
1482069365,5776,5776
1482070463,5769,5769
1482071751,5746,5746
1482074053,5733,5733
1482075323,5712,5712
1482076206,5721,5721
1482076566,5759,5759
1482077734,5785,5785
1482079327,5813,5813
1482080166,5866,5866
1482081494,5867,5867
1482082604,5840,5840
1482084925,5791,5791
1482086527,5766,5766
1482088573,5768,5768
1482089414,5727,5727
1482090906,5706,5706
1482092110,5630,5630
1482093614,5611,5611
1482094507,5626,5626
1482096012,5616,5616
1482097206,5561,5561
1482098067,5572,5572
1482099223,5567,5567
1482100403,5550,5550
1482102921,5552,5552
1482103687,5564,5564
1482106030,5510,5510
1482107705,5519,5519
1482111869,5522,5522
1482113111,5526,5526
1482114110,5553,5553
1482115506,5520,5520
1482116706,5511,5511
1482117606,5520,5520
1482118131,5528,5528
1482119105,5441,5441
