DateTime,AddedIPs,RemovedIPs
1479439211,9,1
1479440414,1,1
1479441860,0,5
1479448572,1,0
1479451334,0,2
1479454221,1,0
1479455029,0,1
1479458719,1,0
1479474317,0,2
1479477819,0,1
1479483919,1,0
1479485115,0,1
1479493219,1,0
1479496217,0,1
1479499516,1,0
1479500419,1,0
1479502511,0,1
1479507614,0,1
1479512532,0,1
1479516316,0,1
1479519611,0,1
1479525261,1,0
1479528615,0,1
1479540484,1,0
1479541341,0,1
1479542390,1,0
1479548242,0,1
1479551214,0,1
1479556210,1,0
1479560166,1,0
1479562933,0,1
1479564317,4,2
1479565216,1,0
1479566631,0,1
1479570815,1,0
1479603508,1,0
1479608416,0,1
1479618320,0,1
1479625601,0,1
1479638417,0,1
1479640312,0,1
1479641418,1,0
1479645383,0,1
1479649676,0,1
1479655022,0,1
1479658881,1,0
1479663837,0,1
1479666614,0,1
1479684222,1,1
1479690902,1,2
1479695463,7,0
1479698118,0,1
1479701114,1,0
1479703215,0,1
1479706520,1,1
1479706930,1,1
1479707951,1,1
1479709817,0,1
1479710721,1,1
1479711914,1,0
1479714134,1,0
1479715816,1,1
1479718738,1,0
1479720493,1,1
1479727821,1,1
1479730214,0,1
1479733514,1,1
1479735311,1,0
1479735731,0,1
1479736866,0,1
1479742218,1,1
1479748265,0,1
1479749418,1,1
1479756015,1,0
1479770117,1,1
1479777035,1,0
1479779773,1,1
1479790573,1,0
1479819736,2,0
1479824417,1,0
1479840862,0,1
1479850891,0,1
1479854420,1,0
1479857423,0,1
1479858881,1,0
1479864616,0,1
1479867015,0,1
1479870314,1,1
1479886931,1,0
1479888851,1,0
1479889821,0,1
1479890716,2,0
1479893420,0,1
1479895519,0,2
1479897234,0,1
1479904933,0,1
1479909573,0,2
1479915865,0,1
1479922819,0,1
1479925816,0,1
1479941117,0,1
1479943220,2,0
1479944534,0,1
1479953718,1,0
1479956716,0,1
1479982213,0,1
1479983830,0,5
1479987920,0,1
1479989113,0,2
1479997816,2,0
1479999914,1,0
1480011318,0,1
1480013120,0,1
1480023900,0,1
1480032313,1,0
1480039985,1,0
1480043114,1,0
