DateTime,Entries,UniqueIPs
1481922003,7964,7964
1481922602,7966,7966
1481923201,8066,8066
1481923807,7982,7982
1481924404,7968,7968
1481925004,7946,7946
1481925602,7929,7929
1481926202,7932,7932
1481926802,7927,7927
1481927103,7915,7915
1481927703,7905,7905
1481928304,7892,7892
1481928904,7892,7892
1481929501,7890,7890
1481929804,7889,7889
1481930402,7890,7890
1481931002,7891,7891
1481931604,7887,7887
1481932206,7848,7848
1481932805,7926,7926
1481933402,7929,7929
1481933704,7923,7923
1481934304,7896,7896
1481934902,7921,7921
1481935204,7966,7966
1481935803,7961,7961
1481936404,7983,7983
1481937311,7888,7888
1481937904,7849,7849
1481939104,7844,7844
1481939702,7851,7851
1481940302,7855,7855
1481940905,7789,7789
1481941504,7779,7779
1481942102,7813,7813
1481942703,7812,7812
1481943302,7823,7823
1481943903,7824,7824
1481944503,7823,7823
1481945102,7824,7824
1481945704,7823,7823
1481946302,7813,7813
1481946902,7817,7817
1481947502,7831,7831
1481948102,7836,7836
1481948704,7873,7873
1481949303,7876,7876
1481949904,7926,7926
1481950502,7927,7927
1481950803,7925,7925
1481951402,7926,7926
1481952003,7935,7935
1481952603,7932,7932
1481953202,7935,7935
1481953804,7943,7943
1481954402,7943,7943
1481955002,7946,7946
1481955602,7994,7994
1481956203,8002,8002
1481956802,8003,8003
1481957403,8010,8010
1481958004,8037,8037
1481958603,8087,8087
1481959202,8189,8189
1481959802,8624,8624
1481960104,8639,8639
1481960703,8745,8745
1481961302,8748,8748
1481961605,8743,8743
1481962204,8741,8741
1481962802,8828,8828
1481963403,8831,8831
1481964002,8837,8837
1481964602,8830,8830
1481965203,8839,8839
1481965803,8836,8836
1481966403,8833,8833
1481967003,8834,8834
1481967305,8836,8836
1481967903,8840,8840
1481968503,8845,8845
1481969107,8832,8832
1481969702,8862,8862
1481970302,8866,8866
1481970604,8879,8879
1481971202,8871,8871
1481971803,8886,8886
1481972104,8890,8890
1481972704,8890,8890
1481973303,8886,8886
1481973606,8888,8888
1481974203,8889,8889
1481974804,8907,8907
1481975403,8925,8925
1481976002,8918,8918
1481976304,8902,8902
1481976903,8902,8902
1481977503,8938,8938
1481978102,8957,8957
1481978705,8956,8956
1481979303,8966,8966
1481979606,8953,8953
1481980205,8949,8949
1481980804,8929,8929
1481981403,8926,8926
1481982004,8943,8943
1481982604,8917,8917
1481983205,8915,8915
1481983801,8915,8915
1481984104,8903,8903
1481984704,8915,8915
1481985008,8826,8826
1481985604,8838,8838
1481986203,8828,8828
1481986804,8820,8820
1481987403,8842,8842
1481988004,8879,8879
1481988306,8871,8871
1481988903,8901,8901
1481989504,8920,8920
1481990102,8936,8936
1481990403,8950,8950
1481991004,8961,8961
1481991603,8945,8945
1481992202,8973,8973
1481992804,8955,8955
1481993404,8971,8971
1481994003,8987,8987
1481994604,9014,9014
1481995204,9023,9023
1481995506,9012,9012
1481996103,9018,9018
1481996409,8982,8982
1481997006,8973,8973
1481997604,8995,8995
1481998206,9087,9087
1481998804,9050,9050
1481999404,9066,9066
1482000003,9084,9084
1482000604,9062,9062
1482001206,9026,9026
1482001802,9022,9022
1482002403,9030,9030
1482003003,9048,9048
1482003604,9141,9141
1482004204,9179,9179
1482004804,9174,9174
1482005411,9077,9077
1482006003,9061,9061
1482006305,9035,9035
1482006903,9059,9059
1482007507,8983,8983
1482008102,8978,8978
1482008404,8966,8966
1482009003,8962,8962
1482010203,8897,8897
1482010803,8888,8888
1482011402,8901,8901
1482012003,8902,8902
1482012305,8890,8890
1482012902,8889,8889
1482013502,8902,8902
1482014103,8916,8916
1482014702,8940,8940
1482015303,8942,8942
1482015902,8943,8943
1482016503,8943,8943
1482017102,8941,8941
1482017703,8942,8942
1482018304,8923,8923
1482018906,8828,8828
1482019503,8828,8828
1482020103,8848,8848
1482020705,8842,8842
1482021305,8835,8835
1482021903,8798,8798
1482022503,8790,8790
1482022806,8765,8765
1482023403,8765,8765
1482024005,8734,8734
1482024604,8719,8719
1482025205,8722,8722
1482025801,8728,8728
1482026105,8722,8722
1482026703,8714,8714
1482027303,8701,8701
1482027903,8688,8688
1482028504,8660,8660
1482029102,8665,8665
1482029703,8656,8656
1482030303,8655,8655
1482030902,8659,8659
1482031204,8666,8666
1482031803,8678,8678
1482032402,8695,8695
1482033002,8710,8710
1482033303,8706,8706
1482034503,8690,8690
1482035103,8703,8703
1482035704,8698,8698
1482036305,8664,8664
1482036903,8664,8664
1482037502,8669,8669
1482038404,8677,8677
1482039002,8675,8675
1482039603,8672,8672
1482040203,8655,8655
1482040803,8649,8649
1482041402,8644,8644
1482042005,8607,8607
1482042904,8603,8603
1482043504,8602,8602
1482044105,8611,8611
1482044703,8606,8606
1482045006,8561,8561
1482045603,8465,8465
1482045955,8060,8060
1482046506,8057,8057
1482046808,7961,7961
1482047404,7950,7950
1482048004,7934,7934
1482048603,7944,7944
1482048907,7874,7874
1482049504,7871,7871
1482050103,7874,7874
1482050702,7867,7867
1482051304,7853,7853
1482051902,7850,7850
1482052504,7866,7866
1482053103,7865,7865
1482053703,7857,7857
1482054303,7849,7849
1482054904,7845,7845
1482055504,7827,7827
1482056106,7818,7818
1482056703,7811,7811
