DateTime,AddedIPs,RemovedIPs
1469215461,2122,102
1469237566,345,121
1469259629,67,10
1469281701,91,92
1469303557,485,4244
1469325647,460,525
1469347708,123,108
1469369804,428,65
1469391850,528,3245
1469413715,614,595
1469435803,5,62
1469457851,105,85
1469479714,405,607
1469501562,605,492
1469523649,12,123
1469545698,94,495
1469567815,9,386
1469589858,168,579
1469611705,3,3
1469633565,15,150
1469655621,995,620
1469677466,700,271
1469699312,39,13
1469721168,47,100
1469743280,585,25
1469765304,169,566
1469787408,6,4
1469809460,2250,14
1469831324,279,844
1469853382,81,742
1469875232,7,33
1469897308,1059,33
1469919398,69,80
1469941253,182,67
1469963312,110,8
1469985166,630,1462
1470007215,837,329
1470029056,242,67
1470050910,150,11
1470072758,998,1705
1470094845,369,391
1470116910,14,11
1470138859,4,94
1470160840,676,231
1470182690,105,575
1470204750,149,130
1470226686,34,133
1470248662,17,1401
1470270551,5,1041
1470292588,62,158
1470314665,17,4
1470336544,1916,943
1470358593,952,144
1470380447,59,332
1470402506,13,31
1470424354,1003,17
1470446528,155,3
1470468494,42,31
1470490365,45,18
1470512423,9,1353
1470534264,3,622
1470556112,322,32
1470578203,72,12
1470600271,64,1597
1470622355,43,867
1470644438,106,56
1470666515,13,62
1470688596,1511,10
1470710657,886,2
1470732506,83,583
1470754594,31,92
1470776456,399,72
1470798512,365,54
1470820370,8,153
1470842465,71,14
1470864309,796,211
1470886381,94,98
1470908453,17,118
1470930501,103,33
1470952364,422,71
1470974447,671,355
1470996513,49,9
1471018362,60,72
1471040444,499,1199
1471062511,540,625
1471084357,44,23
1471106418,32,88
1471128273,245,688
1471150356,158,578
1471172568,63,55
1471194503,3418,41
1471216602,648,193
1471238652,83,266
1471260515,67,20
1471282385,1236,15
1471304429,6,754
1471326278,56,792
1471348350,57,21
1471370475,3019,687
1471392519,637,665
1471414360,35,41
1471436456,18,26
1471458499,1103,1222
1471480353,229,3
1471502216,7,67
1471524268,7,41
1471546115,483,1105
1471568201,107,122
1471590230,74,23
1471612121,42,15
1471634208,684,1856
1471656265,99,183
1471678350,787,7
1471700194,21,7
1471722037,74,3868
1471744103,260,180
1471765952,131,239
1471787795,37,74
1471809651,501,297
1471831712,723,262
1471853566,66,836
1471875663,117,55
1471897708,177,428
1471919554,288,652
1471941728,130,155
1471963702,74,38
1471985804,220,50
1472007688,415,199
1472029820,103,65
1472051786,81,106
