DateTime,Entries,UniqueIPs
1469237566,1196,1196
1469259629,104,104
1469281701,134,134
1469303557,1198,1198
1469325647,1207,1207
1469347708,183,183
1469369804,590,590
1469391850,1203,1203
1469413715,1363,1363
1469435803,15,15
1469457851,172,172
1469479714,1279,1279
1469501562,1506,1506
1469523649,27,27
1469545698,143,143
1469567815,105,105
1469589858,1312,1312
1469611705,15,15
1469633565,33,33
1469655621,1764,1764
1469677466,1437,1437
1469699312,81,81
1469721168,65,65
1469743280,1281,1281
1469765304,286,286
1469787408,25,25
1469809460,3218,3218
1469831324,1617,1617
1469853382,209,209
1469875232,31,31
1469897308,2677,2677
1469919398,1270,1270
1469941253,259,259
1469963312,168,168
1469985166,1318,1318
1470007215,1673,1673
1470029056,372,372
1470050910,247,247
1470072758,2425,2425
1470094845,1589,1589
1470116910,265,265
1470138859,17,17
1470160840,1517,1517
1470182690,391,391
1470204750,570,570
1470226686,89,89
1470248662,42,42
1470270551,21,21
1470292588,124,124
1470314665,47,47
1470336544,2714,2714
1470358593,1453,1453
1470380447,149,149
1470402506,46,46
1470424354,2361,2361
1470446528,887,887
1470468494,138,138
1470490365,102,102
1470512423,27,27
1470534264,18,18
1470556112,735,735
1470578203,126,126
1470600271,95,95
1470622355,79,79
1470644438,194,194
1470666515,37,37
1470688596,1566,1566
1470710657,1357,1357
1470732506,155,155
1470754594,52,52
1470776456,1404,1404
1470798512,1426,1426
1470820370,31,31
1470842465,100,100
1470864309,2551,2551
1470886381,1304,1304
1470908453,40,40
1470930501,126,126
1470952364,1503,1503
1470974447,1405,1405
1470996513,78,78
1471018362,80,80
1471040444,1329,1329
1471062511,1189,1189
1471084357,60,60
1471106418,57,57
1471128273,1369,1369
1471150356,1319,1319
1471172568,87,87
1471194503,4006,4006
1471216602,1266,1266
1471238652,185,185
1471260515,176,176
1471282385,4111,4111
1471304429,25,25
1471326278,180,180
1471348350,175,175
1471370475,6270,6270
1471392519,1300,1300
1471414360,158,158
1471436456,59,59
1471458499,5996,5996
1471480353,1278,1278
1471502216,33,33
1471524268,27,27
1471546115,5125,5125
1471568201,1331,1331
1471590230,359,359
1471612121,109,109
1471634208,1455,1455
1471656265,1104,1104
1471678350,1502,1502
1471700194,94,94
1471722037,1153,1153
1471744103,1243,1243
1471765952,218,218
1471787795,68,68
1471809651,1053,1053
1471831712,1415,1415
1471853566,100,100
1471875663,151,151
1471897708,1308,1308
1471919554,1290,1290
1471941728,194,194
1471963702,99,99
1471985804,1364,1364
1472007688,1189,1189
1472029820,144,144
1472051786,121,121
1472073742,1418,1418
1472095723,1313,1313
1472117566,204,204
1472139412,159,159
1472161475,1382,1382
1472183317,1427,1427
1472205173,161,161
1472227289,198,198
1472249309,1142,1142
1472271163,2273,2273
