DateTime,Entries,UniqueIPs
1479483844,6925,6925
1479491526,6951,6951
1479499216,6944,6944
1479501123,6932,6932
1479506886,6925,6925
1479515046,6894,6894
1479518884,6909,6909
1479526804,6888,6888
1479528977,6879,6879
1479532808,6873,6873
1479536645,6866,6866
1479542418,6884,6884
1479550086,6926,6926
1479555843,6935,6935
1479565444,6946,6946
1479569285,6941,6941
1479573124,6958,6958
1479578885,6973,6973
1479582724,6988,6988
1479590404,6977,6977
1479596165,6947,6947
1479604085,6953,6953
1479610083,6928,6928
1479617764,6919,6919
1479619683,6906,6906
1479623765,6902,6902
1479627605,6915,6915
1479629525,6923,6923
1479635286,6939,6939
1479641044,6975,6975
1479644884,6977,6977
1479647762,6987,6987
1479653523,6992,6992
1479659282,6995,6995
1479665043,6999,6999
1479670804,6997,6997
1479674884,6999,6999
1479680644,6969,6969
1479688325,6907,6907
1479692165,6924,6924
1479694084,6933,6933
1479700323,6907,6907
1479706083,6896,6896
1479708016,6894,6894
1479715684,6914,6914
1479721443,6924,6924
1479723603,6947,6947
1479729365,6957,6957
1479735130,6959,6959
1479741127,6967,6967
1479744966,6954,6954
1479748806,6941,6941
1479752645,6959,6959
1479756484,6975,6975
1479763443,6960,6960
1479769230,6928,6928
1479776885,6943,6943
1479784804,6921,6921
1479788644,6895,6895
1479792484,6889,6889
1479796323,6887,6887
1479802323,6892,6892
1479810003,6900,6900
1479817683,6927,6927
1479822483,6935,6935
1479830163,6945,6945
1479836883,6952,6952
1479844809,6964,6964
1479852484,6942,6942
1479858243,6876,6876
1479865925,6887,6887
1479871689,6879,6879
1479878403,6857,6857
1479884164,6859,6859
1479888007,6883,6883
1479895684,6906,6906
1479903363,6897,6897
1479907444,6909,6909
1479911283,6920,6920
1479915125,6917,6917
1479918963,6928,6928
1479922804,6940,6940
1479928577,6949,6949
1479932409,6957,6957
1479938164,6943,6943
1479942977,6937,6937
1479948726,6907,6907
1479952564,6919,6919
1479958325,6893,6893
1479966006,6902,6902
1479967926,6898,6898
1479975605,6941,6941
1479979445,6940,6940
1479986176,6949,6949
1479988083,6959,6959
1479990013,6966,6966
1479995763,6972,6972
1479999611,6984,6984
1480003684,6978,6978
1480011363,6983,6983
1480017124,6994,6994
1480022883,6986,6986
1480026723,6980,6980
1480032484,6933,6933
1480038243,6931,6931
1480040167,6931,6931
1480044016,6919,6919
1480047845,6913,6913
1480054564,6912,6912
1480058418,6924,6924
1480064165,6937,6937
1480066083,6956,6956
1480069924,6955,6955
1480073764,6948,6948
1480081682,6964,6964
1480087444,6973,6973
1480091283,6976,6976
