DateTime,Entries,UniqueIPs
1481222924,5055,5146
1481224830,5049,5140
1481226772,5045,5136
1481228910,5047,5139
1481230878,5044,5136
1481232748,5032,5124
1481234693,5032,5124
1481236604,5021,5113
1481238549,5019,5111
1481240421,5011,5103
1481242605,4997,5091
1481244515,4997,5091
1481246447,4991,5085
1481248355,4989,5083
1481250282,4981,5075
1481254113,4956,5050
1481256079,4955,5050
1481257959,4960,5055
1481259869,4952,5048
1481261801,4948,5043
1481263707,4938,5033
1481265633,4922,5016
1481267547,4916,5010
1481269478,4910,5004
1481271403,4906,5000
1481273327,4914,5008
1481275233,4924,5018
1481277171,4939,5033
1481279071,4935,5028
1481281003,4937,5031
1481282928,4933,5027
1481284934,4936,5030
1481286761,4927,5021
1481288940,4934,5028
1481290835,4923,5017
1481292756,4936,5031
1481294923,4936,5031
1481296839,4940,5037
1481298769,4947,5043
1481300696,4958,5053
1481302602,4961,5056
1481304529,4973,5067
1481306498,4969,5062
1481308370,4961,5054
1481310409,4956,5049
1481312418,4955,5047
1481314339,4951,5043
1481316251,4952,5044
1481318432,4965,5058
1481320343,4959,5052
1481322251,4948,5041
1481324176,4936,5029
1481326091,4935,5028
1481328069,4923,5016
1481329937,4929,5022
1481332131,4929,5022
1481334020,4923,5017
1481336201,4927,5021
1481338402,4912,5009
1481340246,4905,5003
1481342180,4906,5005
1481344109,4912,5012
1481346077,4919,5019
1481348002,4935,5032
1481349863,4935,5031
1481351784,4933,5030
1481353718,4939,5036
1481357797,4933,5030
1481359737,4933,5030
1481361626,4947,5044
1481363555,4946,5043
1481365464,4933,5030
1481367380,4937,5036
1481369295,4941,5039
1481371275,4939,5038
1481373140,4943,5044
1481375328,4946,5046
1481377224,4944,5044
1481379160,4951,5052
1481381079,4953,5054
1481383001,4951,5052
1481384909,4959,5060
1481386829,4961,5062
1481388748,4966,5067
1481390662,4980,5079
1481392589,4976,5073
1481394498,4983,5080
1481396479,5000,5097
1481398352,4991,5090
1481400269,4992,5091
1481402187,5001,5095
1481404131,4985,5080
1481406033,4986,5080
1481407955,4976,5071
1481409861,4971,5067
1481411789,4956,5049
1481413708,4954,5042
1481415642,4973,5061
1481417556,4964,5052
1481419464,4972,5058
1481421386,4974,5060
1481423301,4969,5055
1481425274,4963,5049
1481427156,4966,5053
1481429068,4979,5066
1481430983,4988,5076
1481432899,4995,5083
1481434818,4991,5079
1481436735,4999,5089
1481438678,5003,5097
1481440601,5004,5099
1481442512,4998,5092
1481444433,4999,5093
1481446366,5022,5117
1481448282,5039,5135
1481450193,5028,5125
1481452119,5016,5113
1481454086,5008,5105
1481455948,5010,5107
1481457871,5010,5106
1481459795,5004,5100
1481461730,4996,5095
1481463632,4992,5095
1481465557,4981,5083
1481467466,4975,5075
1481469640,4974,5076
1481471570,4965,5067
1481473456,4953,5055
1481475384,4945,5047
1481477303,4948,5049
1481479279,4958,5061
1481481147,4967,5070
1481483328,4965,5067
1481485216,4969,5070
1481487148,4968,5069
1481489067,4966,5068
1481490981,4974,5077
1481493165,4980,5083
1481495066,4972,5073
1481496988,4976,5076
1481498917,4968,5068
1481500876,4965,5065
1481502750,4976,5076
1481504673,4971,5070
1481506600,4970,5069
1481508503,4961,5061
1481510424,4963,5063
1481512364,4958,5059
1481514264,4956,5057
1481516196,4956,5056
1481518114,4946,5049
1481520028,4950,5052
1481521949,4944,5047
1481523852,4935,5039
1481525776,4934,5040
1481527710,4942,5048
1481529705,4937,5043
1481531548,4936,5041
1481533719,4930,5035
1481535632,4922,5028
1481537540,4912,5018
1481539448,4899,5005
1481541382,4896,5002
1481543305,4904,5010
1481545246,4896,5002
1481547147,4887,4993
1481549074,4878,4984
1481550990,4865,4971
1481552904,4848,4953
1481554879,4844,4949
1481556750,4830,4934
1481558675,4798,4902
1481560590,4793,4897
1481562525,4791,4894
1481564431,4771,4872
1481566364,4765,4867
1481568251,4758,4859
1481570178,4753,4854
1481572102,4762,4862
1481574034,4766,4867
1481575958,4757,4858
1481577851,4769,4869
1481579782,4774,4875
1481581700,4780,4882
1481583690,4770,4872
1481585536,4755,4857
1481587465,4761,4864
1481589378,4758,4861
1481591297,4761,4864
1481593227,4759,4862
1481595145,4762,4865
1481597062,4767,4870
1481598986,4780,4883
1481600903,4791,4894
1481602832,4800,4904
1481604753,4800,4904
1481606667,4807,4912
1481608593,4824,4929
1481610516,4827,4932
1481612507,4835,4940
1481614350,4824,4929
1481616264,4827,4932
1481618188,4844,4949
1481620117,4834,4939
1481622034,4835,4940
1481623951,4834,4938
1481625863,4829,4934
1481627801,4831,4936
1481629704,4836,4941
1481631637,4831,4936
1481633552,4828,4933
1481635460,4826,4931
1481637391,4817,4921
1481639311,4819,4923
1481641290,4799,4903
1481643138,4801,4905
1481645067,4799,4903
1481646977,4805,4909
1481648930,4797,4901
1481651090,4785,4888
1481652987,4785,4888
1481654900,4764,4866
1481656823,4745,4847
1481658752,4756,4859
1481660922,4757,4860
1481662882,4762,4865
1481664767,4763,4866
1481666672,4754,4857
1481668597,4759,4862
1481670534,4765,4868
1481672413,4770,4873
1481674353,4767,4869
1481676265,4769,4871
1481678201,4773,4875
1481680120,4766,4868
1481682033,4781,4883
1481683954,4768,4871
1481685856,4766,4869
1481687818,4763,4865
1481689715,4770,4873
1481691683,4772,4875
1481693561,4770,4873
1481695473,4761,4863
1481697426,4770,4872
1481699319,4762,4863
1481701227,4749,4850
1481703153,4757,4858
1481705064,4750,4850
1481707006,4739,4839
1481708918,4760,4860
1481710830,4757,4857
1481712751,4762,4862
1481714666,4755,4855
1481716604,4751,4852
1481718511,4758,4859
1481720490,4757,4858
1481722374,4743,4844
1481724272,4729,4830
1481726198,4725,4826
1481728143,4707,4808
1481730021,4691,4794
1481731958,4698,4802
1481733871,4703,4808
1481735810,4709,4814
1481737715,4716,4820
1481739876,4725,4829
1481741786,4715,4819
1481743972,4705,4809
1481745907,4703,4805
1481747796,4700,4802
1481749718,4702,4805
1481751640,4693,4796
1481753604,4695,4798
1481755459,4697,4801
1481757378,4702,4806
1481759309,4717,4821
1481761228,4726,4832
1481763162,4723,4829
1481765058,4737,4843
1481766983,4736,4843
1481768895,4736,4843
1481770907,4740,4846
1481772766,4741,4847
1481774686,4746,4852
1481776596,4749,4856
1481778510,4761,4868
1481780423,4756,4864
1481782356,4750,4857
1481784267,4742,4849
1481786448,4745,4853
1481788354,4726,4832
1481790269,4721,4827
1481792193,4721,4827
1481794379,4711,4815
1481796273,4702,4806
1481798199,4681,4785
1481800131,4679,4782
1481802052,4672,4775
1481803973,4665,4768
1481805872,4669,4772
1481807818,4664,4768
1481809730,4649,4752
1481811644,4640,4744
1481813559,4637,4739
1481815756,4637,4739
1481817722,4641,4742
1481819549,4647,4749
1481821490,4640,4743
1481823385,4639,4742
1481825339,4621,4722
1481827230,4609,4709
1481829164,4606,4706
1481831051,4616,4716
1481832992,4625,4725
1481834903,4620,4721
1481836830,4626,4727
1481838746,4631,4735
1481840662,4631,4737
1481842585,4626,4733
1481844510,4630,4737
1481846486,4627,4734
1481848363,4628,4734
1481850291,4628,4733
1481852209,4633,4737
1481854098,4624,4727
1481856032,4623,4726
1481857944,4632,4735
1481859859,4626,4729
1481861790,4626,4732
1481863716,4623,4728
1481865629,4626,4730
1481867557,4618,4722
1481869461,4612,4716
1481871394,4603,4707
1481873300,4596,4700
1481875306,4586,4691
1481877150,4565,4670
1481879072,4551,4656
1481880979,4547,4652
1481882912,4547,4652
1481884813,4536,4641
1481886752,4529,4635
1481888673,4518,4625
1481890580,4509,4617
1481892503,4510,4617
1481894430,4501,4607
1481896355,4493,4599
1481898272,4484,4590
1481900186,4488,4594
1481902120,4482,4588
1481904102,4484,4590
1481905954,4484,4589
1481907870,4490,4595
1481909805,4479,4584
1481911730,4479,4582
1481913635,4481,4583
1481915560,4483,4586
1481917472,4504,4607
1481919637,4523,4626
1481921557,4528,4631
1481923468,4535,4638
1481925387,4536,4639
1481927308,4538,4641
1481929296,4533,4636
