DateTime,AddedIPs,RemovedIPs
1481257959,50,45
1481259869,42,50
1481261801,36,40
1481263707,39,37
1481265633,49,45
1481267547,39,49
1481269478,55,40
1481271403,54,50
1481273327,44,50
1481275233,44,51
1481277171,52,43
1481279071,29,55
1481281003,29,30
1481282928,24,30
1481284934,29,25
1481286761,29,26
1481288940,35,24
1481290835,27,33
1481292756,44,32
1481294923,32,42
1481296839,35,26
1481298769,29,46
1481300696,45,27
1481302602,22,46
1481304529,51,20
1481306498,20,47
1481308370,15,25
1481310409,22,14
1481312418,19,20
1481314339,25,20
1481316251,22,27
1481318432,36,18
1481320343,15,37
1481322251,26,20
1481324176,15,25
1481326091,27,15
1481328069,22,26
1481329937,49,21
1481332131,34,39
1481334020,10,44
1481336201,34,13
1481338402,12,35
1481340246,42,10
1481342180,31,34
1481344109,35,33
1481346077,37,36
1481348002,41,38
1481349863,27,28
1481351784,40,40
1481353718,37,38
1481357797,49,41
1481359737,41,45
1481361626,42,42
1481363555,35,42
1481365464,12,39
1481367380,20,14
1481369295,21,21
1481371275,25,21
1481373140,39,20
1481375328,35,36
1481377224,40,38
1481379160,49,38
1481381079,40,50
1481383001,33,33
1481384909,34,33
1481386829,48,36
1481388748,44,55
1481390662,51,41
1481392589,28,50
1481394498,32,29
1481396479,48,32
1481398352,43,46
1481400269,33,32
1481402187,40,45
1481404131,33,43
1481406033,41,30
1481407955,27,47
1481409861,25,30
1481411789,32,21
1481413708,40,31
1481415642,42,43
1481417556,34,39
1481419464,31,32
1481421386,53,34
1481423301,42,46
1481425274,43,41
1481427156,43,42
1481429068,27,30
1481430983,33,40
1481432899,49,30
1481434818,43,57
1481436735,39,42
1481438678,46,39
1481440601,36,44
1481442512,46,38
1481444433,30,53
1481446366,55,29
1481448282,46,51
1481450193,41,46
1481452119,9,46
1481454086,13,12
1481455948,12,13
1481457871,8,13
1481459795,29,7
1481461730,42,21
1481463632,43,44
1481465557,27,43
1481467466,47,28
1481469640,32,43
1481471570,32,28
1481473456,29,40
1481475384,26,28
1481477303,38,25
