DateTime,AddedIPs,RemovedIPs
1476779287,5,3
1476789953,6,7
1476800734,4,6
1476811643,5,6
1476822280,5,3
1476832680,9,6
1476842907,6,6
1476853460,5,1
1476864372,6,4
1476874695,1,3
1476885426,6,2
1476896629,3,4
1476907146,9,4
1476917713,4,7
1476928735,3,3
1476939822,5,6
1476950612,4,1
1476961505,4,4
1476972286,5,3
1476982855,4,7
1476993799,5,11
1477004409,5,3
1477015267,5,6
1477026014,4,8
1477036943,2,5
1477047376,1,4
1477058252,3,4
1477069411,6,7
1477079931,3,3
1477090714,3,2
1477101167,5,2
1477111810,1,6
1477121546,4,4
1477132324,2,3
1477143164,2,4
1477154047,6,4
1477164742,2,5
1477175767,4,6
1477186702,4,5
1477197714,5,1
1477208462,4,4
1477219375,3,4
1477230411,3,4
1477241501,7,5
1477252548,5,5
1477262997,4,4
1477273845,4,3
1477284976,7,1
1477295996,6,4
1477306681,7,7
1477317608,3,10
1477328644,5,4
1477339521,7,4
1477350174,3,3
1477361290,1,3
1477372279,2,1
1477383258,1,5
1477393959,4,8
1477404602,8,3
1477415555,6,2
1477426532,4,5
1477437624,6,5
1477448631,11,3
1477459517,9,4
1477470467,4,4
1477480916,14,3
1477491774,9,7
1477502850,8,8
1477513436,7,4
1477523931,7,4
1477534979,8,0
1477546058,4,3
1477556659,8,1
1477567476,10,2
1477578450,3,2
1477589381,5,3
1477600003,13,3
1477611072,10,1
1477622109,10,2
1477633129,6,1
1477644103,5,0
1477655058,7,6
1477665784,8,5
1477676871,8,4
1477687835,10,7
1477698953,9,5
1477710005,13,4
1477721185,17,8
1477732171,5,5
1477743120,13,2
1477754299,10,5
1477765224,14,4
1477775576,8,8
1477790134,14,3
1477800967,10,3
1477812241,9,2
1477823206,10,9
1477834291,11,6
1477845368,15,8
1477856437,10,6
1477867428,7,5
1477878483,14,8
1477889056,6,6
1477900003,12,8
1477910726,9,3
1477921629,12,4
1477932720,11,8
1477943965,7,11
1477955052,7,6
1477966036,8,4
1477976769,5,4
1477987289,5,7
1477998173,4,9
1478009221,8,6
1478020195,7,6
1478031124,4,8
1478041624,8,6
1478052552,8,8
1478063469,4,4
1478074496,7,7
1478085377,0,4
1478096267,4,3
1478107193,5,9
1478118373,10,5
1478129272,4,5
1478140333,9,4
1478151372,5,9
1478162303,9,2
1478172898,7,9
1478183900,8,5
1478194443,4,5
1478205365,8,3
1478216376,4,6
1478227267,5,3
1478238189,0,2
1478248422,2,6
1478259065,6,3
1478270183,3,6
1478281043,6,6
1478291827,6,2
1478302752,4,4
1478313551,1,5
1478324499,7,12
1478335271,6,4
1478345981,8,4
1478356994,3,7
1478367861,4,8
1478378401,2,5
1478388658,3,7
1478399322,4,8
1478410235,5,7
1478421353,6,12
1478432168,4,6
1478443121,1,6
1478454088,7,8
1478464915,8,9
1478475681,6,10
1478486225,3,7
1478496696,3,7
1478507487,3,3
1478518353,3,6
1478529362,5,5
1478540353,5,12
1478551147,3,6
1478562212,6,9
1478573267,7,6
1478583466,5,6
1478594021,6,4
1478604728,6,6
1478615606,4,3
1478626535,15,2
1478637547,5,6
1478648114,8,3
1478659182,4,5
1478670198,6,2
1478681208,7,7
1478692574,12,5
1478703627,11,8
1478714650,9,8
1478725405,8,5
1478736710,13,9
1478747574,2,7
1478758738,11,8
1478769294,9,5
1478780394,7,6
1478790713,7,14
1478801683,6,13
1478812591,4,7
1478822997,5,13
1478833830,5,10
1478844985,3,15
1478855998,10,15
1478866871,12,13
1478877562,6,10
1478888782,5,10
1478899439,15,7
1478910263,4,13
1478921152,3,8
1478932039,5,9
1478943093,8,6
1478954156,6,8
1478964970,10,4
1478976033,8,8
1478986866,13,10
1478997734,10,5
1479008578,10,8
1479019434,6,8
1479030267,6,4
1479041003,7,5
1479052019,2,8
1479063123,6,4
1479074109,6,11
1479084954,6,6
1479095851,8,5
1479106697,8,9
1479117401,2,5
1479128188,7,6
1479139251,12,9
1479150157,5,9
1479161141,7,6
1479171902,3,7
1479182161,6,4
1479193163,5,2
1479204203,1,7
1479215173,7,9
1479226086,5,6
1479237087,6,4
1479248407,11,9
1479259248,2,10
1479270234,7,7
1479280940,4,10
1479291815,3,10
1479302626,3,7
1479313425,5,5
1479324142,2,12
1479335193,6,11
1479346197,5,5
1479357108,3,8
1479368087,5,2
1479379138,6,4
1479390011,8,5
1479400985,2,4
1479411667,5,5
1479422582,3,6
1479433534,7,6
1479444229,5,8
1479455207,9,4
1479466262,5,0
1479477333,4,2
1479487939,7,4
1479498931,5,6
1479510039,4,6
1479521047,4,6
1479531389,3,9
1479542263,5,5
1479552544,3,4
1479563511,5,3
1479574282,6,4
1479585250,3,4
1479595277,5,8
1479605964,4,7
1479616884,4,6
1479627658,1,2
1479638546,6,3
1479649345,8,5
1479660026,4,7
1479670948,3,8
1479682095,4,2
1479693054,4,3
1479704114,4,4
1479714979,3,2
1479725801,3,2
1479736840,6,4
1479747913,10,3
1479758884,1,5
1479769880,3,8
1479779554,5,2
1479790512,5,2
1479801152,2,7
1479811950,6,3
1479822830,6,9
1479833749,4,4
1479844823,6,6
1479856117,15,4
1479867127,12,6
1479877705,5,8
1479888133,6,9
1479899006,8,3
1479910041,3,4
1479920828,7,2
1479931862,9,7
1479942902,7,3
1479953485,7,4
1479963731,2,3
1479974364,3,4
1479985241,3,2
1479995886,12,3
1480005820,5,10
1480016765,7,12
1480027672,9,10
1480038693,5,11
1480049765,6,10
1480060238,8,8
1480071219,14,8
1480082051,7,12
1480092893,5,14
1480104028,5,12
1480115045,7,5
1480125815,6,5
1480136880,8,7
1480147911,10,8
1480158815,9,14
1480169753,6,8
1480180646,6,5
1480191436,9,10
1480202273,8,7
1480213204,9,9
1480223975,4,7
1480235038,6,9
1480245946,4,7
1480256826,5,7
1480267812,2,12
1480278716,7,11
1480289741,4,12
1480300521,4,17
1480311524,7,11
1480322645,2,12
1480333548,8,15
1480344260,11,5
1480355287,8,11
1480366225,12,11
1480377348,3,11
1480388186,6,7
1480398854,1,2
1480409461,7,7
1480420367,6,16
1480431273,18,10
1480441652,10,13
1480452615,8,4
1480463444,8,4
1480474286,7,9
1480485230,3,8
1480496017,2,6
1480506885,9,10
1480517946,12,7
1480528940,10,10
1480539730,8,8
1480550573,7,5
1480560788,8,2
1480571766,5,3
1480582561,5,7
1480593573,5,8
1480604670,6,8
1480615469,8,10
1480626334,8,7
1480637186,6,5
1480648274,5,6
1480659363,3,3
1480669753,2,4
1480680620,7,3
1480691484,5,2
1480702445,8,6
1480713009,5,7
1480723923,3,3
1480734970,9,0
1480746023,4,5
1480757284,7,7
1480768291,9,9
1480779271,5,8
1480790304,6,3
1480801278,5,7
1480812195,7,11
1480823039,6,4
1480834260,8,3
1480845248,5,6
1480855886,4,0
1480866803,12,3
1480877600,8,5
1480887939,6,7
1480898853,7,1
