DateTime,Entries,UniqueIPs
1476757179,1313,1313
1476768133,1311,1311
1476779287,1313,1313
1476789953,1312,1312
1476800734,1310,1310
1476811643,1309,1309
1476822280,1311,1311
1476832680,1314,1314
1476842907,1314,1314
1476853460,1318,1318
1476864372,1320,1320
1476874695,1318,1318
1476885426,1322,1322
1476896629,1321,1321
1476907146,1326,1326
1476917713,1323,1323
1476928735,1323,1323
1476939822,1322,1322
1476950612,1325,1325
1476961505,1325,1325
1476972286,1327,1327
1476982855,1324,1324
1476993799,1318,1318
1477004409,1320,1320
1477015267,1319,1319
1477026014,1315,1315
1477036943,1312,1312
1477047376,1309,1309
1477058252,1308,1308
1477069411,1307,1307
1477079931,1307,1307
1477090714,1308,1308
1477101167,1311,1311
1477111810,1306,1306
1477121546,1306,1306
1477132324,1305,1305
1477143164,1303,1303
1477154047,1305,1305
1477164742,1302,1302
1477175767,1300,1300
1477186702,1299,1299
1477197714,1303,1303
1477208462,1303,1303
1477219375,1302,1302
1477230411,1301,1301
1477241501,1303,1303
1477252548,1303,1303
1477262997,1303,1303
1477273845,1304,1304
1477284976,1310,1310
1477295996,1312,1312
1477306681,1312,1312
1477317608,1305,1305
1477328644,1306,1306
1477339521,1309,1309
1477350174,1309,1309
1477361290,1307,1307
1477372279,1308,1308
1477383258,1304,1304
1477393959,1300,1300
1477404602,1305,1305
1477415555,1309,1309
1477426532,1308,1308
1477437624,1309,1309
1477448631,1317,1317
1477459517,1322,1322
1477470467,1322,1322
1477480916,1333,1333
1477491774,1335,1335
1477502850,1335,1335
1477513436,1338,1338
1477523931,1341,1341
1477534979,1349,1349
1477546058,1350,1350
1477556659,1357,1357
1477567476,1365,1365
1477578450,1366,1366
1477589381,1368,1368
1477600003,1378,1378
1477611072,1387,1387
1477622109,1395,1395
1477633129,1400,1400
1477644103,1405,1405
1477655058,1406,1406
1477665784,1409,1409
1477676871,1413,1413
1477687835,1416,1416
1477698953,1420,1420
1477710005,1429,1429
1477721185,1438,1438
1477732171,1438,1438
1477743120,1449,1449
1477754299,1454,1454
1477765224,1464,1464
1477775576,1464,1464
1477790134,1475,1475
1477800967,1482,1482
1477812241,1489,1489
1477823206,1490,1490
1477834291,1495,1495
1477845368,1502,1502
1477856437,1506,1506
1477867428,1508,1508
1477878483,1514,1514
1477889056,1514,1514
1477900003,1518,1518
1477910726,1524,1524
1477921629,1532,1532
1477932720,1535,1535
1477943965,1531,1531
1477955052,1532,1532
1477966036,1536,1536
1477976769,1537,1537
1477987289,1535,1535
1477998173,1530,1530
1478009221,1532,1532
1478020195,1533,1533
1478031124,1529,1529
1478041624,1531,1531
1478052552,1531,1531
1478063469,1531,1531
1478074496,1531,1531
1478085377,1527,1527
1478096267,1528,1528
1478107193,1524,1524
1478118373,1529,1529
1478129272,1528,1528
1478140333,1533,1533
1478151372,1529,1529
1478162303,1536,1536
1478172898,1534,1534
1478183900,1537,1537
1478194443,1536,1536
1478205365,1541,1541
1478216376,1539,1539
1478227267,1541,1541
1478238189,1539,1539
1478248422,1535,1535
1478259065,1538,1538
1478270183,1535,1535
1478281043,1535,1535
1478291827,1539,1539
1478302752,1539,1539
1478313551,1535,1535
1478324499,1530,1530
1478335271,1532,1532
1478345981,1536,1536
1478356994,1532,1532
1478367861,1528,1528
1478378401,1525,1525
1478388658,1521,1521
1478399322,1517,1517
1478410235,1515,1515
1478421353,1509,1509
1478432168,1507,1507
1478443121,1502,1502
1478454088,1501,1501
1478464915,1500,1500
1478475681,1496,1496
1478486225,1492,1492
1478496696,1488,1488
1478507487,1488,1488
1478518353,1485,1485
1478529362,1485,1485
1478540353,1478,1478
1478551147,1475,1475
1478562212,1472,1472
1478573267,1473,1473
1478583466,1472,1472
1478594021,1474,1474
1478604728,1474,1474
1478615606,1475,1475
1478626535,1488,1488
1478637547,1487,1487
1478648114,1492,1492
1478659182,1491,1491
1478670198,1495,1495
1478681208,1495,1495
1478692574,1502,1502
1478703627,1505,1505
1478714650,1506,1506
1478725405,1509,1509
1478736710,1513,1513
1478747574,1508,1508
1478758738,1511,1511
1478769294,1515,1515
1478780394,1516,1516
1478790713,1509,1509
1478801683,1502,1502
1478812591,1499,1499
1478822997,1491,1491
1478833830,1486,1486
1478844985,1474,1474
1478855998,1469,1469
1478866871,1468,1468
1478877562,1464,1464
1478888782,1459,1459
1478899439,1467,1467
1478910263,1458,1458
1478921152,1453,1453
1478932039,1449,1449
1478943093,1451,1451
1478954156,1449,1449
1478964970,1455,1455
1478976033,1455,1455
1478986866,1458,1458
1478997734,1463,1463
1479008578,1465,1465
1479019434,1463,1463
1479030267,1465,1465
1479041003,1467,1467
1479052019,1461,1461
1479063123,1463,1463
1479074109,1458,1458
1479084954,1458,1458
1479095851,1461,1461
1479106697,1460,1460
1479117401,1457,1457
1479128188,1458,1458
1479139251,1461,1461
1479150157,1457,1457
1479161141,1458,1458
1479171902,1454,1454
1479182161,1456,1456
1479193163,1459,1459
1479204203,1453,1453
1479215173,1451,1451
1479226086,1450,1450
1479237087,1452,1452
1479248407,1454,1454
1479259248,1446,1446
1479270234,1446,1446
1479280940,1440,1440
1479291815,1433,1433
1479302626,1429,1429
1479313425,1429,1429
1479324142,1419,1419
1479335193,1414,1414
1479346197,1414,1414
1479357108,1409,1409
1479368087,1412,1412
1479379138,1414,1414
1479390011,1417,1417
1479400985,1415,1415
1479411667,1415,1415
1479422582,1412,1412
1479433534,1413,1413
1479444229,1410,1410
1479455207,1415,1415
1479466262,1420,1420
1479477333,1422,1422
1479487939,1425,1425
1479498931,1424,1424
1479510039,1422,1422
1479521047,1420,1420
1479531389,1414,1414
1479542263,1414,1414
1479552544,1413,1413
1479563511,1415,1415
1479574282,1417,1417
1479585250,1416,1416
1479595277,1413,1413
1479605964,1410,1410
1479616884,1408,1408
1479627658,1407,1407
1479638546,1410,1410
1479649345,1413,1413
1479660026,1410,1410
1479670948,1405,1405
1479682095,1407,1407
1479693054,1408,1408
1479704114,1408,1408
1479714979,1409,1409
1479725801,1410,1410
1479736840,1412,1412
1479747913,1419,1419
1479758884,1415,1415
1479769880,1410,1410
1479779554,1413,1413
1479790512,1416,1416
1479801152,1411,1411
1479811950,1414,1414
1479822830,1411,1411
1479833749,1411,1411
1479844823,1411,1411
1479856117,1422,1422
1479867127,1428,1428
1479877705,1425,1425
1479888133,1422,1422
1479899006,1427,1427
1479910041,1426,1426
1479920828,1431,1431
1479931862,1433,1433
1479942902,1437,1437
1479953485,1440,1440
1479963731,1439,1439
1479974364,1438,1438
1479985241,1439,1439
1479995886,1448,1448
1480005820,1443,1443
1480016765,1438,1438
1480027672,1437,1437
1480038693,1431,1431
1480049765,1427,1427
1480060238,1427,1427
1480071219,1433,1433
1480082051,1428,1428
1480092893,1419,1419
1480104028,1412,1412
1480115045,1414,1414
1480125815,1415,1415
1480136880,1416,1416
1480147911,1418,1418
1480158815,1413,1413
1480169753,1411,1411
1480180646,1412,1412
1480191436,1411,1411
1480202273,1412,1412
1480213204,1412,1412
1480223975,1409,1409
1480235038,1406,1406
1480245946,1403,1403
1480256826,1401,1401
1480267812,1391,1391
1480278716,1387,1387
1480289741,1379,1379
1480300521,1366,1366
1480311524,1362,1362
1480322645,1352,1352
1480333548,1345,1345
1480344260,1351,1351
1480355287,1348,1348
1480366225,1349,1349
1480377348,1341,1341
1480388186,1340,1340
1480398854,1339,1339
1480409461,1339,1339
1480420367,1329,1329
1480431273,1337,1337
1480441652,1334,1334
1480452615,1338,1338
1480463444,1342,1342
1480474286,1340,1340
1480485230,1335,1335
1480496017,1331,1331
1480506885,1330,1330
1480517946,1335,1335
1480528940,1335,1335
1480539730,1335,1335
1480550573,1337,1337
1480560788,1343,1343
1480571766,1345,1345
1480582561,1343,1343
1480593573,1340,1340
1480604670,1338,1338
1480615469,1336,1336
1480626334,1337,1337
1480637186,1338,1338
1480648274,1337,1337
1480659363,1337,1337
1480669753,1335,1335
1480680620,1339,1339
1480691484,1342,1342
1480702445,1344,1344
1480713009,1342,1342
1480723923,1342,1342
1480734970,1351,1351
1480746023,1350,1350
1480757284,1350,1350
1480768291,1350,1350
1480779271,1347,1347
1480790304,1350,1350
1480801278,1348,1348
1480812195,1344,1344
1480823039,1346,1346
1480834260,1351,1351
1480845248,1350,1350
1480855886,1354,1354
1480866803,1363,1363
1480877600,1366,1366
1480887939,1365,1365
1480898853,1371,1371
1480909847,1377,1377
1480920884,1378,1378
1480931257,1376,1376
1480942061,1376,1376
1480953138,1377,1377
1480964171,1375,1375
1480974944,1377,1377
1480986309,1373,1373
1480997266,1376,1376
1481007882,1371,1371
1481018408,1373,1373
1481029890,1369,1369
1481040846,1370,1370
1481052699,1371,1371
1481063571,1372,1372
1481074316,1373,1373
1481086429,1375,1375
1481097653,1379,1379
1481109794,1383,1383
1481121653,1387,1387
1481132243,1391,1391
1481142997,1392,1392
1481151994,1389,1389
1481162866,1380,1380
1481173863,1382,1382
1481184829,1384,1384
1481195747,1382,1382
1481207063,1380,1380
1481218100,1377,1377
1481228904,1372,1372
1481239860,1369,1369
1481250826,1368,1368
1481261523,1373,1373
1481272425,1376,1376
1481283325,1376,1376
1481294137,1371,1371
1481304999,1372,1372
1481315954,1365,1365
1481326901,1360,1360
1481337379,1361,1361
1481348350,1355,1355
1481359296,1350,1350
1481370152,1353,1353
1481380853,1350,1350
1481391776,1348,1348
1481402609,1347,1347
1481413644,1352,1352
1481424649,1352,1352
1481435729,1349,1349
1481446732,1342,1342
1481456748,1336,1336
1481467467,1337,1337
1481478428,1339,1339
1481489769,1338,1338
1481500598,1335,1335
1481511582,1337,1337
1481522274,1335,1335
1481532607,1332,1332
1481542678,1331,1331
1481553604,1331,1331
1481564262,1329,1329
1481575202,1336,1336
1481585985,1332,1332
1481597003,1330,1330
1481608009,1328,1328
1481619067,1327,1327
1481629385,1319,1319
1481640463,1317,1317
1481651482,1322,1322
1481662487,1319,1319
1481673682,1316,1316
1481684396,1312,1312
1481695238,1307,1307
1481706492,1312,1312
1481717388,1309,1309
1481728581,1309,1309
1481739567,1318,1318
1481750595,1325,1325
1481761627,1331,1331
1481772464,1331,1331
1481783490,1338,1338
1481794800,1339,1339
1481805505,1342,1342
1481816624,1343,1343
