DateTime,AddedIPs,RemovedIPs
1476436552,108,0
1476447344,172,0
1476458145,119,0
1476468944,143,0
1476479744,148,0
1476490582,152,637
1476501380,104,0
1476512198,92,0
1476522988,143,0
1476533743,166,0
1476544543,146,0
1476555343,147,0
1476566143,142,0
1476576967,135,507
1476587799,107,72
1476598574,133,0
1476609507,225,0
1476620144,150,0
1476630948,164,0
1476641745,130,0
1476652545,152,0
1476663427,152,493
1476674194,95,0
1476684917,85,0
1476695764,127,0
1476706546,188,0
1476717347,160,0
1476728150,109,0
1476738946,141,0
1476749813,150,249
1476760572,93,0
1476771376,52,0
1476782190,99,0
1476792947,168,0
1476803747,123,0
1476814547,136,0
1476825346,132,0
1476836205,139,683
1476847001,50,0
1476857773,204,0
1476868582,134,0
1476879347,156,0
1476890146,190,0
1476900946,159,0
1476911736,155,0
1476922581,178,789
1476933377,101,62
1476944194,109,0
1476954968,75,0
1476965746,228,0
1476976546,149,0
1476987346,228,0
1476998146,203,0
1477009018,196,932
1477019767,90,89
1477030520,88,0
1477041365,120,0
1477052146,219,0
1477062946,170,0
1477073750,157,0
1477084546,177,0
1477095386,194,1015
1477106123,18,13
1477138547,193,0
1477149347,151,0
1477160147,141,0
1477170946,160,0
1477181798,189,1254
1477192594,41,0
1477203317,30,0
1477214116,56,0
1477224948,174,0
1477235748,129,0
1477246547,147,0
1477257347,150,0
1477268196,147,1054
1477278918,67,0
1477289718,35,0
1477300519,27,0
1477311347,131,0
1477322148,139,0
1477332948,135,0
1477343748,139,0
1477350948,98,0
1477358123,53,975
1477365444,66,47
1477376177,9,0
1477397831,192,0
1477408625,140,0
1477419437,183,22
1477430231,377,68
1477440979,155,990
1477451725,58,81
1477462584,38,0
1477473374,24,0
1477484152,206,0
1477494952,136,0
1477505752,143,0
1477516551,162,0
1477527407,129,1163
1477538118,46,0
1477548919,82,2
1477559779,74,0
1477570552,164,0
1477581352,158,0
1477592153,135,0
1477602952,156,0
1477613802,178,1263
1477624530,54,85
1477635318,36,0
1477646117,24,0
1477656953,97,0
1477667753,145,0
1477678553,157,0
1477689353,159,0
1477700210,166,881
1477711008,55,0
1477721719,32,0
1477732581,56,0
1477743353,197,0
1477754152,187,0
1477764953,140,0
1477775752,174,0
1477786571,161,902
1477797393,26,6
1477808201,49,0
1477818927,53,0
1477829754,177,0
1477840552,166,0
1477851353,186,0
1477862154,171,0
1477873004,189,818
1477883816,62,0
1477894589,11,0
1477905317,82,0
1477916154,242,0
1477926934,186,0
1477937744,171,0
1477948545,153,0
1477955745,128,0
1477962969,72,879
1477970422,68,9
1477980953,27,0
1477988807,139,0
1477998949,263,0
1478009748,183,0
1478020549,167,0
1478031350,189,0
1478042150,225,0
1478052920,147,915
1478063799,138,0
1478074572,65,0
