DateTime,Entries,UniqueIPs
1476436552,3737,3737
1476447344,3909,3909
1476458145,4028,4028
1476468944,4171,4171
1476479744,4319,4319
1476490582,3834,3834
1476501380,3938,3938
1476512198,4030,4030
1476522988,4173,4173
1476533743,4339,4339
1476544543,4485,4485
1476555343,4632,4632
1476566143,4774,4774
1476576967,4402,4402
1476587799,4437,4437
1476598574,4570,4570
1476609507,4795,4795
1476620144,4945,4945
1476630948,5109,5109
1476641745,5239,5239
1476652545,5391,5391
1476663427,5050,5050
1476674194,5145,5145
1476684917,5230,5230
1476695764,5357,5357
1476706546,5545,5545
1476717347,5705,5705
1476728150,5814,5814
1476738946,5955,5955
1476749813,5856,5856
1476760572,5949,5949
1476771376,6001,6001
1476782190,6100,6100
1476792947,6268,6268
1476803747,6391,6391
1476814547,6527,6527
1476825346,6659,6659
1476836205,6115,6115
1476847001,6165,6165
1476857773,6369,6369
1476868582,6503,6503
1476879347,6659,6659
1476890146,6849,6849
1476900946,7008,7008
1476911736,7163,7163
1476922581,6552,6552
1476933377,6591,6591
1476944194,6700,6700
1476954968,6775,6775
1476965746,7003,7003
1476976546,7152,7152
1476987346,7380,7380
1476998146,7583,7583
1477009018,6847,6847
1477019767,6848,6848
1477030520,6936,6936
1477041365,7056,7056
1477052146,7275,7275
1477062946,7445,7445
1477073750,7602,7602
1477084546,7779,7779
1477095386,6958,6958
1477106123,6963,6963
1477138547,7156,7156
1477149347,7307,7307
1477160147,7448,7448
1477170946,7608,7608
1477181798,6543,6543
1477192594,6584,6584
1477203317,6614,6614
1477214116,6670,6670
1477224948,6844,6844
1477235748,6973,6973
1477246547,7120,7120
1477257347,7270,7270
1477268196,6363,6363
1477278918,6430,6430
1477289718,6465,6465
1477300519,6492,6492
1477311347,6623,6623
1477322148,6762,6762
1477332948,6897,6897
1477343748,7036,7036
1477350948,7134,7134
1477358123,6212,6212
1477365444,6231,6231
1477376177,6240,6240
1477397831,6432,6432
1477408625,6572,6572
1477419437,6733,6733
1477430231,7042,7042
1477440979,6207,6207
1477451725,6184,6184
1477462584,6222,6222
1477473374,6246,6246
1477484152,6452,6452
1477494952,6588,6588
1477505752,6731,6731
1477516551,6893,6893
1477527407,5859,5859
1477538118,5905,5905
1477548919,5985,5985
1477559779,6059,6059
1477570552,6223,6223
1477581352,6381,6381
1477592153,6516,6516
1477602952,6672,6672
1477613802,5587,5587
1477624530,5556,5556
1477635318,5592,5592
1477646117,5616,5616
1477656953,5713,5713
1477667753,5858,5858
1477678553,6015,6015
1477689353,6174,6174
1477700210,5459,5459
1477711008,5514,5514
1477721719,5546,5546
1477732581,5602,5602
1477743353,5799,5799
1477754152,5986,5986
1477764953,6126,6126
1477775752,6300,6300
1477786571,5559,5559
1477797393,5579,5579
1477808201,5628,5628
1477818927,5681,5681
1477829754,5858,5858
1477840552,6024,6024
1477851353,6210,6210
1477862154,6381,6381
1477873004,5752,5752
1477883816,5814,5814
1477894589,5825,5825
1477905317,5907,5907
1477916154,6149,6149
1477926934,6335,6335
1477937744,6506,6506
1477948545,6659,6659
1477955745,6787,6787
1477962969,5980,5980
1477970422,6039,6039
1477980953,6066,6066
1477988807,6205,6205
1477998949,6468,6468
1478009748,6651,6651
1478020549,6818,6818
1478031350,7007,7007
1478042150,7232,7232
1478052920,6464,6464
1478063799,6602,6602
1478074572,6667,6667
1478085350,6925,6925
1478096150,7100,7100
1478106951,7280,7280
1478117750,7459,7459
1478128551,7642,7642
1478139330,6827,6827
1478150194,6955,6955
1478160999,6972,6972
1478171750,7241,7241
1478182553,7405,7405
1478193352,7546,7546
1478204152,7713,7713
1478214953,7908,7908
1478225719,7100,7100
1478236522,7205,7205
1478247319,7393,7393
1478258118,7480,7480
1478268952,7934,7934
1478279754,8239,8239
1478290626,8539,8539
1478301353,8904,8904
1478312191,8237,8237
1478333718,8281,8281
1478344558,8598,8598
1478355352,9246,9246
1478366152,9751,9751
1478376951,10265,10265
1478387752,10754,10754
1478398579,9264,9264
1478409322,9272,9272
1478420119,9292,9292
1478430953,9435,9435
1478441753,9880,9880
1478452552,10384,10384
1478463353,10980,10980
1478474120,11548,11548
1478484979,10687,10687
1478495721,10690,10690
1478506583,10692,10692
1478517373,10908,10908
1478528153,11712,11712
1478538954,12286,12286
1478549754,12816,12816
1478560553,13287,13287
1478571373,12055,12055
1478592972,12082,12082
1478603753,12393,12393
1478614555,12707,12707
1478625355,12987,12987
1478636154,13253,13253
1478646953,13530,13530
1478657784,12285,12285
1478668590,12280,12280
1478679384,12327,12327
1478690153,12541,12541
1478700955,12774,12774
1478711754,12993,12993
1478722555,13186,13186
1478733355,13427,13427
1478744125,12408,12408
1478755016,12499,12499
1478765719,12610,12610
1478776554,12694,12694
1478787354,12905,12905
1478798154,13088,13088
1478808954,13259,13259
1478819753,13433,13433
1478830624,11589,11589
1478841398,11656,11656
1478852189,11665,11665
1478862954,12012,12012
1478873754,12212,12212
1478884554,12421,12421
1478895355,12629,12629
1478906154,12838,12838
1478916923,10967,10967
1478927821,11068,11068
1478938519,11208,11208
1478949356,11324,11324
1478960154,11620,11620
1478970954,11887,11887
1478981754,12192,12192
1478992555,12498,12498
1478999748,10739,10739
1479010676,10859,10859
1479017786,10861,10861
1479028566,10903,10903
