DateTime,AddedIPs,RemovedIPs
1481803976,3,3
1481804477,7,7
1481804918,5,5
1481805389,6,16
1481805882,1,3
1481806357,9,4
1481806887,7,5
1481807361,17,17
1481807820,5,11
1481808272,10,9
1481808760,3,5
1481809233,19,14
1481809740,15,5
1481810237,9,13
1481810674,7,13
1481811189,21,12
1481811646,8,0
1481812109,3,3
1481812604,5,13
1481813067,12,7
1481813562,4,3
1481814080,14,12
1481814509,8,11
1481815230,10,5
1481815766,7,13
1481816201,19,10
1481816899,2,6
1481817188,9,14
1481818161,13,21
1481819074,22,15
1481820025,20,34
1481821032,6,19
1481821963,21,22
1481822956,18,23
1481823861,18,24
1481824987,16,17
1481826026,16,23
1481826989,19,20
1481827937,14,23
1481828917,11,24
1481829884,21,14
1481830832,21,14
1481831832,13,28
1481832758,25,18
1481833734,18,13
1481834661,23,17
1481835731,23,13
1481836834,22,14
1481837781,11,17
1481838751,20,8
1481839732,8,23
1481840679,18,14
1481841626,16,12
1481842590,11,23
1481843596,17,12
1481844515,15,27
1481845464,9,14
1481846498,14,20
1481847412,14,8
1481848368,17,14
1481849343,23,19
1481850303,15,23
1481851235,17,17
1481852215,9,15
1481853164,21,22
1481854102,16,13
1481855054,13,13
1481856044,25,26
1481856979,12,20
1481857950,14,18
1481858930,9,12
1481859863,16,19
1481860895,23,14
1481862031,17,16
1481862998,11,19
1481863943,19,14
1481864934,17,20
1481865852,5,9
1481866822,26,32
1481867828,11,21
1481868743,34,13
1481869692,17,26
1481870681,13,18
1481871690,25,24
1481872594,8,37
1481873557,19,17
1481874538,13,28
1481875467,17,13
1481876429,19,21
1481877387,14,23
1481878373,19,11
1481879343,10,28
1481880260,11,23
1481881226,22,15
1481882233,12,21
1481883152,22,12
1481884110,22,22
1481885071,11,8
1481886108,21,30
1481887265,24,28
1481888193,10,18
1481889186,24,16
1481890118,12,16
1481891051,16,21
1481892014,26,23
1481892986,10,22
1481893950,38,34
1481894943,25,16
1481895861,8,13
1481896892,22,21
1481898034,24,18
1481898988,14,14
1481899976,18,19
1481900906,8,20
1481901866,8,10
1481903113,21,20
1481904143,21,20
1481905215,29,52
1481906191,13,76
1481907177,28,140
1481908106,10,112
1481909084,31,21
1481910015,24,26
1481911305,25,17
1481912281,11,32
1481913381,14,19
1481914342,21,24
1481915309,17,31
1481916257,12,31
1481917219,12,23
1481918222,11,21
1481919164,28,19
1481920150,56,26
1481921062,30,15
1481922120,24,18
1481923223,43,11
1481924232,16,26
1481925149,22,19
1481926136,22,16
1481927055,19,15
1481928021,38,15
1481928996,20,10
1481930204,21,20
1481931168,29,14
1481932163,13,9
1481933080,22,30
1481934034,24,27
1481935047,18,23
1481935954,19,21
1481936952,10,20
1481937884,23,11
1481938833,30,17
1481939834,12,17
1481940765,24,17
1481941736,7,22
1481942666,18,25
1481943686,12,18
1481944598,7,12
1481945549,24,18
1481946827,20,10
1481947950,9,44
1481948941,11,41
1481949868,9,0
1481950871,18,26
1481952079,18,41
1481952990,8,9
1481953955,16,13
1481954910,8,21
1481955873,13,17
1481956818,12,12
1481957784,8,13
1481958779,18,9
1481959714,18,20
1481960668,9,9
1481961688,13,28
1481962824,17,31
1481963822,13,11
1481964745,14,22
1481965712,13,11
1481966654,8,18
1481967623,23,20
1481968586,3,15
1481969551,18,12
1481970511,15,21
1481971468,21,15
1481972481,20,23
1481973393,6,9
1481974394,20,13
1481975352,14,28
1481976273,19,26
1481977243,17,1
1481978223,11,53
1481979149,11,2
1481980108,18,33
1481981064,10,32
1481982024,18,1
1481983026,6,13
1481983984,24,43
1481984956,12,13
1481985862,27,23
1481986893,14,3
1481988030,12,22
1481989006,8,13
1481989937,12,11
1481990936,19,22
1481991876,9,19
1481992837,10,20
1481993787,9,13
1481994761,18,21
1481995744,12,11
1481996660,10,22
1481997733,29,15
1481998827,16,18
1481999775,13,26
1482000751,9,24
1482001747,16,17
1482002667,19,22
1482003631,17,13
1482004633,8,23
1482005556,19,14
1482006505,22,21
1482007502,9,9
1482008487,15,30
1482009384,8,18
1482009617,6,10
1482010360,9,15
1482010583,2,5
1482011338,12,10
1482011541,2,3
1482012265,12,14
1482012509,2,4
1482013229,9,6
1482013450,1,1
1482014191,5,34
1482014411,4,4
1482015146,9,11
1482015389,1,0
1482016118,15,22
1482016351,5,7
1482017048,7,8
1482017314,2,0
1482018013,7,12
1482018266,1,7
1482018985,5,23
1482019264,4,2
1482019947,8,8
1482020193,3,4
1482020932,10,16
1482021146,3,7
1482021865,11,7
1482022102,5,3
1482022885,18,11
1482023352,8,8
1482023807,10,10
1482024268,2,1
1482024764,11,6
1482025243,1,7
1482025733,12,12
1482026193,1,3
1482026671,7,4
1482027160,1,2
1482027630,17,20
1482028121,4,3
1482028627,6,18
1482029085,1,1
1482029546,17,10
1482030082,4,4
1482030560,13,15
1482031004,2,4
1482031461,9,18
1482031968,7,5
1482032430,12,7
1482032918,7,32
1482033433,15,13
1482034186,14,13
1482034623,16,11
1482035302,10,7
1482035588,11,6
1482036249,2,7
1482036519,6,26
1482037270,7,5
1482037469,13,12
1482038463,22,18
1482039429,14,13
1482040357,9,28
1482041338,11,20
1482042275,9,17
1482043216,17,12
1482044185,9,42
1482045148,27,22
1482046124,15,12
1482047049,8,25
1482048096,22,19
1482049030,8,9
1482049953,18,25
1482050950,22,6
1482051866,14,30
1482052863,28,23
1482053801,14,14
1482054751,13,21
1482055750,10,13
1482056666,20,27
1482057632,15,28
1482058596,12,15
1482059552,18,30
1482060512,24,0
1482061449,12,18
1482062507,21,27
1482063411,10,1
1482064359,19,23
1482065323,8,45
1482066270,13,0
1482067237,19,38
1482068199,19,13
1482069158,23,19
1482070131,16,36
1482071062,14,39
1482072017,18,1
1482072973,8,20
1482073954,25,56
1482074931,5,14
1482075867,12,24
1482076883,15,5
1482077852,16,27
1482078758,19,3
1482079741,26,33
1482080676,6,19
1482081623,18,1
1482082642,12,37
1482083558,14,13
1482084563,11,20
1482085719,18,23
1482086657,11,21
1482087683,27,32
1482088590,22,10
1482089565,15,21
1482090535,15,28
1482091478,8,21
1482092447,10,33
1482093416,4,19
1482094352,11,22
1482095324,16,24
1482096266,6,16
1482097231,7,27
1482098209,12,13
1482099167,24,19
1482100111,9,27
1482101086,15,10
1482102085,21,24
1482103009,8,10
1482103959,19,21
1482104937,10,25
1482105878,17,10
1482106872,16,28
1482107820,21,14
1482108753,12,27
1482109745,16,30
1482110678,8,10
1482111634,18,14
1482112620,17,28
1482113566,11,12
1482114527,9,18
1482115472,9,16
1482116485,21,24
1482117432,12,8
1482118392,28,35
1482119312,14,20
1482120281,15,10
1482121537,23,24
1482122660,22,9
1482123685,32,23
1482124634,14,17
1482125629,3,3
1482126102,20,22
1482126747,3,2
1482127272,14,10
1482127696,2,3
1482128185,12,19
1482128648,8,4
1482129138,25,13
1482129618,2,3
1482130123,14,7
1482130579,3,9
1482131065,8,26
1482131534,5,6
1482132009,20,22
1482132502,2,15
1482133004,18,20
1482133448,4,5
1482133944,7,11
1482134470,5,8
1482134931,7,22
1482135404,5,7
1482135869,14,12
1482136367,5,8
1482136860,16,23
1482137304,9,7
1482137787,5,16
1482138276,6,5
1482138763,14,9
1482139244,1,4
1482139703,19,15
1482140189,5,5
1482140700,9,12
1482141683,19,16
1482142373,12,7
1482142850,17,25
1482143307,6,8
1482143801,14,11
1482144262,6,7
1482144752,15,22
1482145316,3,3
1482145750,18,19
1482146414,4,7
1482146679,7,11
1482147386,2,4
1482147634,19,24
1482148340,6,8
1482148629,16,7
1482149310,5,3
1482149564,8,26
1482150257,2,5
1482150534,15,18
1482151218,5,2
1482151477,13,9
1482152177,4,4
1482152493,13,18
1482153142,6,5
1482153402,8,10
1482154097,4,5
1482154351,12,20
1482155047,1,2
1482155315,16,16
1482156088,5,5
1482156528,15,14
1482157224,11,1
1482157469,14,21
1482158184,2,3
1482158433,30,19
1482159414,22,14
1482160351,24,18
1482161305,16,19
1482162287,11,16
1482163304,23,7
1482164205,20,21
1482165209,14,20
1482166145,15,10
1482167072,20,21
1482168294,26,15
1482169235,17,14
1482170219,16,13
1482171156,28,15
1482172125,15,14
1482173060,21,18
1482174108,22,16
1482175217,14,21
1482176183,16,24
1482177181,27,42
1482178104,16,3
1482179057,15,19
1482180025,60,26
1482181004,28,13
1482181950,58,27
1482182895,14,22
1482183878,18,35
1482184888,27,0
1482185944,27,27
1482186980,13,22
1482187941,28,1
1482188913,15,18
1482189853,23,14
1482190819,27,17
1482191785,18,11
1482192745,36,8
1482193732,22,26
1482194661,21,36
1482195667,28,0
1482196585,16,19
1482197551,20,15
1482198542,13,27
1482199475,19,22
1482200433,16,33
1482201436,26,34
1482202346,17,27
1482203351,19,35
1482204268,11,14
1482205226,27,25
1482206190,25,26
1482207159,25,29
1482208139,22,18
1482209092,27,14
1482210127,20,15
1482211484,32,30
1482212434,36,14
1482213395,42,1
1482214390,39,23
1482215340,22,22
1482216265,70,19
1482217367,61,12
1482218421,65,24
