DateTime,Entries,UniqueIPs
1481784011,20728,20728
1481784983,20727,20727
1481785943,20722,20722
1481786930,20720,20720
1481787860,20716,20716
1481788896,20712,20712
1481790013,20720,20720
1481791040,20709,20709
1481791937,20709,20709
1481792195,20708,20708
1481792930,20701,20701
1481793406,20717,20717
1481793875,20711,20711
1481794389,20715,20715
1481794877,20706,20706
1481795319,20708,20708
1481795798,20696,20696
1481796276,20697,20697
1481796755,20693,20693
1481797228,20791,20791
1481797710,20777,20777
1481798209,20878,20878
1481798690,20881,20881
1481799150,20989,20989
1481799684,20994,20994
1481800134,21008,21008
1481800608,20995,20995
1481801074,21003,21003
1481801545,21002,21002
1481802063,21032,21032
1481802504,21033,21033
1481803010,21037,21037
1481803506,21024,21024
1481803976,21026,21026
1481804477,21028,21028
1481804918,21036,21036
1481805389,21034,21034
1481805882,21033,21033
1481806357,21025,21025
1481806887,21031,21031
1481807361,21039,21039
1481807820,21036,21036
1481808272,21035,21035
1481808760,21037,21037
1481809233,21047,21047
1481809740,21047,21047
1481810237,21041,21041
1481810674,21035,21035
1481811189,21040,21040
1481811646,21056,21056
1481812109,21046,21046
1481812604,21043,21043
1481813067,21048,21048
1481813562,21053,21053
1481814080,21053,21053
1481814509,21048,21048
1481815230,21047,21047
1481815766,21034,21034
1481816201,21047,21047
1481816899,21047,21047
1481817188,21046,21046
1481818161,21052,21052
1481819074,21049,21049
1481820025,21039,21039
1481821032,21023,21023
1481821963,21012,21012
1481822956,21012,21012
1481823861,20991,20991
1481824987,20961,20961
1481826026,20953,20953
1481826989,20938,20938
1481827937,20914,20914
1481828917,20882,20882
1481829884,20864,20864
1481830832,20852,20852
1481831832,20828,20828
1481832758,20816,20816
1481833734,20805,20805
1481834661,20802,20802
1481835731,20809,20809
1481836834,20792,20792
1481837781,20763,20763
1481838751,20735,20735
1481839732,20702,20702
1481840679,20688,20688
1481841626,20668,20668
1481842590,20646,20646
1481843596,20626,20626
1481844515,20625,20625
1481845464,20608,20608
1481846498,20603,20603
1481847412,20595,20595
1481848368,20575,20575
1481849343,20582,20582
1481850303,20581,20581
1481851235,20583,20583
1481852215,20571,20571
1481853164,20564,20564
1481854102,20543,20543
1481855054,20516,20516
1481856044,20538,20538
1481856979,20535,20535
1481857950,20533,20533
1481858930,20516,20516
1481859863,20489,20489
1481860895,20502,20502
1481862031,20496,20496
1481862998,20492,20492
1481863943,20504,20504
1481864934,20501,20501
1481865852,20510,20510
1481866822,20519,20519
1481867828,20487,20487
1481868743,20522,20522
1481869692,20514,20514
1481870681,20492,20492
1481871690,20516,20516
1481872594,20504,20504
1481873557,20515,20515
1481874538,20500,20500
1481875467,20491,20491
1481876429,20502,20502
1481877387,20494,20494
1481878373,20491,20491
1481879343,20490,20490
1481880260,20485,20485
1481881226,20489,20489
1481882233,20475,20475
1481883152,20472,20472
1481884110,20471,20471
1481885071,20463,20463
1481886108,20478,20478
1481887265,20488,20488
1481888193,20476,20476
1481889186,20484,20484
1481890118,20480,20480
1481891051,20468,20468
1481892014,20480,20480
1481892986,20476,20476
1481893950,20494,20494
1481894943,20503,20503
1481895861,20470,20470
1481896892,20484,20484
1481898034,20479,20479
1481898988,20469,20469
1481899976,20469,20469
1481900906,20469,20469
1481901866,20450,20450
1481903113,20438,20438
1481904143,20450,20450
1481905215,20460,20460
1481906191,20459,20459
1481907177,20460,20460
1481908106,20455,20455
1481909084,20478,20478
1481910015,20477,20477
1481911305,20492,20492
1481912281,20490,20490
1481913381,20484,20484
1481914342,20498,20498
1481915309,20490,20490
1481916257,20486,20486
1481917219,20476,20476
1481918222,20466,20466
1481919164,20476,20476
1481920150,20527,20527
1481921062,20541,20541
1481922120,20560,20560
1481923223,20586,20586
1481924232,20587,20587
1481925149,20599,20599
1481926136,20604,20604
1481927055,20619,20619
1481928021,20635,20635
1481928996,20633,20633
1481930204,20639,20639
1481931168,20657,20657
1481932163,20666,20666
1481933080,20676,20676
1481934034,20683,20683
1481935047,20672,20672
1481935954,20678,20678
1481936952,20663,20663
1481937884,20664,20664
1481938833,20672,20672
1481939834,20662,20662
1481940765,20675,20675
1481941736,20654,20654
1481942666,20650,20650
1481943686,20632,20632
1481944598,20617,20617
1481945549,20632,20632
1481946827,20639,20639
1481947950,20616,20616
1481948941,20600,20600
1481949868,20608,20608
1481950871,20612,20612
1481952079,20598,20598
1481952990,20583,20583
1481953955,20572,20572
1481954910,20574,20574
1481955873,20554,20554
1481956818,20565,20565
1481957784,20561,20561
1481958779,20558,20558
1481959714,20577,20577
1481960668,20554,20554
1481961688,20574,20574
1481962824,20552,20552
1481963822,20562,20562
1481964745,20546,20546
1481965712,20555,20555
1481966654,20551,20551
1481967623,20552,20552
1481968586,20545,20545
1481969551,20523,20523
1481970511,20531,20531
1481971468,20529,20529
1481972481,20543,20543
1481973393,20530,20530
1481974394,20538,20538
1481975352,20538,20538
1481976273,20537,20537
1481977243,20511,20511
1481978223,20488,20488
1481979149,20470,20470
1481980108,20471,20471
1481981064,20433,20433
1481982024,20425,20425
1481983026,20419,20419
1481983984,20415,20415
1481984956,20406,20406
1481985862,20418,20418
1481986893,20412,20412
1481988030,20389,20389
1481989006,20367,20367
1481989937,20362,20362
1481990936,20360,20360
1481991876,20329,20329
1481992837,20311,20311
1481993787,20271,20271
1481994761,20240,20240
1481995744,20236,20236
1481996660,20203,20203
1481997733,20204,20204
1481998827,20184,20184
1481999775,20169,20169
1482000751,20157,20157
1482001747,20137,20137
1482002667,20126,20126
1482003631,20111,20111
1482004633,20104,20104
1482005556,20083,20083
1482006505,20090,20090
1482007502,20066,20066
1482008487,20061,20061
1482009384,20029,20029
1482009617,20029,20029
1482010360,20024,20024
1482010583,20019,20019
1482011338,20010,20010
1482011541,20008,20008
1482012265,20001,20001
1482012509,20006,20006
1482013229,19989,19989
1482013450,19982,19982
1482014191,19958,19958
1482014411,19962,19962
1482015146,19943,19943
1482015389,19941,19941
1482016118,19943,19943
1482016351,19940,19940
1482017048,19915,19915
1482017314,19913,19913
1482018013,19901,19901
1482018266,19901,19901
1482018985,19883,19883
1482019264,19886,19886
1482019947,19875,19875
1482020193,19868,19868
1482020932,19856,19856
1482021146,19855,19855
1482021865,19839,19839
1482022102,19843,19843
1482022885,19852,19852
1482023352,19856,19856
1482023807,19843,19843
1482024268,19844,19844
1482024764,19829,19829
1482025243,19833,19833
1482025733,19834,19834
1482026193,19833,19833
1482026671,19813,19813
1482027160,19800,19800
1482027630,19792,19792
1482028121,19795,19795
1482028627,19782,19782
1482029085,19776,19776
1482029546,19771,19771
1482030082,19781,19781
1482030560,19780,19780
1482031004,19772,19772
1482031461,19765,19765
1482031968,19765,19765
1482032430,19762,19762
1482032918,19766,19766
1482033433,19771,19771
1482034186,19769,19769
1482034623,19770,19770
1482035302,19776,19776
1482035588,19773,19773
1482036249,19774,19774
1482036519,19773,19773
1482037270,19767,19767
1482037469,19764,19764
1482038463,19761,19761
1482039429,19768,19768
1482040357,19764,19764
1482041338,19753,19753
1482042275,19744,19744
1482043216,19749,19749
1482044185,19730,19730
1482045148,19747,19747
1482046124,19741,19741
1482047049,19734,19734
1482048096,19727,19727
1482049030,19711,19711
1482049953,19748,19748
1482050950,19751,19751
1482051866,19751,19751
1482052863,19759,19759
1482053801,19793,19793
1482054751,19777,19777
1482055750,19761,19761
1482056666,19775,19775
1482057632,19808,19808
1482058596,19799,19799
1482059552,19796,19796
1482060512,19814,19814
1482061449,19826,19826
1482062507,19826,19826
1482063411,19837,19837
1482064359,19858,19858
1482065323,19853,19853
1482066270,19859,19859
1482067237,19857,19857
1482068199,19881,19881
1482069158,19877,19877
1482070131,19853,19853
1482071062,19843,19843
1482072017,19873,19873
1482072973,19866,19866
1482073954,19874,19874
1482074931,19853,19853
1482075867,19853,19853
1482076883,19831,19831
1482077852,19814,19814
1482078758,19811,19811
1482079741,19801,19801
1482080676,19763,19763
1482081623,19790,19790
1482082642,19764,19764
1482083558,19746,19746
1482084563,19736,19736
1482085719,19699,19699
1482086657,19716,19716
1482087683,19722,19722
1482088590,19715,19715
1482089565,19718,19718
1482090535,19711,19711
1482091478,19703,19703
1482092447,19693,19693
1482093416,19665,19665
1482094352,19661,19661
1482095324,19647,19647
1482096266,19633,19633
1482097231,19620,19620
1482098209,19611,19611
1482099167,19608,19608
1482100111,19598,19598
1482101086,19583,19583
1482102085,19587,19587
1482103009,19559,19559
1482103959,19550,19550
1482104937,19531,19531
1482105878,19539,19539
1482106872,19524,19524
1482107820,19514,19514
1482108753,19515,19515
1482109745,19500,19500
1482110678,19494,19494
1482111634,19492,19492
1482112620,19490,19490
1482113566,19493,19493
1482114527,19474,19474
1482115472,19477,19477
1482116485,19481,19481
1482117432,19461,19461
1482118392,19479,19479
1482119312,19478,19478
1482120281,19483,19483
1482121537,19491,19491
1482122660,19491,19491
1482123685,19513,19513
1482124634,19504,19504
1482125629,19504,19504
1482126102,19509,19509
1482126747,19513,19513
1482127272,19522,19522
1482127696,19522,19522
1482128185,19525,19525
1482128648,19530,19530
1482129138,19535,19535
1482129618,19531,19531
1482130123,19538,19538
1482130579,19538,19538
1482131065,19530,19530
1482131534,19524,19524
1482132009,19537,19537
1482132502,19535,19535
1482133004,19539,19539
1482133448,19538,19538
1482133944,19528,19528
1482134470,19528,19528
1482134931,19534,19534
1482135404,19532,19532
1482135869,19528,19528
1482136367,19535,19535
1482136860,19541,19541
1482137304,19549,19549
1482137787,19540,19540
1482138276,19536,19536
1482138763,19536,19536
1482139244,19530,19530
1482139703,19541,19541
1482140189,19535,19535
1482140700,19529,19529
1482141683,19527,19527
1482142373,19523,19523
1482142850,19533,19533
1482143307,19530,19530
1482143801,19534,19534
1482144262,19532,19532
1482144752,19536,19536
1482145316,19527,19527
1482145750,19538,19538
1482146414,19543,19543
1482146679,19540,19540
1482147386,19533,19533
1482147634,19541,19541
1482148340,19550,19550
1482148629,19559,19559
1482149310,19547,19547
1482149564,19545,19545
1482150257,19538,19538
1482150534,19542,19542
1482151218,19538,19538
1482151477,19535,19535
1482152177,19543,19543
1482152493,19544,19544
1482153142,19552,19552
1482153402,19549,19549
1482154097,19536,19536
1482154351,19530,19530
1482155047,19530,19530
1482155315,19542,19542
1482156088,19540,19540
1482156528,19532,19532
1482157224,19537,19537
1482157469,19533,19533
1482158184,19536,19536
1482158433,19543,19543
1482159414,19555,19555
1482160351,19562,19562
1482161305,19563,19563
1482162287,19556,19556
1482163304,19553,19553
1482164205,19554,19554
1482165209,19553,19553
1482166145,19543,19543
1482167072,19550,19550
1482168294,19555,19555
1482169235,19556,19556
1482170219,19556,19556
1482171156,19559,19559
1482172125,19545,19545
1482173060,19550,19550
1482174108,19549,19549
1482175217,19552,19552
1482176183,19556,19556
1482177181,19561,19561
1482178104,19564,19564
1482179057,19568,19568
1482180025,19614,19614
1482181004,19615,19615
1482181950,19646,19646
1482182895,19657,19657
1482183878,19647,19647
1482184888,19661,19661
1482185944,19667,19667
