DateTime,AddedIPs,RemovedIPs
1481803976,112,112
1481804477,7,12
1481804918,145,145
1481805389,5,9
1481805882,111,111
1481806357,8,14
1481806887,200,200
1481807361,18,21
1481807820,104,104
1481808272,10,6
1481808760,137,137
1481809233,19,11
1481809740,145,145
1481810237,9,7
1481810674,86,86
1481811189,21,13
1481811646,120,120
1481812109,3,8
1481812604,105,105
1481813067,12,13
1481813562,105,105
1481814080,13,13
1481814509,168,168
1481815230,11,12
1481815766,145,145
1481816201,19,13
1481816899,106,106
1481817188,9,10
1481818161,141,143
1481819074,75,79
1481820025,125,124
1481821032,82,84
1481821963,131,137
1481822956,125,129
1481823861,68,67
1481824987,146,165
1481826026,127,136
1481826989,88,82
1481827937,136,140
1481828917,117,115
1481829884,87,86
1481830832,139,140
1481831832,96,92
1481832758,118,117
1481833734,118,113
1481834661,95,86
1481835731,141,137
1481836834,129,120
1481837781,95,99
1481838751,140,134
1481839732,122,124
1481840679,69,64
1481841626,121,118
1481842590,62,62
1481843596,130,127
1481844515,116,121
1481845464,68,68
1481846498,118,124
1481847412,99,100
1481848368,115,120
1481849343,145,142
1481850303,90,87
1481851235,144,146
1481852215,92,91
1481853164,127,132
1481854102,119,120
1481855054,78,81
1481856044,133,133
1481856979,96,94
1481857950,106,109
1481858930,118,121
1481859863,69,73
1481860895,148,144
1481862031,144,153
1481862998,86,92
1481863943,92,92
1481864934,120,117
1481865852,92,101
1481866822,135,136
1481867828,97,95
1481868743,114,108
1481869692,94,95
1481870681,116,116
1481871690,131,122
1481872594,65,71
1481873557,143,147
1481874538,118,120
1481875467,85,82
1481876429,147,153
1481877387,85,82
1481878373,111,112
1481879343,139,143
1481880260,75,75
1481881226,134,132
1481882233,61,62
1481883152,121,117
1481884110,128,119
1481885071,64,60
1481886108,115,112
1481887265,139,126
1481888193,84,84
1481889186,97,82
1481890118,133,131
1481891051,93,88
1481892014,129,118
1481892986,79,79
1481893950,132,114
1481894943,145,149
1481895861,73,75
1481896892,132,136
1481898034,117,117
1481898988,123,126
1481899976,114,115
1481900906,126,132
1481901866,59,68
1481903113,145,144
1481904143,106,101
1481905215,134,129
1481906191,79,78
1481907177,140,133
1481908106,147,146
1481909084,92,86
1481910015,129,130
1481911305,133,139
1481912281,88,93
1481913381,134,138
1481914342,129,126
1481915309,120,130
1481916257,65,66
1481917219,125,137
1481918222,89,92
1481919164,113,114
1481920150,201,159
1481921062,98,75
1481922120,151,157
1481923223,145,123
1481924232,88,88
1481925149,130,131
1481926136,119,107
1481927055,94,87
1481928021,144,129
1481928996,88,79
1481930204,167,161
1481931168,129,118
1481932163,141,138
1481933080,72,62
1481934034,123,115
1481935047,99,99
1481935954,113,108
1481936952,110,106
1481937884,90,88
1481938833,148,132
1481939834,85,80
1481940765,118,115
1481941736,130,129
1481942666,86,83
1481943686,110,113
1481944598,69,76
1481945549,110,108
1481946827,126,127
1481947950,106,106
1481948941,114,122
1481949868,81,80
1481950871,131,129
1481952079,117,125
1481952990,75,74
1481953955,111,111
1481954910,87,100
1481955873,56,54
1481956818,118,125
1481957784,94,100
1481958779,91,98
1481959714,142,146
1481960668,74,75
1481961688,135,137
1481962824,133,145
1481963822,79,80
1481964745,101,107
1481965712,94,100
1481966654,52,50
1481967623,120,115
1481968586,82,88
