DateTime,Entries,UniqueIPs
1481891051,2842,2842
1481892014,2853,2853
1481892986,2853,2853
1481893950,2871,2871
1481894943,2867,2867
1481895861,2865,2865
1481896892,2861,2861
1481898034,2861,2861
1481898988,2858,2858
1481899976,2857,2857
1481900906,2851,2851
1481901866,2842,2842
1481903113,2843,2843
1481904143,2848,2848
1481905215,2853,2853
1481906191,2854,2854
1481907177,2861,2861
1481908106,2862,2862
1481909084,2868,2868
1481910015,2867,2867
1481911305,2861,2861
1481912281,2856,2856
1481913381,2852,2852
1481914342,2855,2855
1481915309,2845,2845
1481916257,2844,2844
1481917219,2832,2832
1481918222,2829,2829
1481919164,2828,2828
1481920150,2870,2870
1481921062,2893,2893
1481922120,2887,2887
1481923223,2909,2909
1481924232,2909,2909
1481925149,2908,2908
1481926136,2920,2920
1481927055,2927,2927
1481928021,2942,2942
1481928996,2951,2951
1481930204,2957,2957
1481931168,2968,2968
1481932163,2971,2971
1481933080,2981,2981
1481934034,2989,2989
1481935047,2989,2989
1481935954,2994,2994
1481936952,2998,2998
1481937884,3000,3000
1481938833,3016,3016
1481939834,3021,3021
1481940765,3024,3024
1481941736,3025,3025
1481942666,3028,3028
1481943686,3025,3025
1481944598,3018,3018
1481945549,3020,3020
1481946827,3019,3019
1481947950,3019,3019
1481948941,3011,3011
1481949868,3012,3012
1481950871,3014,3014
1481952079,3006,3006
1481952990,3007,3007
1481953955,3007,3007
1481954910,2994,2994
1481955873,2996,2996
1481956818,2989,2989
1481957784,2983,2983
1481958779,2976,2976
1481959714,2972,2972
1481960668,2971,2971
1481961688,2969,2969
1481962824,2957,2957
1481963822,2956,2956
1481964745,2950,2950
1481965712,2944,2944
1481966654,2946,2946
1481967623,2951,2951
1481968586,2945,2945
1481969551,2938,2938
1481970511,2940,2940
1481971468,2944,2944
1481972481,2945,2945
1481973393,2932,2932
1481974394,2937,2937
1481975352,2944,2944
1481976273,2949,2949
1481977243,2953,2953
1481978223,2952,2952
1481979149,2945,2945
1481980108,2935,2935
1481981064,2927,2927
1481982024,2931,2931
1481983026,2926,2926
1481983984,2916,2916
1481984956,2918,2918
1481985862,2912,2912
1481986893,2911,2911
1481988030,2910,2910
1481989006,2905,2905
1481989937,2907,2907
1481990936,2897,2897
1481991876,2898,2898
1481992837,2897,2897
1481993787,2891,2891
1481994761,2888,2888
1481995744,2884,2884
1481996660,2871,2871
1481997733,2876,2876
1481998827,2876,2876
1481999775,2874,2874
1482000751,2873,2873
1482001747,2872,2872
1482002667,2872,2872
1482003631,2878,2878
1482004633,2875,2875
1482005556,2807,2807
1482006505,2750,2750
1482007502,2737,2737
1482008487,2726,2726
1482009384,2722,2722
1482009617,2722,2722
1482010360,2711,2711
1482010583,2711,2711
1482011338,2715,2715
1482011541,2715,2715
1482012265,2716,2716
1482012509,2716,2716
1482013229,2708,2708
1482013450,2708,2708
1482014191,2702,2702
1482014411,2702,2702
1482015146,2698,2698
1482015389,2698,2698
1482016118,2702,2702
1482016351,2702,2702
1482017048,2700,2700
1482017314,2700,2700
1482018013,2694,2694
1482018266,2694,2694
1482018985,2692,2692
1482019264,2692,2692
1482019947,2685,2685
1482020193,2686,2686
1482020932,2688,2688
1482021146,2688,2688
1482021865,2683,2683
1482022102,2683,2683
1482022885,2686,2686
1482023352,2686,2686
1482023807,2683,2683
1482024268,2683,2683
1482024764,2681,2681
1482025243,2681,2681
1482025733,2678,2678
1482026193,2678,2678
1482026671,2674,2674
1482027160,2674,2674
1482027630,2680,2680
1482028121,2680,2680
1482028627,2677,2677
1482029085,2677,2677
1482029546,2688,2688
1482030082,2688,2688
1482030560,2686,2686
1482031004,2686,2686
1482031461,2692,2692
1482031968,2692,2692
1482032430,2690,2690
1482032918,2690,2690
1482033433,2699,2699
