DateTime,Entries,UniqueIPs
1481705553,11169,11240
1481706522,11180,11251
1481707473,11172,11243
1481708436,11194,11265
1481709396,11191,11262
1481710362,11199,11270
1481711351,11211,11282
1481712263,11182,11252
1481713296,11176,11246
1481714196,11182,11252
1481715163,11185,11255
1481716141,11188,11257
1481717080,11196,11265
1481718066,11190,11260
1481718985,11194,11264
1481720200,11212,11282
1481721139,11194,11265
1481722116,11192,11263
1481723060,11185,11256
1481724072,11203,11274
1481725241,11194,11265
1481726201,11194,11266
1481727149,11185,11258
1481728153,11170,11243
1481729383,11161,11234
1481730501,11133,11206
1481731474,11077,11150
1481732440,11092,11166
1481733387,11083,11157
1481734355,11055,11129
1481735345,11019,11093
1481736264,11003,11077
1481737231,10960,11034
1481738188,10967,11041
1481739157,10938,11013
1481740137,10897,10972
1481741050,10912,10987
1481742124,10888,10963
1481743214,10856,10932
1481744179,10804,10881
1481745133,10760,10837
1481746116,10767,10844
1481747054,10712,10788
1481748019,10687,10763
1481748983,10629,10706
1481749955,10645,10722
1481750922,10599,10676
1481751859,10585,10662
1481752875,10554,10631
1481753789,10560,10637
1481754759,10526,10602
1481755735,10491,10565
1481756669,10472,10546
1481757665,10447,10521
1481758593,10420,10494
1481759550,10426,10500
1481760541,10395,10469
1481761449,10402,10476
1481762410,10359,10432
1481763378,10329,10402
1481764351,10316,10389
1481765333,10324,10397
1481766281,10275,10348
1481767284,10272,10345
1481768233,10280,10353
1481769192,10288,10361
1481770102,10275,10348
1481771346,10289,10362
1481772273,10271,10344
1481773221,10272,10345
1481774238,10265,10338
1481775221,10274,10347
1481776347,10287,10360
1481777305,10287,10360
1481778268,10293,10366
1481779229,10286,10359
1481780195,10279,10352
1481781167,10292,10365
1481782137,10303,10376
1481783062,10308,10381
1481784009,10296,10369
1481784981,10294,10367
1481785940,10295,10368
1481786928,10291,10364
1481787858,10288,10361
1481788894,10285,10358
1481790010,10287,10360
1481791014,10278,10351
1481791937,10278,10351
1481792930,10271,10344
1481793875,10265,10338
1481794877,10256,10329
1481795798,10244,10317
1481796755,10240,10313
1481797710,10226,10299
1481798690,10229,10302
1481799684,10234,10307
1481800608,10221,10294
1481801545,10220,10293
1481802504,10221,10294
1481803506,10208,10281
1481804477,10210,10283
1481805389,10208,10281
1481806357,10200,10273
1481807361,10208,10281
1481808272,10207,10280
1481809233,10217,10290
1481810237,10211,10284
1481811189,10216,10289
1481812109,10206,10279
1481813067,10211,10284
1481814080,10211,10284
1481815230,10209,10281
1481816201,10222,10294
1481817188,10221,10293
1481818159,10222,10294
1481819071,10221,10293
1481820023,10210,10281
1481821030,10203,10274
1481821960,10200,10271
1481822953,10196,10268
1481823858,10179,10250
1481824985,10152,10223
1481826024,10142,10212
1481826986,10133,10203
1481827934,10119,10189
1481828914,10096,10167
1481829882,10084,10156
1481830830,10060,10132
1481831830,10037,10109
1481832756,10027,10099
