DateTime,AddedIPs,RemovedIPs
1481708436,22,34
1481709396,10,10
1481710362,20,14
1481711351,12,12
1481712263,10,20
1481713296,16,10
1481714196,6,15
1481715163,10,6
1481716141,25,22
1481717080,8,10
1481718066,12,7
1481718985,18,6
1481720200,18,16
1481721139,10,17
1481722116,10,11
1481723060,11,24
1481724072,18,20
1481725241,6,20
1481726201,20,20
1481727149,9,12
1481728153,17,8
1481729383,9,17
1481730501,11,19
1481731474,7,34
1481732440,17,22
1481733387,4,17
1481734355,11,23
1481735345,11,12
1481736264,13,21
1481737231,17,12
1481738188,7,10
1481739157,20,23
1481740137,8,7
1481741050,15,20
1481742124,14,15
1481743214,9,18
1481744179,10,8
1481745133,14,19
1481746116,7,6
1481747054,16,8
1481748019,13,21
1481748983,6,5
1481749955,16,11
1481750922,7,4
1481751859,11,16
1481752875,14,18
1481753789,6,6
1481754759,22,17
1481755735,7,3
1481756669,13,17
1481757665,12,15
1481758593,7,4
1481759550,20,12
1481760541,23,12
1481761449,7,11
1481762410,2,2
1481763378,8,16
1481764351,22,14
1481765333,8,25
1481766281,9,8
1481767284,13,21
1481768233,8,13
1481769192,20,16
1481770102,9,11
1481771346,23,31
1481772273,11,11
1481773221,22,12
1481774238,9,13
1481775221,19,13
1481776347,13,13
1481777305,13,8
1481778268,11,18
1481779229,11,19
1481780195,11,2
1481781167,21,6
1481782137,18,16
1481783062,17,9
1481784009,15,18
1481784981,5,13
1481785940,14,14
1481786928,10,14
1481787858,9,11
1481788894,14,12
1481790010,12,15
1481791014,6,3
1481791937,12,16
1481792930,9,16
1481793875,8,13
1481794877,4,22
1481795798,7,8
1481796755,7,22
1481797710,6,6
1481798690,13,17
1481799684,13,18
1481800608,5,11
1481801545,8,15
1481802504,9,18
1481803506,2,10
1481804477,7,12
1481805389,5,9
1481806357,8,14
1481807361,18,21
1481808272,10,6
1481809233,19,11
1481810237,9,7
1481811189,21,13
1481812109,3,8
1481813067,12,13
1481814080,13,13
1481815230,11,12
1481816201,19,13
1481817188,9,10
1481818159,5,7
1481819071,15,19
1481820023,17,16
1481821030,5,7
1481821960,14,20
1481822953,13,17
1481823858,8,7
1481824985,13,32
1481826024,11,20
1481826986,14,8
1481827934,11,15
1481828914,7,5
1481829882,17,16
1481830830,13,14
1481831830,8,4
1481832756,18,17
1481833732,10,5
1481834659,15,6
1481835729,18,14
1481836832,16,7
1481837778,6,10
1481838748,14,8
1481839730,5,7
1481840677,16,11
1481841624,14,11
1481842587,7,7
1481843593,14,11
1481844512,8,13
1481845462,7,7
1481846496,12,18
1481847410,9,10
1481848366,15,20
1481849341,18,15
1481850300,9,6
1481851233,12,14
1481852213,6,5
1481853162,11,16
1481854100,9,10
1481855052,12,15
1481856042,15,15
1481856977,8,6
1481857947,12,15
1481858928,5,8
1481859861,14,18
1481860893,17,13
1481862028,7,16
1481862996,8,14
1481863940,12,12
1481864932,13,10
1481865850,4,13
1481866820,17,18
1481867803,6,4
1481868741,23,17
1481869689,9,10
1481870679,7,7
1481871687,19,10
1481872592,3,9
1481873554,13,17
1481874536,5,7
1481875464,11,8
1481876427,14,20
1481877384,8,5
1481878369,9,10
1481879340,8,12
1481880258,7,7
1481881223,16,14
1481882231,5,6
1481883150,15,11
1481884107,16,7
1481885069,10,6
1481886105,13,10
1481887263,16,3
1481888190,5,5
1481889184,20,5
1481890116,4,2
1481891049,14,9
1481892012,15,4
1481892984,6,6
1481893947,30,12
1481894941,15,19
1481895859,7,9
1481896890,15,19
1481898032,17,17
1481898985,8,11
1481899974,13,14
1481900903,3,9
1481901864,6,15
1481903111,16,15
1481904141,15,10
1481905213,22,17
1481906184,7,6
1481907175,20,13
1481908103,6,5
1481909082,27,21
1481910012,16,17
1481911302,15,21
1481912279,4,9
1481913379,10,14
1481914340,15,12
1481915306,13,23
1481916255,7,8
1481917217,8,20
1481918197,6,9
1481919162,22,23
1481920147,53,11
1481921060,29,6
1481922118,15,21
1481923221,36,14
1481924230,11,11
1481925146,20,21
1481926133,21,9
1481927052,16,9
1481928018,33,18
1481928994,13,4
1481930201,15,9
1481931165,25,14
1481932161,7,4
1481933078,19,9
1481934032,20,12
1481935019,15,15
1481935951,12,7
1481936949,8,4
1481937882,20,18
1481938831,26,10
1481939831,9,4
1481940763,18,15
1481941734,7,6
1481942664,16,13
1481943684,7,10
1481944595,4,11
1481945546,12,10
1481946824,13,14
1481947948,11,11
1481948939,10,18
1481949866,7,6
1481950868,13,11
1481952076,11,19
1481952987,7,6
1481953952,10,10
1481954908,8,21
1481955870,11,9
1481956815,8,15
1481957781,5,11
1481958776,15,22
1481959711,12,16
1481960666,9,10
1481961685,7,9
1481962822,10,22
1481963795,11,12
1481964743,8,14
1481965710,8,14
1481966652,6,4
1481967620,14,9
1481968584,2,8
1481969548,11,18
1481970508,10,8
1481971465,21,17
1481972479,15,14
