DateTime,Entries,UniqueIPs
1481695948,1102,1102
1481696902,1092,1092
1481697898,1082,1082
1481698892,1073,1073
1481699796,1068,1068
1481700758,1059,1059
1481701751,1059,1059
1481702670,1059,1059
1481703636,1046,1046
1481704597,1040,1040
1481705553,1034,1034
1481706522,1035,1035
1481707473,1037,1037
1481708436,1025,1025
1481709396,1025,1025
1481710362,1031,1031
1481711351,1031,1031
1481712263,1021,1021
1481713296,1027,1027
1481714196,1018,1018
1481715163,1022,1022
1481716141,1025,1025
1481717080,1023,1023
1481718066,1028,1028
1481718985,1040,1040
1481720200,1042,1042
1481721139,1035,1035
1481722116,1034,1034
1481723060,1021,1021
1481724072,1019,1019
1481725241,1005,1005
1481726201,1005,1005
1481727149,1002,1002
1481728153,1011,1011
1481729383,1003,1003
1481730501,995,995
1481731474,968,968
1481732440,963,963
1481733387,950,950
1481734355,938,938
1481735345,937,937
1481736264,929,929
1481737231,934,934
1481738188,931,931
1481739157,928,928
1481740137,929,929
1481741050,924,924
1481742124,923,923
1481743214,914,914
1481744179,916,916
1481745133,911,911
1481746116,912,912
1481747054,920,920
1481748019,912,912
1481748983,913,913
1481749955,918,918
1481750922,921,921
1481751859,916,916
1481752875,912,912
1481753789,912,912
1481754759,917,917
1481755735,921,921
1481756669,917,917
1481757665,914,914
1481758593,917,917
1481759550,925,925
1481760541,936,936
1481761449,932,932
1481762410,932,932
1481763378,924,924
1481764351,932,932
1481765333,915,915
1481766281,916,916
1481767284,908,908
1481768233,903,903
1481769192,907,907
1481770102,905,905
1481771346,897,897
1481772273,897,897
1481773221,907,907
1481774238,903,903
1481775221,909,909
1481776347,909,909
1481777305,914,914
1481778268,907,907
1481779229,899,899
1481780195,908,908
1481781167,923,923
1481782137,925,925
1481783062,933,933
1481784009,930,930
1481784981,922,922
1481785940,922,922
1481786928,918,918
1481787858,916,916
1481788894,918,918
1481790010,915,915
1481791014,918,918
1481791937,914,914
1481792930,907,907
1481793875,902,902
1481794877,884,884
1481795798,883,883
1481796755,868,868
1481797710,868,868
1481798690,864,864
1481799684,859,859
1481800608,853,853
1481801545,846,846
1481802504,837,837
1481803506,829,829
1481804477,824,824
1481805389,820,820
1481806357,814,814
1481807361,811,811
1481808272,815,815
1481809233,823,823
1481810237,825,825
1481811189,833,833
1481812109,828,828
1481813067,827,827
1481814080,827,827
1481815230,826,826
1481816201,832,832
1481817188,831,831
1481818159,829,829
1481819071,825,825
1481820023,826,826
1481821030,824,824
1481821960,818,818
1481822953,814,814
1481823858,815,815
1481824985,796,796
1481826024,787,787
1481826986,793,793
1481827934,789,789
1481828914,791,791
1481829882,792,792
1481830830,791,791
1481831830,795,795
1481832756,796,796
1481833732,801,801
1481834659,810,810
1481835729,814,814
1481836832,823,823
1481837778,819,819
1481838748,825,825
1481839730,823,823
1481840677,828,828
1481841624,831,831
1481842587,831,831
1481843593,834,834
1481844512,829,829
1481845462,829,829
1481846496,823,823
1481847410,822,822
1481848366,817,817
1481849341,820,820
