DateTime,Entries,UniqueIPs
1481831832,6086,6725
1481832758,6090,6732
1481833734,6091,6731
1481834661,6083,6721
1481835731,6092,6732
1481836834,6100,6737
1481837781,6101,6744
1481838751,6097,6739
1481839732,6109,6753
1481840679,6097,6733
1481841626,6078,6713
1481842590,6084,6723
1481843596,6080,6720
1481844515,6090,6725
1481845464,6079,6715
1481846498,6072,6710
1481847412,6077,6718
1481848368,6072,6712
1481849343,6071,6712
1481850303,6069,6704
1481851235,6056,6697
1481852215,6060,6699
1481853164,6061,6699
1481854102,6059,6699
1481855054,6053,6693
1481856044,6051,6691
1481856979,6029,6668
1481857950,6031,6669
1481858930,6013,6646
1481859863,6004,6632
1481860895,6014,6643
1481862031,6013,6644
1481862998,6006,6637
1481863943,6011,6641
1481864934,5993,6620
1481865852,5997,6623
1481866822,6010,6638
1481867828,6003,6635
1481868743,6011,6641
1481869692,6013,6643
1481870681,6019,6645
1481871690,6012,6636
1481872594,5994,6614
1481873557,6014,6636
1481874538,6005,6633
1481875467,5992,6621
1481876429,5998,6626
1481877387,6013,6642
1481878373,6007,6636
1481879343,6011,6642
1481880260,5996,6630
1481881226,5998,6631
1481882233,5994,6625
1481883152,5972,6598
1481884110,5971,6599
1481885071,5945,6570
1481886108,5918,6530
1481887265,5883,6482
1481888193,5788,6373
1481889186,5721,6309
1481890118,5653,6232
1481891051,5564,6134
1481892014,5515,6080
1481892986,5367,5923
1481893950,5319,5866
1481894943,5227,5764
1481895861,5194,5730
1481896892,5202,5742
1481898034,5209,5752
1481898988,5231,5771
1481899976,5217,5752
1481900906,5246,5785
1481901866,5227,5765
1481903113,5248,5785
1481904143,5245,5778
1481905215,5243,5783
1481906191,5228,5769
1481907177,5237,5771
1481908106,5220,5753
1481909084,5209,5742
1481910015,5223,5756
1481911305,5209,5740
1481912281,5200,5726
1481913381,5206,5743
1481914342,5186,5710
1481915309,5196,5726
1481916257,5198,5732
1481917219,5199,5733
1481918222,5200,5736
1481919164,5181,5711
1481920150,5188,5720
1481921062,5189,5719
1481922120,5221,5757
1481923223,5218,5756
1481924232,5197,5727
1481925149,5223,5765
1481926136,5211,5748
1481927055,5222,5762
1481928021,5224,5760
1481928996,5203,5724
1481930204,5203,5724
1481931168,5210,5732
1481932163,5228,5748
1481933080,5219,5736
1481934034,5214,5729
1481935047,5206,5717
1481935954,5220,5734
1481936952,5227,5741
1481937884,5232,5746
1481938833,5228,5745
1481939834,5235,5753
1481940765,5243,5762
1481941736,5233,5751
1481942666,5226,5744
1481943686,5225,5750
1481944598,5215,5734
1481945549,5239,5756
1481946827,5231,5742
1481947950,5211,5719
1481948941,5215,5715
1481949868,5209,5705
1481950871,5223,5718
1481952079,5225,5719
1481952990,5196,5686
1481953955,5198,5690
1481954910,5194,5680
1481955873,5187,5671
1481956818,5177,5663
1481957784,5188,5671
1481958779,5190,5676
1481959714,5177,5661
1481960668,5153,5636
1481961688,5177,5668
1481962824,5146,5642
1481963822,5114,5613
1481964745,5125,5628
1481965712,5111,5615
1481966654,5104,5607
1481967623,5105,5606
1481968586,5099,5598
1481969551,5108,5603
1481970511,5106,5598
1481971468,5125,5618
1481972481,5155,5646
1481973393,5142,5638
1481974394,5154,5653
1481975352,5146,5644
1481976273,5128,5619
1481977243,5151,5645
1481978223,5162,5658
1481979149,5192,5694
1481980108,5199,5702
1481981064,5183,5682
1481982024,5185,5687
1481983026,5171,5675
1481983984,5185,5688
1481984956,5172,5678
1481985862,5186,5690
1481986893,5178,5687
1481988030,5195,5709
1481989006,5179,5692
1481989937,5171,5684
1481990936,5189,5706
1481991876,5185,5703
1481992837,5177,5695
1481993787,5174,5689
1481994761,5221,5737
1481995744,5226,5742
1481996660,5212,5726
1481997733,5235,5752
1481998827,5248,5763
1481999775,5270,5788
1482000751,5237,5754
1482001747,5257,5774
1482002667,5250,5767
1482003631,5246,5764
1482004633,5249,5770
1482005556,5277,5801
1482006505,5266,5789
1482007502,5231,5745
1482008487,5249,5770
1482009617,5254,5773
1482010583,5254,5767
1482011541,5241,5749
1482012509,5258,5768
1482013450,5246,5749
1482014411,5245,5751
1482015389,5232,5732
1482016351,5232,5734
1482017314,5237,5740
1482018266,5209,5709
1482019264,5228,5729
1482020193,5212,5708
1482021146,5209,5707
1482022102,5200,5692
1482023352,5204,5693
1482024268,5210,5700
1482025243,5172,5660
1482026193,5184,5674
1482027160,5184,5672
1482028121,5184,5670
1482029085,5145,5630
1482030082,5163,5650
1482031004,5141,5616
1482031968,5128,5596
1482032918,5144,5615
1482034186,5168,5646
1482035302,5168,5646
1482036249,5160,5637
1482037270,5154,5630
1482038463,5141,5618
1482039429,5126,5591
1482040357,5127,5591
1482041338,5141,5614
1482042275,5117,5590
1482043216,5133,5607
1482044185,5106,5574
1482045148,5121,5596
1482046124,5102,5574
1482047049,5117,5589
1482048096,5111,5573
1482049030,5138,5603
1482049953,5202,5668
1482050950,5194,5659
1482051866,5200,5666
1482052863,5223,5691
1482053801,5286,5756
1482054751,5254,5721
1482055750,5254,5724
1482056666,5247,5712
1482057632,5316,5785
1482058596,5280,5748
1482059552,5279,5748
1482060512,5311,5778
1482061449,5310,5775
1482062507,5325,5793
1482063411,5311,5776
1482064359,5337,5805
1482065323,5325,5793
1482066270,5322,5799
1482067237,5325,5802
1482068199,5344,5825
1482069158,5332,5812
1482070131,5334,5822
1482071062,5319,5801
1482072017,5350,5834
1482072973,5338,5817
1482073954,5350,5828
1482074931,5347,5825
1482075867,5349,5822
1482076883,5363,5835
1482077852,5365,5848
1482078758,5358,5849
1482079741,5384,5877
1482080676,5359,5848
1482081623,5379,5873
1482082642,5360,5860
1482083558,5342,5836
1482084563,5351,5843
1482085719,5367,5861
1482086657,5378,5872
1482087683,5378,5868
1482088590,5387,5876
1482089565,5388,5875
1482090535,5374,5858
1482091478,5373,5855
1482092447,5372,5854
1482093416,5370,5855
1482094352,5354,5839
1482095324,5346,5828
1482096266,5348,5831
1482097231,5351,5838
1482098209,5347,5829
1482099167,5352,5840
1482100111,5355,5842
1482101086,5356,5842
1482102085,5353,5843
1482103009,5330,5818
1482103959,5350,5841
1482104937,5341,5831
1482105878,5345,5837
1482106872,5354,5846
1482107820,5359,5848
1482108753,5339,5823
1482109745,5369,5863
1482110678,5353,5846
1482111634,5376,5873
1482112620,5345,5838
1482113566,5352,5841
1482114527,5363,5853
1482115472,5377,5868
1482116485,5344,5833
1482117432,5346,5830
1482118392,5343,5828
1482119312,5370,5857
1482120281,5342,5828
1482121537,5350,5835
1482122660,5329,5817
1482123685,5334,5828
1482124634,5349,5848
1482125629,5353,5856
1482126747,5365,5876
1482127696,5373,5883
1482128648,5380,5889
1482129618,5377,5881
1482130579,5400,5907
1482131534,5383,5874
1482132502,5384,5878
1482133448,5381,5874
1482134470,5396,5895
1482135404,5399,5895
1482136367,5375,5866
1482137304,5403,5900
1482138276,5325,5820
1482139244,5352,5850
1482140189,5331,5824
1482142373,5332,5821
1482143307,5341,5830
1482144262,5352,5845
1482145316,5358,5852
1482146414,5317,5814
1482147386,5322,5820
1482148340,5314,5817
1482149310,5325,5829
1482150257,5256,5762
1482151218,5274,5784
1482152177,5275,5784
1482153142,5279,5787
1482154097,5227,5736
1482155047,5232,5740
1482156088,5235,5742
1482157224,5255,5765
1482158184,5179,5692
1482159414,5177,5683
1482160351,5204,5713
1482161305,5178,5680
1482162287,5159,5646
1482163304,5159,5642
1482164205,5181,5669
1482165209,5126,5621
1482166145,5141,5639
1482167072,5157,5656
1482168294,5084,5576
1482169235,5081,5587
1482170219,5065,5567
1482171156,5045,5547
1482172125,5038,5541
1482173060,5013,5514
1482174108,5007,5507
1482175217,5016,5520
1482176183,5008,5507
1482177181,5008,5508
1482178104,4994,5490
1482179057,4993,5493
1482180025,5004,5507
1482181004,4987,5490
1482181950,5034,5546
1482182895,5047,5560
1482183878,5034,5542
1482184888,5029,5532
1482185944,5017,5516
1482186980,5014,5514
1482187941,5019,5520
1482188913,5035,5538
1482189853,5015,5513
1482190819,4998,5501
1482191785,5002,5504
1482192745,4997,5497
1482193732,4998,5500
1482194661,5005,5503
1482195667,4995,5492
1482196585,4997,5499
1482197551,5000,5497
1482198542,5004,5503
1482199475,4996,5493
1482200433,4990,5492
1482201436,4993,5496
1482202346,4994,5497
1482203351,5006,5511
1482204268,5005,5508
1482205226,5029,5532
1482206190,5043,5544
1482207159,5043,5543
1482208139,5050,5553
1482209092,5027,5526
1482210127,5026,5529
1482211484,5045,5552
1482212434,5040,5549
1482213395,5040,5550
1482214390,5056,5573
1482215340,5058,5580
1482216265,5054,5587
1482217367,5073,5610
1482218421,5112,5656
1482219432,5122,5665
1482220349,5121,5660
1482221312,5140,5685
1482222260,5141,5683
1482223219,5148,5688
1482224229,5145,5688
1482225156,5147,5685
1482226104,5142,5685
1482227064,5105,5646
1482228100,5129,5673
1482229218,5137,5678
1482230217,5136,5680
1482231136,5117,5660
1482232112,5119,5666
1482233566,5144,5690
1482234513,5149,5693
1482235470,5148,5685
1482236470,5183,5717
1482237449,5189,5719
1482238365,5187,5714
1482239330,5197,5725
1482240265,5188,5712
1482241267,5195,5722
1482242196,5180,5708
1482243152,5180,5703
1482244138,5202,5723
1482245073,5191,5709
1482246082,5195,5712
1482246989,5189,5705
1482247949,5188,5710
1482248906,5196,5710
1482249884,5186,5695
1482250832,5184,5695
1482251833,5162,5678
1482252776,5196,5713
1482253725,5184,5696
1482254660,5195,5710
1482255682,5196,5702
1482256594,5222,5730
1482257559,5203,5702
1482258530,5192,5697
1482259486,5186,5693
1482260533,5166,5672
1482261635,5173,5675
1482262585,5156,5661
1482263577,5182,5691
1482264519,5143,5648
1482265449,5160,5671
1482266413,5148,5662
1482267387,5158,5676
1482268358,5139,5646
1482269311,5149,5658
1482270269,5157,5668
1482271291,5122,5628
1482272429,5131,5637
1482273400,5115,5620
1482274338,5129,5642
1482275346,5112,5620
1482276252,5133,5645
1482277221,5116,5624
1482278182,5137,5648
1482279154,5114,5634
1482280106,5140,5661
1482281068,5121,5640
1482282077,5117,5635
1482282989,5116,5638
1482283967,5111,5632
1482284940,5145,5671
1482285869,5145,5668
1482286822,5146,5671
1482287847,5140,5662
1482288995,5139,5662
1482289983,5169,5695
1482290917,5160,5690
1482291873,5157,5689
1482292907,5166,5694
1482294020,5151,5672
1482295033,5168,5693
1482295950,5166,5694
1482296943,5162,5689
1482297862,5182,5712
1482298841,5180,5719
1482299800,5166,5707
1482300752,5178,5724
1482301711,5176,5726
1482302694,5165,5714
1482303697,5190,5744
1482304825,5171,5724
1482305803,5181,5736
1482306744,5186,5739
1482307743,5159,5708
1482308662,5151,5699
1482309631,5149,5701
1482310599,5157,5709
1482311556,5168,5724
1482312512,5163,5711
1482313469,5149,5695
1482314478,5174,5722
1482315382,5173,5710
1482316398,5174,5715
1482317316,5182,5721
1482318286,5190,5734
1482319233,5187,5728
1482320193,5184,5723
1482321164,5183,5726
1482322137,5181,5721
