DateTime,AddedIPs,RemovedIPs
1481706097,7,4
1481707016,5,4
1481707967,5,10
1481708921,1,5
1481709879,5,8
1481710832,6,7
1481711799,1,4
1481712761,3,2
1481713724,8,3
1481714669,7,4
1481715645,11,8
1481716606,2,12
1481717558,8,1
1481718521,17,12
1481719464,2,3
1481720493,7,10
1481721394,5,7
1481722385,9,6
1481723311,4,5
1481724275,6,1
1481725244,8,3
1481726204,10,8
1481727151,7,6
1481728156,6,13
1481729385,9,6
1481730504,5,1
1481731477,6,9
1481732443,8,3
1481733390,7,7
1481734358,7,2
1481735348,7,5
1481736267,8,9
1481737234,5,1
1481738190,4,8
1481739159,4,2
1481740140,5,2
1481741053,1,5
1481742126,8,4
1481743217,5,2
1481744181,2,6
1481745138,2,2
1481746119,3,11
1481747056,4,7
1481748021,5,2
1481748987,5,6
1481749958,7,5
1481750925,4,7
1481751861,4,5
1481752877,5,2
1481753791,2,4
1481754761,5,3
1481755737,8,5
1481756671,1,8
1481757668,6,7
1481758595,3,1
1481759553,7,7
1481760544,1,2
1481761451,4,10
1481762412,9,4
1481763380,7,8
1481764354,1,13
1481765336,2,3
1481766283,3,7
1481767286,6,9
1481768235,3,9
1481769194,4,12
1481770104,4,2
1481771348,2,5
1481772275,2,6
1481773224,4,7
1481774240,7,2
1481775228,9,8
1481776350,6,5
1481777307,6,10
1481778270,3,6
1481779231,5,6
1481780198,4,6
1481781169,2,4
1481782139,5,4
1481783064,5,3
1481784011,7,1
1481784983,5,3
1481785943,4,0
1481786930,8,4
1481787860,2,7
1481788896,3,5
1481790013,5,5
1481791040,2,7
1481792195,8,8
1481793406,16,2
1481794389,8,4
1481795319,21,2
1481796276,15,7
1481797228,57,5
1481798209,58,6
1481799150,57,2
1481800134,14,7
1481801074,12,1
1481802063,14,4
1481803010,8,9
1481803976,3,3
1481804918,6,4
1481805882,1,3
1481806887,7,5
1481807820,7,9
1481808760,3,5
1481809740,13,7
1481810674,5,15
1481811646,8,0
1481812604,4,14
1481813562,7,0
1481814509,4,15
1481815766,7,13
1481816899,2,6
1481818161,8,5
1481819074,2,13
1481820025,5,7
1481821032,0,6
1481821963,6,9
1481822956,5,15
1481823861,6,8
1481824987,4,6
1481826026,8,4
1481826989,5,8
1481827937,4,6
1481828917,5,13
1481829884,3,9
1481830832,8,8
1481831832,3,17
1481832758,6,7
1481833734,9,3
1481834661,8,5
1481835731,4,6
1481836834,5,3
1481837781,6,8
1481838751,9,1
1481839732,2,8
1481840679,1,4
1481841626,4,2
1481842590,7,6
1481843596,5,6
1481844515,4,10
1481845464,2,2
1481846498,2,6
1481847412,5,3
1481848368,4,1
1481849343,7,8
1481850303,6,5
1481851235,6,5
1481852215,3,2
1481853164,9,3
1481854102,10,4
1481855054,0,3
1481856044,11,20
1481856979,6,3
1481857950,4,3
1481858930,4,4
1481859863,2,7
1481860895,7,6
1481862031,9,4
1481862998,3,6
1481863943,8,3
1481864934,3,3
1481865852,1,6
1481866822,4,8
1481867828,6,2
1481868743,9,5
1481869692,10,9
1481870681,8,7
1481871690,6,5
1481872594,4,8
1481873557,6,4
1481874538,11,6
1481875467,6,7
1481876429,5,0
1481877387,6,7
1481878373,10,4
1481879343,2,5
1481880260,2,6
1481881226,5,8
1481882233,7,4
1481883152,8,3
1481884110,5,4
1481885071,1,2
1481886108,9,4
1481887265,10,8
1481888193,7,4
1481889186,5,5
1481890118,6,3
1481891051,2,4
1481892014,10,5
1481892986,3,7
1481893950,8,10
1481894943,11,4
1481895861,0,3
1481896892,6,6
1481898034,7,10
1481898988,6,7
1481899976,5,6
1481900906,6,4
1481901866,1,5
1481903113,7,6
1481904143,12,5
1481905215,2,2
1481906191,2,11
1481907177,5,3
1481908106,2,3
1481909084,5,8
1481910015,8,4
1481911305,9,8
1481912281,7,4
1481913381,3,3
1481914342,7,6
1481915309,4,12
1481916257,2,9
1481917219,5,3
1481918222,3,10
1481919164,7,2
1481920150,6,6
1481921062,2,6
1481922120,11,4
1481923223,6,7
1481924232,5,6
1481925149,6,4
1481926136,1,2
1481927055,4,3
1481928021,4,5
1481928996,5,5
1481930204,6,7
1481931168,3,5
1481932163,8,1
1481933080,3,7
1481934034,4,10
1481935047,4,7
1481935954,8,5
1481936952,3,4
1481937884,5,2
1481938833,3,6
1481939834,4,4
1481940765,5,4
1481941736,0,13
1481942666,3,15
1481943686,7,7
1481944598,4,2
1481945549,13,5
1481946827,11,2
1481947950,2,4
1481948941,1,5
1481949868,3,0
1481950871,8,4
1481952079,7,8
1481952990,1,3
1481953955,6,5
1481954910,0,5
1481955873,3,9
1481956818,5,5
1481957784,3,6
1481958779,4,2
1481959714,5,3
1481960668,0,5
1481961688,5,7
1481962824,8,7
1481963822,3,2
1481964745,3,11
1481965712,8,1
1481966654,2,2
1481967623,11,6
1481968586,1,2
1481969551,6,5
1481970511,5,9
1481971468,2,5
1481972481,6,7
1481973393,1,3
1481974394,6,3
1481975352,6,9
1481976273,2,13
1481977243,4,0
1481978223,2,16
1481979149,6,0
1481980108,8,12
1481981064,4,14
1481982024,7,0
1481983026,5,2
1481983984,11,8
1481984956,2,2
1481985862,16,10
1481986893,7,0
1481988030,5,6
1481989006,2,8
1481989937,3,5
1481990936,11,12
1481991876,2,4
1481992837,3,4
1481993787,3,8
1481994761,6,5
1481995744,5,5
1481996660,4,10
1481997733,9,14
1481998827,4,6
1481999775,3,11
1482000751,1,14
1482001747,6,7
1482002667,4,25
1482003631,3,10
1482004633,3,10
1482005556,9,5
1482006505,8,6
1482007502,0,3
1482008487,7,2
1482009617,3,13
1482010583,2,5
1482011541,3,2
1482012509,2,4
1482013450,1,1
1482014411,4,4
1482015389,1,0
1482016351,7,5
1482017314,2,0
1482018266,2,6
1482019264,6,0
1482020193,3,4
1482021146,3,7
1482022102,4,4
1482023352,9,7
1482024268,1,2
1482025243,4,4
1482026193,1,3
1482027160,3,0
1482028121,4,3
1482029085,1,1
1482030082,4,5
1482031004,3,3
1482031968,7,5
1482032918,8,31
1482034186,15,12
1482035302,10,7
1482036249,2,7
1482037270,7,5
1482038463,4,1
1482039429,3,4
1482040357,3,10
1482041338,8,4
1482042275,2,4
1482043216,5,5
1482044185,2,2
1482045148,8,3
1482046124,3,5
1482047049,4,8
1482048096,9,9
1482049030,3,4
1482049953,5,9
1482050950,4,2
1482051866,7,6
1482052863,6,9
1482053801,8,0
1482054751,2,6
1482055750,5,5
1482056666,5,6
1482057632,3,3
1482058596,6,4
1482059552,6,5
1482060512,16,0
1482061449,5,2
1482062507,10,5
1482063411,2,0
1482064359,4,6
1482065323,1,11
1482066270,3,0
1482067237,5,5
1482068199,12,3
1482069158,2,5
1482070131,7,11
1482071062,1,10
1482072017,12,0
1482072973,1,5
1482073954,8,20
1482074931,2,3
1482075867,4,5
1482076883,8,0
1482077852,4,3
1482078758,6,0
1482079741,10,7
1482080676,4,5
1482081623,8,0
1482082642,8,12
1482083558,3,6
1482084563,10,7
1482085719,6,5
1482086657,3,5
1482087683,10,13
1482088590,10,5
1482089565,4,5
1482090535,4,10
1482091478,4,10
1482092447,3,10
1482093416,1,8
1482094352,1,8
1482095324,5,6
1482096266,2,3
1482097231,3,8
1482098209,5,3
1482099167,4,7
1482100111,3,9
1482101086,2,1
1482102085,11,6
1482103009,1,5
1482103959,9,5
1482104937,7,8
1482105878,2,3
1482106872,3,2
1482107820,2,4
1482108753,2,10
1482109745,10,7
1482110678,1,2
1482111634,4,2
1482112620,0,3
1482113566,6,1
1482114527,8,1
1482115472,2,7
1482116485,2,6
1482117432,6,0
1482118392,3,13
1482119312,7,4
1482120281,2,4
1482121537,3,8
1482122660,1,3
1482123685,5,6
1482124634,5,2
1482125629,4,2
1482126747,4,1
1482127696,5,0
1482128648,7,5
1482129618,2,3
1482130579,3,9
1482131534,2,9
1482132502,3,14
1482133448,2,7
1482134470,6,7
1482135404,3,9
1482136367,4,9
1482137304,9,7
1482138276,4,7
1482139244,3,2
1482140189,6,4
1482142373,12,7
1482143307,12,2
1482144262,5,8
1482145316,3,3
1482146414,8,3
1482147386,1,5
1482148340,6,8
1482149310,6,2
1482150257,3,4
1482151218,5,2
1482152177,4,4
1482153142,7,4
1482154097,4,5
1482155047,1,2
1482156088,7,3
1482157224,10,2
1482158184,2,3
1482159414,10,8
1482160351,8,1
1482161305,3,0
1482162287,2,8
1482163304,3,0
1482164205,6,3
1482165209,5,2
1482166145,8,3
1482167072,3,6
1482168294,2,5
1482169235,4,5
1482170219,3,8
1482171156,6,6
1482172125,6,7
1482173060,3,7
1482174108,2,5
1482175217,6,7
1482176183,4,4
1482177181,1,9
1482178104,6,0
1482179057,7,6
1482180025,6,9
1482181004,4,1
1482181950,14,5
1482182895,4,1
1482183878,2,8
1482184888,5,0
1482185944,6,7
1482186980,1,9
1482187941,4,0
1482188913,5,6
1482189853,3,5
1482190819,2,6
1482191785,5,5
1482192745,4,7
1482193732,6,4
1482194661,4,11
1482195667,1,0
1482196585,5,5
