DateTime,AddedIPs,RemovedIPs
1481622050,123,123
1481623037,59,59
1481623956,123,123
1481624937,123,123
1481625894,90,90
1481626901,102,102
1481627835,108,108
1481628771,85,85
1481629734,116,116
1481630677,87,87
1481631649,151,151
1481632648,89,89
1481633557,95,95
1481634558,101,101
1481635464,93,93
1481636440,121,121
1481637402,73,73
1481638354,118,118
1481639316,121,121
1481640307,83,83
1481641294,123,123
1481642516,126,126
1481643616,106,106
1481644637,52,52
1481645559,151,151
1481646524,135,135
1481647452,49,49
1481648510,110,110
1481649611,109,109
1481650689,94,94
1481651782,101,101
1481652767,110,110
1481653726,108,108
1481654689,87,87
1481655733,110,110
1481656827,110,110
1481657782,80,80
1481658757,131,131
1481659741,103,103
1481660963,135,135
1481662101,96,96
1481663347,157,157
1481664281,81,81
1481665228,116,116
1481666188,73,73
1481667219,90,90
1481668337,107,107
1481669301,96,96
1481670271,104,104
1481671228,149,149
1481672197,69,69
1481673164,123,123
1481674099,109,109
1481675050,64,64
1481676016,152,152
1481676977,68,68
1481677945,114,114
1481678894,154,154
1481679857,71,71
1481680879,122,122
1481682043,133,133
1481682994,70,70
1481683957,132,132
1481684916,126,126
1481685859,72,72
1481686818,113,113
1481687828,84,84
1481688747,103,103
1481689718,136,136
1481690668,69,69
1481691686,117,117
1481692596,62,62
1481693571,105,105
1481694508,124,124
1481695476,98,98
1481696451,139,139
1481697428,91,91
1481698352,106,106
1481699329,116,116
1481700279,63,63
1481701230,75,75
1481702207,106,106
1481703164,96,96
1481704108,111,111
1481705067,54,54
1481706097,116,116
1481707016,76,76
1481707967,101,101
1481708921,105,105
1481709879,95,95
1481710832,127,127
1481711799,64,64
1481712761,94,94
1481713724,107,107
1481714669,77,77
1481715645,134,134
1481716606,48,48
1481717558,118,118
1481718521,166,166
1481719464,70,70
1481720493,117,117
1481721394,99,99
1481722385,122,122
1481723311,141,141
1481724275,64,64
1481725244,138,138
1481726204,103,103
1481727151,91,91
1481728156,70,70
1481729385,150,150
1481730504,101,101
1481731477,55,55
1481732443,115,115
1481733390,70,70
1481734358,99,99
1481735348,119,119
1481736267,57,57
1481737234,116,116
1481738190,71,71
1481739159,108,108
1481740140,103,103
1481741053,73,73
1481742126,131,131
1481743217,116,116
1481744181,87,87
1481745138,108,108
1481746119,123,123
1481747056,64,64
1481748021,112,112
1481748987,96,96
1481749958,65,65
1481750925,94,94
1481751861,63,63
1481752877,105,105
1481753791,51,51
1481754761,114,114
1481755737,124,124
1481756671,51,51
1481757668,106,106
1481758595,105,105
1481759553,92,92
1481760544,115,115
1481761451,65,65
1481762412,120,120
1481763380,77,77
1481764354,106,106
1481765336,119,119
1481766283,53,53
1481767286,116,116
1481768235,88,88
1481769194,90,90
1481770104,109,109
1481771348,125,125
1481772275,71,71
1481773224,122,122
1481774240,100,100
1481775228,95,95
1481776350,117,117
1481777307,117,117
1481778270,75,75
1481779231,129,129
1481780198,84,84
1481781169,93,93
1481782139,121,121
1481783064,62,62
1481784011,79,79
1481784983,84,84
1481785943,121,121
1481786930,119,119
1481787860,75,75
1481788896,106,106
1481790013,117,117
1481791040,85,85
1481792195,110,110
1481793406,150,150
1481794389,115,115
1481795319,131,131
1481796276,96,96
1481797228,236,236
1481798209,168,168
1481799150,165,165
1481800134,250,250
1481801074,170,170
1481802063,275,275
1481803010,195,195
1481803976,112,112
1481804918,145,145
1481805882,111,111
1481806887,200,200
1481807820,104,104
1481808760,137,137
1481809740,145,145
1481810674,86,86
1481811646,120,120
1481812604,105,105
1481813562,105,105
1481814509,168,168
1481815766,145,145
1481816899,106,106
1481818161,136,136
1481819074,60,60
1481820025,108,108
1481821032,77,77
1481821963,117,117
1481822956,112,112
1481823861,60,60
1481824987,133,133
1481826026,116,116
1481826989,74,74
1481827937,125,125
1481828917,110,110
1481829884,70,70
1481830832,126,126
1481831832,88,88
1481832758,100,100
1481833734,108,108
1481834661,80,80
1481835731,123,123
1481836834,113,113
1481837781,89,89
1481838751,126,126
1481839732,117,117
1481840679,53,53
1481841626,107,107
1481842590,55,55
1481843596,116,116
1481844515,108,108
1481845464,61,61
1481846498,106,106
1481847412,90,90
1481848368,100,100
1481849343,127,127
1481850303,81,81
1481851235,132,132
1481852215,86,86
1481853164,116,116
1481854102,110,110
1481855054,66,66
1481856044,118,118
1481856979,88,88
1481857950,94,94
1481858930,113,113
1481859863,55,55
1481860895,131,131
1481862031,137,137
1481862998,78,78
1481863943,80,80
1481864934,107,107
1481865852,88,88
1481866822,118,118
1481867828,91,91
1481868743,91,91
1481869692,85,85
1481870681,109,109
1481871690,112,112
1481872594,62,62
1481873557,130,130
1481874538,113,113
1481875467,74,74
1481876429,133,133
1481877387,77,77
1481878373,102,102
1481879343,131,131
1481880260,68,68
1481881226,118,118
1481882233,56,56
1481883152,106,106
1481884110,112,112
1481885071,54,54
1481886108,102,102
1481887265,123,123
1481888193,79,79
1481889186,77,77
1481890118,129,129
1481891051,79,79
1481892014,114,114
1481892986,73,73
1481893950,102,102
1481894943,130,130
1481895861,66,66
1481896892,117,117
1481898034,100,100
1481898988,115,115
1481899976,101,101
1481900906,123,123
1481901866,53,53
1481903113,129,129
1481904143,91,91
1481905215,112,112
1481906191,72,72
1481907177,120,120
1481908106,141,141
1481909084,65,65
1481910015,113,113
1481911305,118,118
1481912281,84,84
1481913381,124,124
1481914342,114,114
1481915309,107,107
1481916257,58,58
1481917219,117,117
1481918222,83,83
1481919164,91,91
1481920150,148,148
1481921062,69,69
1481922120,136,136
1481923223,109,109
1481924232,77,77
1481925149,110,110
1481926136,98,98
1481927055,78,78
1481928021,111,111
1481928996,75,75
1481930204,152,152
1481931168,104,104
1481932163,134,134
1481933080,53,53
1481934034,104,104
1481935047,84,84
1481935954,101,101
1481936952,102,102
1481937884,70,70
1481938833,122,122
1481939834,76,76
1481940765,100,100
1481941736,123,123
1481942666,70,70
1481943686,103,103
1481944598,65,65
1481945549,98,98
1481946827,113,113
1481947950,95,95
1481948941,104,104
1481949868,74,74
1481950871,118,118
1481952079,106,106
1481952990,68,68
1481953955,101,101
1481954910,79,79
1481955873,45,45
1481956818,110,110
1481957784,89,89
1481958779,76,76
1481959714,130,130
1481960668,65,65
1481961688,128,128
1481962824,123,123
1481963822,68,68
1481964745,93,93
1481965712,86,86
1481966654,46,46
1481967623,106,106
1481968586,80,80
1481969551,100,100
1481970511,111,111
1481971468,68,68
1481972481,129,129
1481973393,73,73
1481974394,101,101
1481975352,113,113
1481976273,58,58
1481977243,128,128
1481978223,110,110
1481979149,124,124
1481980108,139,139
1481981064,66,66
1481982024,101,101
1481983026,86,86
1481983984,122,122
1481984956,123,123
1481985862,94,94
1481986893,127,127
1481988030,109,109
1481989006,112,112
1481989937,80,80
1481990936,125,125
1481991876,60,60
1481992837,107,107
1481993787,52,52
1481994761,160,160
1481995744,127,127
1481996660,79,79
1481997733,137,137
1481998827,154,154
1481999775,82,82
1482000751,79,79
1482001747,122,122
1482002667,61,61
1482003631,106,106
1482004633,114,114
1482005556,103,103
1482006505,136,136
1482007502,51,51
1482008487,126,126
1482009617,140,140
1482010583,80,80
1482011541,80,80
1482012509,120,120
1482013450,56,56
1482014411,142,142
1482015389,75,75
1482016351,138,138
1482017314,136,136
1482018266,61,61
1482019264,121,121
1482020193,72,72
1482021146,99,99
1482022102,127,127
1482023352,135,135
1482024268,67,67
1482025243,115,115
1482026193,74,74
1482027160,134,134
1482028121,113,113
1482029085,60,60
1482030082,123,123
1482031004,77,77
1482031968,99,99
1482032918,93,93
1482034186,147,147
1482035302,94,94
1482036249,61,61
1482037270,114,114
1482038463,94,94
1482039429,72,72
1482040357,85,85
1482041338,108,108
1482042275,52,52
1482043216,92,92
1482044185,51,51
1482045148,142,142
1482046124,108,108
1482047049,62,62
1482048096,118,118
1482049030,97,97
1482049953,156,156
1482050950,84,84
