DateTime,AddedIPs,RemovedIPs
1480363407,18,20
1480367005,13,7
1480370609,17,12
1480374207,15,12
1480377799,15,16
1480381401,10,17
1480385006,20,10
1480388607,16,11
1480392206,7,11
1480395807,12,7
1480399405,12,13
1480403005,13,9
1480406606,14,19
1480410205,21,15
1480413803,11,20
1480417407,14,5
1480421006,18,16
1480424602,12,31
1480428201,18,23
1480431802,28,27
1480435406,25,27
1480439006,26,11
1480442608,18,26
1480446200,23,18
1480449808,25,16
1480453406,19,18
1480457006,20,22
1480460609,12,14
1480464206,14,8
1480467807,20,15
1480471406,10,11
1480475009,21,21
1480478608,19,12
1480482208,15,14
1480485804,22,10
1480489404,90,9
1480493006,17,15
1480496606,17,13
1480500205,20,18
1480503810,16,17
1480507408,16,7
1480511007,17,15
1480514608,22,12
1480518209,9,12
1480521809,16,15
1480525409,34,15
1480529013,24,25
1480532609,23,14
1480536210,13,15
1480539812,27,26
1480543408,27,21
1480547009,28,13
1480550611,21,21
1480554210,26,17
1480557810,26,17
1480561414,51,18
1480565015,16,16
1480568613,9,16
1480572213,25,19
1480575813,16,20
1480579414,26,23
1480583013,16,18
1480586616,20,14
1480590213,13,19
1480593813,15,13
1480597413,19,21
1480601013,27,26
1480604614,22,25
1480608214,27,21
1480611815,20,23
1480615415,30,12
1480619017,30,16
1480622618,23,9
1480626219,17,19
1480629818,24,20
1480633418,22,22
1480637019,17,15
1480640618,20,23
1480644218,23,14
1480647819,23,6
1480651420,14,15
1480655019,12,11
1480658626,134,22
1480662228,86,23
1480665827,14,23
1480669428,18,20
1480673028,20,18
1480676629,19,13
1480680230,32,15
1480683831,32,13
1480687431,24,20
1480691032,17,22
1480694633,22,26
1480698233,18,12
1480701833,24,14
1480705434,23,13
1480709034,22,13
1480712634,16,19
1480716234,12,7
1480719835,21,17
1480723434,21,14
1480727035,14,13
1480730635,13,14
1480734234,18,19
1480737835,16,12
1480741436,18,12
1480745035,27,16
1480748636,10,14
1480752236,17,14
1480755836,8,11
1480759438,57,19
1480763039,28,20
1480766639,20,19
1480770239,15,21
1480773839,23,21
1480777438,21,18
1480781038,29,41
1480784638,20,15
1480788239,24,19
1480791839,16,9
1480795440,19,17
1480799041,22,12
1480802641,23,10
1480806240,17,11
1480809843,22,12
1480813441,10,14
1480817042,19,14
1480820655,13,14
1480824240,12,30
1480827839,11,11
1480831438,18,14
1480835044,10,12
1480838643,13,16
1480842238,9,17
1480845838,17,19
1480849441,10,16
1480853042,15,17
1480856640,13,20
1480860235,21,45
1480863839,14,7
1480867439,9,20
1480871039,12,12
1480874637,9,16
1480878237,15,22
1480881838,10,13
1480885438,14,16
1480889039,16,7
1480892638,19,18
1480896238,18,19
1480899839,15,13
1480903439,12,10
1480907038,10,16
1480910637,14,14
1480914238,17,7
1480917841,18,15
1480921438,10,17
1480925038,12,10
1480928638,9,17
1480932239,6,9
1480935838,16,8
1480939439,18,20
1480943038,10,13
1480946637,9,17
1480950239,24,17
1480953838,21,18
1480957440,17,9
1480961039,18,11
1480964639,7,14
1480968240,15,16
1480971838,13,22
1480975439,16,18
1480979039,12,12
1480982638,11,23
1480986238,14,13
1480989840,12,17
1480993438,12,20
1480997037,13,12
1481000637,11,8
1481004238,18,11
1481007839,10,14
1481011437,10,12
1481015038,17,22
1481018638,20,10
1481022239,15,13
1481025838,11,16
1481029439,18,22
1481033038,13,18
1481036637,13,27
1481040237,19,21
1481043837,15,21
1481047439,18,12
1481051039,20,19
1481054640,17,23
1481058239,15,13
1481061837,10,25
1481065437,16,19
1481069036,10,15
1481072636,14,15
1481076237,7,19
1481079835,7,19
1481083435,8,20
1481087034,16,14
1481090633,13,21
1481094230,12,92
1481097830,9,14
1481101430,13,19
1481105031,14,15
1481108629,15,19
1481112229,8,13
1481115834,114,10
1481119441,127,18
1481123047,204,18
1481126653,150,14
1481130265,235,32
1481133868,117,29
1481137469,24,18
1481141070,18,14
1481144669,17,31
1481148268,20,25
1481151868,15,32
1481155472,122,22
1481159076,58,26
1481162676,65,25
1481166276,55,53
1481169877,38,26
1481173477,20,17
1481177078,30,22
1481180680,30,21
1481184278,16,22
1481187881,24,24
1481191478,28,32
1481195081,19,12
1481198678,16,17
1481202278,19,20
1481205881,19,23
1481209479,25,20
1481213081,35,22
1481216680,30,19
1481220281,23,27
1481223880,16,31
1481227480,26,21
1481231080,20,14
1481234681,24,24
1481238280,17,19
1481241880,21,23
1481245480,18,24
1481249079,17,17
1481252680,12,18
1481256281,20,13
1481259881,18,7
1481263475,13,122
1481267071,14,93
1481270671,22,14
1481274271,12,14
1481277871,18,13
1481281471,19,21
1481285071,8,32
1481288669,11,24
1481292269,16,24
1481295871,11,20
1481299468,23,25
1481303071,21,12
1481306670,18,30
1481310269,11,24
1481313867,12,25
1481317468,17,18
1481321068,13,19
1481324666,19,20
1481328266,17,29
1481331867,22,13
1481335466,12,9
1481339066,22,13
1481342667,11,13
1481346265,9,20
1481349866,17,27
1481353466,13,9
1481357066,17,19
1481360667,19,11
1481364264,17,44
1481367864,11,26
1481371464,8,8
1481375066,16,10
1481378664,22,22
1481382265,11,15
1481385864,18,26
1481389465,20,19
1481393065,12,29
1481396664,15,20
1481400264,12,19
1481403862,16,16
1481407463,13,22
1481411064,14,14
1481414662,13,24
1481418261,13,13
1481421862,10,17
1481425461,13,12
1481429062,11,19
1481432661,10,10
1481436260,12,23
1481439860,18,18
1481443460,15,12
1481447061,17,11
1481450662,18,11
1481454260,10,12
1481457861,17,20
1481461460,8,13
1481465060,13,22
1481468660,16,16
1481472260,10,15
1481475861,23,12
1481479462,20,8
1481483063,16,11
1481486750,19,11
1481490285,12,8
1481493895,11,14
1481497516,16,18
1481501081,15,18
1481504663,14,13
1481508261,12,12
1481511862,13,12
1481515461,10,16
1481519062,11,15
1481522662,11,17
1481526260,6,12
1481529861,15,19
1481533461,18,18
1481537061,15,4
1481540660,12,13
1481544261,9,18
1481547861,19,16
1481551463,15,18
1481555061,15,25
1481558662,16,23
1481562262,27,19
1481565861,12,19
1481569461,12,8
1481573061,27,11
1481576662,16,17
1481580262,22,10
1481583862,11,12
1481587461,6,14
1481591061,12,18
1481594660,17,13
1481598261,18,15
1481601863,17,15
1481605463,15,6
1481616262,38,47
1481619864,19,17
1481623462,20,15
1481627062,15,17
1481630664,24,13
1481634264,18,23
1481637862,22,9
1481641464,13,10
1481645063,12,21
1481648664,15,16
1481652263,21,21
1481655864,23,17
1481659464,17,16
1481663063,4,13
1481666664,18,7
1481670263,15,15
1481673863,16,16
1481677464,12,11
1481681063,10,11
1481684665,17,8
1481688264,9,10
1481691864,11,19
1481695465,11,12
1481699063,14,15
1481702665,24,15
1481706266,9,15
1481709864,15,13
1481713462,16,16
1481717064,27,12
1481720659,12,94
1481724256,22,111
1481727850,39,195
1481731444,38,147
1481735029,29,270
1481738626,50,123
1481742226,21,21
1481745826,30,14
1481749426,21,20
1481753026,27,15
1481756626,17,23
1481760218,17,146
1481763819,10,15
1481767418,12,25
1481771018,12,26
1481774618,17,20
1481778219,16,16
1481781818,11,15
1481785417,18,20
1481789017,16,19
1481792616,10,16
1481796217,16,14
1481799817,17,16
1481803416,14,28
1481807316,21,23
1481810614,19,14
1481814216,16,25
1481817815,22,24
1481821414,14,29
1481825016,20,17
1481828615,13,16
1481832215,18,16
1481835815,16,21
1481839415,23,23
1481843014,26,18
1481846614,6,18
1481850217,22,18
1481853815,15,17
1481857415,21,10
1481861015,21,20
1481864615,19,18
1481868215,12,10
1481871817,22,16
1481875416,20,20
1481879018,31,9
1481882617,18,12
1481886217,16,18
1481893418,49,26
1481897018,14,11
1481900620,29,19
1481904219,16,26
1481907819,20,22
1481925797,23,15
1481929423,93,62
1481933019,32,15
1481936619,18,22
1481940221,15,11
1481943822,12,18
1481947420,15,10
1481951020,20,10
1481954621,16,19
1481958225,12,10
1481961823,21,13
1481965420,11,20
1481969020,16,17
1481972622,17,11
1481976224,17,13
1481979823,14,17
1481983421,19,18
1481987023,15,12
1481990623,6,19
1481994221,9,23
1481997823,13,7
1482001421,15,16
1482005024,22,12
1482008621,19,20
1482012221,17,14
1482015822,15,19
1482019424,38,11
1482023023,9,15
1482026624,24,14
1482030229,20,15
1482033823,11,9
1482037424,14,13
1482041024,15,12
1482044625,26,12
1482048225,15,11
1482051824,17,16
1482055424,9,10
1482059026,19,22
1482062624,13,16
1482066224,20,7
1482069824,19,14
1482073427,24,11
1482077026,12,13
1482080625,12,19
1482084224,12,22
1482087825,21,10
1482091425,10,19
1482095025,18,11
1482098626,22,12
1482105826,32,26
1482109428,17,20
1482113027,20,13
1482116626,21,13
1482120229,6,12
1482123827,10,12
1482127429,24,11
1482131027,12,14
1482134627,22,12
1482138229,14,14
1482141828,12,18
1482145428,17,13
1482149027,17,13
1482152629,14,16
1482156229,23,15
1482159829,15,14
1482163429,15,15
1482167027,11,32
1482170631,25,12
1482174229,20,10
1482177828,17,32
1482181428,12,12
1482188629,31,31
1482192229,14,11
