DateTime,Entries,UniqueIPs
1480410205,3630,3630
1480413803,3621,3621
1480417407,3630,3630
1480421006,3632,3632
1480424602,3613,3613
1480428201,3608,3608
1480431802,3609,3609
1480435406,3607,3607
1480439006,3622,3622
1480442608,3614,3614
1480446200,3619,3619
1480449808,3628,3628
1480453406,3629,3629
1480457006,3627,3627
1480460609,3625,3625
1480464206,3631,3631
1480467807,3636,3636
1480471406,3635,3635
1480475009,3635,3635
1480478608,3642,3642
1480482208,3643,3643
1480485804,3655,3655
1480489404,3736,3736
1480493006,3738,3738
1480496606,3742,3742
1480500205,3744,3744
1480503810,3743,3743
1480507408,3752,3752
1480511007,3754,3754
1480514608,3764,3764
1480518209,3761,3761
1480521809,3762,3762
1480525409,3781,3781
1480529013,3780,3780
1480532609,3789,3789
1480536210,3787,3787
1480539812,3788,3788
1480543408,3794,3794
1480547009,3809,3809
1480550611,3809,3809
1480554210,3818,3818
1480557810,3827,3827
1480561414,3860,3860
1480565015,3860,3860
1480568613,3853,3853
1480572213,3859,3859
1480575813,3855,3855
1480579414,3858,3858
1480583013,3856,3856
1480586616,3862,3862
1480590213,3856,3856
1480593813,3858,3858
1480597413,3856,3856
1480601013,3857,3857
1480604614,3854,3854
1480608214,3860,3860
1480611815,3857,3857
1480615415,3875,3875
1480619017,3889,3889
1480622618,3903,3903
1480626219,3901,3901
1480629818,3905,3905
1480633418,3905,3905
1480637019,3907,3907
1480640618,3904,3904
1480644218,3913,3913
1480647819,3930,3930
1480651420,3929,3929
1480655019,3930,3930
1480658626,4042,4042
1480662228,4105,4105
1480665827,4096,4096
1480669428,4094,4094
1480673028,4096,4096
1480676629,4102,4102
1480680230,4119,4119
1480683831,4138,4138
1480687431,4142,4142
1480691032,4137,4137
1480694633,4133,4133
1480698233,4139,4139
1480701833,4149,4149
1480705434,4159,4159
1480709034,4168,4168
1480712634,4165,4165
1480716234,4170,4170
1480719835,4174,4174
1480723434,4181,4181
1480727035,4182,4182
1480730635,4181,4181
1480734234,4180,4180
1480737835,4184,4184
1480741436,4190,4190
1480745035,4201,4201
1480748636,4197,4197
1480752236,4200,4200
1480755836,4197,4197
1480759438,4235,4235
1480763039,4243,4243
1480766639,4244,4244
1480770239,4238,4238
1480773839,4240,4240
1480777438,4243,4243
1480781038,4231,4231
1480784638,4236,4236
1480788239,4241,4241
1480791839,4248,4248
1480795440,4250,4250
1480799041,4260,4260
1480802641,4273,4273
1480806240,4279,4279
1480809843,4289,4289
1480813441,4285,4285
1480817042,4290,4290
1480820655,4289,4289
1480824240,4271,4271
1480827839,4271,4271
1480831438,4275,4275
1480835044,4273,4273
1480838643,4270,4270
1480842238,4262,4262
1480845838,4260,4260
1480849441,4254,4254
1480853042,4252,4252
1480856640,4245,4245
1480860235,4221,4221
1480863839,4228,4228
1480867439,4217,4217
1480871039,4217,4217
1480874637,4210,4210
1480878237,4203,4203
1480881838,4200,4200
1480885438,4198,4198
1480889039,4207,4207
1480892638,4208,4208
1480896238,4207,4207
1480899839,4209,4209
1480903439,4211,4211
1480907038,4205,4205
1480910637,4205,4205
1480914238,4215,4215
1480917841,4218,4218
1480921438,4211,4211
1480925038,4213,4213
1480928638,4205,4205
1480932239,4202,4202
1480935838,4210,4210
1480939439,4208,4208
1480943038,4205,4205
1480946637,4197,4197
1480950239,4204,4204
1480953838,4207,4207
1480957440,4215,4215
1480961039,4222,4222
1480964639,4215,4215
1480968240,4214,4214
1480971838,4205,4205
1480975439,4203,4203
1480979039,4203,4203
1480982638,4191,4191
1480986238,4192,4192
1480989840,4187,4187
1480993438,4179,4179
1480997037,4180,4180
1481000637,4183,4183
1481004238,4190,4190
1481007839,4186,4186
1481011437,4184,4184
1481015038,4179,4179
1481018638,4189,4189
1481022239,4191,4191
1481025838,4186,4186
1481029439,4182,4182
1481033038,4177,4177
1481036637,4163,4163
1481040237,4161,4161
1481043837,4155,4155
1481047439,4161,4161
1481051039,4162,4162
1481054640,4156,4156
1481058239,4158,4158
1481061837,4143,4143
1481065437,4140,4140
1481069036,4135,4135
1481072636,4134,4134
1481076237,4122,4122
1481079835,4110,4110
1481083435,4098,4098
1481087034,4100,4100
1481090633,4092,4092
1481094230,4012,4012
1481097830,4007,4007
1481101430,4001,4001
1481105031,4000,4000
1481108629,3996,3996
1481112229,3991,3991
1481115834,4095,4095
1481119441,4204,4204
1481123047,4390,4390
1481126653,4526,4526
1481130265,4729,4729
1481133868,4817,4817
1481137469,4823,4823
1481141070,4827,4827
1481144669,4813,4813
1481148268,4808,4808
1481151868,4791,4791
1481155472,4891,4891
1481159076,4923,4923
1481162676,4963,4963
1481166276,4965,4965
1481169877,4977,4977
1481173477,4980,4980
1481177078,4988,4988
1481180680,4997,4997
1481184278,4991,4991
1481187881,4991,4991
1481191478,4987,4987
1481195081,4994,4994
1481198678,4993,4993
1481202278,4992,4992
1481205881,4988,4988
1481209479,4993,4993
1481213081,5006,5006
1481216680,5017,5017
1481220281,5013,5013
1481223880,4998,4998
1481227480,5003,5003
1481231080,5009,5009
1481234681,5009,5009
1481238280,5007,5007
1481241880,5005,5005
1481245480,4999,4999
1481249079,4999,4999
1481252680,4993,4993
1481256281,5000,5000
1481259881,5011,5011
1481263475,4902,4902
1481267071,4823,4823
1481270671,4831,4831
1481274271,4829,4829
1481277871,4834,4834
1481281471,4832,4832
1481285071,4808,4808
1481288669,4795,4795
1481292269,4787,4787
1481295871,4778,4778
1481299468,4776,4776
1481303071,4785,4785
1481306670,4773,4773
1481310269,4760,4760
1481313867,4747,4747
1481317468,4746,4746
1481321068,4740,4740
1481324666,4739,4739
1481328266,4727,4727
1481331867,4736,4736
1481335466,4739,4739
1481339066,4748,4748
1481342667,4746,4746
1481346265,4735,4735
1481349866,4725,4725
1481353466,4729,4729
1481357066,4727,4727
1481360667,4735,4735
1481364264,4708,4708
1481367864,4693,4693
1481371464,4693,4693
1481375066,4699,4699
1481378664,4699,4699
1481382265,4695,4695
1481385864,4687,4687
1481389465,4688,4688
1481393065,4671,4671
1481396664,4666,4666
1481400264,4659,4659
1481403862,4659,4659
1481407463,4650,4650
1481411064,4650,4650
1481414662,4639,4639
1481418261,4639,4639
1481421862,4632,4632
1481425461,4633,4633
1481429062,4625,4625
1481432661,4625,4625
1481436260,4614,4614
1481439860,4614,4614
1481443460,4617,4617
1481447061,4623,4623
1481450662,4630,4630
1481454260,4628,4628
1481457861,4625,4625
1481461460,4620,4620
1481465060,4611,4611
1481468660,4611,4611
1481472260,4606,4606
1481475861,4617,4617
1481479462,4629,4629
1481483063,4634,4634
1481486750,4642,4642
1481490285,4646,4646
1481493895,4643,4643
1481497516,4641,4641
1481501081,4638,4638
1481504663,4639,4639
1481508261,4639,4639
1481511862,4640,4640
1481515461,4634,4634
1481519062,4630,4630
1481522662,4624,4624
1481526260,4618,4618
1481529861,4614,4614
1481533461,4614,4614
1481537061,4625,4625
1481540660,4624,4624
1481544261,4615,4615
1481547861,4618,4618
1481551463,4615,4615
1481555061,4605,4605
1481558662,4598,4598
1481562262,4606,4606
1481565861,4599,4599
1481569461,4603,4603
1481573061,4619,4619
1481576662,4618,4618
1481580262,4630,4630
1481583862,4629,4629
1481587461,4621,4621
1481591061,4615,4615
1481594660,4619,4619
1481598261,4622,4622
1481601863,4624,4624
1481605463,4633,4633
1481616262,4624,4624
1481619864,4626,4626
1481623462,4631,4631
1481627062,4629,4629
1481630664,4640,4640
1481634264,4635,4635
1481637862,4648,4648
1481641464,4651,4651
1481645063,4642,4642
1481648664,4641,4641
1481652263,4641,4641
1481655864,4647,4647
1481659464,4648,4648
1481663063,4639,4639
1481666664,4650,4650
1481670263,4650,4650
1481673863,4650,4650
1481677464,4651,4651
1481681063,4650,4650
1481684665,4659,4659
1481688264,4658,4658
1481691864,4650,4650
1481695465,4649,4649
1481699063,4648,4648
1481702665,4657,4657
