DateTime,AddedIPs,RemovedIPs
1480356112,6,5
1480359712,11,1
1480363312,5,8
1480366912,2,2
1480370513,8,1
1480374112,8,2
1480377713,6,4
1480381311,5,10
1480384913,14,2
1480388513,6,3
1480392112,5,7
1480395713,5,2
1480399313,6,7
1480402916,6,3
1480406514,9,7
1480410114,10,3
1480413714,5,7
1480417313,3,0
1480420913,6,13
1480424512,2,13
1480428112,8,9
1480431712,12,11
1480435313,16,17
1480438914,15,8
1480442513,7,16
1480446112,5,8
1480449713,10,7
1480453314,8,9
1480456914,14,11
1480460514,8,10
1480464114,6,5
1480467714,6,8
1480471313,4,5
1480474913,12,11
1480478519,9,8
1480482120,6,4
1480485716,7,6
1480489316,76,4
1480492918,7,4
1480496517,8,8
1480500116,8,10
1480503720,10,4
1480507317,7,7
1480510916,6,11
1480514518,13,6
1480518117,5,7
1480521717,7,8
1480525318,12,5
1480528920,10,7
1480532518,6,3
1480536119,4,7
1480539721,16,22
1480543320,25,7
1480546920,18,9
1480550520,5,10
1480554119,10,8
1480557718,11,7
1480561321,36,8
1480564922,10,12
1480568521,5,11
1480572121,16,11
1480575722,15,10
1480579321,13,14
1480582922,12,10
1480586524,7,7
1480590122,8,9
1480593721,5,4
1480597321,5,10
1480600922,12,12
1480604522,16,14
1480608128,13,6
1480611728,11,9
1480615329,10,9
1480618930,14,8
1480622529,8,3
1480626130,9,11
1480629734,14,7
1480633330,11,14
1480636930,5,7
1480640529,8,8
1480644130,10,8
1480647729,12,4
1480651329,5,9
1480654930,7,6
1480658537,122,12
1480662138,70,10
1480665739,6,7
1480669339,3,10
1480672939,11,6
1480676539,4,5
1480680140,14,12
1480683741,17,9
1480687340,9,6
1480690939,11,12
1480694539,3,12
1480698140,4,5
1480701740,8,4
1480705341,5,5
1480708940,6,4
1480712540,9,9
1480716141,4,3
1480719741,9,4
1480723341,6,3
1480726940,5,6
1480730541,5,6
1480734139,8,7
1480737740,5,6
1480741340,11,7
1480744939,10,6
1480748541,8,3
1480752140,9,8
1480755740,1,3
1480759342,43,8
1480762943,25,11
1480766543,9,4
1480770144,4,7
1480773744,6,11
1480777343,9,3
1480780942,14,25
1480784543,5,5
1480788144,3,5
1480791744,3,1
1480795344,4,7
1480798942,4,7
1480802544,7,1
1480806144,10,3
1480809745,7,11
1480813343,3,6
1480816943,8,5
1480820552,7,4
1480824142,3,21
1480827742,7,4
1480831343,9,8
1480834945,4,6
1480838544,6,6
1480842142,1,3
1480845741,7,5
1480849345,4,4
1480852944,8,7
1480856542,2,10
1480860139,6,28
1480863742,4,3
1480867343,1,6
1480870943,2,7
1480874542,3,12
1480878142,4,7
1480881742,6,6
1480885341,7,9
1480888942,10,3
1480892541,5,9
1480896142,10,14
1480899741,6,7
1480903340,6,4
1480906941,5,10
1480910541,7,7
1480914141,3,3
1480917742,7,9
1480921340,3,6
1480924940,5,7
1480928542,3,10
1480932141,1,3
1480935740,10,4
1480939341,5,9
1480942940,3,7
1480946540,2,4
1480950140,5,9
1480953740,6,8
1480957342,4,4
1480960942,7,3
1480964540,2,10
1480968141,1,7
1480971740,4,8
1480975340,7,8
1480978940,4,7
1480982539,5,14
1480986138,4,8
1480989740,4,7
1480993338,4,11
1480996937,5,8
1481000536,3,3
1481004138,3,8
1481007737,5,9
1481011337,2,9
1481014937,8,9
1481018539,5,4
1481022139,8,3
1481025738,5,8
1481029338,6,4
1481032938,5,9
1481036538,5,14
1481040138,6,11
1481043736,7,15
1481047338,5,3
1481050938,5,7
1481054538,7,9
1481058138,4,6
1481061736,5,12
1481065335,2,14
1481068935,6,10
1481072535,5,5
1481076134,2,7
1481079734,3,9
1481083334,3,9
1481086934,8,6
1481090534,8,8
1481094132,5,75
1481097732,6,3
1481101332,4,11
1481104933,6,4
1481108532,7,12
1481112131,1,4
1481115736,107,3
1481119342,118,8
1481122950,182,13
1481126556,134,7
1481130167,213,9
1481133771,97,14
1481137372,9,5
1481140973,10,7
1481144572,5,13
1481148171,8,20
1481151772,8,18
1481155375,112,8
1481158978,22,12
1481162577,26,10
1481166176,26,29
1481169776,19,13
1481173376,15,10
1481176976,11,12
1481180579,20,19
1481184176,10,9
1481187780,6,18
1481191375,10,15
1481194977,12,5
1481198575,11,7
1481202178,12,5
1481205780,5,11
1481209377,8,14
1481212979,14,11
1481216575,9,9
1481220176,11,9
1481223776,8,13
1481227379,15,9
1481230978,11,5
1481234577,9,10
1481238177,8,8
1481241777,7,12
1481245375,4,11
1481248976,6,4
1481252577,4,9
1481256178,6,5
1481259779,8,4
1481263374,8,110
1481266970,4,77
1481270569,11,6
1481274169,5,3
1481277769,7,5
1481281369,11,3
1481284970,4,13
1481288567,2,9
1481292168,7,10
1481295768,4,12
1481299368,5,8
1481302971,16,1
1481306569,11,9
1481310170,6,6
1481313769,5,9
1481317371,4,8
1481320970,6,6
1481324569,8,3
1481328170,8,11
1481331769,7,4
1481335368,5,4
1481338968,5,5
1481342568,4,5
1481346168,4,12
1481349768,5,9
1481353370,6,4
1481356971,10,13
1481360569,7,4
1481364164,4,31
1481367767,6,23
1481371368,3,4
1481374968,3,3
1481378567,6,8
1481382166,5,7
1481385765,9,13
1481389367,5,7
1481392969,8,6
1481396569,7,6
1481400167,5,6
1481403770,7,3
1481407370,3,4
1481410971,7,8
1481414570,5,8
1481418169,7,4
1481421770,5,3
1481425370,6,6
1481428971,3,7
1481432571,4,4
1481436171,3,8
1481439771,7,6
1481443371,5,6
1481446971,3,1
1481450571,7,3
1481454168,3,6
1481457769,6,11
1481461368,5,2
1481464969,6,7
1481468570,7,5
1481472170,6,6
1481475770,6,1
1481479371,8,3
1481482972,7,3
1481486645,7,7
1481490198,10,4
1481493796,2,10
1481497418,5,4
1481500985,7,6
1481504571,9,6
1481508170,6,5
1481511771,8,5
1481515370,2,12
1481518973,3,5
1481522571,7,8
1481526171,3,5
1481529772,4,6
1481533371,5,8
1481536970,5,1
1481540569,5,8
1481544170,3,8
1481547771,6,4
1481551373,6,6
1481554972,5,7
1481558571,7,8
1481562172,9,4
1481565771,4,7
1481569372,4,1
1481572972,14,2
1481576574,1,1
1481580172,5,3
1481583771,3,6
1481587370,4,5
1481590970,5,8
1481594568,7,2
1481598171,5,1
1481601773,7,7
1481605372,8,2
1481608972,6,5
1481616171,8,16
1481619774,9,9
1481623372,11,5
1481626972,6,9
1481630573,8,5
1481634173,10,10
1481637771,7,1
1481641373,1,1
1481644972,2,8
1481648574,7,6
1481652172,10,10
1481655774,12,3
1481659374,5,4
1481662973,1,4
1481666572,4,3
1481670172,3,1
1481673771,4,5
1481677372,5,3
1481680972,6,5
1481684573,7,5
1481688173,3,2
1481691775,7,9
1481695375,6,7
1481698974,5,9
1481702576,18,7
1481706175,4,5
1481709775,6,6
1481713371,9,10
1481716973,8,5
1481720568,2,92
1481724165,4,103
1481727758,14,171
1481731355,21,126
1481734941,17,248
1481738536,32,106
1481742137,9,7
1481745736,14,4
1481749338,11,7
1481752934,8,5
1481756534,5,13
1481760128,5,136
1481763728,5,5
1481767326,6,10
1481770928,5,19
1481774528,8,8
1481778129,5,12
1481781728,7,7
1481785327,9,16
1481788927,6,10
1481792526,2,4
1481796127,5,3
1481799727,3,6
1481803326,3,8
1481807180,5,10
1481810524,6,6
1481814125,3,8
1481817724,7,7
1481821325,7,13
1481824926,5,10
1481828525,4,6
1481832126,7,5
1481835726,4,10
1481839326,6,8
1481842925,9,7
1481846525,6,9
1481850128,9,7
1481853728,10,6
1481857326,13,5
1481860927,12,7
1481864528,7,10
1481868126,6,8
1481871727,14,8
1481875328,11,8
1481878929,15,5
1481882528,9,4
1481886128,5,11
1481893329,30,11
1481896929,9,3
1481900529,4,4
1481904129,6,3
1481907727,13,14
1481925674,8,6
1481929329,33,24
1481932927,14,7
1481936528,8,5
1481940128,7,5
1481943730,7,3
1481947330,10,3
1481950930,7,5
1481954531,10,8
1481958132,5,5
1481961730,9,4
1481965329,4,7
1481968930,5,6
1481972530,5,6
1481976130,11,7
1481979730,5,3
1481983330,9,6
1481986931,6,5
1481990531,2,8
1481994129,7,7
1481997731,5,4
1482001332,7,9
1482004933,8,2
1482008531,6,7
1482012132,9,3
1482015732,4,9
1482019334,23,1
1482022933,3,5
1482026532,7,5
1482030135,7,5
1482033732,3,2
1482037333,7,4
1482040933,8,5
1482044535,17,2
1482048135,1,5
1482051734,9,4
1482055336,4,2
1482058935,5,4
1482062534,6,6
1482066134,7,4
1482069734,7,5
1482073335,4,5
1482076935,4,9
1482080535,7,5
1482084135,6,6
1482087735,7,2
1482091335,3,8
1482094934,5,8
1482098537,11,5
1482105735,15,8
1482109334,5,9
1482112936,14,6
1482116535,7,9
1482120137,1,7
1482123735,7,3
1482127336,11,3
1482130936,3,7
1482134536,11,3
1482138138,8,6
1482141737,4,4
1482145337,8,8
1482148936,5,8
1482152536,3,5
1482156136,8,5
1482159736,5,6
1482163336,10,6
1482166935,5,11
1482170537,14,3
1482174137,11,5
1482177737,5,17
