DateTime,AddedIPs,RemovedIPs
1480427282,46,53
1480431363,55,37
1480435443,46,39
1480437363,68,35
1480441202,68,69
1480445042,57,58
1480448883,54,56
1480452736,46,55
1480456562,59,61
1480462323,76,127
1480466163,65,61
1480470002,57,62
1480473842,52,55
1480477682,80,97
1480481524,93,90
1480485363,78,72
1480489205,68,49
1480491123,46,48
1480494963,44,32
1480498802,50,46
1480502643,46,44
1480504562,52,44
1480510323,44,41
1480514163,57,39
1480518004,48,59
1480519923,56,43
1480524003,56,57
1480528084,66,62
1480531924,58,51
1480535763,64,61
1480539616,60,61
1480541522,49,61
1480545603,58,65
1480549442,42,68
1480553524,92,71
1480557363,82,79
1480561205,50,68
1480563124,90,95
1480566963,80,99
1480570803,75,73
1480574643,82,61
1480580403,58,59
1480582324,61,36
1480586162,56,47
1480588082,47,56
1480590005,93,84
1480591924,55,46
1480595764,45,43
1480599603,62,49
1480603444,45,44
1480607524,43,34
1480613284,57,35
1480615205,65,53
1480617123,68,52
1480620977,53,57
1480624803,46,52
1480628642,45,47
1480632723,38,65
1480636563,49,71
1480640405,70,64
1480642324,56,70
1480646162,57,64
1480650003,81,87
1480653843,76,76
1480657682,73,82
1480661524,75,49
1480665363,43,57
1480669206,52,40
1480671123,57,37
1480673284,37,57
1480675203,82,83
1480679042,49,65
1480683124,52,40
1480686962,53,45
1480690806,59,44
1480692722,50,34
1480696803,77,52
1480700642,61,47
1480704725,48,57
1480708565,48,58
1480712406,47,58
1480714323,42,49
1480718404,41,62
1480722243,47,77
1480726323,83,69
1480730405,67,58
1480732325,56,61
1480736402,62,79
1480740243,91,86
1480744323,66,75
1480748405,63,48
1480750322,41,45
1480754163,51,45
1480759922,44,32
1480761843,56,50
1480765924,68,56
1480769763,47,53
1480773604,56,47
1480777683,56,37
1480779603,70,51
1480783443,63,53
1480787283,62,54
1480793043,53,59
1480794963,44,58
1480799042,42,62
1480800965,66,51
1480804802,32,59
1480808642,46,49
1480814644,87,54
1480816568,61,55
1480820405,59,71
1480824484,87,147
1480826403,138,92
1480830243,59,71
1480834322,62,35
1480838163,43,48
1480842004,46,28
1480843923,44,40
1480847762,44,48
1480851603,52,47
1480855443,59,51
1480859282,52,37
1480863124,53,54
1480866963,51,46
1480871043,48,48
1480872977,48,53
1480876803,37,56
1480881123,57,58
1480884962,53,59
1480888805,44,63
1480890725,48,62
1480894580,36,72
1480898405,74,76
1480900324,57,50
1480906328,48,58
1480910164,81,83
1480914007,79,85
1480917845,72,68
1480919763,67,56
1480923603,55,59
1480927442,47,44
1480931283,54,43
1480935123,48,45
1480938963,39,40
1480942805,38,48
1480944724,43,38
1480948803,56,36
1480952645,39,35
1480956725,51,55
1480960803,65,48
1480964643,71,64
1480968486,53,76
1480970404,63,61
1480975924,41,64
1480978324,47,52
1480980981,35,63
1480985765,68,64
1480988163,63,50
1480992002,48,76
1480995860,87,90
1480999923,93,98
1481001845,98,93
1481004004,153,157
1481006165,61,60
1481010741,70,47
1481015285,49,39
1481017444,32,34
1481022725,42,36
1481025860,47,43
1481028496,48,42
1481032809,44,42
1481035684,55,44
1481038804,51,59
1481043124,53,40
1481047444,68,38
1481049380,44,62
1481054405,53,58
1481057045,50,74
1481061125,57,59
1481065685,43,68
1481068084,43,78
1481070739,64,62
1481075285,56,72
1481080082,58,57
1481082483,84,89
1481088245,94,94
1481090644,80,84
1481093284,85,62
1481096645,60,40
1481102644,71,54
1481105527,50,50
1481108884,41,46
1481111523,55,49
1481114419,52,36
1481116325,36,52
1481118243,86,64
1481122323,45,49
1481124985,43,37
1481129765,55,39
1481132164,58,44
1481136724,48,39
1481140563,48,55
1481144643,47,59
1481146804,48,56
1481150882,49,60
1481154977,43,77
1481157124,75,73
1481160968,53,60
1481165046,43,53
1481168882,84,97
1481172722,103,85
1481176563,66,75
1481180405,74,52
1481182322,44,3295
1481184243,3271,0
1481186162,64,54
1481190003,63,62
1481193843,48,32
1481197683,47,47
1481201523,62,56
1481205363,44,48
1481209205,48,44
1481211123,52,61
1481215203,56,48
1481219042,67,41
1481222882,55,55
1481226735,52,48
1481230807,56,50
1481232728,47,62
1481236565,37,81
1481240404,53,65
1481244483,78,57
1481248323,49,66
1481252165,47,66
1481254083,91,90
1481257922,93,88
1481261763,64,81
1481265603,75,62
1481269442,53,56
1481275207,45,42
1481277124,62,43
1481280963,55,41
1481284804,38,33
1481286726,55,42
1481290808,38,39
1481294883,48,47
1481298736,48,40
1481302563,68,63
1481306405,54,45
1481310244,72,59
1481314084,68,71
1481316003,50,68
1481319848,44,67
1481323923,58,72
1481327763,34,50
1481331605,84,65
1481335685,60,60
1481337603,61,70
1481341443,81,78
1481345523,89,105
1481349363,72,81
1481353205,74,59
1481355123,51,50
1481359203,55,33
1481363042,52,39
1481366882,47,40
1481370737,62,52
1481374805,63,51
1481376728,64,50
1481380563,38,64
1481384403,46,39
1481388243,52,34
1481392082,64,54
1481396163,50,59
1481400004,54,49
1481401922,35,59
1481406004,36,60
1481409844,45,63
1481413684,41,59
1481417525,68,59
1481421369,61,60
1481425685,63,72
1481427603,91,85
1481431443,86,88
1481435524,72,83
1481439362,71,55
1481443204,43,47
1481445125,43,35
1481451123,58,38
1481453045,54,34
1481456884,52,57
1481460725,73,57
1481464569,64,47
1481468405,65,101
1481470322,60,67
1481474162,83,46
1481478009,87,60
1481481843,57,55
1481485936,44,60
1481489763,51,69
1481493604,57,65
1481495524,42,73
1481499363,39,73
1481503206,71,55
1481507044,62,58
1481510886,47,78
1481514738,86,83
1481518564,100,80
1481522415,66,75
1481526243,76,63
1481528163,56,55
1481532003,48,53
1481535843,68,52
1481539683,44,35
1481545446,48,51
1481547363,51,43
1481551211,59,48
1481553124,52,54
1481556965,44,38
1481561042,55,52
1481564883,65,59
1481570883,61,74
1481572804,56,58
1481574723,56,56
1481578567,52,70
1481584323,58,71
1481586243,49,78
1481590082,66,64
1481593924,55,52
1481598005,58,81
1481599923,85,84
1481603763,87,97
1481607608,78,73
1481611443,80,47
1481615282,45,54
1481619123,54,48
1481622963,62,52
1481626805,42,39
1481628724,51,39
1481632564,47,53
1481636408,54,54
1481640243,40,56
1481644083,57,39
1481648163,64,61
1481652009,62,55
1481656083,61,53
1481658003,59,63
1481661843,51,58
1481665687,60,68
1481669524,45,55
1481673362,47,62
1481677204,68,57
1481679126,49,68
1481682962,55,73
1481686803,81,85
1481690643,86,89
1481694483,74,73
1481698324,73,55
1481702177,59,43
1481706005,44,40
1481707926,57,53
1481711762,61,58
1481715603,37,59
1481721363,52,48
1481723283,38,43
1481727124,52,40
1481730975,55,38
1481734805,38,57
1481736728,59,42
1481740563,71,49
1481744403,57,65
1481748243,52,57
1481752083,48,58
1481755924,51,62
1481760003,47,78
1481761924,78,81
1481765762,66,64
1481769603,43,66
1481773683,80,89
1481775602,89,80
1481777524,80,89
1481779444,106,111
1481781363,72,79
1481785205,71,61
1481787123,60,37
1481791203,54,44
1481795283,53,39
1481799123,36,44
1481802976,59,49
1481806805,62,55
1481810643,50,49
1481812564,44,51
1481816402,43,47
1481820482,66,42
1481824323,214,284
1481826243,306,232
1481828163,54,54
1481830323,66,63
1481834163,52,61
1481838007,44,55
1481841842,54,65
1481845925,35,76
1481849765,64,52
1481853617,56,61
1481855523,47,62
1481859602,87,94
1481863450,87,95
1481867282,70,70
1481871123,68,49
1481874963,57,54
1481878805,55,44
1481880727,64,47
1481884564,45,42
1481888402,48,43
1481892243,42,42
1481896082,54,37
1481899924,41,43
1481903763,50,50
1481907604,54,52
1481911683,68,57
1481913603,59,61
1481917442,58,57
1481921524,58,54
1481925362,44,48
1481929208,48,57
1481931122,51,73
1481934963,75,73
1481938805,58,66
1481942642,49,61
1481946483,84,76
1481950324,88,89
1481954416,69,90
1481956324,61,47
1481960162,46,42
1481964003,53,30
1481967843,54,46
1481971682,35,41
1481975522,53,43
1481979363,49,44
1481983213,74,46
1481985363,41,38
1481989203,43,41
1481993283,54,60
1481997124,46,46
1482000963,57,51
1482004805,43,62
1482006723,46,71
1482010805,49,44
1482014643,33,65
1482018483,37,55
1482022324,71,57
1482026162,56,64
1482030005,45,71
1482031922,93,75
1482035763,81,100
1482039606,68,63
1482043442,56,47
1482047283,49,36
1482051123,45,35
1482054963,44,37
1482058804,47,44
1482060723,62,47
1482064803,56,54
1482068642,49,35
1482072724,53,57
1482076562,56,47
1482080405,57,58
1482082322,55,54
1482086403,58,46
1482090243,42,53
1482094325,43,56
1482098163,51,73
1482102005,49,64
1482105842,43,70
1482107762,65,59
1482109683,59,50
1482115443,41,64
1482119282,77,80
1482123124,107,104
1482126963,71,77
1482130805,97,59
1482132724,44,36
1482136563,54,46
1482140643,42,61
1482144724,48,33
1482148563,41,45
1482152405,63,41
1482156483,39,46
1482158405,48,65
1482162244,59,47
1482166083,54,61
1482170162,69,60
1482175922,57,56
1482177843,54,58
1482179763,61,61
1482183611,37,48
1482187683,48,37
1482189603,79,93
1482191523,54,77
1482195363,74,62
