DateTime,Entries,UniqueIPs
1480462323,6922,6922
1480466163,6926,6926
1480470002,6921,6921
1480473842,6918,6918
1480477682,6901,6901
1480481524,6904,6904
1480485363,6910,6910
1480489205,6929,6929
1480491123,6927,6927
1480494963,6939,6939
1480498802,6943,6943
1480502643,6945,6945
1480504562,6953,6953
1480510323,6956,6956
1480514163,6974,6974
1480518004,6963,6963
1480519923,6976,6976
1480524003,6975,6975
1480528084,6979,6979
1480531924,6986,6986
1480535763,6989,6989
1480539616,6988,6988
1480541522,6976,6976
1480545603,6969,6969
1480549442,6943,6943
1480553524,6964,6964
1480557363,6967,6967
1480561205,6949,6949
1480563124,6944,6944
1480566963,6925,6925
1480570803,6927,6927
1480574643,6948,6948
1480580403,6947,6947
1480582324,6972,6972
1480586162,6981,6981
1480588082,6972,6972
1480590005,6981,6981
1480591924,6990,6990
1480595764,6992,6992
1480599603,7005,7005
1480603444,7006,7006
1480607524,7015,7015
1480613284,7037,7037
1480615205,7049,7049
1480617123,7065,7065
1480620977,7061,7061
1480624803,7055,7055
1480628642,7053,7053
1480632723,7026,7026
1480636563,7004,7004
1480640405,7010,7010
1480642324,6996,6996
1480646162,6989,6989
1480650003,6983,6983
1480653843,6983,6983
1480657682,6974,6974
1480661524,7000,7000
1480665363,6986,6986
1480669206,6998,6998
1480671123,7018,7018
1480673284,6998,6998
1480675203,6997,6997
1480679042,6981,6981
1480683124,6993,6993
1480686962,7001,7001
1480690806,7016,7016
1480692722,7032,7032
1480696803,7057,7057
1480700642,7071,7071
1480704725,7062,7062
1480708565,7052,7052
1480712406,7041,7041
1480714323,7034,7034
1480718404,7013,7013
1480722243,6983,6983
1480726323,6997,6997
1480730405,7006,7006
1480732325,7001,7001
1480736402,6984,6984
1480740243,6989,6989
1480744323,6980,6980
1480748405,6995,6995
1480750322,6991,6991
1480754163,6997,6997
1480759922,7009,7009
1480761843,7015,7015
1480765924,7027,7027
1480769763,7021,7021
1480773604,7030,7030
1480777683,7049,7049
1480779603,7068,7068
1480783443,7078,7078
1480787283,7086,7086
1480793043,7080,7080
1480794963,7066,7066
1480799042,7046,7046
1480800965,7061,7061
1480804802,7034,7034
1480808642,7031,7031
1480814644,7064,7064
1480816568,7070,7070
1480820405,7058,7058
1480824484,6998,6998
1480826403,7044,7044
1480830243,7032,7032
1480834322,7059,7059
1480838163,7054,7054
1480842004,7072,7072
1480843923,7076,7076
1480847762,7072,7072
1480851603,7077,7077
1480855443,7085,7085
1480859282,7100,7100
1480863124,7099,7099
1480866963,7104,7104
1480871043,7104,7104
1480872977,7099,7099
1480876803,7080,7080
1480881123,7079,7079
1480884962,7073,7073
1480888805,7054,7054
1480890725,7040,7040
1480894580,7004,7004
1480898405,7002,7002
1480900324,7009,7009
1480906328,6999,6999
1480910164,6997,6997
1480914007,6991,6991
1480917845,6995,6995
1480919763,7006,7006
1480923603,7002,7002
1480927442,7005,7005
1480931283,7016,7016
1480935123,7019,7019
