DateTime,AddedIPs,RemovedIPs
1479744008,1,0
1479744307,0,1
1479749408,0,1
1479751207,1,0
1479755707,0,1
1479760208,0,1
1479769208,1,0
1479770707,0,1
1479780008,0,2
1479797407,0,1
1479813008,0,1
1479814207,0,1
1479816008,117,0
1479816307,152,0
1479816607,101,0
1479817207,206,0
1479817508,10,0
1479855608,1,0
1479869707,0,1
1479871808,0,1
1479888907,0,1
1479896108,55,0
1479896408,58,0
1479896708,82,6
1479897008,140,0
1479897308,45,0
1479897607,1,0
1479898507,14,0
1479898807,2,0
1479904807,0,1
1479908708,0,1
1479932408,0,1
1479934808,1,0
1479937508,0,1
1479947707,0,1
1479951307,0,1
1479970807,0,1
1479988507,14,0
1479988807,134,0
1479989107,147,0
1479989408,2,0
1479990008,6,0
1479990308,6,0
1479990608,1,1
1479990908,143,0
1479991209,39,3
1479991508,6,0
1479994207,0,1
1480011307,0,1
1480014008,0,1
1480035608,2,0
1480052107,0,1
1480062607,7,0
1480062907,2,0
1480063207,1,0
1480063509,1,0
1480066209,0,6
1480066507,0,5
1480069508,416,0
1480069807,24,0
1480070107,11,0
1480070407,5,0
1480072214,59,0
1480075508,0,1
1480077908,1,0
1480087207,0,1
1480094708,0,1
1480100408,1,0
1480104008,1,0
1480107007,0,1
1480115708,0,1
1480118407,1,0
1480143908,0,1
1480164607,0,2
1480164908,0,1
1480194008,1,0
1480196708,0,1
1480208107,0,1
1480215008,0,1
1480219209,1,0
1480233007,0,1
1480233907,0,1
1480247108,0,1
1480265119,0,1
1480282208,0,1
1480290907,0,1
1480297807,0,1
1480302008,1,0
1480305007,0,1
1480324208,284,6
1480324807,143,0
1480325108,13,0
1480325707,1,1
1480326008,43,0
1480326308,10,0
1480326608,7,0
1480326907,3,0
1480327208,44,0
1480330808,0,1
1480338607,0,1
1480343407,0,1
1480377608,1,0
1480386008,0,1
1480409407,0,1
1480413608,1,0
1480413908,222,0
1480414209,157,0
1480414808,18,0
1480416607,1,0
1480416908,2,0
1480444507,0,1
1480448108,0,1
1480482308,0,1
1480489208,1,0
1480493408,0,1
1480495807,32,0
1480496407,16,0
1480496708,64,0
1480497607,0,1
1480518907,0,1
1480529708,0,1
1480539307,0,1
1480555808,0,1
1480556408,0,1
1480557607,1,0
1480579209,1,0
1480586408,1,0
1480590008,1,0
1480593307,0,1
1480594507,247,0
1480595107,31,0
1480595709,50,0
1480596008,4,0
1480596308,1,0
1480601708,0,1
1480602909,0,1
1480608008,2,0
1480622408,1,0
1480624808,0,1
1480628108,0,1
1480655408,0,1
1480662307,3,0
1480690508,0,1
1480692609,178,0
1480692908,201,0
1480693208,43,0
1480693509,45,0
1480693808,42,0
1480694108,149,0
1480695607,1,0
1480703108,0,1
1480705208,1,0
1480721707,1,0
1480744807,1,0
1480761608,304,0
1480761908,217,0
1480762208,1,0
1480768507,0,1
1480768807,0,1
1480769108,0,1
1480772107,0,1
1480779908,0,1
1480786208,0,1
1480786508,0,1
1480798808,1,0
1480825208,0,1
1480844109,57,0
1480848008,3,0
1480848307,38,0
1480848607,67,0
1480848908,151,0
1480849208,28,0
1480862107,0,1
1480862408,74,0
1480862708,104,0
1480863008,105,0
1480863308,105,0
1480863608,103,0
1480863908,263,0
1480864207,713,0
1480864507,442,0
1480864808,102,0
1480865109,104,0
1480865408,106,0
1480865707,100,0
1480866008,105,0
1480866308,103,0
1480866607,99,0
1480866908,104,0
1480867208,103,0
1480867507,104,0
1480868108,210,1
1480868408,103,0
1480868708,106,0
1480869008,104,0
1480869307,29,3
1480877108,0,1
1480877409,53,0
1480877708,87,0
1480878008,2,0
1480878608,43,0
1480879208,50,0
1480879508,2,0
1480879808,1,0
1480880107,3,0
1480880408,2,0
1480880708,11,0
1480881007,10,0
1480881607,10,0
1480887007,0,1
1480896008,0,1
1480903508,0,1
1480907108,0,1
1480914907,0,1
1480915509,0,1
1480926607,0,3
1480928107,357,0
1480932008,1,0
1480932608,0,1
1480935007,6,0
1480936213,147,0
1480936508,64,0
1480936807,9,0
1480937110,4,0
1480937407,6,0
1480937707,60,0
1480938008,94,0
1480938308,40,0
1480938607,5,0
1480940108,0,1
1480950908,0,1
1480968007,0,1
1480975508,1,0
1480983008,0,1
1480985107,0,1
1480995307,0,1
1481012107,0,1
1481016008,191,0
1481016907,13,0
1481017807,21,0
1481032207,125,0
1481033707,6,0
1481035208,6,0
1481039708,1,0
1481046907,125,0
1481048107,226,0
1481049008,51,0
1481049908,1,0
1481053808,0,2
1481058607,206,0
1481060708,75,0
1481061607,337,0
1481078708,0,1
1481083208,1,0
1481086207,0,2
1481091608,0,1
1481101808,73,53
1481103608,71,0
1481109911,43,0
1481111107,66,0
1481113808,3,0
1481119208,39,0
1481122809,20,0
1481123109,3,0
1481124307,1,0
1481127310,0,1
1481128208,0,1
1481129107,0,1
1481130908,0,2
1481133608,5,0
1481136308,518,0
1481165108,0,1
1481169907,1,1
1481170808,0,1
1481180108,0,1
1481187308,10,0
1481187608,27,0
