DateTime,Entries,UniqueIPs
1479769208,264055,274266
1479770707,264054,274265
1479780008,264052,274263
1479797407,264051,274262
1479813008,264050,274261
1479814207,264049,274260
1479816008,264165,274377
1479816307,264316,274529
1479816607,264416,274630
1479817207,264614,274836
1479817508,264624,274846
1479855608,264625,274847
1479869707,264624,274846
1479871808,264623,274845
1479888907,264622,274844
1479896108,264676,274899
1479896408,264733,274957
1479896708,264808,275033
1479897008,264947,275173
1479897308,264991,275218
1479897607,264992,275219
1479898507,265006,275233
1479898807,265008,275235
1479904807,265007,275234
1479908708,265006,275233
1479932408,265005,275232
1479934808,265006,275233
1479937508,265005,275232
1479947707,265004,275231
1479951307,265004,275230
1479970807,265003,275229
1479988507,265017,275243
1479988807,265151,275377
1479989107,265296,275524
1479989408,265298,275526
1479990008,265304,275532
1479990308,265310,275538
1479990608,265310,275538
1479990908,265452,275681
1479991209,265488,275717
1479991508,265494,275723
1479994207,265493,275722
1480011307,265492,275721
1480014008,265491,275720
1480035608,265493,275722
1480052107,265492,275721
1480062607,265499,275728
1480062907,265501,275730
1480063207,265502,275731
1480063509,265503,275732
1480066209,265497,275726
1480066507,265492,275721
1480069508,265903,276137
1480069807,265927,276161
1480070107,265938,276172
1480070407,265943,276177
1480072214,266002,276236
1480075508,266001,276235
1480077908,266002,276236
1480087207,266001,276235
1480094708,266000,276234
1480100408,266001,276235
1480104008,266002,276236
1480107007,266001,276235
1480115708,266000,276234
1480118407,266001,276235
1480143908,266000,276234
1480164607,265998,276232
1480164908,265998,276231
1480194008,265999,276232
1480196708,265998,276231
1480208107,265997,276230
1480215008,265996,276229
1480219209,265997,276230
1480233007,265996,276229
1480233907,265995,276228
1480247108,265994,276227
1480265119,265993,276226
1480282208,265992,276225
1480290907,265991,276224
1480297807,265990,276223
1480302008,265991,276224
1480305007,265990,276223
1480324208,266268,276501
1480324807,266408,276644
1480325108,266421,276657
1480325707,266421,276657
1480326008,266464,276700
1480326308,266474,276710
1480326608,266481,276717
1480326907,266484,276720
1480327208,266528,276764
1480330808,266527,276763
1480338607,266526,276762
1480343407,266525,276761
1480377608,266526,276762
1480386008,266525,276761
1480409407,266524,276760
1480413608,266525,276761
1480413908,266747,276983
1480414209,266903,277140
1480414808,266921,277158
1480416607,266922,277159
1480416908,266924,277161
1480444507,266923,277160
1480448108,266922,277159
1480482308,266921,277158
1480489208,266922,277159
1480493408,266921,277158
1480495807,266952,277190
1480496407,266967,277206
1480496708,267031,277270
1480497607,267030,277269
1480518907,267030,277268
1480529708,267029,277267
1480539307,267028,277266
1480555808,267027,277265
1480556408,267026,277264
1480557607,267027,277265
1480579209,267028,277266
1480586408,267029,277267
1480590008,267030,277268
1480593307,267030,277267
1480594507,267275,277514
1480595107,267306,277545
1480595709,267356,277595
1480596008,267360,277599
1480596308,267361,277600
1480601708,267360,277599
1480602909,267359,277598
1480608008,267361,277600
1480622408,267362,277601
1480624808,267361,277600
1480628108,267360,277599
1480655408,267359,277598
1480662307,267361,277601
1480690508,267360,277600
1480692609,267538,277778
1480692908,267738,277979
1480693208,267779,278022
1480693509,267823,278067
1480693808,267865,278109
1480694108,268013,278258
1480695607,268014,278259
1480703108,268013,278258
1480705208,268014,278259
1480721707,268015,278260
1480744807,268016,278261
1480761608,268317,278565
1480761908,268529,278782
1480762208,268530,278783
1480768507,268529,278782
1480768807,268528,278781
1480769108,268527,278780
1480772107,268526,278779
1480779908,268525,278778
1480786208,268524,278777
1480786508,268523,278776
1480798808,268523,278777
1480825208,268522,278776
1480844109,268579,278833
1480848008,268582,278836
1480848307,268620,278874
1480848607,268686,278941
1480848908,268834,279092
1480849208,268861,279120
1480862107,268860,279119
1480862408,268933,279193
1480862708,269037,279297
1480863008,269141,279402
1480863308,269246,279507
1480863608,269348,279610
1480863908,269608,279873
1480864207,270314,280586
1480864507,270750,281028
1480864808,270851,281130
1480865109,270953,281234
1480865408,271056,281340
1480865707,271156,281440
1480866008,271261,281545
1480866308,271361,281648
1480866607,271459,281747
1480866908,271560,281851
1480867208,271663,281954
1480867507,271764,282058
1480868108,271969,282267
1480868408,272070,282370
1480868708,272175,282476
1480869008,272277,282580
1480869307,272304,282606
1480877108,272303,282605
1480877409,272356,282658
1480877708,272441,282745
1480878008,272443,282747
1480878608,272485,282790
1480879208,272535,282840
1480879508,272537,282842
1480879808,272538,282843
1480880107,272541,282846
1480880408,272543,282848
1480880708,272553,282859
1480881007,272563,282869
1480881607,272573,282879
1480887007,272572,282878
1480896008,272571,282877
1480903508,272570,282876
1480907108,272569,282875
1480914907,272568,282874
1480915509,272567,282873
1480926607,272564,282870
1480928107,272914,283227
1480932008,272915,283228
1480932608,272914,283227
1480935007,272920,283233
1480936213,273065,283380
1480936508,273128,283444
1480936807,273137,283453
1480937110,273141,283457
1480937407,273147,283463
1480937707,273205,283523
1480938008,273297,283617
1480938308,273337,283657
1480938607,273342,283662
1480940108,273341,283661
1480950908,273340,283660
1480968007,273339,283659
1480975508,273340,283660
1480983008,273339,283659
1480985107,273338,283658
1480995307,273337,283657
1481012107,273336,283656
1481016008,273525,283847
1481016907,273538,283860
1481017807,273559,283881
1481032207,273684,284006
1481033707,273690,284012
1481035208,273696,284018
1481039708,273697,284019
1481046907,273822,284144
1481048107,274048,284370
1481049008,274099,284421
