DateTime,AddedIPs,RemovedIPs
1478538008,0,1
1478539808,0,1
1478542808,0,1
1478556907,0,1
1478625908,0,1
1478629808,0,1
1478632808,0,1
1478636107,0,1
1478636708,15,0
1478637308,20,0
1478637908,18,0
1478638208,27,0
1478639107,17,0
1478639408,13,0
1478640907,13,0
1478641508,1,0
1478641807,17,0
1478642107,20,0
1478642711,19,0
1478643609,10,0
1478645108,0,1
1478650208,0,1
1478684407,0,1
1478685007,0,1
1478693707,0,1
1478695508,0,1
1478701508,0,1
1478705119,0,1
1478719208,0,1
1478720108,45,0
1478720408,7,0
1478720708,2,0
1478721007,9,0
1478721608,0,1
1478721907,0,5
1478722208,0,2
1478722507,9,0
1478723708,0,1
1478725208,0,1
1478729707,0,1
1478737208,0,1
1478743807,0,1
1478744707,23,0
1478766907,0,1
1478768107,0,1
1478774710,0,1
1478775608,0,1
1478778008,0,1
1478783108,0,1
1478783713,0,1
1478784007,0,1
1478784908,0,1
1478800807,8,0
1478802008,0,1
1478804708,0,2
1478805307,459,0
1478805908,0,1
1478806208,10,0
1478807408,3,2
1478811908,0,1
1478835009,21,0
1478853008,0,1
1478867410,0,1
1478892607,1,0
1478895307,0,1
1478895608,0,3
1478895907,0,1
1478896208,0,3
1478896508,0,1
1478897407,0,1
1478898008,0,4
1478898308,0,4
1478910308,3,0
1478911207,1,0
1478912107,24,0
1478929207,15,0
1478933407,0,1
1478954708,0,1
1478955007,0,1
1478956208,0,1
1478960708,0,1
1478972709,0,1
1478976607,0,1
1478976907,0,1
1478984709,0,1
1478992208,0,1
1478995208,12,0
1478999408,0,3
1478999708,87,2
1479041108,71,0
1479042308,0,2
1479042608,0,4
1479047408,0,1
1479047708,0,2
1479048007,0,1
1479048308,0,2
1479048608,0,3
1479048908,0,2
1479049509,0,1
1479049809,0,1
1479051608,0,1
1479055807,0,1
1479059408,0,1
1479059707,0,1
1479060008,0,1
1479060309,0,1
1479060608,0,1
1479061208,0,3
1479061507,0,2
1479061809,0,2
1479062407,0,2
1479062708,0,3
1479063007,0,2
1479064507,0,1
1479065408,0,1
1479066008,0,1
1479066308,0,1
1479066608,0,1
1479066908,0,1
1479067207,0,1
1479067509,0,1
1479067809,0,1
1479068408,0,2
1479070507,0,1
1479074409,1,0
1479078908,0,1
1479094207,0,1
1479095109,0,1
1479100507,0,1
1479102608,0,1
1479107707,0,1
1479111907,0,1
1479115808,0,1
1479125110,0,3
1479125409,0,2
1479125707,0,3
1479126008,0,3
1479134108,0,1
1479143407,0,1
1479146108,0,1
1479147908,0,1
1479158408,0,1
1479161707,0,1
1479170408,8,0
1479175508,0,1
1479176107,0,2
1479178508,0,1
1479195607,0,1
1479200108,0,1
1479200408,0,1
1479201307,0,1
1479203408,0,1
1479208208,0,1
1479225908,0,1
1479226208,0,1
1479229809,0,1
1479234309,0,1
1479237608,0,1
1479240307,0,1
1479245108,0,1
1479249008,0,1
1479250208,0,1
1479252009,0,1
1479256508,0,1
1479283508,0,1
1479305107,0,1
1479317410,0,1
1479321608,0,1
1479334809,0,1
1479342008,0,1
1479342308,0,1
1479343208,0,1
1479351008,22,0
1479355208,0,1
1479355507,0,1
1479365108,0,1
1479366908,0,1
1479367208,0,1
1479387908,0,1
1479400208,0,1
1479407108,0,1
1479414307,0,1
1479422407,0,1
1479423007,1,0
1479425708,0,1
1479464709,3,2
1479465008,0,5
1479465908,0,1
1479488408,0,2
1479488708,0,1
1479489007,0,1
1479490208,0,1
1479490507,0,3
1479491709,0,1
1479507307,8,0
1479508208,0,1
1479511208,0,1
1479536107,0,1
1479546008,0,1
1479546908,0,1
1479547509,0,2
1479568207,0,1
1479577208,0,1
1479588607,0,1
1479648908,0,1
1479650711,0,1
1479658808,0,1
1479660908,0,1
1479673208,0,1
1479717609,0,1
1479718207,0,4
1479736507,0,1
1479737108,0,1
1479755108,0,1
1479764108,0,1
1479776108,0,1
1479779408,0,1
1479820808,0,1
1479826208,0,1
1479840608,0,1
1479843007,0,1
1479849008,0,1
1479852008,0,1
1479852308,0,1
1479852608,0,1
1479854107,35,0
1479854407,74,0
1479854708,15,0
1479875709,0,1
1479903008,0,1
1479904509,0,1
1479916808,0,1
1479951308,0,1
1479962708,0,1
1479981909,0,1
1479987609,0,1
1479987908,0,3
1479991808,0,1
1479992108,0,1
1479993908,0,1
1479996608,0,1
1480000808,0,1
1480006807,0,3
1480007118,0,1
1480007408,0,1
1480008610,1,0
1480009508,5,0
1480010708,0,1
1480011007,0,1
1480011608,0,2
1480012207,0,1
1480016708,0,1
1480018213,0,1
1480018808,0,1
1480024208,0,1
1480025108,8,0
1480026008,0,1
1480032008,0,1
1480038008,0,1
1480038607,0,1
1480043107,0,1
1480044308,0,1
1480058408,0,6
1480058708,0,1
1480070107,0,1
1480086608,0,2
1480086907,0,1
1480090507,0,3
1480096508,0,1
1480097408,0,1
1480105208,0,1
1480106408,0,1
1480106708,0,1
1480130108,0,1
1480147208,0,1
1480147508,0,1
1480149308,0,1
1480150209,0,1
1480150808,0,1
1480152608,0,1
1480164908,0,1
1480165208,0,1
1480165509,0,1
1480166408,0,1
1480169107,0,1
1480171209,0,2
1480171508,0,2
1480174208,0,2
1480174508,0,1
1480177808,0,1
1480178408,0,1
1480181708,0,1
1480186508,0,1
1480189808,0,1
1480235408,0,1
1480237808,0,1
1480241407,0,1
1480242007,0,1
1480267507,0,1
1480268708,0,1
1480272008,0,1
1480286108,0,2
1480320309,0,1
1480323008,0,1
1480326608,0,2
1480332907,0,1
1480334708,0,1
1480336208,0,1
1480338008,0,1
1480344309,0,1
1480359008,0,1
1480359308,0,13
1480359608,0,1
1480363509,0,1
1480390207,0,1
1480390508,0,1
1480390808,0,1
1480391409,0,1
1480430708,0,1
1480435807,0,1
1480441508,0,1
1480459208,0,1
1480459508,0,1
1480463408,0,1
1480509009,0,1
1480519514,0,1
1480529408,0,1
1480538107,0,1
1480564808,0,1
1480569308,0,1
1480605308,0,1
1480619408,0,1
1480634709,0,1
1480672507,0,1
1480703108,1,0
1480761909,0,1
1480779908,0,1
1480783808,0,1
1480834208,0,1
