DateTime,Entries,UniqueIPs
1478535909,295418,304997
1478538008,295417,304996
1478539808,295416,304995
1478542808,295415,304994
1478556907,295414,304993
1478625908,295413,304992
1478629808,295412,304991
1478632808,295411,304990
1478636107,295410,304989
1478636708,295425,305004
1478637308,295444,305024
1478637908,295462,305042
1478638208,295489,305069
1478639107,295506,305086
1478639408,295519,305099
1478640907,295532,305112
1478641508,295533,305113
1478641807,295550,305130
1478642107,295570,305150
1478642711,295589,305169
1478643609,295599,305179
1478645108,295598,305178
1478650208,295597,305177
1478684407,295596,305176
1478685007,295595,305175
1478693707,295594,305174
1478695508,295593,305173
1478701508,295592,305172
1478705119,295591,305171
1478719208,295590,305170
1478720108,295635,305215
1478720408,295642,305222
1478720708,295644,305224
1478721007,295653,305233
1478721608,295652,305232
1478721907,295647,305227
1478722208,295645,305225
1478722507,295654,305234
1478723708,295653,305233
1478725208,295652,305232
1478729707,295651,305231
1478737208,295650,305230
1478743807,295649,305229
1478744707,295672,305252
1478766907,295671,305251
1478768107,295670,305250
1478774710,295669,305249
1478775608,295668,305248
1478778008,295667,305247
1478783108,295666,305246
1478783713,295665,305245
1478784007,295664,305244
1478784908,295663,305243
1478800807,295671,305251
1478802008,295670,305250
1478804708,295668,305248
1478805307,296117,305707
1478805908,296116,305706
1478806208,296126,305716
1478807408,296127,305717
1478811908,296126,305716
1478835009,296147,305737
1478853008,296146,305736
1478867410,296145,305735
1478892607,296146,305736
1478895307,296145,305735
1478895608,296142,305732
1478895907,296141,305731
1478896208,296138,305728
1478896508,296137,305727
1478897407,296136,305726
1478898008,296132,305722
1478898308,296128,305718
1478910308,296131,305721
1478911207,296132,305722
1478912107,296156,305746
1478929207,296171,305761
1478933407,296170,305760
1478954708,296169,305759
1478955007,296168,305758
1478956208,296168,305757
1478960708,296167,305756
1478972709,296166,305755
1478976607,296165,305754
1478976907,296164,305753
1478984709,296163,305752
1478992208,296162,305751
1478995208,296174,305763
1478999408,296171,305760
1478999708,296253,305845
1479041108,296323,305916
1479042308,296321,305914
1479042608,296317,305910
1479047408,296316,305909
1479047708,296314,305907
1479048007,296313,305906
1479048308,296311,305904
1479048608,296308,305901
1479048908,296306,305899
1479049509,296305,305898
1479049809,296304,305897
1479051608,296303,305896
1479055807,296302,305895
1479059408,296301,305894
1479059707,296300,305893
1479060008,296299,305892
1479060309,296298,305891
1479060608,296297,305890
1479061208,296295,305887
1479061507,296293,305885
1479061809,296291,305883
1479062407,296289,305881
1479062708,296286,305878
1479063007,296284,305876
1479064507,296283,305875
1479065408,296282,305874
1479066008,296281,305873
1479066308,296280,305872
1479066608,296279,305871
1479066908,296278,305870
1479067207,296277,305869
1479067509,296276,305868
1479067809,296275,305867
1479068408,296273,305865
1479070507,296272,305864
1479074409,296273,305865
1479078908,296272,305864
1479094207,296271,305863
1479095109,296270,305862
1479100507,296269,305861
1479102608,296268,305860
1479107707,296267,305859
1479111907,296266,305858
1479115808,296265,305857
1479125110,296262,305854
1479125409,296260,305852
1479125707,296257,305849
1479126008,296254,305846
1479134108,296253,305845
1479143407,296252,305844
1479146108,296251,305843
1479147908,296250,305842
1479158408,296249,305841
1479161707,296248,305840
1479170408,296256,305848
1479175508,296255,305847
1479176107,296253,305845
1479178508,296252,305844
1479195607,296251,305843
1479200108,296250,305842
1479200408,296249,305841
1479201307,296248,305840
1479203408,296247,305839
1479208208,296247,305838
1479225908,296246,305837
1479226208,296245,305836
1479229809,296244,305835
1479234309,296243,305834
1479237608,296242,305833
1479240307,296241,305832
1479245108,296240,305831
1479249008,296239,305830
1479250208,296238,305829
1479252009,296237,305828
1479256508,296236,305827
1479283508,296235,305826
1479305107,296234,305825
1479317410,296233,305824
1479321608,296232,305823
1479334809,296231,305822
1479342008,296230,305821
1479342308,296229,305820
1479343208,296228,305819
1479351008,296250,305841
1479355208,296249,305840
1479355507,296248,305839
1479365108,296247,305838
1479366908,296246,305837
1479367208,296245,305836
1479387908,296244,305835
1479400208,296244,305834
1479407108,296243,305833
1479414307,296242,305832
1479422407,296241,305831
1479423007,296242,305832
1479425708,296241,305831
1479464709,296241,305832
1479465008,296237,305827
1479465908,296236,305826
1479488408,296234,305824
1479488708,296233,305823
1479489007,296232,305822
1479490208,296231,305821
1479490507,296228,305818
1479491709,296227,305817
1479507307,296235,305825
1479508208,296234,305824
1479511208,296233,305823
1479536107,296232,305822
1479546008,296231,305821
1479546908,296230,305820
1479547509,296228,305818
1479568207,296227,305817
1479577208,296226,305816
1479588607,296225,305815
1479648908,296224,305814
1479650711,296223,305813
1479658808,296222,305812
1479660908,296221,305811
1479673208,296220,305810
1479717609,296219,305809
1479718207,296215,305805
1479736507,296214,305804
1479737108,296213,305803
1479755108,296212,305802
1479764108,296211,305801
1479776108,296210,305800
1479779408,296209,305799
1479820808,296209,305798
1479826208,296208,305797
1479840608,296207,305796
1479843007,296206,305795
1479849008,296205,305794
1479852008,296204,305793
1479852308,296203,305792
1479852608,296202,305791
1479854107,296237,305826
1479854407,296311,305900
1479854708,296326,305915
1479875709,296325,305914
1479903008,296324,305913
1479904509,296323,305912
1479916808,296322,305911
1479951308,296321,305910
1479962708,296320,305909
1479981909,296319,305908
1479987609,296318,305907
1479987908,296315,305904
1479991808,296314,305903
1479992108,296313,305902
1479993908,296312,305901
1479996608,296311,305900
1480000808,296310,305899
1480006807,296307,305896
1480007118,296306,305895
1480007408,296305,305894
1480008610,296306,305895
1480009508,296311,305900
1480010708,296310,305899
1480011007,296309,305898
1480011608,296307,305896
1480012207,296306,305895
1480016708,296305,305894
1480018213,296304,305893
1480018808,296303,305892
1480024208,296302,305891
1480025108,296310,305899
1480026008,296309,305898
1480032008,296308,305897
1480038008,296307,305896
1480038607,296306,305895
1480043107,296305,305894
1480044308,296304,305893
1480058408,296298,305887
1480058708,296297,305886
1480070107,296296,305885
1480086608,296294,305883
1480086907,296293,305882
1480090507,296290,305879
1480096508,296289,305878
1480097408,296288,305877
1480105208,296287,305876
1480106408,296286,305875
1480106708,296285,305874
1480130108,296284,305873
1480147208,296283,305872
1480147508,296282,305871
1480149308,296281,305870
1480150209,296280,305869
1480150808,296279,305868
1480152608,296278,305867
1480164908,296277,305866
1480165208,296276,305865
1480165509,296275,305864
1480166408,296274,305863
1480169107,296273,305862
1480171209,296271,305860
1480171508,296269,305858
1480174208,296267,305856
1480174508,296266,305855
1480177808,296265,305854
1480178408,296264,305853
1480181708,296263,305852
1480186508,296262,305851
1480189808,296261,305850
1480235408,296260,305849
1480237808,296259,305848
1480241407,296258,305847
