DateTime,AddedIPs,RemovedIPs
1477683008,1,0
1477694107,2,0
1477696208,1,0
1477707308,0,1
1477717509,1,0
1477720207,1,0
1477741808,1,0
1477751408,4,0
1477752008,1,0
1477754408,3,0
1477754708,1,0
1477755307,1,0
1477761007,2,0
1477763708,1,0
1477765808,1,0
1477766707,1,0
1477778408,1,0
1477779609,0,1
1477817708,1,0
1477820708,1,0
1477827609,1,0
1477835407,1,0
1477852508,1,0
1477870508,1,0
1477895408,0,1
1477895708,2,0
1477899608,1,0
1477903209,1,0
1477903507,1,0
1477905607,0,1
1477906208,0,1
1477909208,0,1
1477910708,1,0
1477913107,1,0
1477915208,0,1
1477927508,1,0
1477928108,1,0
1477936808,0,1
1477939208,1,0
1477941308,0,1
1477944908,0,1
1477945208,1,0
1477945507,2,0
1477945808,1,0
1477946708,1,0
1477951508,1,0
1477953308,1,0
1477968907,1,0
1477976708,1,0
1477978808,1,0
1477991408,1,0
1478012108,1,0
1478016908,1,0
1478026208,0,1
1478031008,1,0
1478034007,0,1
1478035808,1,0
1478041807,1,0
1478049008,1,0
1478064308,0,1
1478075108,1,0
1478078408,1,0
1478082909,0,1
1478085011,1,0
1478086807,1,0
1478090709,1,0
1478113808,0,1
1478114107,1,0
1478116809,1,0
1478154608,0,1
1478160008,0,1
1478185508,0,2
1478203808,0,1
1478282708,0,1
1478283007,0,1
1478285407,0,1
1478286008,0,1
1478431808,0,1
1478565308,0,1
1478643008,0,1
1478792108,0,1
1479021308,1,0
1479023408,1,0
1479033607,1,0
1479035408,1,0
1479037208,0,1
1479039908,0,1
1479048908,1,0
1479056410,0,1
1479069608,1,0
1479069907,1,0
1479072008,1,0
1479078908,1,0
1479087007,1,0
1479100507,1,0
1479101407,1,0
1479116407,0,1
1479117608,1,0
1479120008,1,0
1479126308,1,0
1479129008,1,0
1479133207,1,0
1479135008,2,0
1479137408,1,0
1479140107,0,1
1479144308,1,0
1479146108,1,0
1479149107,1,0
1479150608,2,0
1479151208,1,0
1479159309,0,1
1479159608,1,0
1479163209,1,0
1479164408,1,0
1479165008,1,0
1479170708,0,1
1479171908,1,0
1479172809,1,1
1479174308,1,0
1479174607,1,0
1479175208,1,0
1479177608,1,0
1479179708,1,0
1479180308,0,1
1479199808,1,0
1479202808,1,0
1479208808,1,0
1479210907,0,1
1479211207,1,0
1479220507,1,0
1479225007,0,1
1479225608,1,0
1479225908,1,0
1479234309,1,0
1479240307,0,1
1479241808,1,0
1479242709,1,0
1479247809,1,0
1479251108,0,1
1479252009,0,1
1479266107,1,0
1479273007,1,0
1479280209,0,1
1479286208,1,0
1479290409,1,0
1479292208,1,0
1479292808,0,1
1479301509,0,1
1479306008,1,0
1479310208,1,0
1479314108,1,0
1479318308,0,1
1479318608,0,1
1479324308,0,1
1479328507,0,1
1479337808,0,1
1479343208,1,0
1479344708,1,0
1479348308,0,1
1479348907,0,1
1479350708,1,0
1479353408,1,0
1479358207,1,0
1479374108,0,1
1479379509,0,1
1479386408,1,0
1479395413,0,1
1479404408,1,0
1479414608,1,0
1479419117,1,0
1479420908,1,0
1479428108,1,0
1479428408,1,0
1479428708,1,0
1479430809,1,0
1479436808,1,0
1479439208,1,0
1479445209,1,0
1479457508,1,0
1479458108,1,0
1479458708,1,0
1479462008,1,0
1479474008,1,0
1479474309,1,0
1479474608,1,0
1479476708,1,0
1479477309,1,0
1479479408,1,0
1479480308,1,0
1479486309,1,0
1479494708,1,0
1479498308,1,0
1479504607,0,1
1479551108,0,1
1479577808,1,0
1479581708,1,0
1479582308,1,0
1479584708,1,0
1479606308,1,0
1479621608,1,0
1479634208,0,1
1479645909,0,1
1479652808,1,0
1479665408,0,1
1479668708,1,0
1479683109,0,1
1479713108,1,0
1479718808,1,0
1479719708,0,1
1479720308,0,1
1479723608,1,0
1479734409,1,0
1479736807,1,0
1479737708,1,0
1479743407,0,1
1479751508,1,0
1479752108,1,0
1479756908,1,0
1479758708,0,1
1479764108,0,1
1479766208,0,1
1479777908,1,0
1479778808,0,1
1479782108,1,0
1479799508,1,0
1479799807,1,0
1479801608,0,1
1479802508,2,0
1479810308,0,1
1479823808,1,0
1479825909,0,1
1479826208,2,0
1479833707,1,0
1479839407,0,1
1479841213,1,0
1479844207,1,0
1479877207,0,1
1479887408,0,1
1479904808,1,0
1479905108,1,0
1479911407,0,1
1479911707,1,0
1479913808,1,0
1479918008,0,1
1479924607,1,0
1479930908,1,0
1479939008,1,0
1479978608,2,0
1479978909,2,0
1479979810,2,0
1479980108,2,0
1479986108,2,0
1479986408,2,0
1479986712,1,0
1479989709,1,0
1479996907,1,0
1479998408,0,1
1480003808,1,0
1480006807,1,0
1480007408,0,1
1480008610,1,0
1480013408,1,0
1480017007,1,0
1480018508,1,0
1480020609,1,0
1480023907,0,1
1480053307,1,0
1480067707,0,1
1480079408,4,0
1480084808,0,1
1480089907,1,0
1480094408,1,0
1480105809,0,1
1480107608,1,0
1480167307,1,0
1480167608,1,0
1480189808,0,1
1480191910,0,1
1480196108,1,0
1480197008,1,0
1480206008,1,0
1480209008,1,0
1480218008,0,1
1480221308,1,0
1480242308,1,0
1480263908,1,0
1480270209,1,0
1480280108,0,1
1480303508,1,0
1480319407,1,0
1480324808,0,1
1480341608,0,1
1480343708,0,1
1480352709,1,0
1480353007,1,0
1480359608,1,0
1480361108,1,0
1480371608,2,0
1480376708,1,0
1480377908,0,1
1480383307,1,0
1480384508,1,0
1480394408,1,0
1480394708,1,0
1480395008,1,0
1480397108,1,0
1480410609,1,0
1480427108,0,1
1480428008,1,0
1480429209,1,0
1480436408,1,0
1480436708,13,3
1480437908,0,1
1480441508,1,0
1480442108,0,1
