DateTime,Entries,UniqueIPs
1477683008,2351,2382
1477694107,2353,2384
1477696208,2354,2385
1477707308,2353,2384
1477717509,2354,2385
1477720207,2355,2386
1477741808,2356,2387
1477751408,2360,2391
1477752008,2361,2392
1477754408,2364,2395
1477754708,2365,2396
1477755307,2366,2397
1477761007,2368,2399
1477763708,2369,2400
1477765808,2370,2401
1477766707,2371,2402
1477778408,2372,2403
1477779609,2371,2402
1477817708,2372,2403
1477820708,2373,2404
1477827609,2374,2405
1477835407,2375,2406
1477852508,2376,2407
1477870508,2377,2408
1477895408,2376,2407
1477895708,2378,2409
1477899608,2379,2410
1477903209,2380,2411
1477903507,2381,2412
1477905607,2380,2411
1477906208,2379,2410
1477909208,2378,2409
1477910708,2379,2410
1477913107,2380,2411
1477915208,2379,2410
1477927508,2380,2411
1477928108,2381,2412
1477936808,2380,2411
1477939208,2381,2412
1477941308,2380,2411
1477944908,2379,2410
1477945208,2380,2411
1477945507,2382,2413
1477945808,2383,2414
1477946708,2384,2415
1477951508,2385,2416
1477953308,2386,2417
1477968907,2387,2418
1477976708,2388,2419
1477978808,2389,2420
1477991408,2390,2421
1478012108,2391,2422
1478016908,2392,2423
1478026208,2391,2422
1478031008,2392,2423
1478034007,2391,2422
1478035808,2392,2423
1478041807,2393,2424
1478049008,2394,2425
1478064308,2393,2424
1478075108,2394,2425
1478078408,2395,2426
1478082909,2394,2425
1478085011,2395,2426
1478086807,2396,2427
1478090709,2397,2428
1478113808,2396,2427
1478114107,2397,2428
1478116809,2398,2429
1478154608,2397,2428
1478160008,2396,2427
1478185508,2394,2425
1478203808,2393,2424
1478282708,2392,2423
1478283007,2391,2422
1478285407,2390,2421
1478286008,2389,2420
1478431808,2388,2419
1478565308,2387,2418
1478643008,2386,2417
1478792108,2385,2416
1479021308,2386,2417
1479023408,2387,2418
1479033607,2388,2419
1479035408,2389,2420
1479037208,2388,2419
1479039908,2387,2418
1479048908,2388,2419
1479056410,2387,2418
1479069608,2388,2419
1479069907,2389,2420
1479072008,2390,2421
1479078908,2391,2422
1479087007,2392,2423
1479100507,2393,2424
1479101407,2394,2425
1479116407,2393,2424
1479117608,2394,2425
1479120008,2395,2426
1479126308,2396,2427
1479129008,2397,2428
1479133207,2398,2429
1479135008,2400,2431
1479137408,2401,2432
1479140107,2400,2431
1479144308,2401,2432
1479146108,2402,2433
1479149107,2403,2434
1479150608,2405,2436
1479151208,2406,2437
1479159309,2405,2436
1479159608,2406,2437
1479163209,2407,2438
1479164408,2408,2439
1479165008,2409,2440
1479170708,2408,2439
1479171908,2409,2440
1479172809,2409,2440
1479174308,2410,2441
1479174607,2411,2442
1479175208,2412,2443
1479177608,2413,2444
1479179708,2414,2445
1479180308,2413,2444
1479199808,2414,2445
1479202808,2415,2446
1479208808,2416,2447
1479210907,2415,2446
1479211207,2416,2447
1479220507,2417,2448
1479225007,2416,2447
1479225608,2417,2448
1479225908,2418,2449
1479234309,2419,2450
1479240307,2418,2449
1479241808,2419,2450
1479242709,2420,2451
1479247809,2421,2452
1479251108,2420,2451
1479252009,2419,2450
1479266107,2420,2451
1479273007,2421,2452
1479280209,2420,2451
1479286208,2421,2452
1479290409,2422,2453
1479292208,2423,2454
1479292808,2422,2453
1479301509,2421,2452
1479306008,2422,2453
1479310208,2423,2454
1479314108,2424,2455
1479318308,2423,2454
1479318608,2422,2453
1479324308,2421,2452
1479328507,2420,2451
1479337808,2419,2450
1479343208,2420,2451
1479344708,2421,2452
1479348308,2420,2451
1479348907,2419,2450
1479350708,2420,2451
1479353408,2421,2452
1479358207,2422,2453
1479374108,2421,2452
1479379509,2420,2451
1479386408,2421,2452
1479395413,2420,2451
1479404408,2421,2452
1479414608,2422,2453
1479419117,2423,2454
1479420908,2424,2455
1479428108,2425,2456
1479428408,2426,2457
1479428708,2427,2458
1479430809,2428,2459
1479436808,2429,2460
1479439208,2430,2461
1479445209,2431,2462
1479457508,2432,2463
1479458108,2433,2464
1479458708,2434,2465
1479462008,2435,2466
1479474008,2436,2467
1479474309,2437,2468
1479474608,2438,2469
1479476708,2439,2470
1479477309,2440,2471
1479479408,2441,2472
1479480308,2442,2473
1479486309,2443,2474
1479494708,2444,2475
1479498308,2445,2476
1479504607,2444,2475
1479551108,2443,2474
1479577808,2444,2475
1479581708,2445,2476
1479582308,2446,2477
1479584708,2447,2478
1479606308,2448,2479
1479621608,2449,2480
1479634208,2448,2479
1479645909,2447,2478
1479652808,2448,2479
1479665408,2447,2478
1479668708,2448,2479
1479683109,2447,2478
1479713108,2448,2479
1479718808,2449,2480
1479719708,2448,2479
1479720308,2447,2478
1479723608,2448,2479
1479734409,2449,2480
1479736807,2450,2481
1479737708,2451,2482
1479743407,2450,2481
1479751508,2451,2482
1479752108,2452,2483
1479756908,2453,2484
1479758708,2452,2483
1479764108,2451,2482
1479766208,2450,2481
1479777908,2451,2482
1479778808,2450,2481
1479782108,2451,2482
1479799508,2452,2483
1479799807,2453,2484
1479801608,2452,2483
1479802508,2454,2485
1479810308,2453,2484
1479823808,2454,2485
1479825909,2453,2484
1479826208,2455,2486
1479833707,2456,2487
1479839407,2455,2486
1479841213,2456,2487
1479844207,2457,2488
1479877207,2456,2487
1479887408,2455,2486
1479904808,2456,2487
1479905108,2457,2488
1479911407,2456,2487
1479911707,2457,2488
1479913808,2458,2489
1479918008,2457,2488
1479924607,2458,2489
1479930908,2459,2490
1479939008,2460,2491
1479978608,2462,2493
1479978909,2464,2495
1479979810,2466,2497
1479980108,2468,2499
1479986108,2470,2501
1479986408,2471,2503
1479986712,2472,2504
1479989709,2473,2505
1479996907,2474,2506
1479998408,2473,2505
1480003808,2474,2506
1480006807,2475,2507
1480007408,2474,2506
1480008610,2475,2507
1480013408,2476,2508
