DateTime,Entries,UniqueIPs
1469362207,17862,88960
1469387107,17861,88959
1469454308,17860,88958
1469482808,17861,88959
1469545807,17860,88958
1469704808,17860,88957
1469722807,17859,88956
1469724308,17861,88959
1469782808,17860,88958
1470232808,17859,88957
1470334507,17858,88956
1470484809,17857,88955
1470521107,17856,88954
1470553807,17855,88953
1470574506,17862,88960
1470574808,17863,88961
1470575107,17864,88962
1470578107,17866,88964
1470719407,17865,88963
1470863707,17864,88962
1470913508,17863,88961
1471069508,17862,88960
1471210807,17861,88959
1471263307,17860,88958
1471377607,17859,88957
1471392907,17858,88956
1471471808,17860,88959
1471505707,17861,88960
1471539607,17862,88961
1471565108,17861,88960
1471801508,17862,88961
1471801807,17908,89007
1471856708,17906,89005
1471884308,18039,89138
1471885807,18040,89139
1471886108,18048,89147
1471898407,18049,89148
1471923308,18050,89149
1471961408,18066,89165
1471970107,18343,89444
1471986607,18344,89445
1472013008,18345,89446
1472021108,18344,89445
1472094007,18345,89446
1472231108,18344,89445
1472308209,18343,89444
1472413207,18344,89445
1472497508,18343,89444
1472572208,18342,89443
1472728208,18344,89445
1472733608,18343,89444
1472734507,18345,89446
1472821508,18344,89445
1472921407,18343,89444
1472963108,18342,89443
1472991908,18341,89442
1473093307,18340,89441
1473124208,18339,89440
1473137408,18338,89439
1473173408,18342,89443
1473251107,18341,89442
1473251408,18338,89439
1473251707,18337,89438
1473280808,18336,89437
1473378308,18335,89436
1473454807,18336,89437
1473510008,18339,89440
1473581708,18340,89441
1473613807,18341,89442
1473627307,18340,89441
1473663608,18339,89440
1473694508,18338,89439
1473702607,18339,89440
1473763808,18338,89439
1473785108,18339,89440
1473810607,18338,89439
1473830407,18337,89438
1473931207,18336,89437
1474018808,18335,89436
1474106408,18334,89435
1474302608,18333,89434
1474454707,18332,89433
1474575908,18331,89432
1474913408,18746,89847
1474942507,18747,89848
1474953308,18746,89847
1475148008,18745,89846
1475191807,18758,89859
1475444107,18759,89860
1475471708,18758,89859
1475526607,18757,89858
1475606408,18756,89857
1475653208,18755,89856
1475696407,18754,89855
1475858107,18753,89854
1475914807,18752,89853
1476086107,18751,89852
1476285007,18752,89847
1476387008,18751,89846
1476556507,18750,89845
1476785108,18749,89844
1476869707,18750,89845
1476870907,18749,89844
1477049707,18751,89846
1477140007,18750,89845
1477157107,18751,89846
1477178407,18750,89845
1477234507,18751,89846
1477245608,18752,89847
1477257607,18753,89848
1477257907,18754,89849
1477260309,18755,89850
1477263908,18756,89851
1477362007,18755,89850
1477382411,18754,89849
1477429209,18755,89850
1477562407,18756,89851
1477571707,18757,89852
1477575607,18758,89853
1477582208,18759,89854
1477582507,18760,89855
1477583708,18761,89856
1477599007,18762,89857
1477599908,18763,89858
1477601707,18764,89859
1477610407,18765,89860
1477653013,18767,89863
1477653607,18768,89864
1477654207,18770,89866
1477657507,18769,89865
1477664408,18770,89866
1477672207,18771,89867
1477700714,18772,89868
1477749921,18773,89869
1477750808,18772,89868
1477758608,18773,89869
1477763708,18774,89870
1477824907,18775,89871
1477838407,18776,89872
1477926608,18777,89873
1477928407,18778,89874
1477930507,18777,89873
1477939508,18778,89874
1477940708,18777,89873
1477961707,18778,89874
1478031007,18777,89873
1478037307,18778,89874
1478164208,19230,90326
1478164509,19243,90339
1478210408,19242,90338
1478267408,19241,90337
1478286608,19240,90336
1478290808,19241,90337
1478358607,19240,90336
1478370007,19239,90335
1478386207,19238,90334
1478396408,19237,90333
1478420708,19236,90332
1478445608,19655,90756
1478445908,20486,91589
1478446207,20571,91674
1478446807,20575,91678
1478458208,20574,91677
1478510708,21197,92305
1478511008,21203,92311
1478511307,21201,92309
1478512207,21200,92308
1478512508,21231,92340
1478533208,21230,92339
1478535908,21229,92338
1478539207,21228,92337
1478549108,21227,92336
1478553008,21226,92335
1478621408,21225,92334
1478621707,21332,92442
1478622007,21458,92570
1478626207,21457,92569
1478630709,21457,92568
1478642711,21595,92706
1478643907,21594,92705
1478683507,21598,92709
1478685307,21599,92710
1478714107,21598,92709
1478722807,21597,92708
1478783713,21596,92707
1478880907,21595,92706
1479068707,21594,92705
1479116407,21592,92703
1479193207,21591,92702
1479248407,21590,92701
1479254107,21589,92700
1479277510,21590,92701
1479329409,21593,92704
1479376808,21591,92702
1479381009,21592,92703
1479381911,21591,92702
1479444307,21590,92701
1479465008,21588,92699
1479505207,21587,92698
1479512108,21589,92700
1479579608,21588,92699
1479650107,21587,92698
1479666308,21588,92699
1479669607,21587,92698
1479755707,21589,92700
1479932408,21587,92698
1479933307,21589,92700
1479980708,21590,92701
1480003508,21589,92700
1480032608,21590,92701
1480066808,21592,92703
1480067108,21608,92719
1480093209,21662,92774
1480094109,21665,92777
1480096808,21668,92780
1480103707,21667,92779
1480155308,21678,92790
1480248908,21679,92791
1480249208,21681,92793
1480252808,21696,92808
1480253108,21716,92828
1480253408,21718,92830
1480258208,21737,92849
1480260908,21739,92851
1480261207,21740,92852
1480262108,21741,92853
1480267208,21742,92854
1480267507,21743,92855
1480267808,21808,92920
1480268107,21817,92929
1480268708,21818,92930
1480273208,21819,92931
1480273508,21820,92932
1480278008,21821,92933
1480278308,21822,92934
1480282808,21821,92933
1480284008,21823,92935
1480325409,21870,92982
1480326008,21872,92984
1480327507,21873,92985
1480344308,21881,92993
1480344607,21897,93009
1480349708,21899,93011
1480358709,21903,93015
1480359307,21904,93016
1480359608,21905,93017
1480362907,21907,93019
1480364707,21909,93021
1480414209,21916,93028
1480414808,21917,93029
1480416009,21918,93030
1480482308,21917,93029
1480531508,21918,93030
1480584008,21926,93038
1480584308,21935,93047
1480584608,22015,93128
1480585209,22016,93129
1480587011,22018,93131
1480591808,22017,93130
1480593009,22016,93129
1480599009,22020,93133
1480602909,22019,93132
1480606507,22020,93133
1480628108,22019,93132
1480670108,22092,93205
1480670408,22197,93310
1480673707,22198,93311
1480738507,22199,93312
1480768507,22202,93315
1480769108,22214,93327
1480785308,22222,93335
1480785607,22228,93341
1480789208,22231,93344
1480792808,22240,93353
1480796410,22247,93360
1480800008,22252,93365
1480814407,22257,93370
1480818008,22280,93393
1480821608,22299,93412
1480825208,22313,93427
1480828808,22324,93439
1480832408,22332,93447
1480836007,22335,93450
1480839608,22337,93452
1480843209,22342,93457
1480846808,22343,93458
1480848307,22342,93457
1480850407,22346,93461
1480854008,22352,93468
1480857607,22366,93483
1480861208,22375,93492
1480864808,22383,93500
1480868408,22387,93504
1480872008,22394,93511
1480875608,22395,93512
1480879208,22405,93522
1480880708,23221,94340
1480881607,23323,94444
1480881908,23321,94442
1480882508,23499,94621
1480882808,23847,94970
1480883127,23856,94980
1480883408,23969,95094
1480883707,24104,95232
1480884608,24163,95292
1480884908,24180,95309
1480885208,24228,95357
1480885509,24230,95359
1480885810,24240,95369
1480886408,24245,95374
1480890008,24253,95382
1480893608,24263,95392
1480897209,24275,95404
1480899908,24274,95403
1480900808,24282,95411
1480904408,24287,95416
1480908008,24290,95419
1480911608,24291,95420
1480915209,24294,95423
1480918808,24295,95424
1480922408,24296,95425
1480924208,24296,95424
1480926008,24298,95426
1480926607,24297,95425
1480929610,24302,95430
1480933208,24307,95435
1480936807,24320,95448
1480940408,24329,95457
1480944007,24336,95464
1480947608,24342,95470
1480948808,24402,95530
1480951208,24406,95534
1480954809,24420,95548
1480958408,24422,95550
1480962008,24428,95556
1480969208,24430,95558
1480974008,24435,95563
1480976407,24436,95564
1480980307,24438,95566
1480987807,24439,95567
1480992908,24440,95568
1480994407,24442,95570
1480996508,24441,95569
1480998008,24442,95570
1481005509,24444,95572
1481009108,24446,95574
1481013607,24449,95577
1481016008,24453,95581
1481019608,24456,95584
1481020810,24522,95651
1481022008,24523,95652
1481023808,24526,95655
1481026808,24531,95660
1481030410,24538,95667
1481035208,24545,95674
1481038208,24551,95680
1481041809,24562,95691
1481046007,24575,95704
1481049008,24593,95722
1481052608,24600,95729
1481056508,24604,95733
1481059508,24612,95741
1481062808,24617,95746
1481070308,24620,95749
1481073607,24632,95761
1481077208,24639,95768
1481080807,24648,95778
1481085008,24660,95790
1481088908,24669,95799
1481091608,24677,95807
1481096108,24681,95811
1481105108,24680,95810
1481113808,24695,95825
1481128208,24744,95874
1481142008,24784,95914
1481156708,24811,95941
1481157908,24810,95940
1481170808,24841,95971
1481185208,24842,95972
1481199608,24856,95987
1481214008,24862,95993
1481228409,24877,96008
1481242808,24889,96020
1481243409,24904,96035
1481254508,24905,96036
1481257208,24908,96039
1481271608,24911,96042
1481286008,24928,96059
1481295307,24927,96058
1481300709,24961,96092
1481314808,24994,96125
1481329209,25004,96135
1481329509,25007,96138
1481343608,25020,96151
1481358008,25023,96154
1481364908,25049,96180
1481365208,26394,97542
1481366709,26955,98116
1481370008,26987,98148
1481370308,27029,98191
1481370608,27081,98243
1481370908,27086,98248
1481371208,27141,98303
1481371808,27378,98540
1481372409,27640,98802
1481372707,27771,98934
1481373008,27902,99065
1481373308,28043,99206
1481373607,28182,99345
1481373908,28321,99484
1481374208,28450,99613
