DateTime,AddedIPs,RemovedIPs
1477779112,256,0
1477841158,768,0
1477842089,256,0
1477843903,256,0
1477847501,256,0
1477848453,0,1792
1477858742,0,256
1477859912,0,256
1477863911,0,256
1477870911,256,0
1477872715,256,0
1477879919,256,0
1477910506,256,0
1477927578,1536,1024
1477928494,0,256
1477932101,256,0
1477933891,0,256
1477939291,256,0
1477941094,256,0
1477944696,0,256
1477955514,256,0
1478010394,1792,0
1478013418,0,1792
1478020304,256,0
1478025704,0,256
1478027822,0,256
1478029318,512,0
1478096795,0,2304
1478099514,0,256
1478099835,2048,0
1478108506,256,0
1478111380,0,512
1478113901,256,256
1478115788,0,512
1478118391,0,256
1478128305,256,0
1478186282,2560,1792
1478194895,256,0
1478198501,256,0
1478211997,0,256
1478214703,0,256
1478216542,256,0
1478223791,256,0
1478269612,768,0
1478272286,0,1536
1478274096,256,0
1478277760,512,0
1478279505,256,0
1478281297,0,256
1478288512,256,0
1478301110,256,256
1478302915,0,256
1478306252,256,0
1478338922,256,0
1478355130,0,1792
1478356913,0,256
1478358719,0,256
1478359058,1280,0
1478365886,512,0
1478374917,0,256
1478376780,512,0
1478379372,0,256
1478387513,0,256
1478446110,0,1536
1478448713,0,256
1478449736,1280,0
1478452303,0,512
1478463108,256,256
1478470304,256,0
1478526126,256,0
1478532603,2304,0
1478535415,0,1280
1478537784,0,256
1478549506,0,256
1478551300,0,256
1478557084,256,256
1478557568,0,256
1478564252,0,256
1478612519,0,256
1478617915,0,2048
1478621956,2560,0
1478623290,256,0
1478626140,0,256
1478628696,256,0
1478633648,256,0
1478644915,256,0
1478652975,0,256
1478708275,0,2304
1478712432,1536,0
1478715107,0,256
1478717075,256,0
1478718707,512,0
1478719680,0,256
1478720494,256,0
1478727725,256,0
1478729506,256,0
1478731377,0,256
1478734306,256,0
1478734919,0,256
1478791619,1792,0
1478792520,256,0
1478796099,256,0
1478798912,0,1280
1478803292,256,0
1478806900,256,256
1478809038,256,0
1478814109,256,256
1478817688,256,0
1478820558,0,256
1478874233,1536,0
1478878000,0,2304
1478878902,0,256
1478881070,256,0
1478886117,256,0
1478887904,256,0
1478888946,0,256
1478890569,0,256
1478892577,0,256
1478896911,256,0
1478899883,256,0
1478904108,0,512
1478905910,256,0
1478907689,256,0
1478911086,256,0
1478954517,0,256
1478957038,2048,0
1478960791,0,2048
1478967091,256,0
1478972501,256,256
1478974312,0,256
1478977900,256,0
1478982889,0,256
1478988709,256,0
1478993167,0,256
1478994969,0,256
1478997505,256,256
1479043384,0,2048
1479046310,0,512
1479047028,1280,0
