DateTime,Entries,UniqueIPs
1475209246,75,19968
1475216239,76,20224
1475221312,77,20480
1475247379,75,19968
1475248654,79,20992
1475255866,80,21248
1475261789,79,20992
1475268090,80,21248
1475320852,78,20736
1475335298,79,20992
1475336543,80,21248
1475338614,81,21504
1475339247,80,21248
1475342815,79,20992
1475344573,78,20736
1475349080,77,20480
1475360821,76,20224
1475407252,79,20992
1475410642,77,20480
1475413890,76,20224
1475435501,77,20480
1475437294,76,20224
1475442695,77,20480
1475446298,78,20736
1475448109,79,20992
1475450235,80,21248
1475455298,81,21504
1475507931,85,22528
1475511086,86,22784
1475512021,81,21504
1475516486,82,21760
1475518299,83,22016
1475523730,83,22016
1475530902,84,22272
1475580228,87,23296
1475582263,86,22784
1475584978,87,23040
1475592086,88,23296
1475601156,89,23552
1475610104,88,23296
1475610978,87,23040
1475619496,86,22784
1475631715,85,22528
1475691110,82,21760
1475698625,85,22528
1475739704,84,22272
1475749089,79,20992
1475749580,78,20736
1475754097,77,20480
1475766994,81,21504
1475776588,80,21248
1475790974,79,20992
1475819777,78,20736
1475849994,84,22272
1475853447,83,21760
1475869341,82,21504
1475926919,83,21760
1475939830,83,22528
1476011814,77,20992
1476016015,76,20736
1476020546,75,20480
1476022835,74,20224
1476030103,77,20992
1476038514,76,20736
1476040613,75,20480
1476042107,77,20992
1476052897,76,20736
1476053771,74,20224
1476085300,75,20480
1476109609,76,20736
1476112800,71,19456
1476115888,70,19200
1476121436,69,18944
1476173509,70,19200
1476183501,65,17664
1476188785,63,17152
1476195461,68,18432
1476196007,67,18176
1476196885,68,18688
1476205894,67,18432
1476214920,68,18688
1476217083,67,18432
1476225713,66,18176
1476232902,67,18432
1476257188,66,18176
1476285742,69,18944
1476301305,70,19200
1476303401,69,18944
1476308495,70,19200
1476372176,71,19456
1476378719,72,19712
1476384107,72,19456
1476387721,71,19200
1476394910,72,19456
1476454300,70,18944
1476454903,74,19968
1476479502,73,19712
1476515510,74,19968
1476543683,71,19200
1476544638,74,19968
1476552381,73,19712
1476553300,74,19968
1476555097,76,20480
1476564100,78,20992
1476571297,79,21248
1476576716,80,21504
