DateTime,AddedIPs,RemovedIPs
1477419114,256,256
1477423042,256,256
1477429912,256,256
1477433518,256,256
1477435310,512,512
1477437116,256,256
1477446116,256,256
1477499232,2304,2304
1477505505,256,256
1477509463,256,256
1477510911,256,256
1477514524,256,256
1477516311,256,256
1477521707,512,512
1477524698,256,256
1477527121,256,256
1477581975,3328,3328
1477590107,256,256
1477591915,256,256
1477600918,256,256
1477608125,256,256
1477667865,2304,2304
1477669297,256,256
1477671104,768,768
1477674715,256,256
1477680093,256,256
1477681912,256,256
1477685512,256,256
1477686751,256,256
1477689576,256,256
1477692719,256,256
1477699928,256,256
1477762032,2816,2816
1477768309,256,256
1477772249,256,256
1477773702,256,256
1477779112,256,256
1477780909,256,256
1477782798,256,256
1477841158,1536,1536
1477842089,256,256
1477843903,256,256
1477847501,256,256
1477849299,256,256
1477852950,256,256
1477854707,256,256
1477858742,256,256
1477859912,256,256
1477870911,256,256
1477872715,256,256
1477879919,256,256
1477910506,256,256
1477927578,3072,3072
1477928494,256,256
1477930294,256,256
1477932101,256,256
1477939291,256,256
1477941094,256,256
1477945882,256,256
1477953408,256,256
1477955514,256,256
1478010394,3328,3328
1478013091,256,256
1478020304,256,256
1478025704,512,512
1478027822,256,256
1478029318,512,512
1478032350,256,256
1478043165,256,256
1478099835,2048,2048
1478103099,256,256
1478108506,256,256
1478113901,256,256
1478121104,256,256
1478125919,256,256
1478128305,256,256
1478186282,3328,3328
1478189490,256,256
1478194895,256,256
1478198501,256,256
1478200291,256,256
1478203891,256,256
1478205726,256,256
1478212577,256,256
1478214703,256,256
1478216542,512,512
1478223791,256,256
1478241713,256,256
1478269612,2560,2560
1478270497,256,256
1478272286,256,256
1478274096,256,256
1478277760,512,512
1478279505,256,256
1478283100,256,256
1478288512,256,256
1478293912,256,256
1478301110,256,256
1478302915,256,256
1478306252,256,256
1478338922,256,256
1478359058,2816,2816
1478362297,256,256
1478365886,512,512
1478367697,256,256
1478376780,512,512
1478377949,256,256
1478387513,256,256
1478391116,256,256
1478393143,256,256
1478449736,2816,2816
1478452303,256,256
1478463108,256,256
1478464907,256,256
1478470304,256,256
1478472101,256,256
1478475882,256,256
1478477447,256,256
1478526126,256,256
1478532603,2816,2816
1478539981,256,256
1478551300,256,256
1478557084,256,256
1478567590,256,256
1478621956,3072,3072
1478623290,256,256
1478628696,256,256
1478632302,256,256
1478633648,256,256
1478637707,256,256
1478644915,256,256
1478648181,512,512
1478712432,2304,2304
1478717075,256,256
1478718707,512,512
1478720494,256,256
1478725930,256,256
1478727725,256,256
1478729506,256,256
1478734306,256,256
1478736709,256,256
1478791619,3328,3328
1478792520,256,256
1478794643,256,256
1478796099,256,256
1478797907,256,256
1478799695,256,256
1478803292,256,256
1478805110,256,256
1478806900,256,256
1478809038,256,256
1478810499,256,256
1478814109,256,256
1478816394,256,256
1478817688,512,512
1478824904,256,256
1478833907,256,256
1478868111,256,256
1478874233,2816,2816
1478877093,256,256
1478881070,256,256
1478884298,256,256
1478886117,256,256
1478887904,256,256
1478896911,512,512
1478898705,256,256
1478899883,256,256
1478905910,256,256
1478907689,256,256
1478909515,256,256
1478911086,512,512
1478957038,2816,2816
1478959891,512,512
1478965304,256,256
1478967091,256,256
1478972501,256,256
1478976112,256,256
1478977900,256,256
1478982889,256,256
1478986300,256,256
1478988709,256,256
1478990225,256,256
1478997505,256,256
1479047028,2048,2048
1479051703,256,256
1479055294,256,256
1479057113,256,256
1479058906,256,256
1479067901,256,256
1479069167,256,256
1479071505,512,512
1479075101,512,512
1479137248,2816,2816
1479143508,256,256
1479145298,256,256
1479150715,256,256
1479152103,256,256
1479156106,256,256
1479216411,256,256
1479223668,3072,3072
1479231708,256,256
1479237110,256,256
1479239092,256,256
1479242502,256,256
1479249830,256,256
1479296516,256,256
1479305853,2560,2560
1479310902,256,256
1479313023,256,256
1479319902,256,256
1479328905,256,256
1479330704,256,256
1479334319,256,256
1479342007,256,256
1479400049,3072,3072
1479400938,256,256
1479402712,256,256
1479406354,256,256
1479411521,256,256
1479413518,256,256
1479417127,256,256
1479420730,256,256
1479429910,256,256
1479479203,2560,2560
1479481903,256,256
1479485510,256,256
1479487300,256,256
1479490246,256,256
1479493181,768,768
1479494520,768,768
1479496294,256,256
1479498116,256,256
1479501705,256,256
1479503513,256,256
1479510769,256,256
1479515530,256,256
1479576425,2560,2560
1479577307,256,256
1479580911,512,512
1479584506,256,256
1479586307,256,256
1479588098,256,256
1479593523,256,256
1479594898,256,256
1479655418,2560,2560
1479658292,256,256
1479667287,256,256
1479676300,512,512
1479742002,2816,2816
1479746523,256,256
1479748296,512,512
1479751895,256,256
1479755498,256,256
1479757309,512,512
1479759092,256,256
1479760905,256,256
1479762712,256,256
1479824212,2304,2304
1479825687,256,256
1479827485,256,256
1479838294,256,256
1479849094,512,512
1479858115,256,256
1479863512,256,256
1479918109,2560,2560
1479919288,256,256
1479928301,256,256
1479935506,256,256
1479937302,256,256
1479944510,256,256
1479957109,256,256
1479971519,256,256
1479989957,2560,2560
1479991286,256,256
1479993084,256,256
1479996697,256,256
1480009292,256,256
1480014704,256,256
1480018690,256,256
1480020095,256,256
1480052502,256,256
1480070568,256,256
1480083559,2304,2304
1480090292,256,256
1480092092,256,256
1480093889,256,256
1480095682,512,512
1480099289,256,256
1480104706,256,256
1480108301,256,256
1480113692,256,256
1480119102,256,256
1480120918,256,256
1480166396,3072,3072
1480167689,512,512
1480173089,256,256
1480174881,256,256
1480176718,512,512
1480184292,512,512
1480194698,256,256
1480201910,256,256
1480207310,256,256
1480260480,2816,2816
1480261335,256,256
1480264912,256,256
1480268048,256,256
1480271662,512,512
1480273907,256,256
1480279315,512,512
1480286518,256,256
1480301287,256,256
1480343262,1536,1536
1480351321,256,256
1480361904,256,256
1480365718,256,256
1480367522,512,512
1480429089,3584,3584
1480437703,256,256
1480440913,256,256
1480444901,256,256
1480450321,256,256
1480452114,256,256
1480453917,256,256
1480457520,256,256
1480459318,256,256
1480463061,256,256
1480467391,256,256
1480490492,256,256
1480491717,256,256
1480516041,2560,2560
1480531324,256,256
1480537167,256,256
1480538515,256,256
1480540304,256,256
1480541922,256,256
1480543921,256,256
1480549404,256,256
1480552940,512,512
1480554714,256,256
1480602630,2560,2560
1480613869,256,256
1480617747,256,256
1480621107,256,256
1480624927,256,256
1480626729,256,256
1480633940,256,256
1480639358,256,256
1480643175,256,256
1480669964,256,256
1480717683,3072,3072
1480718540,768,768
1480779252,3840,3840
1480783311,256,256
1480785105,256,256
1480786327,256,256
1480788711,512,512
1480790110,256,256
1480792312,256,256
1480797703,256,256
1480799503,256,256
1480801009,256,256
1480803619,256,256
1480861656,2560,2560
1480862516,256,256
1480864306,256,256
1480866114,256,256
1480869737,256,256
1480875114,256,256
1480876496,512,512
1480884108,256,256
1480885906,512,512
1480887442,256,256
1480893095,256,256
1480896747,256,256
1480915079,256,256
1480952510,2816,2816
1480961515,256,256
1480966315,256,256
1480968721,512,512
1480970241,256,256
1480981531,256,256
1480983124,256,256
1481010157,256,256
1481013718,256,256
1481038028,3072,3072
1481039769,256,256
1481040703,256,256
1481047911,256,256
1481055124,768,768
1481056499,512,512
1481060662,512,512
1481071435,256,256
1481113694,3072,3072
1481115369,256,256
1481134315,256,256
1481137920,256,256
1481144174,256,256
1481145989,512,512
1481157736,256,256
1481186536,256,256
1481206666,2304,2304
1481208104,256,256
1481209894,512,512
1481213950,256,256
1481217105,256,256
1481218924,256,256
1481224324,256,256
1481229718,256,256
1481231513,256,256
1481242315,256,256
1481244117,256,256
1481260324,256,256
1481297238,2816,2816
1481301707,256,256
1481303514,256,256
1481310718,256,256
1481317921,768,768
1481319323,256,256
1481321522,512,512
1481330399,256,256
1481369182,2560,2560
1481370104,256,256
1481377300,256,256
1481384518,256,256
1481389909,512,512
1481399072,256,256
1481402579,256,256
1481407942,256,256
1481409813,256,256
1481411895,256,256
1481415143,256,256
1481503105,2048,2048
1481521315,256,256
1481534386,256,256
1481552850,2560,2560
1481566295,256,256
1481569912,256,256
1481575319,256,256
1481577106,512,512
1481578960,256,256
1481581181,256,256
1481589577,512,512
1481642844,3328,3328
1481643714,256,256
1481654517,768,768
1481661714,256,256
1481663511,256,256
1481664720,256,256
1481667610,256,256
1481677928,256,256
1481679426,256,256
1481706723,256,256
1481729333,2816,2816
1481731898,256,256
1481733182,256,256
1481739523,256,256
1481740900,256,256
1481742712,512,512
1481748113,512,512
1481749976,256,256
1481762517,256,256
1481766279,256,256
1481815751,2816,2816
1481818397,512,512
1481822347,256,256
1481823709,256,256
1481826789,256,256
1481834611,256,256
1481905083,2304,2304
1481906505,256,256
1481908310,256,256
1481920904,512,512
1481922712,256,256
1481924308,256,256
1481981308,3072,3072
1481985709,256,256
1481987508,256,256
1481989316,256,256
1481991117,256,256
1481992940,256,256
1482003196,256,256
1482007305,256,256
1482010546,256,256
1482017876,256,256
1482020325,256,256
1482021719,256,256
1482074894,2560,2560
1482075769,256,256
1482077515,256,256
1482081114,256,256
1482089539,256,256
1482095509,256,256
1482104246,256,256
1482106328,256,256
1482161337,2048,2048
1482163899,256,256
1482165697,256,256
1482168678,256,256
1482171483,768,768
1482180119,512,512
