DateTime,Entries,UniqueIPs
1478500576,879,879
1478512082,879,879
1478515925,879,879
1478519763,879,879
1478523605,879,879
1478527443,879,879
1478531524,879,879
1478543042,879,879
1478546885,879,879
1478550722,879,879
1478558403,878,878
1478566084,879,879
1478569924,880,880
1478573763,880,880
1478577606,879,879
1478581443,880,880
1478585284,879,879
1478589124,879,879
1478592963,880,880
1478604483,879,879
1478612164,880,880
1478619843,880,880
1478623684,879,879
1478627524,880,880
1478631364,879,879
1478635205,881,881
1478639043,881,881
1478642884,880,880
1478646726,880,880
1478650562,879,879
1478658244,880,880
1478665924,880,880
1478673615,879,879
1478681283,879,879
1478685124,879,879
1478693043,879,879
1478696885,880,880
1478704563,880,880
1478708405,880,880
1478712243,880,880
1478716085,880,880
1478719923,880,880
1478723764,880,880
1478727604,880,880
1478731445,879,879
1478735284,880,880
1478739124,879,879
1478742964,879,879
1478754486,879,879
1478758324,879,879
1478762163,878,878
1478766006,879,879
1478781364,877,877
1478785203,877,877
1478789043,877,877
1478800565,878,878
1478804408,879,879
1478808244,879,879
1478812084,879,879
1478815923,878,878
1478819763,878,878
1478823608,878,878
1478831283,876,876
1478835123,876,876
1478838966,877,877
1478842803,877,877
1478846643,876,876
1478850483,876,876
1478854325,876,876
1478858163,876,876
1478862028,878,878
1478866083,878,878
1478869923,877,877
1478873763,878,878
1478877606,878,878
1478881446,877,877
1478897043,877,877
1478916485,879,879
1478920324,879,879
1478924164,880,880
1478928003,880,880
1478931845,880,880
1478939524,880,880
1478947218,879,879
1478954883,880,880
1478958723,879,879
1478962563,879,879
1478966416,878,878
1478974083,878,878
1478981762,879,879
1478985605,879,879
1478989684,879,879
1478993523,879,879
1478997364,879,879
1479001206,877,877
1479005043,879,879
1479008884,879,879
1479016563,880,880
1479020404,879,879
1479024244,882,882
1479028084,881,881
1479031926,880,880
1479036004,881,881
1479039854,882,882
1479043683,882,882
1479047523,882,882
1479055204,883,883
1479066725,883,883
1479082084,883,883
1479086164,883,883
1479090007,882,882
1479093844,882,882
1479097682,882,882
1479101524,882,882
1479105363,881,881
1479109204,881,881
1479113042,881,881
1479116883,881,881
1479120723,881,881
1479124564,881,881
1479128404,880,880
1479132244,880,880
1479136084,879,879
1479140165,879,879
1479144006,880,880
1479148324,879,879
1479156005,879,879
1479163683,880,880
1479167523,881,881
1479171365,882,882
1479175207,882,882
1479179043,882,882
1479186964,882,882
1479194646,882,882
1479198484,880,880
1479202325,880,880
1479206164,881,881
1479210004,881,881
1479213843,884,884
1479217684,883,883
1479221535,883,883
1479225364,882,882
1479229204,883,883
1479233044,883,883
1479248409,883,883
1479256083,884,884
1479263764,884,884
1479267844,884,884
1479271683,883,883
1479275524,883,883
1479279374,885,885
1479283218,886,886
1479290883,886,886
1479294723,886,886
1479298814,886,886
1479306484,886,886
1479314403,886,886
1479318244,885,885
1479322083,885,885
1479325923,885,885
1479329763,885,885
1479333653,884,884
1479341285,884,884
1479356646,883,883
1479364322,883,883
1479372005,882,882
1479379683,882,882
1479383524,881,881
1479387605,881,881
1479391443,881,881
1479395285,881,881
1479399137,881,881
1479402963,881,881
1479418323,881,881
1479422164,881,881
1479433683,881,881
1479437524,880,880
1479441364,879,879
1479445205,880,880
1479449285,879,879
1479453123,877,877
1479456976,877,877
1479464644,878,878
1479468484,879,879
1479472323,879,879
1479476164,879,879
1479480003,879,879
1479483842,879,879
1479487683,879,879
1479491523,879,879
1479495363,879,879
1479499204,879,879
1479515045,879,879
1479522723,879,879
1479538083,879,879
1479541924,880,880
1479549605,879,879
1479557284,879,879
1479564963,879,879
1479572643,879,879
1479576483,881,881
1479588003,881,881
1479595683,880,880
1479607205,879,879
1479614884,880,880
1479630244,880,880
1479653282,880,880
1479657124,880,880
1479664804,881,881
1479672964,881,881
1479680643,880,880
1479688323,880,880
1479696003,881,881
1479703683,880,880
1479711363,881,881
1479715205,881,881
1479722884,881,881
1479730564,881,881
1479738244,881,881
1479745936,881,881
1479753604,881,881
1479761283,880,880
1479768963,883,883
1479776643,884,884
1479780484,883,883
1479788162,883,883
1479795844,881,881
1479803536,881,881
1479811203,881,881
1479818882,880,880
1479826821,882,882
1479834484,882,882
1479859922,882,882
1479867602,882,882
1479875537,882,882
1479883203,882,882
1479902404,881,881
1479910323,881,881
1479918003,883,883
1479925683,883,883
1479933375,884,884
1479941042,885,885
1479948724,886,886
1479956404,885,885
1479960243,885,885
1479967924,885,885
1479975603,886,886
1479990976,885,885
1479998643,885,885
1480006324,885,885
1480014004,885,885
1480021684,885,885
1480025524,885,885
1480033684,885,885
1480041362,884,884
1480049042,884,884
1480056723,883,883
1480064404,883,883
1480072324,881,881
1480080002,883,883
1480087683,883,883
1480095603,882,882
1480103283,882,882
1480110963,881,881
1480118884,881,881
1480126563,881,881
1480134483,880,880
1480142162,881,881
1480157524,881,881
1480165204,881,881
1480169285,881,881
1480176963,881,881
1480184645,882,882
1480192323,882,882
1480200003,882,882
1480223284,882,882
1480227125,884,884
1480242723,884,884
1480250416,883,883
1480258083,882,882
1480269605,882,882
1480277284,882,882
1480284963,882,882
1480292643,882,882
1480300323,880,880
1480315683,880,880
1480323363,880,880
1480331043,880,880
1480334884,880,880
1480342562,879,879
1480350243,879,879
1480357922,880,880
1480365604,880,880
1480373283,880,880
1480388643,880,880
1480392485,880,880
1480400162,880,880
1480407844,879,879
1480415523,879,879
1480423203,880,880
1480430883,881,881
1480442643,880,880
1480450324,880,880
1480465923,880,880
1480473603,879,879
1480481283,879,879
1480488963,879,879
1480496643,878,878
1480500484,878,878
1480508414,878,878
1480516085,877,877
1480523764,880,880
1480531443,880,880
1480539124,880,880
1480546804,880,880
1480550643,880,880
1480558323,880,880
1480566003,881,881
1480581363,881,881
1480589043,881,881
1480596724,881,881
1480612084,881,881
1480623845,882,882
1480631524,881,881
1480650725,881,881
1480658406,881,881
1480666336,881,881
1480674003,879,879
1480681684,879,879
1480689364,880,880
1480697043,879,879
1480704724,879,879
1480712404,879,879
1480716484,879,879
1480724403,880,880
1480732324,880,880
1480740003,879,879
1480747683,878,878
1480755362,878,878
1480763283,878,878
1480767123,879,879
