DateTime,AddedIPs,RemovedIPs
1481800321,1,0
1481801045,1,44
1481802122,0,4
1481802721,4,0
1481802976,57,0
1481803341,1,3
1481803922,2,2
1481804522,0,7
1481805722,1,7
1481806805,58,10
1481806941,1,3
1481807764,6,95
1481808121,0,3
1481808722,1,1
1481809322,10,0
1481809921,2,0
1481810163,3,0
1481810643,63,8
1481811121,1,9
1481811721,1,20
1481812564,39,17
1481812921,3,2
1481813523,1,74
1481813763,4,0
1481814121,0,3
1481814141,1,6
1481814673,2,13
1481815322,2,2
1481815981,3,2
1481816402,36,0
1481816521,0,2
1481817122,4,0
1481817362,2,0
1481817801,0,16
1481818322,2,2
1481818921,4,1
1481820122,1,0
1481820482,53,3
1481820963,4,0
1481821444,2,73
1481821922,1,2
1481822522,57,10
1481823121,2,2
1481824323,201,1
1481824563,3,9
1481825003,0,7
1481826243,47,191
1481826722,3,0
1481827203,0,49
1481827321,7,3
1481828163,51,0
1481828522,3,8
1481828603,0,1
1481829122,0,3
1481829721,69,0
1481830323,50,14
1481831044,4,79
1481831762,3,0
1481832141,11,12
1481832721,1,2
1481833921,4,2
1481834163,47,0
1481835121,3,10
1481835363,3,2
1481835743,5,3
1481836922,7,27
1481837522,1,3
1481838007,34,10
1481838121,3,0
1481838721,0,2
1481838962,1,0
1481839322,0,8
1481839343,0,3
1481839921,0,1
1481840645,3,92
1481841121,8,0
1481841842,56,0
1481842563,2,5
1481843003,2,5
1481843522,4,2
1481844121,5,0
1481844483,0,56
1481844722,1,2
1481845321,3,1
1481845925,30,0
1481846163,1,3
1481846602,2,2
1481847122,2,0
1481847721,0,3
1481848324,0,74
1481848921,1,0
1481849523,2,0
1481849765,60,0
1481850202,2,2
1481850722,1,0
1481851203,0,45
1481851321,17,10
1481851921,2,0
1481851981,6,14
1481852523,6,7
1481853122,5,7
1481853617,55,4
1481853722,1,0
1481853802,0,4
1481854322,1,1
1481854921,2,0
1481855523,46,5
1481856121,1,6
1481856722,1,0
1481856963,0,98
1481857323,1,1
1481857402,0,2
1481857922,0,2
1481858521,1,3
1481859121,3,0
1481859602,82,0
1481859721,0,5
1481860322,1,0
1481860563,4,3
1481860943,1,6
1481861521,5,0
1481862122,4,6
1481862723,1,88
1481863450,86,6
1481864163,2,3
1481864543,0,4
1481865121,0,2
1481865721,1,48
1481866322,5,12
1481866381,2,2
1481866922,3,0
1481867282,64,5
1481867521,3,1
1481867762,1,5
1481868203,1,1
1481868485,0,148
1481868722,1,2
1481869321,0,2
1481869921,1,3
1481870522,2,0
1481871123,66,15
1481871363,4,5
1481871805,0,8
1481872321,2,0
1481872921,12,1
1481873521,22,0
1481873581,4,9
1481874122,2,0
1481874963,43,5
1481875405,5,7
1481875921,1,0
1481876164,0,89
1481876522,2,0
1481877122,2,1
1481877722,2,1
1481878322,2,4
1481878805,51,9
1481878922,1,5
1481878945,2,0
1481880727,70,9
1481880964,0,71
1481881322,3,0
1481881922,1,1
1481882163,3,4
1481882524,2,8
1481883122,3,0
1481883721,1,0
1481884321,3,0
1481884564,41,0
1481884922,1,3
1481885522,2,0
1481885763,5,3
1481886143,3,4
1481887322,6,45
1481887921,2,0
1481888402,35,3
1481888644,2,75
1481889362,8,3
1481889721,2,0
1481890322,1,0
1481890921,1,0
1481891581,2,0
1481892243,41,16
1481892722,4,0
1481892963,7,14
1481893344,1,3
1481893922,3,1
1481894522,3,1
1481895182,0,5
1481895721,4,0
1481896082,45,6
1481896325,4,60
1481896563,1,0
1481896943,0,3
1481897406,7,21
1481898122,6,0
1481898722,1,9
1481899321,8,4
1481899924,38,0
1481900163,6,0
1481900522,12,1
1481900545,0,1
1481901121,2,5
1481901721,5,10
1481902321,6,5
1481902381,2,0
1481902922,2,4
1481903763,37,10
1481904027,5,78
1481904145,7,4
1481905321,3,7
1481905921,3,1
1481906521,1,0
1481907604,56,4
1481907722,2,6
1481907743,0,2
1481908321,2,1
1481908921,75,9
1481909521,1,12
1481910123,7,0
1481910962,4,12
1481911684,56,96
1481911922,4,0
1481912522,0,17
1481913603,56,0
1481913721,1,0
1481914321,7,2
1481914563,4,0
1481914945,5,0
1481915525,1,67
1481916122,45,4
1481916721,1,6
1481917442,58,0
1481917923,0,1
1481918163,4,5
1481918544,7,11
1481919122,3,0
1481919604,0,54
1481919722,1,0
1481920381,3,0
1481920922,9,1
1481921524,54,18
1481921763,2,3
1481922205,0,8
1481922721,6,0
1481923322,12,10
1481924522,3,0
1481925122,3,0
1481925362,37,6
1481925363,1,0
1481925722,1,1
1481925747,0,1
1481926322,2,0
1481926922,2,0
1481927284,0,79
1481928123,4,13
1481929208,44,5
1481929321,2,1
1481929344,1,0
1481929921,14,46
1481930522,1,2
1481931122,42,12
1481931721,2,4
1481932562,2,0
1481933043,0,102
1481933522,3,0
1481934122,2,0
1481934723,5,0
1481934963,70,0
1481935322,1,12
1481935921,1,1
1481936163,2,3
1481936522,5,0
1481937121,4,2
1481937722,18,3
1481938322,4,14
1481938806,46,119
1481938921,1,0
1481939521,6,4
1481939763,5,8
1481940721,1,4
1481941921,2,0
1481942642,48,2
1481943363,0,1
1481943805,4,6
1481944922,6,32
1481945522,0,7
1481946122,1,2
1481946485,67,43
1481947405,2,8
1481947922,4,0
1481948404,0,72
1481948521,0,8
1481949122,1,5
1481949722,6,2
1481950324,84,2
1481950563,1,0
1481951004,1,3
1481951521,2,3
1481952122,2,4
1481952722,4,1
1481953322,2,2
1481953922,4,0
1481954418,66,163
1481954522,1,4
1481954605,0,8
1481955121,1,5
1481955722,1,0
1481956324,59,2
1481956922,1,5
1481957521,10,2
1481957763,2,0
1481958145,1,2
1481958722,0,2
1481959203,0,47
1481959322,0,21
1481959922,11,2
1481960162,45,2
1481960522,1,2
1481961362,2,4
1481961745,3,1
1481963044,3,45
1481964003,47,0
1481964122,11,0
1481964721,2,1
1481964962,4,2
1481965321,2,13
1481965344,0,2
1481965921,3,0
1481966522,9,12
1481966885,0,28
1481967122,1,11
1481967843,50,11
1481968322,3,0
1481968563,7,4
1481968922,0,3
1481970122,2,2
1481971322,1,0
1481971682,27,7
1481971922,1,10
1481972163,3,0
1481972886,1,68
1481973722,3,2
1481974321,6,0
1481974922,2,0
1481975522,50,0
1481975764,3,2
1481976206,1,24
1481976722,2,5
1481977321,2,0
1481977922,1,0
1481978642,1,64
1481979121,0,1
1481979363,47,0
1481979804,1,7
1481980322,3,0
1481980922,4,21
1481982121,1,0
1481982722,2,43
1481983213,71,6
1481983321,1,1
1481983921,4,6
1481984521,5,0
1481985363,43,41
1481985722,5,0
1481986321,3,0
1481986811,4,71
1481987005,0,1
1481988122,1,3
1481988721,1,2
1481989203,42,0
1481989321,3,0
1481990544,1,11
1481991122,4,0
1481991722,0,4
1481992566,0,39
1481993283,48,0
1481993762,3,0
1481994206,1,4
1481994721,1,1
1481995322,5,0
1481995921,2,4
1481995981,76,25
1481996521,2,7
1481997124,41,4
1481997363,8,8
1481997746,2,0
1481998323,3,89
1481998922,0,5
1481999522,1,0
1482000121,1,3
1482000963,49,0
1482001321,8,5
1482001407,2,1
1482001921,11,0
1482002522,0,3
1482003122,2,0
1482003181,0,1
1482003722,1,0
1482004322,1,3
1482004805,41,19
1482004945,2,2
1482005523,2,0
1482006006,0,86
1482006122,5,0
1482006723,42,0
1482006781,4,11
1482007321,2,13
1482007921,2,1
1482008163,8,0
1482008604,2,0
1482009722,1,6
1482010321,2,3
1482010805,36,6
1482010922,3,0
1482011522,1,1
1482011764,6,52
1482012122,23,1
1482012146,0,5
1482012721,1,0
1482013322,2,2
1482013683,0,41
1482013922,0,7
1482013981,0,1
1482014643,29,3
1482015122,19,0
1482015363,7,10
1482015721,5,0
1482015806,0,3
1482016321,2,2
1482016921,9,0
1482017521,2,1
1482017581,1,0
1482018121,1,2
1482018483,28,4
1482018963,6,0
1482019404,4,28
1482019923,3,2
1482021122,0,6
1482021363,0,99
1482021721,0,4
1482022324,70,0
1482022563,1,5
1482023005,10,4
1482023521,2,2
1482024122,2,8
1482024722,2,4
1482025322,1,0
1482025458,1,1
1482025921,2,1
1482026162,47,5
1482026163,1,6
1482027134,0,96
1482027722,2,0
1482028921,4,8
1482029522,5,1
1482030005,43,1
1482030207,0,38
1482030722,3,1
1482031323,5,11
1482031923,80,2
1482032521,2,0
1482032884,2,55
1482033121,0,1
1482033362,1,0
1482033746,0,2
1482034322,2,1
1482034922,2,2
1482035522,13,5
1482035763,77,9
1482036121,14,0
1482036721,2,3
1482036964,0,159
1482037406,0,6
1482037922,2,0
1482038522,0,2
1482039606,67,0
1482039721,1,6
1482040755,0,6
1482041521,0,21
1482042122,4,64
1482042781,0,6
1482043442,57,6
1482044163,3,5
1482044521,1,0
1482044546,0,1
1482045604,0,99
1482045721,1,6
1482046321,3,0
1482046381,3,1
1482047283,42,0
1482047522,0,1
1482047763,3,0
1482048146,0,1
1482049444,2,37
1482049922,9,1
1482051123,41,1
1482051363,1,11
1482051722,1,0
1482051746,1,1
