DateTime,Entries,UniqueIPs
1481953922,44122,50932
1481954418,44025,50835
1481954522,44022,50832
1481954605,44014,50824
1481955121,44010,50820
1481955722,44011,50821
1481956324,44068,50878
1481956922,44065,50874
1481957521,44072,50882
1481957763,44074,50884
1481958145,44073,50883
1481958722,44071,50881
1481959203,44024,50834
1481959322,44004,50813
1481959922,44013,50822
1481960162,44056,50865
1481960522,44055,50864
1481961362,44053,50862
1481961745,44055,50864
1481963044,44014,50822
1481964003,44061,50869
1481964122,44071,50880
1481964721,44072,50881
1481964962,44074,50883
1481965321,44064,50872
1481965344,44062,50870
1481965921,44065,50873
1481966522,44062,50870
1481966885,44034,50842
1481967122,44024,50832
1481967843,44062,50871
1481968322,44064,50874
1481968563,44067,50877
1481968922,44064,50874
1481970122,44064,50874
1481971322,44065,50875
1481971682,44085,50895
1481971922,44077,50886
1481972163,44080,50889
1481972886,44013,50822
1481973722,44014,50823
1481974321,44020,50829
1481974922,44022,50831
1481975522,44072,50881
1481975764,44073,50882
1481976206,44052,50859
1481976722,44049,50856
1481977321,44051,50858
1481977922,44052,50859
1481978642,43990,50796
1481979121,43989,50795
1481979363,44036,50842
1481979804,44030,50836
1481980322,44033,50839
1481980922,44020,50822
1481982121,44021,50823
1481982722,43980,50782
1481983213,44044,50847
1481983321,44044,50847
1481983921,44043,50845
1481984521,44048,50850
1481985363,44050,50852
1481985722,44055,50857
1481986321,44058,50860
1481986811,43993,50793
1481987005,43992,50792
1481988122,43990,50790
1481988721,43989,50789
1481989203,44031,50831
1481989321,44034,50834
1481990544,44024,50824
1481991122,44027,50828
1481991722,44023,50824
1481992566,43984,50785
1481993283,44031,50833
1481993762,44034,50836
1481994206,44031,50833
1481994721,44031,50833
1481995322,44036,50838
1481995921,44034,50836
1481995981,44085,50887
1481996521,44080,50882
1481997124,44117,50919
1481997363,44117,50919
1481997746,44119,50921
1481998323,44033,50835
1481998922,44028,50830
1481999522,44029,50831
1482000121,44027,50829
1482000963,44076,50878
1482001321,44079,50881
1482001407,44080,50882
1482001921,44090,50893
1482002522,44087,50890
1482003122,44089,50892
1482003181,44088,50891
1482003722,44089,50892
1482004322,44087,50890
1482004805,44109,50912
1482004945,44109,50912
1482005523,44111,50914
1482006006,44026,50828
1482006122,44031,50833
1482006723,44073,50875
1482006781,44067,50868
1482007321,44056,50857
1482007921,44057,50858
1482008163,44065,50866
1482008604,44067,50868
1482009722,44062,50863
1482010321,44061,50862
1482010805,44091,50892
1482010922,44094,50895
1482011522,44093,50895
1482011764,44047,50849
1482012122,44069,50871
1482012146,44064,50866
1482012721,44065,50867
1482013322,44065,50867
1482013683,44024,50826
1482013922,44017,50819
1482013981,44016,50818
1482014643,44042,50844
1482015122,44061,50863
1482015363,44058,50860
1482015721,44063,50865
1482015806,44060,50862
1482016321,44060,50862
1482016921,44069,50871
1482017521,44070,50872
1482017581,44071,50873
1482018121,44070,50872
1482018483,44094,50896
1482018963,44100,50902
1482019404,44076,50878
1482019923,44077,50879
1482021122,44071,50873
1482021363,43972,50774
1482021721,43968,50770
1482022324,44038,50840
1482022563,44034,50836
1482023005,44040,50842
1482023521,44040,50842
1482024122,44034,50836
1482024722,44032,50834
1482025322,44032,50835
1482025458,44032,50835
1482025921,44033,50836
1482026162,44074,50878
1482026163,44069,50873
1482027134,43973,50777
1482027722,43975,50779
1482028921,43970,50775
1482029522,43974,50779
1482030005,44016,50821
1482030207,43980,50783
1482030722,43982,50785
1482031323,43975,50779
1482031923,44052,50857
1482032521,44054,50859
1482032884,44001,50806
1482033121,44000,50805
1482033362,44001,50806
1482033746,43999,50804
1482034322,44000,50805
1482034922,44000,50805
1482035522,44006,50813
1482035763,44074,50881
1482036121,44087,50895
1482036721,44086,50894
1482036964,43927,50735
1482037406,43921,50729
1482037922,43923,50731
1482038522,43922,50729
1482039606,43989,50796
1482039721,43984,50791
1482040755,43978,50785
1482041521,43957,50764
1482042122,43898,50704
1482042781,43892,50698
1482043442,43943,50749
1482044163,43941,50747
1482044521,43942,50748
1482044546,43941,50747
1482045604,43842,50648
1482045721,43837,50643
1482046321,43840,50646
1482046381,43842,50648
1482047283,43884,50690
1482047522,43883,50689
1482047763,43886,50692
1482048146,43885,50691
1482049444,43852,50656
1482049922,43860,50664
1482051123,43899,50704
1482051363,43889,50694
1482051722,43890,50695
1482051746,43890,50695
1482052321,43885,50690
1482052922,43883,50688
1482053522,43881,50685
1482054121,43884,50688
1482054963,43912,50716
1482055406,43911,50715
1482055927,43917,50721
1482056521,43892,50696
1482057123,43833,50637
1482057722,43835,50639
1482058804,43876,50680
1482059006,43873,50678
1482059522,43875,50680
1482060122,43872,50677
1482060723,43906,50711
1482061322,43908,50713
1482061921,43909,50714
1482062162,43911,50716
1482062885,43829,50634
1482063722,43820,50625
1482064803,43873,50678
1482064922,43874,50679
1482065521,43877,50682
1482065762,43872,50677
1482066122,43873,50678
1482066206,43872,50677
1482066721,43873,50678
1482067322,43846,50652
1482068643,43844,50650
1482069122,43845,50651
1482069363,43832,50638
1482069805,43831,50637
1482070922,43819,50623
1482071521,43824,50628
1482071581,43833,50637
1482072122,43832,50636
1482072724,43868,50672
1482072963,43869,50673
1482073322,43865,50669
1482073345,43864,50668
1482073921,43865,50669
1482074645,43799,50603
1482075121,43803,50607
1482075181,43802,50606
1482075721,43793,50598
1482076321,43795,50600
1482076562,43849,50654
1482076563,43851,50655
1482076945,43851,50655
1482078121,43849,50653
1482078722,43838,50642
1482079322,43841,50645
1482079921,43848,50652
