DateTime,AddedIPs,RemovedIPs
1481352243,1,0
1481353274,41,28
1481356871,6,0
1481359296,2,6
1481359925,5,3
1481361422,21,14
1481362801,5,0
1481367604,3,3
1481369182,508,0
1481370152,6,2
1481371442,7,1
1481373065,117,0
1481373688,204,191
1481375822,18,15
1481377200,5,0
1481379123,3,0
1481380010,3,7
1481380911,1,3
1481383027,73,749
1481385668,5,0
1481386804,1,0
1481387476,1,0
1481389909,254,0
1481390223,16,19
1481391776,2,2
1481392866,4,0
1481393767,71,0
1481394483,0,2
1481395200,0,28
1481397116,0,250
1481398801,2,0
1481399548,2,258
1481402163,4,2
1481402609,1,3
1481404922,125,18
1481406001,4,0
1481407261,1,0
1481409843,0,2
1481410851,0,255
1481413200,7,1
1481413644,6,1
1481415405,97,380
1481417523,0,1
1481419323,74,12
1481420400,2,0
1481424649,2,1
1481425684,4,3
1481426255,34,0
1481427601,3,1
1481429523,2,5
1481434022,24,9
1481434800,6,0
1481435729,1,3
1481436923,10,0
1481437444,0,1
1481439662,0,31
1481442000,3,0
1481446732,0,7
1481448015,46,0
1481448722,34,13
1481449200,3,0
1481452280,1,0
1481453044,2,2
1481456400,5,0
1481456748,9,11
1481457667,1,0
1481458800,118,0
1481460724,202,268
1481462618,1,0
1481463122,22,11
1481463600,10,1
1481466227,0,996
1481466663,5,5
1481467467,3,4
1481469600,84,0
1481470800,9,0
1481476084,0,1
1481477522,13,15
1481478428,9,2
1481480167,83,0
1481482201,0,27
1481486463,5,0
1481487843,3,3
1481488296,0,255
1481489769,3,4
1481490968,86,0
1481491922,99,10
1481493000,4,1
1481495523,1,2
1481499846,11,0
1481500598,2,3
1481501805,91,525
1481503205,256,0
1481506324,46,12
1481506800,3,1
1481511582,4,3
1481512644,36,0
1481514600,2,0
1481520668,1,0
1481520723,30,9
1481521200,4,2
1481521315,245,0
1481522413,0,3
1481522484,2,3
1481523326,46,0
1481526000,0,33
1481526074,1,0
1481528401,3,0
1481530083,4,4
1481532607,4,6
1481533266,1,0
1481534122,28,0
1481535121,29,18
1481535600,5,0
1481541000,1,0
1481542801,4,1
1481542924,1,4
1481545201,101,0
