DateTime,Entries,UniqueIPs
1482082337,78140,9573875
1482082504,78131,9573870
1482083105,78129,9573868
1482083777,78168,9573919
1482084526,78167,9573917
1482084607,78119,9573859
1482085203,78096,9573836
1482085805,78061,9573800
1482086429,78066,9573805
1482087004,78102,9573845
1482087604,78094,9573836
1482088341,78107,9573851
1482088804,78128,9573871
1482089405,78107,9573848
1482090009,78043,9573776
1482090252,78044,9573778
1482090605,78035,9573763
1482091203,78033,9573758
1482091803,78025,9573746
1482092435,78029,9573750
1482092703,78027,9573749
1482093304,78009,9573731
1482093902,78013,9573735
1482094348,78015,9573737
1482094502,78018,9573740
1482095102,78039,9573761
1482095704,78023,9573745
1482096260,78029,9573750
1482096302,78040,9573761
1482096604,78030,9573753
1482097202,78031,9573754
1482097504,78024,9573746
1482098192,78043,9573765
1482098748,78046,9573768
1482099002,78056,9573778
1482099603,78046,9573768
1482100107,78050,9573772
1482100204,78050,9573772
1482100803,78033,9573755
1482101105,78020,9573742
1482101703,78019,9573741
1482102073,78018,9573741
1482102303,78035,9573758
1482102996,78099,9573822
1482103502,78100,9573823
1482103954,78114,9573837
1482104105,78109,9573832
1482104703,78143,9573868
1482105302,78159,9573885
1482105865,78165,9573891
1482105903,78182,9573908
1482106505,78170,9573897
1482107102,78180,9573907
1482107791,78190,9573917
1482108003,78191,9573921
1482108601,78216,9573946
1482108904,78217,9573947
1482109706,78221,9573949
1482110103,78227,9573954
1482110702,78231,9573958
1482111303,78270,9573999
1482111628,78267,9573996
1482111903,78270,9573999
1482112503,78267,9573996
1482113307,78255,9573982
1482113554,78288,9574015
1482114003,78362,9574094
1482114603,78357,9574089
1482115203,78356,9574088
1482115467,78358,9574089
1482115803,78355,9574086
1482116402,78352,9574083
1482117003,78348,9574079
1482117387,78350,9574080
1482117603,78346,9574076
1482118205,78333,9574063
1482118804,78325,9574055
1482119308,78328,9574058
1482119403,78312,9574042
1482120002,78308,9574038
1482120601,78304,9574034
1482121532,78272,9573998
1482121802,78267,9573993
1482122405,78293,9574022
1482123004,78306,9574038
1482123383,78296,9574027
1482123604,78289,9574020
1482124205,78282,9574013
1482124802,78282,9574013
1482125292,78290,9574022
1482125402,78295,9574027
1482126002,78315,9574047
1482126602,78321,9574053
1482127270,78326,9574058
1482127962,78333,9574066
1482128103,78334,9574067
1482128703,78331,9574064
1482129135,78334,9574067
1482129303,78326,9574066
1482129903,78334,9574074
1482130505,78333,9574075
1482131055,78328,9574068
1482131103,78404,9574167
1482131704,78399,9574162
1482132304,78405,9574171
1482132978,78395,9574157
1482133503,78490,9574267
1482134102,78498,9574275
1482134904,78583,9574373
1482135302,78590,9574379
1482135604,78583,9574371
1482136204,78574,9574359
1482136827,78589,9574371
1482137402,78605,9574387
1482138003,78605,9574387
1482138760,78636,9574419
1482139202,78631,9574411
1482139503,78621,9574401
1482140102,78641,9574421
1482140665,78647,9574426
1482140703,78661,9574440
1482141303,78657,9574436
1482141903,78655,9574434
1482142845,78639,9574417
1482143102,78654,9574432
1482143704,78645,9574423
1482144303,78659,9574437
1482144750,78661,9574439
1482145205,78682,9574460
1482145805,78704,9574480
1482146133,78694,9574469
1482146670,78728,9574503
1482146702,78709,9574484
1482147005,78699,9574474
1482147602,78690,9574465
1482148203,78693,9574468
1482148589,78689,9574465
1482148806,78671,9574447
1482149403,78662,9574438
1482150003,78672,9574448
1482150507,78672,9574449
1482150604,78655,9574431
1482150905,78649,9574424
1482151504,78639,9574414
1482152103,78645,9574421
1482152484,78637,9574414
1482152702,78666,9574443
1482153302,78683,9574459
1482153902,78702,9574478
1482154349,78696,9574470
1482154803,78712,9574486
1482155402,78855,9574632
1482155704,78853,9574630
1482156525,78887,9574666
1482156903,78914,9574691
1482157503,78940,9574717
1482158104,78977,9574753
1482158430,78967,9574744
1482159369,79032,9574809
1482159603,79050,9574827
1482160345,79118,9574895
1482160506,79140,9574915
1482161103,79173,9574947
1482161703,79203,9574977
1482162252,79203,9574976
1482162301,79294,9575067
1482162903,79343,9575115
1482163505,79415,9575187
1482164200,79380,9575149
1482164703,79523,9575302
1482165304,79600,9575380
1482166116,79558,9575337
1482166503,79598,9575376
1482167105,79565,9575341
1482167704,79622,9575398
1482168281,79632,9575408
1482168303,79691,9575465
1482168904,79789,9575563
1482169503,79824,9575595
1482170189,79766,9575525
1482170704,79817,9575576
1482171604,79961,9575726
1482172120,79969,9575736
1482172202,79999,9575766
1482172504,80054,9575821
1482173105,80072,9575840
1482173704,80050,9575814
1482174096,80055,9575819
1482174531,80056,9575820
1482174603,80088,9575851
1482175206,80141,9575904
1482175972,80137,9575901
1482176404,80126,9575890
1482177003,80156,9575919
1482177604,80179,9575942
1482177869,80176,9575938
1482178202,80214,9575976
1482178504,80239,9576000
1482179103,80230,9575988
1482179874,80220,9575979
1482180303,80217,9575976
1482180903,80241,9576000
1482181716,80223,9575981
1482181803,80225,9575983
1482182403,80250,9576008
1482182705,80243,9576001
1482183303,80299,9576055
1482183723,80296,9576051
1482183903,80307,9576062
1482184205,80295,9576050
1482184806,80290,9576045
1482185920,80382,9576137
1482186303,80367,9576122
1482186902,80385,9576139
1482187504,80390,9576144
1482187936,80388,9576142
1482188103,80396,9576150
1482188702,80381,9576135
1482189302,80421,9576175
1482189847,80424,9576178
1482189902,80422,9576176
1482190341,80474,9576229
1482190502,80491,9576246
1482190804,80481,9576235
1482191404,80555,9576309
1482191774,80553,9576303
1482192003,80558,9576308
1482192306,80593,9576344
1482192904,80597,9576347
1482193702,80686,9576453
1482194104,80692,9576456
1482194704,80673,9576437
1482195303,80782,9576559
1482195662,80784,9576561
1482195902,80811,9576588
1482196503,80835,9576612
1482197103,80827,9576605
1482197546,80824,9576602
1482198002,80834,9576611
1482198905,80878,9576657
1482199469,80871,9576650
1482199505,80859,9576639
1482200107,80821,9576590
1482200704,80825,9576593
1482201393,80871,9576637
1482201903,80874,9576640
1482202502,80896,9576662
1482203050,80899,9576665
1482203319,80891,9576658
1482203703,80892,9576659
1482204302,80912,9576679
1482204903,80910,9576677
1482205221,80904,9576669
1482205502,80900,9576665
1482206102,80903,9576668
1482206703,80911,9576676
1482207147,80906,9576669
1482207303,80911,9576674
1482207902,80926,9576689
1482208502,80931,9576694
1482209087,80922,9576684
1482209111,80884,9576640
1482209705,80873,9576629
1482210303,80871,9576627
1482210990,80854,9576611
1482211504,80877,9576634
1482212106,80858,9576612
1482212913,80888,9576643
1482213304,80878,9576633
1482213904,80876,9576630
1482214839,80877,9576626
1482215102,80878,9576630
1482215704,80896,9576645
1482216304,80909,9576658
1482216746,80907,9576657
1482216902,80919,9576670
